,num_bikes_available,num_bikes_disabled,is_installed,legacy_id,num_ebikes_available,num_docks_available,num_docks_disabled,is_renting,station_status,last_reported,is_returning,station_id,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
28,9,0,True,33,0,18,0,True,active,2020-08-14 03:14:35+00:00,True,33,False,2020-08-14 03:15:45,2020
29,6,0,True,35,0,17,0,True,active,2020-08-14 00:38:22+00:00,True,35,False,2020-08-14 03:15:45,2020
30,0,0,True,36,0,33,0,True,active,2020-08-14 00:26:02+00:00,True,36,True,2020-08-14 03:15:45,2020
31,3,0,True,37,0,12,0,True,active,2020-08-14 02:47:07+00:00,True,37,True,2020-08-14 03:15:45,2020
32,14,0,True,39,0,9,0,True,active,2020-08-14 03:06:11+00:00,True,39,False,2020-08-14 03:15:45,2020
33,7,0,True,40,0,12,0,True,active,2020-08-14 03:12:35+00:00,True,40,False,2020-08-14 03:15:45,2020
34,25,0,True,41,0,2,0,True,active,2020-08-14 03:10:52+00:00,True,41,True,2020-08-14 03:15:45,2020
35,8,2,True,42,0,13,0,True,active,2020-08-14 02:29:54+00:00,True,42,False,2020-08-14 03:15:45,2020
36,0,1,True,43,0,14,0,True,active,2020-08-14 03:07:00+00:00,True,43,True,2020-08-14 03:15:45,2020
37,0,0,True,44,0,23,0,True,active,2020-08-14 03:10:16+00:00,True,44,False,2020-08-14 03:15:45,2020
38,6,0,True,46,0,13,0,True,active,2020-08-14 03:15:12+00:00,True,46,False,2020-08-14 03:15:45,2020
39,13,3,True,47,0,3,0,True,active,2020-08-14 03:14:25+00:00,True,47,True,2020-08-14 03:15:45,2020
40,4,0,True,48,0,15,0,True,active,2020-08-14 03:09:45+00:00,True,48,False,2020-08-14 03:15:45,2020
41,9,0,True,49,0,9,0,True,active,2020-08-14 02:14:14+00:00,True,49,False,2020-08-14 03:15:45,2020
42,0,0,True,50,0,15,0,True,active,2020-08-13 22:28:12+00:00,True,50,True,2020-08-14 03:15:45,2020
43,12,0,True,51,0,3,0,True,active,2020-08-14 03:07:40+00:00,True,51,False,2020-08-14 03:15:45,2020
44,5,3,True,52,0,15,0,True,active,2020-08-14 03:13:36+00:00,True,52,True,2020-08-14 03:15:45,2020
45,14,1,True,53,0,4,0,True,active,2020-08-14 03:09:09+00:00,True,53,False,2020-08-14 03:15:45,2020
46,14,0,True,54,0,1,0,True,active,2020-08-14 03:09:30+00:00,True,54,False,2020-08-14 03:15:45,2020
47,1,1,True,55,0,13,0,True,active,2020-08-14 03:13:48+00:00,True,55,False,2020-08-14 03:15:45,2020
48,8,1,True,56,0,9,0,True,active,2020-08-14 02:04:53+00:00,True,56,True,2020-08-14 03:15:45,2020
