,station_id,num_docks_available,last_reported,num_ebikes_available,num_docks_disabled,is_renting,eightd_has_available_keys,num_bikes_disabled,station_status,legacy_id,is_installed,is_returning,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
134,151,10,2020-08-21 23:09:45+00:00,0,0,True,False,0,active,151,True,True,9,,,2020-08-21 23:10:35,2020
135,152,7,2020-08-21 22:46:30+00:00,0,0,True,True,0,active,152,True,True,8,,,2020-08-21 23:10:35,2020
136,156,10,2020-08-21 22:21:43+00:00,0,0,True,False,0,active,156,True,True,5,,,2020-08-21 23:10:35,2020
137,157,1,2020-08-21 23:06:56+00:00,0,0,True,False,0,active,157,True,True,14,,,2020-08-21 23:10:35,2020
138,159,11,2020-08-21 22:50:21+00:00,0,0,True,False,1,active,159,True,True,3,,,2020-08-21 23:10:35,2020
139,160,5,2020-08-21 22:58:31+00:00,0,0,True,True,0,active,160,True,True,9,,,2020-08-21 23:10:35,2020
140,161,9,2020-08-21 23:07:07+00:00,0,0,True,True,0,active,161,True,True,14,,,2020-08-21 23:10:35,2020
141,162,10,2020-08-21 20:15:52+00:00,0,0,True,False,0,active,162,True,True,5,,,2020-08-21 23:10:35,2020
142,163,9,2020-08-21 23:03:58+00:00,0,0,True,True,1,active,163,True,True,9,,,2020-08-21 23:10:35,2020
143,167,1,2020-08-21 23:10:22+00:00,0,0,True,False,0,active,167,True,True,14,,,2020-08-21 23:10:35,2020
144,169,16,2020-08-21 23:05:14+00:00,0,0,True,False,0,active,169,True,True,3,,,2020-08-21 23:10:35,2020
145,170,8,2020-08-21 23:05:17+00:00,0,0,True,True,0,active,170,True,True,6,,,2020-08-21 23:10:35,2020
146,171,12,2020-08-21 23:01:42+00:00,0,0,True,True,0,active,171,True,True,11,,,2020-08-21 23:10:35,2020
147,173,2,2020-08-21 22:55:57+00:00,0,0,True,True,1,active,173,True,True,11,,,2020-08-21 23:10:35,2020
148,174,9,2020-08-21 22:54:34+00:00,0,0,True,False,0,active,174,True,True,6,,,2020-08-21 23:10:35,2020
149,175,10,2020-08-21 23:07:53+00:00,0,0,True,True,0,active,175,True,True,7,,,2020-08-21 23:10:35,2020
150,176,7,2020-08-21 23:09:26+00:00,0,0,True,False,2,active,176,True,True,6,,,2020-08-21 23:10:35,2020
151,177,12,2020-08-21 23:07:34+00:00,0,0,True,False,1,active,177,True,True,6,,,2020-08-21 23:10:35,2020
152,178,7,2020-08-21 23:07:50+00:00,0,0,True,False,0,active,178,True,True,12,,,2020-08-21 23:10:35,2020
153,179,19,2020-08-21 23:10:16+00:00,0,0,True,False,0,active,179,True,True,6,,,2020-08-21 23:10:35,2020
154,180,5,2020-08-21 22:39:21+00:00,0,0,True,False,0,active,180,True,True,14,,,2020-08-21 23:10:35,2020
155,181,18,2020-08-21 23:08:14+00:00,0,0,True,False,0,active,181,True,True,1,,,2020-08-21 23:10:35,2020
156,182,17,2020-08-21 22:43:35+00:00,0,0,True,True,0,active,182,True,True,2,,,2020-08-21 23:10:35,2020
157,183,18,2020-08-21 23:03:43+00:00,0,0,True,False,0,active,183,True,True,1,,,2020-08-21 23:10:35,2020
158,184,19,2020-08-21 23:03:33+00:00,0,0,True,False,0,active,184,True,True,0,,,2020-08-21 23:10:35,2020
159,185,10,2020-08-21 23:08:55+00:00,0,0,True,False,0,active,185,True,True,5,,,2020-08-21 23:10:35,2020
160,186,5,2020-08-21 22:55:44+00:00,0,0,True,True,0,active,186,True,True,10,,,2020-08-21 23:10:35,2020
161,187,14,2020-08-21 22:01:45+00:00,0,0,True,False,1,active,187,True,True,0,,,2020-08-21 23:10:35,2020
162,188,6,2020-08-21 22:14:51+00:00,0,0,True,False,0,active,188,True,True,9,,,2020-08-21 23:10:35,2020
163,189,22,2020-08-21 23:09:59+00:00,0,0,True,True,0,active,189,True,True,1,,,2020-08-21 23:10:35,2020
164,190,26,2020-08-21 23:04:20+00:00,0,0,True,True,2,active,190,True,True,9,,,2020-08-21 23:10:35,2020
165,191,14,2020-08-21 22:28:17+00:00,0,0,True,False,0,active,191,True,True,1,,,2020-08-21 23:10:35,2020
166,192,15,2020-08-21 22:32:08+00:00,0,0,True,False,1,active,192,True,True,3,,,2020-08-21 23:10:35,2020
167,193,12,2020-08-21 22:49:50+00:00,0,0,True,True,0,active,193,True,True,3,,,2020-08-21 23:10:35,2020
168,194,16,2020-08-21 21:51:37+00:00,0,0,True,False,0,active,194,True,True,3,,,2020-08-21 23:10:35,2020
169,195,17,2020-08-21 23:06:13+00:00,0,0,True,False,0,active,195,True,True,6,,,2020-08-21 23:10:35,2020
170,196,7,2020-08-21 22:02:32+00:00,0,0,True,False,0,active,196,True,True,3,,,2020-08-21 23:10:35,2020
171,197,6,2020-08-21 22:47:00+00:00,0,0,True,False,0,active,197,True,True,9,,,2020-08-21 23:10:35,2020
172,199,5,2020-08-21 20:47:53+00:00,0,0,True,False,0,active,199,True,True,10,,,2020-08-21 23:10:35,2020
173,200,7,2020-08-21 22:20:45+00:00,0,0,True,False,0,active,200,True,True,12,,,2020-08-21 23:10:35,2020
174,201,13,2020-08-21 22:44:20+00:00,0,0,True,False,0,active,201,True,True,2,,,2020-08-21 23:10:35,2020
175,202,11,2020-08-21 22:14:10+00:00,0,0,True,False,0,active,202,True,True,4,,,2020-08-21 23:10:35,2020
176,203,9,2020-08-21 12:45:21+00:00,0,0,True,False,0,active,203,True,True,6,,,2020-08-21 23:10:35,2020
177,204,15,2020-08-21 23:07:05+00:00,0,0,True,False,0,active,204,True,True,0,,,2020-08-21 23:10:35,2020
178,205,12,2020-08-21 22:54:25+00:00,0,0,True,False,0,active,205,True,True,3,,,2020-08-21 23:10:35,2020
179,206,22,2020-08-21 23:01:19+00:00,0,0,True,False,0,active,206,True,True,1,,,2020-08-21 23:10:35,2020
180,208,2,2020-08-21 23:07:58+00:00,0,0,True,True,0,active,208,True,True,13,,,2020-08-21 23:10:35,2020
181,209,12,2020-08-21 22:47:01+00:00,0,0,True,False,1,active,209,True,True,2,,,2020-08-21 23:10:35,2020
182,210,15,2020-08-21 22:22:28+00:00,0,0,True,False,0,active,210,True,True,0,,,2020-08-21 23:10:35,2020
183,211,7,2020-08-21 22:22:18+00:00,0,0,True,False,0,active,211,True,True,12,,,2020-08-21 23:10:35,2020
184,212,25,2020-08-21 21:42:53+00:00,0,0,True,False,1,active,212,True,True,7,,,2020-08-21 23:10:35,2020
185,213,10,2020-08-21 19:55:09+00:00,0,0,True,True,0,active,213,True,True,6,,,2020-08-21 23:10:35,2020
