,num_bikes_disabled,is_renting,num_docks_disabled,eightd_has_available_keys,num_bikes_available,last_reported,station_status,num_ebikes_available,is_returning,station_id,num_docks_available,is_installed,legacy_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
16,1,True,0,True,5,2020-08-06 03:36:41+00:00,active,0,True,20,17,True,20,,,2020-08-06 04:20:25,2020
17,0,True,0,True,4,2020-08-06 03:38:07+00:00,active,0,True,21,14,True,21,,,2020-08-06 04:20:25,2020
18,2,True,0,True,7,2020-08-06 02:34:09+00:00,active,0,True,22,38,True,22,,,2020-08-06 04:20:25,2020
19,0,True,0,True,11,2020-08-06 03:39:01+00:00,active,0,True,23,10,True,23,,,2020-08-06 04:20:25,2020
20,0,True,0,False,9,2020-08-06 03:34:23+00:00,active,0,True,24,10,True,24,,,2020-08-06 04:20:25,2020
21,0,True,0,False,8,2020-08-06 02:16:54+00:00,active,0,True,25,7,True,25,,,2020-08-06 04:20:25,2020
22,1,True,0,False,8,2020-08-06 04:07:01+00:00,active,0,True,26,6,True,26,,,2020-08-06 04:20:25,2020
23,2,True,0,False,20,2020-08-06 04:19:04+00:00,active,0,True,27,1,True,27,,,2020-08-06 04:20:25,2020
24,1,True,0,False,5,2020-08-06 00:15:21+00:00,active,0,True,29,9,True,29,,,2020-08-06 04:20:25,2020
25,0,True,0,False,2,2020-08-06 04:05:07+00:00,active,0,True,30,13,True,30,,,2020-08-06 04:20:25,2020
26,0,True,0,True,3,2020-08-06 02:34:32+00:00,active,0,True,31,16,True,31,,,2020-08-06 04:20:25,2020
27,0,True,0,False,0,2020-08-06 04:14:28+00:00,active,0,True,32,15,True,32,,,2020-08-06 04:20:25,2020
28,0,True,0,False,5,2020-08-06 03:49:54+00:00,active,0,True,33,22,True,33,,,2020-08-06 04:20:25,2020
29,0,True,0,False,5,2020-08-06 03:07:58+00:00,active,0,True,35,18,True,35,,,2020-08-06 04:20:25,2020
30,0,True,0,True,25,2020-08-06 02:52:57+00:00,active,0,True,36,8,True,36,,,2020-08-06 04:20:25,2020
31,0,True,0,True,12,2020-08-05 23:21:29+00:00,active,0,True,37,3,True,37,,,2020-08-06 04:20:25,2020
32,0,True,0,False,10,2020-08-06 03:46:55+00:00,active,0,True,39,13,True,39,,,2020-08-06 04:20:25,2020
33,1,True,0,False,15,2020-08-06 03:04:21+00:00,active,0,True,40,3,True,40,,,2020-08-06 04:20:25,2020
34,0,True,0,True,27,2020-08-06 03:53:35+00:00,active,0,True,41,0,True,41,,,2020-08-06 04:20:25,2020
35,1,True,0,False,10,2020-08-06 02:47:08+00:00,active,0,True,42,12,True,42,,,2020-08-06 04:20:25,2020
36,0,True,0,True,10,2020-08-06 03:41:24+00:00,active,0,True,43,5,True,43,,,2020-08-06 04:20:25,2020
37,0,True,0,False,15,2020-08-06 03:19:30+00:00,active,0,True,44,8,True,44,,,2020-08-06 04:20:25,2020
38,0,True,0,False,12,2020-08-06 04:11:44+00:00,active,0,True,46,7,True,46,,,2020-08-06 04:20:25,2020
39,0,True,0,True,10,2020-08-06 04:06:08+00:00,active,0,True,47,9,True,47,,,2020-08-06 04:20:25,2020
40,0,True,0,False,2,2020-08-06 00:15:31+00:00,active,0,True,48,17,True,48,,,2020-08-06 04:20:25,2020
41,0,True,0,False,9,2020-08-06 02:52:35+00:00,active,0,True,49,9,True,49,,,2020-08-06 04:20:25,2020
42,1,True,0,True,9,2020-08-06 01:34:28+00:00,active,0,True,50,5,True,50,,,2020-08-06 04:20:25,2020
43,1,True,0,False,1,2020-08-06 04:08:55+00:00,active,0,True,51,13,True,51,,,2020-08-06 04:20:25,2020
44,0,True,0,True,12,2020-08-06 03:31:16+00:00,active,0,True,52,11,True,52,,,2020-08-06 04:20:25,2020
45,2,True,0,False,13,2020-08-06 04:13:08+00:00,active,0,True,53,4,True,53,,,2020-08-06 04:20:25,2020
46,2,True,0,False,11,2020-08-06 04:08:27+00:00,active,0,True,54,2,True,54,,,2020-08-06 04:20:25,2020
47,1,True,0,False,8,2020-08-06 03:28:48+00:00,active,0,True,55,6,True,55,,,2020-08-06 04:20:25,2020
48,0,True,0,True,12,2020-08-06 03:45:11+00:00,active,0,True,56,6,True,56,,,2020-08-06 04:20:25,2020
49,1,True,0,True,6,2020-08-06 04:20:08+00:00,active,0,True,57,7,True,57,,,2020-08-06 04:20:25,2020
50,0,True,0,True,14,2020-08-06 04:13:33+00:00,active,0,True,58,5,True,58,,,2020-08-06 04:20:25,2020
51,0,True,0,True,7,2020-08-06 02:23:10+00:00,active,0,True,59,12,True,59,,,2020-08-06 04:20:25,2020
