,num_docks_disabled,num_bikes_disabled,last_reported,is_installed,station_id,is_renting,num_docks_available,num_ebikes_available,station_status,is_returning,num_bikes_available,legacy_id,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
105,0,0,2020-08-14 08:20:18+00:00,True,116,True,6,0,active,True,17,116,False,2020-08-14 09:13:40,2020
106,0,0,2020-08-14 08:19:35+00:00,True,117,True,18,0,active,True,1,117,False,2020-08-14 09:13:40,2020
107,0,2,2020-08-14 08:19:50+00:00,True,118,True,0,0,active,True,17,118,False,2020-08-14 09:13:40,2020
108,0,0,2020-08-14 08:05:33+00:00,True,119,True,4,0,active,True,11,119,False,2020-08-14 09:13:40,2020
109,0,1,2020-08-14 08:04:09+00:00,True,120,True,8,0,active,True,6,120,False,2020-08-14 09:13:40,2020
110,0,3,2020-08-14 08:09:49+00:00,True,121,True,5,0,active,True,9,121,False,2020-08-14 09:13:40,2020
111,0,0,2020-08-14 08:53:04+00:00,True,122,True,7,0,active,True,8,122,False,2020-08-14 09:13:40,2020
112,0,1,2020-08-14 08:20:02+00:00,True,124,True,8,0,active,True,6,124,False,2020-08-14 09:13:40,2020
113,0,0,2020-08-14 08:40:59+00:00,True,125,True,6,0,active,True,9,125,False,2020-08-14 09:13:40,2020
114,0,1,2020-08-14 08:19:29+00:00,True,126,True,9,0,active,True,5,126,False,2020-08-14 09:13:40,2020
115,0,0,2020-08-14 08:04:47+00:00,True,128,True,6,0,active,True,13,128,False,2020-08-14 09:13:40,2020
116,0,0,2020-08-14 08:19:06+00:00,True,129,True,1,0,active,True,18,129,False,2020-08-14 09:13:40,2020
117,0,0,2020-08-14 08:09:14+00:00,True,130,True,5,0,active,True,10,130,False,2020-08-14 09:13:40,2020
118,0,0,2020-08-14 08:46:43+00:00,True,131,True,3,0,active,True,15,131,False,2020-08-14 09:13:40,2020
119,0,1,2020-08-14 08:54:36+00:00,True,133,True,16,0,active,True,6,133,False,2020-08-14 09:13:40,2020
120,0,0,2020-08-14 08:20:44+00:00,True,135,True,16,0,active,True,1,135,False,2020-08-14 09:13:40,2020
121,0,2,2020-08-14 08:24:51+00:00,True,136,True,13,0,active,True,4,136,False,2020-08-14 09:13:40,2020
122,0,0,2020-08-14 09:09:16+00:00,True,137,True,7,0,active,True,8,137,False,2020-08-14 09:13:40,2020
123,0,2,2020-08-14 09:00:45+00:00,True,138,True,1,0,active,True,12,138,False,2020-08-14 09:13:40,2020
124,0,0,2020-08-14 08:24:14+00:00,True,139,True,4,0,active,True,15,139,False,2020-08-14 09:13:40,2020
125,0,1,2020-08-14 08:46:56+00:00,True,140,True,1,0,active,True,15,140,False,2020-08-14 09:13:40,2020
126,0,0,2020-08-14 08:30:19+00:00,True,141,True,3,0,active,True,12,141,False,2020-08-14 09:13:40,2020
127,0,0,2020-08-14 08:24:19+00:00,True,142,True,14,0,active,True,9,142,False,2020-08-14 09:13:40,2020
128,0,1,2020-08-14 08:25:06+00:00,True,143,True,2,0,active,True,20,143,False,2020-08-14 09:13:40,2020
129,0,0,2020-08-14 08:44:54+00:00,True,144,True,7,0,active,True,12,144,False,2020-08-14 09:13:40,2020
130,0,0,2020-08-14 08:25:01+00:00,True,145,True,0,0,active,True,19,145,False,2020-08-14 09:13:40,2020
131,0,0,2020-08-14 08:04:52+00:00,True,146,True,1,0,active,True,18,146,False,2020-08-14 09:13:40,2020
132,0,0,2020-08-14 08:24:38+00:00,True,149,True,12,0,active,True,6,149,True,2020-08-14 09:13:40,2020
133,0,1,2020-08-14 08:09:22+00:00,True,150,True,6,0,active,True,12,150,False,2020-08-14 09:13:40,2020
134,0,1,2020-08-14 08:20:59+00:00,True,151,True,17,0,active,True,1,151,False,2020-08-14 09:13:40,2020
135,0,0,2020-08-14 08:30:22+00:00,True,152,True,3,0,active,True,12,152,True,2020-08-14 09:13:40,2020
136,0,0,2020-08-14 08:14:05+00:00,True,156,True,5,0,active,True,10,156,False,2020-08-14 09:13:40,2020
137,0,1,2020-08-14 08:09:09+00:00,True,157,True,13,0,active,True,1,157,False,2020-08-14 09:13:40,2020
138,0,0,2020-08-14 08:19:47+00:00,True,159,True,8,0,active,True,7,159,False,2020-08-14 09:13:40,2020
139,0,0,2020-08-14 08:25:53+00:00,True,160,True,10,0,active,True,4,160,True,2020-08-14 09:13:40,2020
140,0,2,2020-08-14 08:30:21+00:00,True,161,True,4,0,active,True,17,161,True,2020-08-14 09:13:40,2020
141,0,0,2020-08-14 08:04:16+00:00,True,162,True,13,0,active,True,2,162,False,2020-08-14 09:13:40,2020
