,is_returning,num_bikes_available,num_ebikes_available,station_id,is_installed,last_reported,eightd_has_available_keys,legacy_id,num_docks_disabled,num_bikes_disabled,station_status,num_docks_available,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
125,True,4,0,140,True,2020-07-29 21:02:11+00:00,False,140,0,0,active,13,True,,,2020-07-29 21:39:00,2020
126,True,4,0,141,True,2020-07-29 21:34:01+00:00,False,141,0,0,active,11,True,,,2020-07-29 21:39:00,2020
127,True,15,0,142,True,2020-07-29 21:37:49+00:00,False,142,0,1,active,7,True,,,2020-07-29 21:39:00,2020
128,True,3,0,143,True,2020-07-29 21:38:46+00:00,False,143,0,0,active,20,True,,,2020-07-29 21:39:00,2020
129,True,8,0,144,True,2020-07-29 20:49:27+00:00,False,144,0,0,active,11,True,,,2020-07-29 21:39:00,2020
130,True,12,0,145,True,2020-07-29 21:36:28+00:00,False,145,0,0,active,7,True,,,2020-07-29 21:39:00,2020
131,True,11,0,146,True,2020-07-29 21:03:31+00:00,False,146,0,0,active,8,True,,,2020-07-29 21:39:00,2020
132,True,10,0,149,True,2020-07-29 21:34:27+00:00,True,149,0,0,active,8,True,,,2020-07-29 21:39:00,2020
133,True,15,0,150,True,2020-07-29 21:36:15+00:00,False,150,0,0,active,4,True,,,2020-07-29 21:39:00,2020
134,True,10,0,151,True,2020-07-29 21:21:54+00:00,False,151,0,1,active,8,True,,,2020-07-29 21:39:00,2020
135,True,10,0,152,True,2020-07-29 21:06:40+00:00,True,152,0,0,active,5,True,,,2020-07-29 21:39:00,2020
136,True,5,0,156,True,2020-07-29 20:16:34+00:00,False,156,0,0,active,10,True,,,2020-07-29 21:39:00,2020
137,True,7,0,157,True,2020-07-29 21:37:17+00:00,False,157,0,1,active,7,True,,,2020-07-29 21:39:00,2020
138,True,4,0,159,True,2020-07-29 21:38:43+00:00,False,159,0,2,active,9,True,,,2020-07-29 21:39:00,2020
139,True,9,0,160,True,2020-07-29 21:24:55+00:00,True,160,0,0,active,5,True,,,2020-07-29 21:39:00,2020
140,True,17,0,161,True,2020-07-29 21:36:59+00:00,True,161,0,0,active,6,True,,,2020-07-29 21:39:00,2020
141,True,2,0,162,True,2020-07-29 20:56:43+00:00,False,162,0,0,active,13,True,,,2020-07-29 21:39:00,2020
142,True,7,0,163,True,2020-07-29 20:59:38+00:00,True,163,0,0,active,12,True,,,2020-07-29 21:39:00,2020
143,True,12,0,167,True,2020-07-29 21:00:28+00:00,False,167,0,2,active,1,True,,,2020-07-29 21:39:00,2020
144,True,9,0,169,True,2020-07-29 19:53:08+00:00,False,169,0,0,active,10,True,,,2020-07-29 21:39:00,2020
145,True,1,0,170,True,2020-07-29 20:02:03+00:00,True,170,0,0,active,13,True,,,2020-07-29 21:39:00,2020
146,True,6,0,171,True,2020-07-29 21:15:17+00:00,True,171,0,1,active,16,True,,,2020-07-29 21:39:00,2020
147,True,5,0,173,True,2020-07-29 19:50:01+00:00,True,173,0,2,active,7,True,,,2020-07-29 21:39:00,2020
148,True,9,0,174,True,2020-07-29 21:26:23+00:00,False,174,0,0,active,6,True,,,2020-07-29 21:39:00,2020
149,True,3,0,175,True,2020-07-29 21:30:20+00:00,True,175,0,0,active,14,True,,,2020-07-29 21:39:00,2020
150,True,6,0,176,True,2020-07-29 21:22:11+00:00,False,176,0,0,active,9,True,,,2020-07-29 21:39:00,2020
151,True,5,0,177,True,2020-07-29 21:18:27+00:00,False,177,0,0,active,14,True,,,2020-07-29 21:39:00,2020
152,True,1,0,178,True,2020-07-29 21:38:48+00:00,False,178,0,1,active,17,True,,,2020-07-29 21:39:00,2020
153,True,17,0,179,True,2020-07-29 21:37:29+00:00,False,179,0,0,active,8,True,,,2020-07-29 21:39:00,2020
154,True,8,0,180,True,2020-07-29 21:25:46+00:00,False,180,0,0,active,11,True,,,2020-07-29 21:39:00,2020
155,True,7,0,181,True,2020-07-29 21:30:55+00:00,False,181,0,0,active,12,True,,,2020-07-29 21:39:00,2020
156,True,5,0,182,True,2020-07-29 21:21:18+00:00,True,182,0,0,active,14,True,,,2020-07-29 21:39:00,2020
157,True,11,0,183,True,2020-07-29 21:35:12+00:00,False,183,0,0,active,8,True,,,2020-07-29 21:39:00,2020
158,True,16,0,184,True,2020-07-29 21:36:22+00:00,False,184,0,0,active,3,True,,,2020-07-29 21:39:00,2020
159,True,4,0,185,True,2020-07-29 21:32:11+00:00,False,185,0,1,active,10,True,,,2020-07-29 21:39:00,2020
160,True,11,0,186,True,2020-07-29 21:31:08+00:00,True,186,0,0,active,4,True,,,2020-07-29 21:39:00,2020
161,True,9,0,187,True,2020-07-29 15:08:20+00:00,False,187,0,0,active,6,True,,,2020-07-29 21:39:00,2020
162,True,13,0,188,True,2020-07-29 21:05:40+00:00,False,188,0,0,active,2,True,,,2020-07-29 21:39:00,2020
163,True,9,0,189,True,2020-07-29 21:19:09+00:00,True,189,0,1,active,13,True,,,2020-07-29 21:39:00,2020
164,True,21,0,190,True,2020-07-29 21:35:25+00:00,True,190,0,1,active,15,True,,,2020-07-29 21:39:00,2020
165,True,2,0,191,True,2020-07-29 19:58:36+00:00,False,191,0,0,active,13,True,,,2020-07-29 21:39:00,2020
166,True,11,0,192,True,2020-07-29 21:33:41+00:00,False,192,0,0,active,8,True,,,2020-07-29 21:39:00,2020
167,True,13,0,193,True,2020-07-29 21:36:44+00:00,True,193,0,0,active,2,True,,,2020-07-29 21:39:00,2020
168,True,14,0,194,True,2020-07-29 18:11:48+00:00,False,194,0,0,active,5,True,,,2020-07-29 21:39:00,2020
169,True,6,0,195,True,2020-07-29 21:33:23+00:00,False,195,0,2,active,15,True,,,2020-07-29 21:39:00,2020
170,True,0,0,196,True,2020-07-29 21:34:51+00:00,True,196,0,0,active,10,True,,,2020-07-29 21:39:00,2020
171,True,5,0,197,True,2020-07-29 21:37:39+00:00,False,197,0,0,active,10,True,,,2020-07-29 21:39:00,2020
172,True,7,0,199,True,2020-07-29 16:57:39+00:00,False,199,0,0,active,8,True,,,2020-07-29 21:39:00,2020
173,True,10,0,200,True,2020-07-29 21:33:54+00:00,False,200,0,0,active,9,True,,,2020-07-29 21:39:00,2020
174,True,0,0,201,True,2020-07-29 12:09:09+00:00,False,201,0,0,active,15,True,,,2020-07-29 21:39:00,2020
