,eightd_has_available_keys,legacy_id,num_bikes_disabled,num_ebikes_available,num_docks_disabled,is_returning,station_status,is_renting,num_bikes_available,num_docks_available,is_installed,station_id,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
316,False,430,0,0,0,True,active,True,16,3,True,430,2020-08-06 17:58:26+00:00,,,2020-08-06 22:02:50,2020
317,False,431,0,0,0,True,active,True,2,13,True,431,2020-08-06 21:37:15+00:00,,,2020-08-06 22:02:50,2020
318,False,432,0,0,0,True,active,True,8,11,True,432,2020-08-06 08:56:51+00:00,,,2020-08-06 22:02:50,2020
319,False,433,0,0,0,True,active,True,4,15,True,433,2020-08-05 21:57:07+00:00,,,2020-08-06 22:02:50,2020
320,False,434,0,0,0,True,active,True,1,18,True,434,2020-08-06 21:55:29+00:00,,,2020-08-06 22:02:50,2020
321,False,435,0,0,0,True,active,True,6,9,True,435,2020-08-06 18:31:55+00:00,,,2020-08-06 22:02:50,2020
322,False,436,0,0,0,True,active,True,1,14,True,436,2020-08-06 20:53:47+00:00,,,2020-08-06 22:02:50,2020
323,False,437,0,0,0,True,active,True,3,16,True,437,2020-08-06 22:01:22+00:00,,,2020-08-06 22:02:50,2020
324,False,440,0,0,0,True,active,True,7,10,True,440,2020-08-06 21:45:48+00:00,,,2020-08-06 22:02:50,2020
325,False,441,1,0,0,True,active,True,6,12,True,441,2020-08-06 21:49:12+00:00,,,2020-08-06 22:02:50,2020
326,False,442,0,0,0,True,active,True,6,9,True,442,2020-08-06 21:42:01+00:00,,,2020-08-06 22:02:50,2020
327,False,443,0,0,0,True,active,True,3,16,True,443,2020-08-06 15:56:45+00:00,,,2020-08-06 22:02:50,2020
328,False,445,1,0,0,True,active,True,6,12,True,445,2020-08-06 20:39:04+00:00,,,2020-08-06 22:02:50,2020
329,False,446,0,0,0,True,active,True,9,3,True,446,2020-08-06 21:54:42+00:00,,,2020-08-06 22:02:50,2020
330,False,447,0,0,0,True,active,True,1,18,True,447,2020-08-06 21:55:25+00:00,,,2020-08-06 22:02:50,2020
