,num_bikes_disabled,station_id,eightd_has_available_keys,last_reported,legacy_id,num_docks_disabled,num_ebikes_available,is_returning,station_status,is_renting,num_bikes_available,num_docks_available,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
109,0,120,False,2020-08-04 15:31:02+00:00,120,0,0,True,active,True,7,8,True,,,2020-08-04 16:00:40,2020
110,0,121,False,2020-08-04 15:42:47+00:00,121,0,0,True,active,True,3,14,True,,,2020-08-04 16:00:40,2020
111,1,122,False,2020-08-04 15:24:25+00:00,122,0,0,True,active,True,1,13,True,,,2020-08-04 16:00:40,2020
112,0,124,False,2020-08-04 13:21:47+00:00,124,0,0,True,active,True,4,11,True,,,2020-08-04 16:00:40,2020
113,0,125,False,2020-08-04 15:45:20+00:00,125,0,0,True,active,True,2,13,True,,,2020-08-04 16:00:40,2020
114,0,126,False,2020-08-04 12:46:51+00:00,126,0,0,True,active,True,1,14,True,,,2020-08-04 16:00:40,2020
115,0,128,False,2020-08-04 15:58:25+00:00,128,0,0,True,active,True,14,5,True,,,2020-08-04 16:00:40,2020
116,0,129,False,2020-08-04 15:58:02+00:00,129,0,0,True,active,True,12,7,True,,,2020-08-04 16:00:40,2020
117,0,130,False,2020-08-04 15:51:02+00:00,130,0,0,True,active,True,13,2,True,,,2020-08-04 16:00:40,2020
118,0,131,False,2020-08-04 15:39:52+00:00,131,0,0,True,active,True,7,11,True,,,2020-08-04 16:00:40,2020
119,1,133,False,2020-08-04 15:58:55+00:00,133,0,0,True,active,True,8,14,True,,,2020-08-04 16:00:40,2020
120,0,135,False,2020-08-04 13:58:18+00:00,135,0,0,True,active,True,13,4,True,,,2020-08-04 16:00:40,2020
121,1,136,False,2020-08-04 15:22:56+00:00,136,0,0,True,active,True,15,3,True,,,2020-08-04 16:00:40,2020
122,0,137,False,2020-08-04 15:39:17+00:00,137,0,0,True,active,True,3,12,True,,,2020-08-04 16:00:40,2020
123,1,138,False,2020-08-04 16:00:28+00:00,138,0,0,True,active,True,11,3,True,,,2020-08-04 16:00:40,2020
124,0,139,False,2020-08-04 15:55:17+00:00,139,0,0,True,active,True,1,18,True,,,2020-08-04 16:00:40,2020
125,0,140,False,2020-08-04 13:48:32+00:00,140,0,0,True,active,True,15,2,True,,,2020-08-04 16:00:40,2020
126,0,141,False,2020-08-04 15:42:16+00:00,141,0,0,True,active,True,7,8,True,,,2020-08-04 16:00:40,2020
127,1,142,False,2020-08-04 16:00:27+00:00,142,0,0,True,active,True,12,10,True,,,2020-08-04 16:00:40,2020
128,1,143,False,2020-08-04 15:53:08+00:00,143,0,0,True,active,True,11,11,True,,,2020-08-04 16:00:40,2020
129,0,144,False,2020-08-04 14:16:05+00:00,144,0,0,True,active,True,6,13,True,,,2020-08-04 16:00:40,2020
130,0,145,False,2020-08-04 14:50:33+00:00,145,0,0,True,active,True,15,4,True,,,2020-08-04 16:00:40,2020
131,2,146,False,2020-08-04 15:32:22+00:00,146,0,0,True,active,True,11,6,True,,,2020-08-04 16:00:40,2020
132,0,149,True,2020-08-04 15:55:37+00:00,149,0,0,True,active,True,12,6,True,,,2020-08-04 16:00:40,2020
133,0,150,False,2020-08-04 15:25:04+00:00,150,0,0,True,active,True,2,17,True,,,2020-08-04 16:00:40,2020
134,0,151,False,2020-08-04 15:48:17+00:00,151,0,0,True,active,True,11,8,True,,,2020-08-04 16:00:40,2020
135,0,152,True,2020-08-04 15:50:24+00:00,152,0,0,True,active,True,9,6,True,,,2020-08-04 16:00:40,2020
136,0,156,False,2020-08-04 11:56:37+00:00,156,0,0,True,active,True,5,10,True,,,2020-08-04 16:00:40,2020
137,3,157,False,2020-08-04 15:08:11+00:00,157,0,0,True,active,True,9,3,True,,,2020-08-04 16:00:40,2020
138,1,159,False,2020-08-04 15:56:46+00:00,159,0,0,True,active,True,0,14,True,,,2020-08-04 16:00:40,2020
139,1,160,True,2020-08-04 14:04:18+00:00,160,0,0,True,active,True,3,10,True,,,2020-08-04 16:00:40,2020
140,0,161,True,2020-08-04 15:53:15+00:00,161,0,0,True,active,True,6,17,True,,,2020-08-04 16:00:40,2020
141,0,162,False,2020-08-04 14:17:30+00:00,162,0,0,True,active,True,5,10,True,,,2020-08-04 16:00:40,2020
142,0,163,True,2020-08-04 14:55:15+00:00,163,0,0,True,active,True,6,13,True,,,2020-08-04 16:00:40,2020
143,0,167,False,2020-08-04 15:56:23+00:00,167,0,0,True,active,True,14,1,True,,,2020-08-04 16:00:40,2020
144,0,169,False,2020-08-04 15:35:49+00:00,169,0,0,True,active,True,15,4,True,,,2020-08-04 16:00:40,2020
145,0,170,True,2020-08-04 15:44:17+00:00,170,0,0,True,active,True,1,13,True,,,2020-08-04 16:00:40,2020
146,0,171,True,2020-08-04 12:50:10+00:00,171,0,0,True,active,True,5,18,True,,,2020-08-04 16:00:40,2020
147,0,173,True,2020-08-04 15:34:45+00:00,173,0,0,True,active,True,11,3,True,,,2020-08-04 16:00:40,2020
148,0,174,False,2020-08-04 14:52:29+00:00,174,0,0,True,active,True,7,8,True,,,2020-08-04 16:00:40,2020
149,0,175,True,2020-08-04 15:48:51+00:00,175,0,0,True,active,True,0,17,True,,,2020-08-04 16:00:40,2020
150,0,176,False,2020-08-04 15:59:08+00:00,176,0,0,True,active,True,4,11,True,,,2020-08-04 16:00:40,2020
151,0,177,False,2020-08-04 15:47:54+00:00,177,0,0,True,active,True,11,8,True,,,2020-08-04 16:00:40,2020
152,0,178,False,2020-08-04 15:59:42+00:00,178,0,0,True,active,True,5,14,True,,,2020-08-04 16:00:40,2020
153,0,179,False,2020-08-04 15:53:06+00:00,179,0,0,True,active,True,15,10,True,,,2020-08-04 16:00:40,2020
154,0,180,False,2020-08-04 14:29:42+00:00,180,0,0,True,active,True,15,4,True,,,2020-08-04 16:00:40,2020
155,1,181,False,2020-08-04 13:56:35+00:00,181,0,0,True,active,True,16,2,True,,,2020-08-04 16:00:40,2020
156,1,182,True,2020-08-04 15:58:52+00:00,182,0,0,True,active,True,6,12,True,,,2020-08-04 16:00:40,2020
157,0,183,False,2020-08-04 14:08:30+00:00,183,0,0,True,active,True,12,7,True,,,2020-08-04 16:00:40,2020
158,1,184,False,2020-08-04 15:52:27+00:00,184,0,0,True,active,True,10,8,True,,,2020-08-04 16:00:40,2020
159,0,185,False,2020-08-04 15:54:14+00:00,185,0,0,True,active,True,3,12,True,,,2020-08-04 16:00:40,2020
160,0,186,True,2020-08-04 15:48:42+00:00,186,0,0,True,active,True,2,13,True,,,2020-08-04 16:00:40,2020
161,0,187,False,2020-08-04 15:40:14+00:00,187,0,0,True,active,True,14,1,True,,,2020-08-04 16:00:40,2020
