,num_bikes_available,is_installed,num_docks_disabled,num_bikes_disabled,legacy_id,station_id,station_status,eightd_has_available_keys,num_ebikes_available,is_renting,is_returning,num_docks_available,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
68,4,True,0,0,77,77,active,False,0,True,True,11,2020-08-07 03:47:11+00:00,,,2020-08-07 03:51:25,2020
69,17,True,0,1,78,78,active,False,0,True,True,1,2020-08-07 03:28:40+00:00,,,2020-08-07 03:51:25,2020
70,18,True,0,0,79,79,active,False,0,True,True,1,2020-08-07 03:38:38+00:00,,,2020-08-07 03:51:25,2020
71,0,True,0,0,80,80,active,False,0,True,True,35,2020-08-07 03:30:44+00:00,,,2020-08-07 03:51:25,2020
72,8,True,0,3,81,81,active,False,0,True,True,8,2020-08-07 03:09:46+00:00,,,2020-08-07 03:51:25,2020
73,8,True,0,0,82,82,active,False,0,True,True,7,2020-08-06 23:21:13+00:00,,,2020-08-07 03:51:25,2020
74,0,True,0,0,84,84,active,False,0,True,True,15,2020-08-07 01:58:52+00:00,,,2020-08-07 03:51:25,2020
75,2,True,0,0,85,85,active,False,0,True,True,17,2020-08-07 02:57:54+00:00,,,2020-08-07 03:51:25,2020
76,10,True,0,1,86,86,active,False,0,True,True,8,2020-08-07 03:46:12+00:00,,,2020-08-07 03:51:25,2020
77,13,True,0,0,87,87,active,False,0,True,True,2,2020-08-07 03:17:38+00:00,,,2020-08-07 03:51:25,2020
78,14,True,0,0,89,89,active,False,0,True,True,5,2020-08-07 03:38:29+00:00,,,2020-08-07 03:51:25,2020
79,4,True,0,0,90,90,active,False,0,True,True,15,2020-08-07 03:40:12+00:00,,,2020-08-07 03:51:25,2020
80,2,True,0,0,91,91,active,False,0,True,True,17,2020-08-07 03:48:36+00:00,,,2020-08-07 03:51:25,2020
81,8,True,0,1,92,92,active,False,0,True,True,10,2020-08-07 02:15:44+00:00,,,2020-08-07 03:51:25,2020
82,8,True,0,1,93,93,active,False,0,True,True,6,2020-08-07 02:07:47+00:00,,,2020-08-07 03:51:25,2020
83,6,True,0,0,94,94,active,False,0,True,True,5,2020-08-07 00:28:38+00:00,,,2020-08-07 03:51:25,2020
84,7,True,0,0,95,95,active,False,0,True,True,8,2020-08-07 03:21:16+00:00,,,2020-08-07 03:51:25,2020
85,4,True,0,0,96,96,active,False,0,True,True,15,2020-08-07 03:05:45+00:00,,,2020-08-07 03:51:25,2020
86,18,True,0,0,97,97,active,False,0,True,True,1,2020-08-07 03:10:19+00:00,,,2020-08-07 03:51:25,2020
87,8,True,0,1,98,98,active,False,0,True,True,14,2020-08-07 03:26:37+00:00,,,2020-08-07 03:51:25,2020
88,15,True,0,0,99,99,active,False,0,True,True,0,2020-08-07 02:50:28+00:00,,,2020-08-07 03:51:25,2020
89,19,True,0,1,100,100,active,True,0,True,True,5,2020-08-07 02:45:12+00:00,,,2020-08-07 03:51:25,2020
90,15,True,0,0,101,101,active,False,0,True,True,0,2020-08-07 01:41:34+00:00,,,2020-08-07 03:51:25,2020
91,8,True,0,1,102,102,active,False,0,True,True,6,2020-08-07 01:07:49+00:00,,,2020-08-07 03:51:25,2020
92,4,True,0,0,103,103,active,False,0,True,True,11,2020-08-07 01:53:55+00:00,,,2020-08-07 03:51:25,2020
93,9,True,0,0,104,104,active,False,0,True,True,10,2020-08-07 02:53:23+00:00,,,2020-08-07 03:51:25,2020
94,11,True,0,1,105,105,active,False,0,True,True,7,2020-08-07 02:23:45+00:00,,,2020-08-07 03:51:25,2020
95,4,True,0,1,106,106,active,False,0,True,True,10,2020-08-07 03:07:02+00:00,,,2020-08-07 03:51:25,2020
96,0,True,0,0,107,107,active,False,0,True,True,19,2020-08-07 03:24:39+00:00,,,2020-08-07 03:51:25,2020
97,4,True,0,0,108,108,active,False,0,True,True,13,2020-08-07 03:11:11+00:00,,,2020-08-07 03:51:25,2020
98,10,True,0,0,109,109,active,False,0,True,True,25,2020-08-07 00:21:13+00:00,,,2020-08-07 03:51:25,2020
99,6,True,0,0,110,110,active,False,0,True,True,9,2020-08-07 03:21:47+00:00,,,2020-08-07 03:51:25,2020
100,5,True,0,0,111,111,active,False,0,True,True,10,2020-08-07 02:21:19+00:00,,,2020-08-07 03:51:25,2020
101,3,True,0,0,112,112,active,False,0,True,True,12,2020-08-07 00:44:08+00:00,,,2020-08-07 03:51:25,2020
102,4,True,0,0,113,113,active,False,0,True,True,11,2020-08-07 02:23:56+00:00,,,2020-08-07 03:51:25,2020
103,13,True,0,0,114,114,active,False,0,True,True,2,2020-08-07 03:49:51+00:00,,,2020-08-07 03:51:25,2020
104,12,True,0,0,115,115,active,False,0,True,True,7,2020-08-07 03:48:43+00:00,,,2020-08-07 03:51:25,2020
