,is_renting,legacy_id,num_docks_available,eightd_has_available_keys,num_bikes_available,is_returning,station_id,num_bikes_disabled,is_installed,num_docks_disabled,num_ebikes_available,station_status,last_reported,timestamp_of_data_read_request,year_station_last_reported
238,True,347,6,False,9,True,347,0,True,0,0,active,2020-08-18 22:04:27+00:00,2020-08-18 23:19:40,2020
239,True,348,14,False,1,True,348,0,True,0,0,active,2020-08-18 21:30:35+00:00,2020-08-18 23:19:40,2020
240,True,349,12,False,5,True,349,0,True,0,0,active,2020-08-18 08:32:49+00:00,2020-08-18 23:19:40,2020
241,True,350,4,False,13,True,350,0,True,0,0,active,2020-08-18 21:31:55+00:00,2020-08-18 23:19:40,2020
242,True,351,3,False,12,True,351,0,True,0,0,active,2020-08-18 22:17:11+00:00,2020-08-18 23:19:40,2020
243,True,352,12,False,3,True,352,0,True,0,0,active,2020-08-18 23:18:15+00:00,2020-08-18 23:19:40,2020
244,True,353,6,True,9,True,353,0,True,0,0,active,2020-08-18 08:34:23+00:00,2020-08-18 23:19:40,2020
245,True,354,14,False,1,True,354,0,True,0,0,active,2020-08-18 22:48:30+00:00,2020-08-18 23:19:40,2020
246,True,355,2,False,15,True,355,0,True,0,0,active,2020-08-18 23:08:04+00:00,2020-08-18 23:19:40,2020
247,True,356,19,False,4,True,356,0,True,0,0,active,2020-08-18 23:19:13+00:00,2020-08-18 23:19:40,2020
248,True,357,6,False,9,True,357,0,True,0,0,active,2020-08-18 22:19:21+00:00,2020-08-18 23:19:40,2020
249,True,358,4,False,15,True,358,0,True,0,0,active,2020-08-18 23:12:47+00:00,2020-08-18 23:19:40,2020
250,True,359,14,False,1,True,359,0,True,0,0,active,2020-08-18 23:16:07+00:00,2020-08-18 23:19:40,2020
251,True,360,8,False,7,True,360,0,True,0,0,active,2020-08-18 23:05:51+00:00,2020-08-18 23:19:40,2020
252,True,361,9,False,10,True,361,0,True,0,0,active,2020-08-18 23:19:33+00:00,2020-08-18 23:19:40,2020
253,True,362,9,False,9,True,362,1,True,0,0,active,2020-08-18 23:16:54+00:00,2020-08-18 23:19:40,2020
254,True,363,12,False,7,True,363,0,True,0,0,active,2020-08-18 23:17:47+00:00,2020-08-18 23:19:40,2020
255,True,364,6,False,12,True,364,1,True,0,0,active,2020-08-18 23:00:10+00:00,2020-08-18 23:19:40,2020
256,True,365,19,False,0,True,365,0,True,0,0,active,2020-08-18 22:37:59+00:00,2020-08-18 23:19:40,2020
257,True,366,7,False,8,True,366,0,True,0,0,active,2020-08-18 23:08:12+00:00,2020-08-18 23:19:40,2020
258,True,367,2,False,17,True,367,0,True,0,0,active,2020-08-18 22:56:30+00:00,2020-08-18 23:19:40,2020
259,True,368,14,False,1,True,368,0,True,0,0,active,2020-08-18 22:57:04+00:00,2020-08-18 23:19:40,2020
260,True,369,5,False,10,True,369,0,True,0,0,active,2020-08-18 23:19:08+00:00,2020-08-18 23:19:40,2020
261,True,370,14,False,5,True,370,0,True,0,0,active,2020-08-18 23:09:27+00:00,2020-08-18 23:19:40,2020
262,True,371,14,False,5,True,371,0,True,0,0,active,2020-08-18 23:13:51+00:00,2020-08-18 23:19:40,2020
263,True,372,15,False,3,True,372,1,True,0,0,active,2020-08-18 23:14:01+00:00,2020-08-18 23:19:40,2020
264,True,373,6,False,9,True,373,0,True,0,0,active,2020-08-18 22:53:16+00:00,2020-08-18 23:19:40,2020
265,True,374,16,False,2,True,374,1,True,0,0,active,2020-08-18 23:10:32+00:00,2020-08-18 23:19:40,2020
266,True,376,7,False,8,True,376,0,True,0,0,active,2020-08-18 22:28:22+00:00,2020-08-18 23:19:40,2020
267,True,377,15,False,4,True,377,0,True,0,0,active,2020-08-18 23:12:25+00:00,2020-08-18 23:19:40,2020
268,True,378,18,False,1,True,378,0,True,0,0,active,2020-08-18 23:18:04+00:00,2020-08-18 23:19:40,2020
269,True,379,10,False,5,True,379,0,True,0,0,active,2020-08-18 23:18:45+00:00,2020-08-18 23:19:40,2020
270,True,380,12,False,5,True,380,1,True,0,0,active,2020-08-18 23:00:38+00:00,2020-08-18 23:19:40,2020
271,True,381,10,False,9,True,381,0,True,0,0,active,2020-08-18 23:16:18+00:00,2020-08-18 23:19:40,2020
272,True,384,15,True,4,True,384,0,True,0,0,active,2020-08-18 23:13:41+00:00,2020-08-18 23:19:40,2020
273,True,385,14,False,0,True,385,0,True,1,0,active,2020-08-18 22:14:01+00:00,2020-08-18 23:19:40,2020
274,True,386,18,False,1,True,386,0,True,0,0,active,2020-08-18 22:49:09+00:00,2020-08-18 23:19:40,2020
275,True,387,5,False,10,True,387,0,True,0,0,active,2020-08-18 23:11:11+00:00,2020-08-18 23:19:40,2020
276,True,388,3,False,8,True,388,0,True,0,0,active,2020-08-18 23:01:40+00:00,2020-08-18 23:19:40,2020
277,True,389,9,False,5,True,389,0,True,0,0,active,2020-08-18 20:11:12+00:00,2020-08-18 23:19:40,2020
278,True,390,7,False,8,True,390,0,True,0,0,active,2020-08-18 15:43:58+00:00,2020-08-18 23:19:40,2020
279,True,391,1,False,14,True,391,0,True,0,0,active,2020-08-18 13:31:28+00:00,2020-08-18 23:19:40,2020
280,True,392,10,False,5,True,392,0,True,0,0,active,2020-08-18 23:08:06+00:00,2020-08-18 23:19:40,2020
281,True,393,7,False,8,True,393,0,True,0,0,active,2020-08-18 21:41:59+00:00,2020-08-18 23:19:40,2020
282,True,394,14,False,0,True,394,0,True,0,0,active,2020-08-18 22:40:56+00:00,2020-08-18 23:19:40,2020
283,True,395,4,False,11,True,395,0,True,0,0,active,2020-08-18 21:35:53+00:00,2020-08-18 23:19:40,2020
284,True,396,1,False,14,True,396,0,True,0,0,active,2020-08-18 22:56:36+00:00,2020-08-18 23:19:40,2020
285,True,397,8,False,6,True,397,1,True,0,0,active,2020-08-18 20:30:21+00:00,2020-08-18 23:19:40,2020
286,True,398,9,False,10,True,398,0,True,0,0,active,2020-08-18 23:07:37+00:00,2020-08-18 23:19:40,2020
287,True,399,9,False,6,True,399,0,True,0,0,active,2020-08-18 23:11:18+00:00,2020-08-18 23:19:40,2020
288,True,400,8,False,19,True,400,0,True,0,0,active,2020-08-18 21:22:32+00:00,2020-08-18 23:19:40,2020
289,True,401,3,False,12,True,401,0,True,0,0,active,2020-08-18 21:41:26+00:00,2020-08-18 23:19:40,2020
290,True,402,7,False,8,True,402,0,True,0,0,active,2020-08-18 22:45:12+00:00,2020-08-18 23:19:40,2020
291,True,403,5,False,9,True,403,1,True,0,0,active,2020-08-18 23:18:46+00:00,2020-08-18 23:19:40,2020
292,True,404,9,False,7,True,404,0,True,0,0,active,2020-08-18 23:17:50+00:00,2020-08-18 23:19:40,2020
293,True,405,6,False,13,True,405,0,True,0,0,active,2020-08-18 22:22:47+00:00,2020-08-18 23:19:40,2020
