,num_docks_available,station_status,num_docks_disabled,eightd_has_available_keys,num_bikes_available,num_ebikes_available,is_renting,is_installed,last_reported,station_id,is_returning,legacy_id,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
91,11,active,0,False,4,0,True,True,2020-08-12 00:36:23+00:00,102,True,102,0,2020-08-12 00:47:25,2020
92,8,active,0,False,7,0,True,True,2020-08-12 00:10:04+00:00,103,True,103,0,2020-08-12 00:47:25,2020
93,15,active,0,False,4,0,True,True,2020-08-11 23:11:35+00:00,104,True,104,0,2020-08-12 00:47:25,2020
94,4,active,0,False,13,0,True,True,2020-08-12 00:45:16+00:00,105,True,105,2,2020-08-12 00:47:25,2020
95,10,active,0,False,4,0,True,True,2020-08-12 00:06:04+00:00,106,True,106,1,2020-08-12 00:47:25,2020
96,19,active,0,False,0,0,True,True,2020-08-12 00:44:08+00:00,107,True,107,0,2020-08-12 00:47:25,2020
97,15,active,0,False,2,0,True,True,2020-08-12 00:34:47+00:00,108,True,108,0,2020-08-12 00:47:25,2020
98,26,active,0,False,9,0,True,True,2020-08-12 00:46:38+00:00,109,True,109,0,2020-08-12 00:47:25,2020
99,12,active,0,False,2,0,True,True,2020-08-11 23:37:37+00:00,110,True,110,1,2020-08-12 00:47:25,2020
100,6,active,0,False,9,0,True,True,2020-08-12 00:02:19+00:00,111,True,111,0,2020-08-12 00:47:25,2020
101,3,active,0,False,12,0,True,True,2020-08-11 23:55:35+00:00,112,True,112,0,2020-08-12 00:47:25,2020
102,9,active,0,False,6,0,True,True,2020-08-12 00:40:44+00:00,113,True,113,0,2020-08-12 00:47:25,2020
103,10,active,0,False,5,0,True,True,2020-08-12 00:31:02+00:00,114,True,114,0,2020-08-12 00:47:25,2020
104,1,active,0,False,17,0,True,True,2020-08-12 00:46:29+00:00,115,True,115,1,2020-08-12 00:47:25,2020
105,20,active,0,False,3,0,True,True,2020-08-12 00:41:12+00:00,116,True,116,0,2020-08-12 00:47:25,2020
106,8,active,0,False,11,0,True,True,2020-08-12 00:35:11+00:00,117,True,117,0,2020-08-12 00:47:25,2020
107,4,active,0,False,15,0,True,True,2020-08-12 00:44:08+00:00,118,True,118,0,2020-08-12 00:47:25,2020
108,6,active,0,False,8,0,True,True,2020-08-12 00:42:25+00:00,119,True,119,1,2020-08-12 00:47:25,2020
109,7,active,0,False,8,0,True,True,2020-08-12 00:44:06+00:00,120,True,120,0,2020-08-12 00:47:25,2020
110,10,active,0,False,7,0,True,True,2020-08-12 00:38:02+00:00,121,True,121,0,2020-08-12 00:47:25,2020
111,14,active,0,False,1,0,True,True,2020-08-12 00:35:11+00:00,122,True,122,0,2020-08-12 00:47:25,2020
112,8,active,0,False,7,0,True,True,2020-08-11 22:38:21+00:00,124,True,124,0,2020-08-12 00:47:25,2020
113,8,active,0,False,7,0,True,True,2020-08-12 00:27:53+00:00,125,True,125,0,2020-08-12 00:47:25,2020
114,10,active,0,False,5,0,True,True,2020-08-11 23:36:21+00:00,126,True,126,0,2020-08-12 00:47:25,2020
115,12,active,0,False,6,0,True,True,2020-08-12 00:43:13+00:00,128,True,128,1,2020-08-12 00:47:25,2020
116,7,active,0,False,12,0,True,True,2020-08-12 00:40:51+00:00,129,True,129,0,2020-08-12 00:47:25,2020
117,7,active,0,False,8,0,True,True,2020-08-12 00:46:28+00:00,130,True,130,0,2020-08-12 00:47:25,2020
118,8,active,0,False,10,0,True,True,2020-08-12 00:28:07+00:00,131,True,131,0,2020-08-12 00:47:25,2020
119,8,active,0,False,15,0,True,True,2020-08-12 00:46:20+00:00,133,True,133,0,2020-08-12 00:47:25,2020
120,12,active,0,False,5,0,True,True,2020-08-11 23:27:11+00:00,135,True,135,0,2020-08-12 00:47:25,2020
121,16,active,0,False,2,0,True,True,2020-08-12 00:43:39+00:00,136,True,136,1,2020-08-12 00:47:25,2020
122,6,active,0,False,9,0,True,True,2020-08-11 23:45:09+00:00,137,True,137,0,2020-08-12 00:47:25,2020
123,1,active,0,False,13,0,True,True,2020-08-12 00:35:21+00:00,138,True,138,1,2020-08-12 00:47:25,2020
124,5,active,0,False,14,0,True,True,2020-08-12 00:42:21+00:00,139,True,139,0,2020-08-12 00:47:25,2020
125,1,active,0,False,16,0,True,True,2020-08-12 00:14:02+00:00,140,True,140,0,2020-08-12 00:47:25,2020
126,4,active,0,False,11,0,True,True,2020-08-12 00:32:38+00:00,141,True,141,0,2020-08-12 00:47:25,2020
127,10,active,0,False,12,0,True,True,2020-08-11 23:51:08+00:00,142,True,142,1,2020-08-12 00:47:25,2020
128,6,active,0,False,16,0,True,True,2020-08-12 00:30:00+00:00,143,True,143,1,2020-08-12 00:47:25,2020
129,3,active,0,False,15,0,True,True,2020-08-12 00:47:03+00:00,144,True,144,1,2020-08-12 00:47:25,2020
130,2,active,0,False,17,0,True,True,2020-08-12 00:17:20+00:00,145,True,145,0,2020-08-12 00:47:25,2020
131,18,active,0,False,1,0,True,True,2020-08-12 00:38:14+00:00,146,True,146,0,2020-08-12 00:47:25,2020
132,7,active,0,True,11,0,True,True,2020-08-12 00:37:53+00:00,149,True,149,0,2020-08-12 00:47:25,2020
133,3,active,0,False,16,0,True,True,2020-08-11 23:55:32+00:00,150,True,150,0,2020-08-12 00:47:25,2020
134,15,active,0,False,4,0,True,True,2020-08-12 00:44:20+00:00,151,True,151,0,2020-08-12 00:47:25,2020
135,11,active,0,True,4,0,True,True,2020-08-12 00:05:03+00:00,152,True,152,0,2020-08-12 00:47:25,2020
136,13,active,0,False,2,0,True,True,2020-08-12 00:07:34+00:00,156,True,156,0,2020-08-12 00:47:25,2020
137,12,active,0,False,2,0,True,True,2020-08-12 00:38:10+00:00,157,True,157,1,2020-08-12 00:47:25,2020
138,8,active,0,False,6,0,True,True,2020-08-12 00:13:53+00:00,159,True,159,1,2020-08-12 00:47:25,2020
139,14,active,0,True,0,0,True,True,2020-08-11 22:40:23+00:00,160,True,160,0,2020-08-12 00:47:25,2020
140,9,active,0,True,13,0,True,True,2020-08-12 00:40:14+00:00,161,True,161,1,2020-08-12 00:47:25,2020
