,num_bikes_available,valet,last_reported,is_returning,legacy_id,num_bikes_disabled,station_status,num_docks_disabled,num_ebikes_available,station_id,is_installed,is_renting,eightd_has_available_keys,num_docks_available,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
60,11,,2020-08-02 17:43:18+00:00,True,68,0,active,0,0,68,True,True,True,8,,2020-08-02 17:47:25,2020
61,3,,2020-08-02 17:38:24+00:00,True,69,0,active,0,0,69,True,True,True,16,,2020-08-02 17:47:25,2020
62,17,,2020-08-02 17:44:43+00:00,True,70,1,active,0,0,70,True,True,False,5,,2020-08-02 17:47:25,2020
63,18,,2020-08-02 17:41:04+00:00,True,71,0,active,0,0,71,True,True,False,5,,2020-08-02 17:47:25,2020
64,9,,2020-08-02 17:26:03+00:00,True,72,0,active,0,0,72,True,True,False,14,,2020-08-02 17:47:25,2020
65,12,,2020-08-02 17:41:09+00:00,True,73,0,active,0,0,73,True,True,False,3,,2020-08-02 17:47:25,2020
66,16,,2020-08-02 17:43:42+00:00,True,74,1,active,0,0,74,True,True,True,2,,2020-08-02 17:47:25,2020
67,1,,2020-08-02 16:44:11+00:00,True,75,0,active,0,0,75,True,True,False,14,,2020-08-02 17:47:25,2020
68,4,,2020-08-02 17:44:54+00:00,True,76,0,active,0,0,76,True,True,False,13,,2020-08-02 17:47:25,2020
69,6,,2020-08-02 16:28:17+00:00,True,77,0,active,0,0,77,True,True,False,9,,2020-08-02 17:47:25,2020
70,2,,2020-08-02 17:22:45+00:00,True,78,1,active,0,0,78,True,True,False,16,,2020-08-02 17:47:25,2020
71,13,,2020-08-02 17:20:37+00:00,True,79,1,active,0,0,79,True,True,False,5,,2020-08-02 17:47:25,2020
72,18,,2020-08-02 17:44:43+00:00,True,80,0,active,0,0,80,True,True,False,17,,2020-08-02 17:47:25,2020
73,2,,2020-08-02 17:46:04+00:00,True,81,0,active,0,0,81,True,True,False,17,,2020-08-02 17:47:25,2020
74,5,,2020-08-02 15:30:00+00:00,False,82,0,active,0,0,82,True,False,False,10,,2020-08-02 17:47:25,2020
75,12,,2020-08-02 17:24:32+00:00,True,84,1,active,0,0,84,True,True,False,2,,2020-08-02 17:47:25,2020
76,9,,2020-08-02 16:42:57+00:00,True,85,0,active,0,0,85,True,True,False,10,,2020-08-02 17:47:25,2020
77,15,,2020-08-02 17:36:38+00:00,True,86,0,active,0,0,86,True,True,False,4,,2020-08-02 17:47:25,2020
78,3,,2020-08-02 17:45:21+00:00,True,87,1,active,0,0,87,True,True,False,11,,2020-08-02 17:47:25,2020
79,8,,2020-08-02 16:37:16+00:00,True,89,0,active,0,0,89,True,True,False,11,,2020-08-02 17:47:25,2020
80,1,,2020-08-02 17:40:30+00:00,True,90,0,active,0,0,90,True,True,False,18,,2020-08-02 17:47:25,2020
81,1,,2020-08-02 17:45:29+00:00,True,91,0,active,0,0,91,True,True,False,18,,2020-08-02 17:47:25,2020
82,16,,2020-08-02 17:37:22+00:00,True,92,0,active,0,0,92,True,True,False,3,,2020-08-02 17:47:25,2020
83,10,,2020-08-02 17:44:51+00:00,True,93,2,active,0,0,93,True,True,False,3,,2020-08-02 17:47:25,2020
84,4,,2020-08-02 17:20:24+00:00,True,94,0,active,0,0,94,True,True,False,7,,2020-08-02 17:47:25,2020
85,1,,2020-08-02 15:53:33+00:00,True,95,0,active,0,0,95,True,True,False,14,,2020-08-02 17:47:25,2020
86,3,,2020-08-02 17:44:53+00:00,True,96,1,active,0,0,96,True,True,False,15,,2020-08-02 17:47:25,2020
87,3,,2020-08-02 17:42:49+00:00,True,97,1,active,0,0,97,True,True,False,15,,2020-08-02 17:47:25,2020
88,11,,2020-08-02 17:05:27+00:00,True,98,1,active,0,0,98,True,True,False,10,,2020-08-02 17:47:25,2020
89,12,,2020-08-02 17:12:20+00:00,True,99,0,active,0,0,99,True,True,False,3,,2020-08-02 17:47:25,2020
90,14,,2020-08-02 17:45:39+00:00,True,100,1,active,0,0,100,True,True,True,10,,2020-08-02 17:47:25,2020
91,9,,2020-08-02 17:13:44+00:00,True,101,0,active,0,0,101,True,True,False,6,,2020-08-02 17:47:25,2020
92,15,,2020-08-02 16:24:15+00:00,True,102,0,active,0,0,102,True,True,False,0,,2020-08-02 17:47:25,2020
93,4,,2020-08-02 17:44:37+00:00,True,103,1,active,0,0,103,True,True,False,10,,2020-08-02 17:47:25,2020
94,8,,2020-08-02 17:28:28+00:00,True,104,1,active,0,0,104,True,True,False,10,,2020-08-02 17:47:25,2020
95,3,,2020-08-02 17:45:33+00:00,True,105,0,active,0,0,105,True,True,False,16,,2020-08-02 17:47:25,2020
96,6,,2020-08-02 16:15:52+00:00,True,106,1,active,0,0,106,True,True,False,8,,2020-08-02 17:47:25,2020
97,13,,2020-08-02 17:47:10+00:00,True,107,1,active,0,0,107,True,True,False,5,,2020-08-02 17:47:25,2020
98,14,,2020-08-02 17:17:17+00:00,True,108,0,active,0,0,108,True,True,False,3,,2020-08-02 17:47:25,2020
99,28,,2020-08-02 14:10:23+00:00,True,109,3,active,0,0,109,True,True,False,4,,2020-08-02 17:47:25,2020
100,10,,2020-08-02 17:37:52+00:00,True,110,2,active,0,0,110,True,True,False,3,,2020-08-02 17:47:25,2020
101,5,,2020-08-02 16:58:15+00:00,True,111,0,active,0,0,111,True,True,False,10,,2020-08-02 17:47:25,2020
102,14,,2020-08-02 17:35:51+00:00,True,112,0,active,0,0,112,True,True,False,1,,2020-08-02 17:47:25,2020
103,15,,2020-08-02 16:04:31+00:00,True,113,0,active,0,0,113,True,True,False,0,,2020-08-02 17:47:25,2020
104,4,,2020-08-02 17:42:43+00:00,True,114,0,active,0,0,114,True,True,False,11,,2020-08-02 17:47:25,2020
105,10,,2020-08-02 17:29:21+00:00,True,115,0,active,0,0,115,True,True,False,9,,2020-08-02 17:47:25,2020
106,1,,2020-08-02 17:19:47+00:00,True,116,0,active,0,0,116,True,True,False,22,,2020-08-02 17:47:25,2020
107,2,,2020-08-02 16:04:25+00:00,True,117,0,active,0,0,117,True,True,False,17,,2020-08-02 17:47:25,2020
108,16,,2020-08-02 16:54:57+00:00,True,118,1,active,0,0,118,True,True,False,2,,2020-08-02 17:47:25,2020
109,5,,2020-08-02 17:47:00+00:00,True,119,0,active,0,0,119,True,True,False,10,,2020-08-02 17:47:25,2020
110,4,,2020-08-02 17:45:43+00:00,True,120,1,active,0,0,120,True,True,False,10,,2020-08-02 17:47:25,2020
111,0,,2020-08-02 17:44:40+00:00,True,121,1,active,0,0,121,True,True,False,16,,2020-08-02 17:47:25,2020
112,9,,2020-08-02 17:46:06+00:00,True,122,0,active,0,0,122,True,True,False,6,,2020-08-02 17:47:25,2020
113,6,,2020-08-02 17:14:01+00:00,True,124,0,active,0,0,124,True,True,False,9,,2020-08-02 17:47:25,2020
114,11,,2020-08-02 17:46:31+00:00,True,125,0,active,0,0,125,True,True,False,4,,2020-08-02 17:47:25,2020
115,11,,2020-08-02 16:33:44+00:00,True,126,0,active,0,0,126,True,True,False,4,,2020-08-02 17:47:25,2020
116,18,,2020-08-02 17:23:14+00:00,True,128,0,active,0,0,128,True,True,False,1,,2020-08-02 17:47:25,2020
117,15,,2020-08-02 17:25:53+00:00,True,129,0,active,0,0,129,True,True,False,4,,2020-08-02 17:47:25,2020
118,13,,2020-08-02 12:28:13+00:00,True,130,0,active,0,0,130,True,True,False,2,,2020-08-02 17:47:25,2020
119,9,,2020-08-02 17:11:54+00:00,True,131,2,active,0,0,131,True,True,False,7,,2020-08-02 17:47:25,2020
120,11,,2020-08-02 17:45:45+00:00,True,133,0,active,0,0,133,True,True,False,12,,2020-08-02 17:47:25,2020
121,7,,2020-08-02 17:11:57+00:00,True,135,0,active,0,0,135,True,True,False,10,,2020-08-02 17:47:25,2020
122,19,,2020-08-02 08:54:36+00:00,True,136,0,active,0,0,136,True,True,False,0,,2020-08-02 17:47:25,2020
123,2,,2020-08-02 17:40:48+00:00,True,137,0,active,0,0,137,True,True,False,13,,2020-08-02 17:47:25,2020
124,14,,2020-08-02 16:58:36+00:00,True,138,0,active,0,0,138,True,True,False,1,,2020-08-02 17:47:25,2020
125,14,,2020-08-02 17:40:04+00:00,True,139,0,active,0,0,139,True,True,False,5,,2020-08-02 17:47:25,2020
126,6,,2020-08-02 17:44:11+00:00,True,140,0,active,0,0,140,True,True,False,11,,2020-08-02 17:47:25,2020
127,3,,2020-08-02 17:30:09+00:00,True,141,0,active,0,0,141,True,True,False,12,,2020-08-02 17:47:25,2020
128,12,,2020-08-02 17:11:13+00:00,True,142,0,active,0,0,142,True,True,False,11,,2020-08-02 17:47:25,2020
129,9,,2020-08-02 17:37:22+00:00,True,143,0,active,0,0,143,True,True,False,14,,2020-08-02 17:47:25,2020
130,5,,2020-08-02 17:40:03+00:00,True,144,1,active,0,0,144,True,True,False,13,,2020-08-02 17:47:25,2020
131,15,,2020-08-02 17:11:14+00:00,True,145,0,active,0,0,145,True,True,False,4,,2020-08-02 17:47:25,2020
132,16,,2020-08-02 17:45:16+00:00,True,146,0,active,0,0,146,True,True,False,3,,2020-08-02 17:47:25,2020
133,0,,2020-08-02 17:45:24+00:00,True,149,0,active,0,0,149,True,True,True,18,,2020-08-02 17:47:25,2020
134,6,,2020-08-02 15:58:23+00:00,True,150,2,active,0,0,150,True,True,False,11,,2020-08-02 17:47:25,2020
135,5,,2020-08-02 17:22:23+00:00,True,151,2,active,0,0,151,True,True,False,12,,2020-08-02 17:47:25,2020
136,1,,2020-08-02 17:45:17+00:00,True,152,0,active,0,0,152,True,True,True,14,,2020-08-02 17:47:25,2020
137,4,,2020-08-02 17:43:22+00:00,True,156,0,active,0,0,156,True,True,False,11,,2020-08-02 17:47:25,2020
138,10,,2020-08-02 17:41:11+00:00,True,157,2,active,0,0,157,True,True,False,3,,2020-08-02 17:47:25,2020
139,8,,2020-08-02 16:28:10+00:00,True,159,1,active,0,0,159,True,True,False,6,,2020-08-02 17:47:25,2020
140,12,,2020-08-02 17:31:51+00:00,True,160,0,active,0,0,160,True,True,True,2,,2020-08-02 17:47:25,2020
141,5,,2020-08-02 17:40:57+00:00,True,161,0,active,0,0,161,True,True,True,18,,2020-08-02 17:47:25,2020
142,0,,2020-08-02 17:22:22+00:00,True,162,0,active,0,0,162,True,True,False,15,,2020-08-02 17:47:25,2020
143,7,,2020-08-02 17:46:18+00:00,True,163,0,active,0,0,163,True,True,True,12,,2020-08-02 17:47:25,2020
144,13,,2020-08-02 17:07:12+00:00,True,167,1,active,0,0,167,True,True,False,1,,2020-08-02 17:47:25,2020
145,7,,2020-08-02 17:29:44+00:00,True,169,0,active,0,0,169,True,True,False,12,,2020-08-02 17:47:25,2020
146,2,,2020-08-02 17:24:52+00:00,True,170,0,active,0,0,170,True,True,True,12,,2020-08-02 17:47:25,2020
147,7,,2020-08-02 17:19:42+00:00,True,171,0,active,0,0,171,True,True,True,16,,2020-08-02 17:47:25,2020
148,13,,2020-08-02 16:53:37+00:00,True,173,0,active,0,0,173,True,True,True,1,,2020-08-02 17:47:25,2020
149,9,,2020-08-02 17:18:15+00:00,True,174,0,active,0,0,174,True,True,False,6,,2020-08-02 17:47:25,2020
150,2,,2020-08-02 17:30:31+00:00,True,175,1,active,0,0,175,True,True,True,14,,2020-08-02 17:47:25,2020
151,8,,2020-08-02 16:57:26+00:00,True,176,0,active,0,0,176,True,True,False,7,,2020-08-02 17:47:25,2020
152,5,,2020-08-02 16:55:18+00:00,True,177,0,active,0,0,177,True,True,False,14,,2020-08-02 17:47:25,2020
153,1,,2020-08-02 17:44:38+00:00,True,178,1,active,0,0,178,True,True,False,17,,2020-08-02 17:47:25,2020
154,2,,2020-08-02 17:42:20+00:00,True,179,0,active,0,0,179,True,True,False,23,,2020-08-02 17:47:25,2020
155,6,,2020-08-02 17:40:30+00:00,True,180,0,active,0,0,180,True,True,False,13,,2020-08-02 17:47:25,2020
156,10,,2020-08-02 17:01:41+00:00,True,181,1,active,0,0,181,True,True,False,8,,2020-08-02 17:47:25,2020
157,10,,2020-08-02 17:14:59+00:00,True,182,1,active,0,0,182,True,True,True,8,,2020-08-02 17:47:25,2020
158,10,,2020-08-02 17:33:41+00:00,True,183,0,active,0,0,183,True,True,False,9,,2020-08-02 17:47:25,2020
159,8,,2020-08-02 16:45:17+00:00,True,184,0,active,0,0,184,True,True,False,11,,2020-08-02 17:47:25,2020
