,station_status,num_docks_disabled,is_returning,eightd_has_available_keys,num_ebikes_available,num_docks_available,is_installed,station_id,legacy_id,num_bikes_available,last_reported,is_renting,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
112,active,0,True,False,0,7,True,124,124,8,2020-08-12 17:55:36+00:00,True,0,2020-08-12 18:24:20,2020
113,active,0,True,False,0,13,True,125,125,2,2020-08-12 17:54:11+00:00,True,0,2020-08-12 18:24:20,2020
114,active,0,True,False,0,8,True,126,126,7,2020-08-12 14:49:41+00:00,True,0,2020-08-12 18:24:20,2020
115,active,0,True,False,0,13,True,128,128,6,2020-08-12 18:08:19+00:00,True,0,2020-08-12 18:24:20,2020
116,active,0,True,False,0,11,True,129,129,8,2020-08-12 17:20:34+00:00,True,0,2020-08-12 18:24:20,2020
117,active,0,True,False,0,2,True,130,130,13,2020-08-12 12:08:02+00:00,True,0,2020-08-12 18:24:20,2020
118,active,0,True,False,0,11,True,131,131,7,2020-08-12 17:47:39+00:00,True,0,2020-08-12 18:24:20,2020
119,active,0,True,False,0,15,True,133,133,8,2020-08-12 16:24:14+00:00,True,0,2020-08-12 18:24:20,2020
120,active,0,True,False,0,11,True,135,135,6,2020-08-12 09:43:01+00:00,True,0,2020-08-12 18:24:20,2020
121,active,0,True,False,0,14,True,136,136,5,2020-08-12 18:07:59+00:00,True,0,2020-08-12 18:24:20,2020
122,active,0,True,False,0,8,True,137,137,7,2020-08-12 17:41:31+00:00,True,0,2020-08-12 18:24:20,2020
123,active,0,True,False,0,0,True,138,138,14,2020-08-12 18:08:10+00:00,True,1,2020-08-12 18:24:20,2020
124,active,0,True,False,0,18,True,139,139,1,2020-08-12 18:22:06+00:00,True,0,2020-08-12 18:24:20,2020
125,active,0,True,False,0,4,True,140,140,13,2020-08-12 16:59:18+00:00,True,0,2020-08-12 18:24:20,2020
126,active,0,True,False,0,1,True,141,141,13,2020-08-12 17:41:38+00:00,True,1,2020-08-12 18:24:20,2020
127,active,0,True,False,0,10,True,142,142,12,2020-08-12 18:23:50+00:00,True,1,2020-08-12 18:24:20,2020
128,active,0,True,False,0,2,True,143,143,20,2020-08-12 17:48:34+00:00,True,1,2020-08-12 18:24:20,2020
129,active,0,True,False,0,0,True,144,144,18,2020-08-12 17:30:15+00:00,True,1,2020-08-12 18:24:20,2020
130,active,0,True,False,0,5,True,145,145,14,2020-08-12 16:03:53+00:00,True,0,2020-08-12 18:24:20,2020
131,active,0,True,False,0,11,True,146,146,8,2020-08-12 18:14:09+00:00,True,0,2020-08-12 18:24:20,2020
132,active,0,True,True,0,10,True,149,149,8,2020-08-12 18:09:26+00:00,True,0,2020-08-12 18:24:20,2020
133,active,0,True,False,0,5,True,150,150,14,2020-08-12 17:35:14+00:00,True,0,2020-08-12 18:24:20,2020
134,active,0,True,False,0,7,True,151,151,12,2020-08-12 18:08:12+00:00,True,0,2020-08-12 18:24:20,2020
135,active,0,True,True,0,13,True,152,152,2,2020-08-12 17:55:15+00:00,True,0,2020-08-12 18:24:20,2020
136,active,0,True,False,0,12,True,156,156,3,2020-08-12 17:38:55+00:00,True,0,2020-08-12 18:24:20,2020
137,active,0,True,False,0,1,True,157,157,13,2020-08-12 18:00:22+00:00,True,1,2020-08-12 18:24:20,2020
138,active,0,True,False,0,11,True,159,159,4,2020-08-12 16:46:53+00:00,True,0,2020-08-12 18:24:20,2020
139,active,0,True,True,0,9,True,160,160,5,2020-08-12 16:49:12+00:00,True,0,2020-08-12 18:24:20,2020
140,active,0,True,True,0,19,True,161,161,3,2020-08-12 18:11:55+00:00,True,1,2020-08-12 18:24:20,2020
141,active,0,True,False,0,9,True,162,162,6,2020-08-12 16:49:41+00:00,True,0,2020-08-12 18:24:20,2020
142,active,0,True,True,0,7,True,163,163,12,2020-08-12 17:57:38+00:00,True,0,2020-08-12 18:24:20,2020
143,active,0,True,False,0,14,True,167,167,1,2020-08-12 15:51:00+00:00,True,0,2020-08-12 18:24:20,2020
144,active,0,True,False,0,7,True,169,169,12,2020-08-12 18:17:26+00:00,True,0,2020-08-12 18:24:20,2020
145,active,0,True,True,0,13,True,170,170,0,2020-08-12 13:33:24+00:00,True,1,2020-08-12 18:24:20,2020
146,active,0,True,True,0,16,True,171,171,7,2020-08-12 15:34:14+00:00,True,0,2020-08-12 18:24:20,2020
147,active,0,True,True,0,5,True,173,173,9,2020-08-12 08:59:09+00:00,True,0,2020-08-12 18:24:20,2020
148,active,0,True,False,0,10,True,174,174,4,2020-08-12 17:59:09+00:00,True,1,2020-08-12 18:24:20,2020
149,active,0,True,True,0,11,True,175,175,6,2020-08-12 18:14:56+00:00,True,0,2020-08-12 18:24:20,2020
150,active,0,True,False,0,6,True,176,176,9,2020-08-12 18:17:23+00:00,True,0,2020-08-12 18:24:20,2020
151,active,0,True,False,0,16,True,177,177,3,2020-08-12 18:18:27+00:00,True,0,2020-08-12 18:24:20,2020
152,active,0,True,False,0,14,True,178,178,5,2020-08-12 18:14:28+00:00,True,0,2020-08-12 18:24:20,2020
153,active,0,True,False,0,9,True,179,179,16,2020-08-12 17:32:49+00:00,True,0,2020-08-12 18:24:20,2020
154,active,0,True,False,0,3,True,180,180,15,2020-08-12 17:59:42+00:00,True,1,2020-08-12 18:24:20,2020
155,active,0,True,False,0,12,True,181,181,7,2020-08-12 15:23:55+00:00,True,0,2020-08-12 18:24:20,2020
