,num_ebikes_available,num_bikes_disabled,last_reported,station_id,is_returning,station_status,num_docks_disabled,eightd_has_available_keys,is_renting,num_docks_available,legacy_id,num_bikes_available,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
62,0,0,2020-08-04 13:44:37+00:00,71,True,active,0,False,True,14,71,9,True,,,2020-08-04 15:09:35,2020
63,0,0,2020-08-04 14:27:32+00:00,72,True,active,0,False,True,19,72,4,True,,,2020-08-04 15:09:35,2020
64,0,0,2020-08-04 14:35:46+00:00,73,True,active,0,False,True,3,73,12,True,,,2020-08-04 15:09:35,2020
65,0,0,2020-08-04 15:04:18+00:00,74,True,active,0,True,True,17,74,2,True,,,2020-08-04 15:09:35,2020
66,0,0,2020-08-04 14:40:36+00:00,75,True,active,0,False,True,12,75,3,True,,,2020-08-04 15:09:35,2020
67,0,0,2020-08-04 15:02:57+00:00,76,True,active,0,False,True,10,76,7,True,,,2020-08-04 15:09:35,2020
68,0,0,2020-08-04 14:50:05+00:00,77,True,active,0,False,True,8,77,7,True,,,2020-08-04 15:09:35,2020
69,0,0,2020-08-04 15:09:16+00:00,78,True,active,0,False,True,5,78,14,True,,,2020-08-04 15:09:35,2020
70,0,0,2020-08-04 14:43:46+00:00,79,True,active,0,False,True,16,79,3,True,,,2020-08-04 15:09:35,2020
71,0,2,2020-08-04 15:08:53+00:00,80,True,active,0,False,True,7,80,26,True,,,2020-08-04 15:09:35,2020
72,0,1,2020-08-04 14:30:23+00:00,81,True,active,0,False,True,6,81,12,True,,,2020-08-04 15:09:35,2020
73,0,0,2020-08-04 14:58:56+00:00,82,True,active,0,False,True,2,82,13,True,,,2020-08-04 15:09:35,2020
74,0,0,2020-08-04 14:26:44+00:00,84,True,active,0,False,True,10,84,5,True,,,2020-08-04 15:09:35,2020
75,0,0,2020-08-04 13:38:55+00:00,85,True,active,0,False,True,1,85,18,True,,,2020-08-04 15:09:35,2020
76,0,1,2020-08-04 14:47:05+00:00,86,True,active,0,False,True,5,86,13,True,,,2020-08-04 15:09:35,2020
77,0,1,2020-08-04 15:06:47+00:00,87,True,active,0,False,True,13,87,1,True,,,2020-08-04 15:09:35,2020
78,0,1,2020-08-04 14:57:38+00:00,89,True,active,0,False,True,6,89,12,True,,,2020-08-04 15:09:35,2020
79,0,1,2020-08-04 15:06:19+00:00,90,True,active,0,False,True,17,90,1,True,,,2020-08-04 15:09:35,2020
80,0,1,2020-08-04 15:00:32+00:00,91,True,active,0,False,True,4,91,14,True,,,2020-08-04 15:09:35,2020
81,0,0,2020-08-04 13:31:45+00:00,92,True,active,0,False,True,3,92,16,True,,,2020-08-04 15:09:35,2020
82,0,1,2020-08-04 14:51:44+00:00,93,True,active,0,False,True,5,93,9,True,,,2020-08-04 15:09:35,2020
83,0,2,2020-08-04 14:48:16+00:00,94,True,active,0,False,True,0,94,9,True,,,2020-08-04 15:09:35,2020
84,0,1,2020-08-04 14:43:33+00:00,95,True,active,0,False,True,0,95,14,True,,,2020-08-04 15:09:35,2020
85,0,0,2020-08-04 14:00:55+00:00,96,True,active,0,False,True,6,96,13,True,,,2020-08-04 15:09:35,2020
86,0,1,2020-08-04 14:55:16+00:00,97,True,active,0,False,True,6,97,12,True,,,2020-08-04 15:09:35,2020
87,0,1,2020-08-04 15:07:49+00:00,98,True,active,0,False,True,21,98,0,True,,,2020-08-04 15:09:35,2020
88,0,0,2020-08-04 14:38:40+00:00,99,True,active,0,False,True,5,99,10,True,,,2020-08-04 15:09:35,2020
89,0,1,2020-08-04 14:06:15+00:00,100,True,active,0,True,True,8,100,16,True,,,2020-08-04 15:09:35,2020
90,0,0,2020-08-04 14:36:53+00:00,101,True,active,0,False,True,0,101,15,True,,,2020-08-04 15:09:35,2020
91,0,1,2020-08-04 13:09:35+00:00,102,True,active,0,False,True,11,102,3,True,,,2020-08-04 15:09:35,2020
92,0,0,2020-08-04 14:48:01+00:00,103,True,active,0,False,True,12,103,3,True,,,2020-08-04 15:09:35,2020
