,station_id,num_ebikes_available,legacy_id,num_docks_available,num_bikes_available,is_returning,last_reported,num_docks_disabled,station_status,is_installed,num_bikes_disabled,eightd_has_available_keys,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
169,195,0,195,4,19,True,2020-08-01 02:36:01+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
170,196,0,196,8,1,True,2020-08-01 02:03:40+00:00,0,active,True,1,True,True,,,2020-08-01 02:46:50,2020
171,197,0,197,12,3,True,2020-08-01 00:15:01+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
172,199,0,199,4,9,True,2020-08-01 00:35:33+00:00,0,active,True,2,False,True,,,2020-08-01 02:46:50,2020
173,200,0,200,7,12,True,2020-08-01 02:34:42+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
174,201,0,201,15,0,True,2020-08-01 00:25:07+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
175,202,0,202,14,1,True,2020-08-01 00:06:34+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
176,203,0,203,9,6,True,2020-07-31 22:34:17+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
177,204,0,204,8,7,True,2020-08-01 02:37:36+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
178,205,0,205,8,7,True,2020-07-31 17:39:13+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
179,206,0,206,14,9,True,2020-08-01 02:43:42+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
180,208,0,208,3,12,True,2020-07-31 23:39:16+00:00,0,active,True,0,True,True,,,2020-08-01 02:46:50,2020
181,209,0,209,5,9,True,2020-07-31 23:54:16+00:00,0,active,True,1,False,True,,,2020-08-01 02:46:50,2020
182,210,0,210,13,2,True,2020-07-31 22:27:56+00:00,0,active,True,0,False,True,,,2020-08-01 02:46:50,2020
