,station_id,is_returning,legacy_id,station_status,last_reported,num_ebikes_available,eightd_has_available_keys,is_renting,num_docks_available,num_bikes_disabled,num_bikes_available,is_installed,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
93,104,True,104,active,2020-07-31 17:16:43+00:00,0,False,True,3,0,16,True,0,,,2020-07-31 17:35:00,2020
94,105,True,105,active,2020-07-31 17:24:10+00:00,0,False,True,17,0,2,True,0,,,2020-07-31 17:35:00,2020
95,106,True,106,active,2020-07-31 17:29:21+00:00,0,False,True,10,1,4,True,0,,,2020-07-31 17:35:00,2020
96,107,True,107,active,2020-07-31 17:18:17+00:00,0,False,True,0,0,19,True,0,,,2020-07-31 17:35:00,2020
97,108,True,108,active,2020-07-31 17:25:14+00:00,0,False,True,3,0,14,True,0,,,2020-07-31 17:35:00,2020
98,109,True,109,active,2020-07-31 14:08:33+00:00,0,False,True,8,2,25,True,0,,,2020-07-31 17:35:00,2020
99,110,True,110,active,2020-07-31 17:30:55+00:00,0,False,True,5,1,9,True,0,,,2020-07-31 17:35:00,2020
100,111,True,111,active,2020-07-31 17:03:35+00:00,0,False,True,14,0,1,True,0,,,2020-07-31 17:35:00,2020
101,112,True,112,active,2020-07-31 15:49:48+00:00,0,False,True,11,0,4,True,0,,,2020-07-31 17:35:00,2020
102,113,True,113,active,2020-07-31 17:04:06+00:00,0,False,True,14,0,1,True,0,,,2020-07-31 17:35:00,2020
103,114,True,114,active,2020-07-31 04:15:25+00:00,0,False,True,9,0,6,True,0,,,2020-07-31 17:35:00,2020
104,115,True,115,active,2020-07-31 16:35:52+00:00,0,False,True,14,1,4,True,0,,,2020-07-31 17:35:00,2020
105,116,True,116,active,2020-07-31 17:33:02+00:00,0,False,True,15,0,8,True,0,,,2020-07-31 17:35:00,2020
106,117,True,117,active,2020-07-31 16:51:38+00:00,0,False,True,2,1,16,True,0,,,2020-07-31 17:35:00,2020
107,118,True,118,active,2020-07-31 17:17:06+00:00,0,False,True,13,1,5,True,0,,,2020-07-31 17:35:00,2020
108,119,True,119,active,2020-07-31 17:33:20+00:00,0,False,True,6,1,8,True,0,,,2020-07-31 17:35:00,2020
109,120,True,120,active,2020-07-31 17:11:29+00:00,0,False,True,9,2,4,True,0,,,2020-07-31 17:35:00,2020
110,121,True,121,active,2020-07-31 17:30:42+00:00,0,False,True,17,0,0,True,0,,,2020-07-31 17:35:00,2020
111,122,True,122,active,2020-07-31 17:26:27+00:00,0,False,True,7,0,8,True,0,,,2020-07-31 17:35:00,2020
112,124,True,124,active,2020-07-31 15:17:39+00:00,0,False,True,9,0,6,True,0,,,2020-07-31 17:35:00,2020
