,num_bikes_disabled,eightd_has_available_keys,is_installed,num_docks_available,is_renting,num_bikes_available,legacy_id,station_status,is_returning,last_reported,num_docks_disabled,station_id,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
111,0,False,True,7,True,8,122,active,True,2020-08-21 20:55:55+00:00,0,122,0,,,2020-08-21 21:08:05,2020
112,0,False,True,12,True,3,124,active,True,2020-08-21 20:53:25+00:00,0,124,0,,,2020-08-21 21:08:05,2020
113,1,False,True,12,True,2,125,active,True,2020-08-21 21:02:17+00:00,0,125,0,,,2020-08-21 21:08:05,2020
114,1,False,True,4,True,10,126,active,True,2020-08-21 19:54:04+00:00,0,126,0,,,2020-08-21 21:08:05,2020
115,0,False,True,18,True,1,128,active,True,2020-08-21 19:18:14+00:00,0,128,0,,,2020-08-21 21:08:05,2020
116,0,False,True,15,True,4,129,active,True,2020-08-21 21:03:31+00:00,0,129,0,,,2020-08-21 21:08:05,2020
117,0,False,True,7,True,8,130,active,True,2020-08-21 20:39:10+00:00,0,130,0,,,2020-08-21 21:08:05,2020
118,0,False,True,10,True,8,131,active,True,2020-08-21 21:07:34+00:00,0,131,0,,,2020-08-21 21:08:05,2020
119,1,False,True,22,True,0,133,active,True,2020-08-21 21:07:44+00:00,0,133,0,,,2020-08-21 21:08:05,2020
120,0,False,True,16,True,1,135,active,True,2020-08-21 20:12:19+00:00,0,135,0,,,2020-08-21 21:08:05,2020
121,0,False,True,18,True,1,136,active,True,2020-08-21 20:05:02+00:00,0,136,0,,,2020-08-21 21:08:05,2020
122,0,False,True,8,True,7,137,active,True,2020-08-21 19:48:11+00:00,0,137,0,,,2020-08-21 21:08:05,2020
123,1,False,True,11,True,3,138,active,True,2020-08-21 20:13:35+00:00,0,138,0,,,2020-08-21 21:08:05,2020
124,0,False,True,13,True,6,139,active,True,2020-08-21 21:05:54+00:00,0,139,0,,,2020-08-21 21:08:05,2020
125,0,False,True,4,True,13,140,active,True,2020-08-21 21:06:48+00:00,0,140,0,,,2020-08-21 21:08:05,2020
126,0,False,True,15,True,0,141,active,True,2020-08-21 20:48:29+00:00,0,141,0,,,2020-08-21 21:08:05,2020
127,0,False,True,5,True,18,142,active,True,2020-08-21 20:58:20+00:00,0,142,0,,,2020-08-21 21:08:05,2020
128,0,False,True,10,True,13,143,active,True,2020-08-21 20:29:06+00:00,0,143,0,,,2020-08-21 21:08:05,2020
129,0,False,True,5,True,14,144,active,True,2020-08-21 21:07:39+00:00,0,144,0,,,2020-08-21 21:08:05,2020
130,0,False,True,2,True,17,145,active,True,2020-08-21 20:40:56+00:00,0,145,0,,,2020-08-21 21:08:05,2020
131,0,False,True,8,True,11,146,active,True,2020-08-21 21:05:39+00:00,0,146,0,,,2020-08-21 21:08:05,2020
132,0,True,True,9,True,9,149,active,True,2020-08-21 20:58:54+00:00,0,149,0,,,2020-08-21 21:08:05,2020
133,1,False,True,9,True,9,150,active,True,2020-08-21 20:55:40+00:00,0,150,0,,,2020-08-21 21:08:05,2020
134,1,False,True,13,True,5,151,active,True,2020-08-21 21:03:22+00:00,0,151,0,,,2020-08-21 21:08:05,2020
135,0,True,True,10,True,5,152,active,True,2020-08-21 21:06:22+00:00,0,152,0,,,2020-08-21 21:08:05,2020
136,0,False,True,11,True,4,156,active,True,2020-08-21 20:44:19+00:00,0,156,0,,,2020-08-21 21:08:05,2020
137,0,False,True,12,True,3,157,active,True,2020-08-21 21:03:03+00:00,0,157,0,,,2020-08-21 21:08:05,2020
138,1,False,True,12,True,2,159,active,True,2020-08-21 20:55:50+00:00,0,159,0,,,2020-08-21 21:08:05,2020
139,0,True,True,7,True,7,160,active,True,2020-08-21 20:56:17+00:00,0,160,0,,,2020-08-21 21:08:05,2020
140,0,True,True,8,True,15,161,active,True,2020-08-21 21:05:41+00:00,0,161,0,,,2020-08-21 21:08:05,2020
141,0,False,True,10,True,5,162,active,True,2020-08-21 20:15:52+00:00,0,162,0,,,2020-08-21 21:08:05,2020
142,0,True,True,10,True,9,163,active,True,2020-08-21 21:05:20+00:00,0,163,0,,,2020-08-21 21:08:05,2020
143,0,False,True,1,True,14,167,active,True,2020-08-21 20:02:08+00:00,0,167,0,,,2020-08-21 21:08:05,2020
144,0,False,True,9,True,10,169,active,True,2020-08-21 20:39:40+00:00,0,169,0,,,2020-08-21 21:08:05,2020
145,0,True,True,11,True,3,170,active,True,2020-08-21 21:04:17+00:00,0,170,0,,,2020-08-21 21:08:05,2020
146,0,True,True,12,True,11,171,active,True,2020-08-21 18:37:40+00:00,0,171,0,,,2020-08-21 21:08:05,2020
147,1,True,True,3,True,10,173,active,True,2020-08-21 19:33:59+00:00,0,173,0,,,2020-08-21 21:08:05,2020
148,0,False,True,7,True,8,174,active,True,2020-08-21 20:35:34+00:00,0,174,0,,,2020-08-21 21:08:05,2020
149,0,True,True,10,True,7,175,active,True,2020-08-21 20:51:24+00:00,0,175,0,,,2020-08-21 21:08:05,2020
150,1,False,True,10,True,4,176,active,True,2020-08-21 21:06:11+00:00,0,176,0,,,2020-08-21 21:08:05,2020
151,2,False,True,8,True,9,177,active,True,2020-08-21 21:07:21+00:00,0,177,0,,,2020-08-21 21:08:05,2020
152,0,False,True,17,True,2,178,active,True,2020-08-21 21:05:42+00:00,0,178,0,,,2020-08-21 21:08:05,2020
153,0,False,True,5,True,20,179,active,True,2020-08-21 21:00:43+00:00,0,179,0,,,2020-08-21 21:08:05,2020
154,0,False,True,4,True,15,180,active,True,2020-08-21 20:58:28+00:00,0,180,0,,,2020-08-21 21:08:05,2020
155,0,False,True,18,True,1,181,active,True,2020-08-21 19:50:25+00:00,0,181,0,,,2020-08-21 21:08:05,2020
156,0,True,True,13,True,6,182,active,True,2020-08-21 20:50:50+00:00,0,182,0,,,2020-08-21 21:08:05,2020
157,0,False,True,15,True,4,183,active,True,2020-08-21 20:53:44+00:00,0,183,0,,,2020-08-21 21:08:05,2020
158,0,False,True,18,True,1,184,active,True,2020-08-21 20:45:17+00:00,0,184,0,,,2020-08-21 21:08:05,2020
159,0,False,True,15,True,0,185,active,True,2020-08-21 20:38:52+00:00,0,185,0,,,2020-08-21 21:08:05,2020
160,0,True,True,7,True,8,186,active,True,2020-08-21 20:28:08+00:00,0,186,0,,,2020-08-21 21:08:05,2020
161,1,False,True,12,True,2,187,active,True,2020-08-21 20:53:59+00:00,0,187,0,,,2020-08-21 21:08:05,2020
162,0,False,True,7,True,8,188,active,True,2020-08-21 21:01:49+00:00,0,188,0,,,2020-08-21 21:08:05,2020
163,1,True,True,9,True,13,189,active,True,2020-08-21 21:04:49+00:00,0,189,0,,,2020-08-21 21:08:05,2020
164,1,True,True,20,True,16,190,active,True,2020-08-21 21:05:33+00:00,0,190,0,,,2020-08-21 21:08:05,2020
165,0,False,True,14,True,1,191,active,True,2020-08-21 20:19:06+00:00,0,191,0,,,2020-08-21 21:08:05,2020
166,0,False,True,12,True,7,192,active,True,2020-08-21 20:56:24+00:00,0,192,0,,,2020-08-21 21:08:05,2020
167,0,True,True,15,True,0,193,active,True,2020-08-21 19:36:58+00:00,0,193,0,,,2020-08-21 21:08:05,2020
168,0,False,True,18,True,1,194,active,True,2020-08-21 20:54:22+00:00,0,194,0,,,2020-08-21 21:08:05,2020
