,last_reported,is_returning,num_bikes_disabled,station_id,is_renting,num_docks_disabled,num_ebikes_available,is_installed,num_bikes_available,station_status,num_docks_available,eightd_has_available_keys,legacy_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
207,2020-08-04 09:01:37+00:00,True,0,259,True,0,0,True,0,active,15,False,259,,,2020-08-05 12:17:20,2020
208,2020-08-05 04:08:44+00:00,True,0,260,True,0,0,True,3,active,12,False,260,,,2020-08-05 12:17:20,2020
209,2020-08-05 10:54:04+00:00,True,0,271,True,0,0,True,4,active,11,False,271,,,2020-08-05 12:17:20,2020
210,2020-08-05 10:55:53+00:00,True,0,272,True,0,0,True,4,active,15,False,272,,,2020-08-05 12:17:20,2020
211,2020-08-05 11:47:05+00:00,True,1,273,True,0,0,True,25,active,14,False,273,,,2020-08-05 12:17:20,2020
212,2020-08-05 10:57:26+00:00,True,0,279,True,0,0,True,2,active,17,False,279,,,2020-08-05 12:17:20,2020
213,2020-08-05 11:43:08+00:00,True,0,280,True,0,0,True,6,active,13,False,280,,,2020-08-05 12:17:20,2020
214,2020-08-05 12:10:18+00:00,True,0,282,True,0,0,True,14,active,1,False,282,,,2020-08-05 12:17:20,2020
215,2020-08-05 12:14:28+00:00,True,0,296,True,0,0,True,6,active,17,False,296,,,2020-08-05 12:17:20,2020
216,2020-08-05 12:15:20+00:00,True,0,318,True,0,0,True,6,active,13,False,318,,,2020-08-05 12:17:20,2020
217,2020-08-05 04:24:02+00:00,True,0,319,True,0,0,True,14,active,11,False,319,,,2020-08-05 12:17:20,2020
218,2020-08-05 11:57:55+00:00,True,0,327,True,0,0,True,9,active,6,False,327,,,2020-08-05 12:17:20,2020
219,2020-08-05 11:55:06+00:00,True,0,328,True,0,0,True,11,active,4,False,328,,,2020-08-05 12:17:20,2020
220,2020-08-05 08:41:31+00:00,True,0,329,True,0,0,True,9,active,6,False,329,,,2020-08-05 12:17:20,2020
221,2020-08-05 12:08:23+00:00,True,0,330,True,0,0,True,5,active,10,False,330,,,2020-08-05 12:17:20,2020
222,2020-08-05 11:19:40+00:00,True,0,331,True,0,0,True,6,active,9,False,331,,,2020-08-05 12:17:20,2020
