,is_returning,legacy_id,is_renting,num_docks_available,is_installed,last_reported,num_bikes_disabled,eightd_has_available_keys,station_id,num_docks_disabled,station_status,num_ebikes_available,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
208,True,260,True,3,True,2020-08-15 18:30:46+00:00,0,False,260,0,active,0,12,,,2020-08-15 19:47:05,2020
209,True,271,True,9,True,2020-08-15 18:46:31+00:00,0,False,271,0,active,0,6,,,2020-08-15 19:47:05,2020
210,True,272,True,15,True,2020-08-15 18:37:41+00:00,0,False,272,0,active,0,4,,,2020-08-15 19:47:05,2020
211,True,273,True,27,True,2020-08-15 19:33:51+00:00,0,False,273,0,active,0,13,,,2020-08-15 19:47:05,2020
212,True,279,True,4,True,2020-08-15 19:10:06+00:00,0,False,279,0,active,0,15,,,2020-08-15 19:47:05,2020
213,True,280,True,11,True,2020-08-15 18:45:14+00:00,0,False,280,0,active,0,8,,,2020-08-15 19:47:05,2020
214,True,282,True,5,True,2020-08-15 19:38:39+00:00,1,False,282,0,active,0,9,,,2020-08-15 19:47:05,2020
215,True,296,True,12,True,2020-08-15 19:35:45+00:00,1,False,296,0,active,0,10,"{'region': 'BOS', 'off_dock_capacity': 100, 'dock_blocked_count': 0, 'active': True, 'station_id': '74cb9bf6-bb53-4c70-88d2-67998b99628c', 'off_dock_count': 22, 'valet_revision': 15}",[{'id': '74cb9bf6-bb53-4c70-88d2-67998b99628c'}],2020-08-15 19:47:05,2020
216,True,318,True,14,True,2020-08-15 19:42:42+00:00,1,False,318,0,active,0,4,,,2020-08-15 19:47:05,2020
217,True,319,True,23,True,2020-08-15 19:24:59+00:00,0,False,319,0,active,0,2,,,2020-08-15 19:47:05,2020
218,True,327,True,15,True,2020-08-15 19:07:18+00:00,0,False,327,0,active,0,0,,,2020-08-15 19:47:05,2020
219,True,328,True,15,True,2020-08-15 19:32:13+00:00,0,False,328,0,active,0,0,,,2020-08-15 19:47:05,2020
220,True,329,True,4,True,2020-08-15 19:20:36+00:00,0,False,329,0,active,0,11,,,2020-08-15 19:47:05,2020
221,True,330,True,2,True,2020-08-15 19:26:37+00:00,0,False,330,0,active,0,13,,,2020-08-15 19:47:05,2020
