,num_bikes_disabled,last_reported,station_status,is_installed,is_returning,num_docks_disabled,eightd_has_available_keys,legacy_id,num_bikes_available,station_id,num_docks_available,num_ebikes_available,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
71,1,2020-07-29 21:17:15+00:00,active,True,True,0,False,80,30,80,4,0,True,,,2020-07-29 21:28:45,2020
72,0,2020-07-29 21:19:19+00:00,active,True,True,0,False,81,9,81,10,0,True,,,2020-07-29 21:28:45,2020
73,0,2020-07-29 20:54:22+00:00,active,True,True,0,False,82,0,82,15,0,True,,,2020-07-29 21:28:45,2020
74,1,2020-07-29 21:17:47+00:00,active,True,True,0,False,84,12,84,2,0,True,,,2020-07-29 21:28:45,2020
75,1,2020-07-29 21:27:12+00:00,active,True,True,0,False,85,6,85,12,0,True,,,2020-07-29 21:28:45,2020
76,2,2020-07-29 20:57:15+00:00,active,True,True,0,False,86,4,86,13,0,True,,,2020-07-29 21:28:45,2020
77,1,2020-07-29 21:07:29+00:00,active,True,True,0,False,87,2,87,12,0,True,,,2020-07-29 21:28:45,2020
78,0,2020-07-29 21:11:41+00:00,active,True,True,0,False,89,13,89,6,0,True,,,2020-07-29 21:28:45,2020
79,0,2020-07-29 21:09:29+00:00,active,True,True,0,False,90,11,90,8,0,True,,,2020-07-29 21:28:45,2020
80,1,2020-07-29 21:24:44+00:00,active,True,True,0,False,91,5,91,13,0,True,,,2020-07-29 21:28:45,2020
81,0,2020-07-29 21:21:07+00:00,active,True,True,0,False,92,9,92,10,0,True,,,2020-07-29 21:28:45,2020
82,3,2020-07-29 21:11:34+00:00,active,True,True,0,False,93,2,93,10,0,True,,,2020-07-29 21:28:45,2020
83,0,2020-07-29 20:28:03+00:00,active,True,True,0,False,94,10,94,1,0,True,,,2020-07-29 21:28:45,2020
84,1,2020-07-29 21:25:36+00:00,active,True,True,0,False,95,6,95,8,0,True,,,2020-07-29 21:28:45,2020
85,0,2020-07-29 21:17:32+00:00,active,True,True,0,False,96,3,96,16,0,True,,,2020-07-29 21:28:45,2020
86,1,2020-07-29 21:28:23+00:00,active,True,True,0,False,97,5,97,13,0,True,,,2020-07-29 21:28:45,2020
87,0,2020-07-29 21:25:13+00:00,active,True,True,0,False,98,7,98,15,0,True,,,2020-07-29 21:28:45,2020
88,0,2020-07-29 21:05:17+00:00,active,True,True,0,False,99,12,99,3,0,True,,,2020-07-29 21:28:45,2020
89,2,2020-07-29 21:13:26+00:00,active,True,True,0,True,100,15,100,8,0,True,,,2020-07-29 21:28:45,2020
