,is_returning,legacy_id,station_status,num_bikes_disabled,station_id,is_renting,last_reported,num_docks_disabled,eightd_has_available_keys,num_bikes_available,num_ebikes_available,is_installed,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
26,True,31,active,0,31,True,2020-08-13 01:22:35+00:00,0,True,0,0,True,19,2020-08-13 01:23:05,2020
27,True,32,active,0,32,True,2020-08-13 01:21:47+00:00,0,False,1,0,True,14,2020-08-13 01:23:05,2020
28,True,33,active,0,33,True,2020-08-13 01:14:26+00:00,0,False,11,0,True,16,2020-08-13 01:23:05,2020
29,True,35,active,0,35,True,2020-08-13 00:46:40+00:00,0,False,7,0,True,16,2020-08-13 01:23:05,2020
30,True,36,active,1,36,True,2020-08-13 00:53:53+00:00,0,True,4,0,True,28,2020-08-13 01:23:05,2020
31,True,37,active,0,37,True,2020-08-13 00:31:59+00:00,0,True,5,0,True,10,2020-08-13 01:23:05,2020
32,True,39,active,0,39,True,2020-08-13 01:13:01+00:00,0,False,13,0,True,10,2020-08-13 01:23:05,2020
33,True,40,active,1,40,True,2020-08-13 01:17:05+00:00,0,False,10,0,True,8,2020-08-13 01:23:05,2020
34,True,41,active,0,41,True,2020-08-13 01:14:12+00:00,0,True,22,0,True,5,2020-08-13 01:23:05,2020
35,True,42,active,0,42,True,2020-08-13 01:00:16+00:00,0,False,6,0,True,17,2020-08-13 01:23:05,2020
36,True,43,active,0,43,True,2020-08-13 01:06:30+00:00,0,True,11,0,True,4,2020-08-13 01:23:05,2020
37,True,44,active,0,44,True,2020-08-13 00:00:34+00:00,0,False,10,0,True,13,2020-08-13 01:23:05,2020
38,True,46,active,2,46,True,2020-08-13 01:19:41+00:00,0,False,9,0,True,8,2020-08-13 01:23:05,2020
39,True,47,active,0,47,True,2020-08-13 01:21:44+00:00,0,True,14,0,True,5,2020-08-13 01:23:05,2020
40,True,48,active,0,48,True,2020-08-12 23:26:29+00:00,0,False,0,0,True,19,2020-08-13 01:23:05,2020
41,True,49,active,0,49,True,2020-08-13 00:54:39+00:00,0,False,12,0,True,6,2020-08-13 01:23:05,2020
42,True,50,active,0,50,True,2020-08-13 00:39:09+00:00,0,True,1,0,True,14,2020-08-13 01:23:05,2020
43,True,51,active,0,51,True,2020-08-13 01:16:43+00:00,0,False,4,0,True,11,2020-08-13 01:23:05,2020
44,True,52,active,1,52,True,2020-08-13 01:22:53+00:00,0,True,16,0,True,6,2020-08-13 01:23:05,2020
45,True,53,active,4,53,True,2020-08-13 01:01:15+00:00,0,False,12,0,True,3,2020-08-13 01:23:05,2020
46,True,54,active,0,54,True,2020-08-13 00:55:09+00:00,0,False,4,0,True,11,2020-08-13 01:23:05,2020
47,True,55,active,1,55,True,2020-08-13 01:21:19+00:00,0,False,11,0,True,3,2020-08-13 01:23:05,2020
48,True,56,active,1,56,True,2020-08-13 00:25:46+00:00,0,True,2,0,True,15,2020-08-13 01:23:05,2020
49,True,57,active,1,57,True,2020-08-13 00:59:46+00:00,0,True,12,0,True,1,2020-08-13 01:23:05,2020
50,True,58,active,1,58,True,2020-08-13 01:18:03+00:00,0,True,7,0,True,11,2020-08-13 01:23:05,2020
51,True,59,active,0,59,True,2020-08-13 00:05:57+00:00,0,True,2,0,True,17,2020-08-13 01:23:05,2020
52,True,60,active,0,60,True,2020-08-13 01:21:54+00:00,0,False,9,0,True,10,2020-08-13 01:23:05,2020
53,True,61,active,0,61,True,2020-08-13 01:22:10+00:00,0,False,2,0,True,17,2020-08-13 01:23:05,2020
54,True,63,active,0,63,True,2020-08-13 01:20:12+00:00,0,False,4,0,True,11,2020-08-13 01:23:05,2020
55,True,64,active,0,64,True,2020-08-13 00:42:37+00:00,0,False,16,0,True,3,2020-08-13 01:23:05,2020
56,True,65,active,0,65,True,2020-08-13 01:20:26+00:00,0,False,2,0,True,21,2020-08-13 01:23:05,2020
57,True,66,active,1,66,True,2020-08-13 00:19:34+00:00,0,False,14,0,True,0,2020-08-13 01:23:05,2020
58,True,67,active,0,67,True,2020-08-13 01:20:11+00:00,0,True,0,0,True,27,2020-08-13 01:23:05,2020
59,True,68,active,2,68,True,2020-08-13 01:13:22+00:00,0,True,13,0,True,4,2020-08-13 01:23:05,2020
60,True,69,active,0,69,True,2020-08-13 01:07:35+00:00,0,True,8,0,True,11,2020-08-13 01:23:05,2020
61,True,70,active,0,70,True,2020-08-13 01:14:11+00:00,0,False,19,0,True,4,2020-08-13 01:23:05,2020
62,True,71,active,0,71,True,2020-08-13 00:43:02+00:00,0,False,23,0,True,0,2020-08-13 01:23:05,2020
63,True,72,active,0,72,True,2020-08-13 01:11:05+00:00,0,False,6,0,True,17,2020-08-13 01:23:05,2020
64,True,73,active,1,73,True,2020-08-13 01:21:14+00:00,0,False,2,0,True,12,2020-08-13 01:23:05,2020
65,True,74,active,1,74,True,2020-08-13 01:23:00+00:00,0,True,18,0,True,0,2020-08-13 01:23:05,2020
66,True,75,active,0,75,True,2020-08-13 01:15:25+00:00,0,False,10,0,True,5,2020-08-13 01:23:05,2020
67,True,76,active,0,76,True,2020-08-13 01:18:14+00:00,0,False,16,0,True,1,2020-08-13 01:23:05,2020
68,True,77,active,1,77,True,2020-08-13 01:21:12+00:00,0,False,9,0,True,5,2020-08-13 01:23:05,2020
69,True,78,active,0,78,True,2020-08-13 01:06:49+00:00,0,False,13,0,True,6,2020-08-13 01:23:05,2020
