,num_bikes_disabled,eightd_has_available_keys,legacy_id,num_docks_available,station_id,is_installed,is_renting,num_docks_disabled,last_reported,num_bikes_available,station_status,num_ebikes_available,is_returning,timestamp_of_data_read_request,year_station_last_reported
76,0,False,86,11,86,True,True,0,2020-08-11 01:00:04+00:00,8,active,0,True,2020-08-11 01:21:40,2020
77,0,False,87,8,87,True,True,0,2020-08-11 01:18:32+00:00,7,active,0,True,2020-08-11 01:21:40,2020
78,0,False,89,11,89,True,True,0,2020-08-11 00:45:08+00:00,8,active,0,True,2020-08-11 01:21:40,2020
79,1,False,90,0,90,True,True,0,2020-08-11 01:15:28+00:00,18,active,0,True,2020-08-11 01:21:40,2020
80,1,False,91,15,91,True,True,0,2020-08-11 00:36:25+00:00,3,active,0,True,2020-08-11 01:21:40,2020
81,0,False,92,10,92,True,True,0,2020-08-11 00:43:16+00:00,9,active,0,True,2020-08-11 01:21:40,2020
82,1,False,93,3,93,True,True,0,2020-08-11 00:53:05+00:00,11,active,0,True,2020-08-11 01:21:40,2020
83,0,False,94,11,94,True,True,0,2020-08-10 23:17:34+00:00,0,active,0,True,2020-08-11 01:21:40,2020
84,2,False,95,8,95,True,True,0,2020-08-11 00:59:56+00:00,5,active,0,True,2020-08-11 01:21:40,2020
85,0,False,96,0,96,True,True,0,2020-08-11 00:23:02+00:00,19,active,0,True,2020-08-11 01:21:40,2020
86,0,False,97,3,97,True,True,0,2020-08-11 01:11:05+00:00,16,active,0,True,2020-08-11 01:21:40,2020
87,0,False,98,9,98,True,True,0,2020-08-11 00:30:32+00:00,14,active,0,True,2020-08-11 01:21:40,2020
88,0,False,99,8,99,True,True,0,2020-08-11 00:13:08+00:00,7,active,0,True,2020-08-11 01:21:40,2020
89,1,True,100,8,100,True,True,0,2020-08-11 01:17:51+00:00,16,active,0,True,2020-08-11 01:21:40,2020
90,1,False,101,0,101,True,True,0,2020-08-11 00:41:43+00:00,14,active,0,True,2020-08-11 01:21:40,2020
91,0,False,102,13,102,True,True,0,2020-08-11 00:30:14+00:00,2,active,0,True,2020-08-11 01:21:40,2020
92,0,False,103,5,103,True,True,0,2020-08-11 00:54:39+00:00,10,active,0,True,2020-08-11 01:21:40,2020
93,0,False,104,12,104,True,True,0,2020-08-11 00:21:01+00:00,7,active,0,True,2020-08-11 01:21:40,2020
94,2,False,105,10,105,True,True,0,2020-08-11 00:39:49+00:00,7,active,0,True,2020-08-11 01:21:40,2020
95,1,False,106,8,106,True,True,0,2020-08-10 23:29:51+00:00,6,active,0,True,2020-08-11 01:21:40,2020
96,2,False,107,8,107,True,True,0,2020-08-11 01:15:31+00:00,9,active,0,True,2020-08-11 01:21:40,2020
97,0,False,108,9,108,True,True,0,2020-08-11 01:21:17+00:00,8,active,0,True,2020-08-11 01:21:40,2020
98,1,False,109,27,109,True,True,0,2020-08-10 19:44:36+00:00,7,active,0,True,2020-08-11 01:21:40,2020
99,0,False,110,13,110,True,True,0,2020-08-11 00:28:33+00:00,2,active,0,True,2020-08-11 01:21:40,2020
100,0,False,111,7,111,True,True,0,2020-08-11 00:36:25+00:00,8,active,0,True,2020-08-11 01:21:40,2020
101,0,False,112,6,112,True,True,0,2020-08-11 00:23:13+00:00,9,active,0,True,2020-08-11 01:21:40,2020
102,1,False,113,4,113,True,True,0,2020-08-11 00:23:31+00:00,10,active,0,True,2020-08-11 01:21:40,2020
103,1,False,114,12,114,True,True,0,2020-08-10 23:38:32+00:00,2,active,0,True,2020-08-11 01:21:40,2020
104,0,False,115,4,115,True,True,0,2020-08-11 01:12:49+00:00,15,active,0,True,2020-08-11 01:21:40,2020
105,0,False,116,7,116,True,True,0,2020-08-11 01:16:04+00:00,16,active,0,True,2020-08-11 01:21:40,2020
106,0,False,117,6,117,True,True,0,2020-08-11 01:00:03+00:00,13,active,0,True,2020-08-11 01:21:40,2020
107,1,False,118,3,118,True,True,0,2020-08-11 01:20:09+00:00,15,active,0,True,2020-08-11 01:21:40,2020
108,0,False,119,11,119,True,True,0,2020-08-11 00:58:50+00:00,4,active,0,True,2020-08-11 01:21:40,2020
109,5,False,120,1,120,True,True,0,2020-08-11 01:00:01+00:00,9,active,0,True,2020-08-11 01:21:40,2020
110,0,False,121,10,121,True,True,0,2020-08-11 00:43:26+00:00,7,active,0,True,2020-08-11 01:21:40,2020
111,0,False,122,4,122,True,True,0,2020-08-11 01:13:59+00:00,11,active,0,True,2020-08-11 01:21:40,2020
112,0,False,124,4,124,True,True,0,2020-08-11 00:41:14+00:00,11,active,0,True,2020-08-11 01:21:40,2020
113,0,False,125,9,125,True,True,0,2020-08-11 01:02:16+00:00,6,active,0,True,2020-08-11 01:21:40,2020
114,0,False,126,10,126,True,True,0,2020-08-11 00:01:29+00:00,5,active,0,True,2020-08-11 01:21:40,2020
115,0,False,128,7,128,True,True,0,2020-08-10 23:00:26+00:00,12,active,0,True,2020-08-11 01:21:40,2020
116,0,False,129,7,129,True,True,0,2020-08-10 22:26:57+00:00,12,active,0,True,2020-08-11 01:21:40,2020
117,0,False,130,5,130,True,True,0,2020-08-11 00:33:56+00:00,10,active,0,True,2020-08-11 01:21:40,2020
118,0,False,131,1,131,True,True,0,2020-08-11 01:01:48+00:00,17,active,0,True,2020-08-11 01:21:40,2020
119,1,False,133,4,133,True,True,0,2020-08-11 01:00:25+00:00,18,active,0,True,2020-08-11 01:21:40,2020
120,1,False,135,12,135,True,True,0,2020-08-11 00:11:39+00:00,4,active,0,True,2020-08-11 01:21:40,2020
121,1,False,136,12,136,True,True,0,2020-08-11 00:39:52+00:00,6,active,0,True,2020-08-11 01:21:40,2020
122,0,False,137,3,137,True,True,0,2020-08-11 00:31:03+00:00,12,active,0,True,2020-08-11 01:21:40,2020
123,2,False,138,1,138,True,True,0,2020-08-11 00:52:25+00:00,12,active,0,True,2020-08-11 01:21:40,2020
124,1,False,139,12,139,True,True,0,2020-08-11 00:59:45+00:00,6,active,0,True,2020-08-11 01:21:40,2020
125,1,False,140,4,140,True,True,0,2020-08-11 00:22:55+00:00,12,active,0,True,2020-08-11 01:21:40,2020
126,0,False,141,10,141,True,True,0,2020-08-11 00:56:56+00:00,5,active,0,True,2020-08-11 01:21:40,2020
127,0,False,142,6,142,True,True,0,2020-08-11 00:54:24+00:00,17,active,0,True,2020-08-11 01:21:40,2020
128,0,False,143,12,143,True,True,0,2020-08-11 01:19:48+00:00,11,active,0,True,2020-08-11 01:21:40,2020
129,0,False,144,5,144,True,True,0,2020-08-11 00:35:41+00:00,14,active,0,True,2020-08-11 01:21:40,2020
130,0,False,145,3,145,True,True,0,2020-08-11 01:15:38+00:00,16,active,0,True,2020-08-11 01:21:40,2020
