,last_reported,eightd_has_available_keys,num_bikes_disabled,num_bikes_available,station_status,num_docks_disabled,num_docks_available,is_returning,station_id,legacy_id,is_installed,num_ebikes_available,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
23,2020-08-06 13:50:16+00:00,False,2,15,active,0,6,True,27,27,True,0,True,,,2020-08-06 14:02:25,2020
24,2020-08-06 11:51:54+00:00,False,1,7,active,0,7,True,29,29,True,0,True,,,2020-08-06 14:02:25,2020
25,2020-08-06 14:01:01+00:00,False,0,13,active,0,2,True,30,30,True,0,True,,,2020-08-06 14:02:25,2020
26,2020-08-06 13:35:56+00:00,True,0,1,active,0,18,True,31,31,True,0,True,,,2020-08-06 14:02:25,2020
27,2020-08-06 13:56:07+00:00,False,1,2,active,0,12,True,32,32,True,0,True,,,2020-08-06 14:02:25,2020
28,2020-08-06 13:59:23+00:00,False,0,11,active,0,16,True,33,33,True,0,True,,,2020-08-06 14:02:25,2020
29,2020-08-06 14:01:58+00:00,False,0,11,active,0,12,True,35,35,True,0,True,,,2020-08-06 14:02:25,2020
30,2020-08-06 13:34:28+00:00,True,0,27,active,0,6,True,36,36,True,0,True,,,2020-08-06 14:02:25,2020
31,2020-08-06 13:37:48+00:00,True,0,11,active,0,4,True,37,37,True,0,True,,,2020-08-06 14:02:25,2020
32,2020-08-06 13:57:49+00:00,False,0,22,active,0,1,True,39,39,True,0,True,,,2020-08-06 14:02:25,2020
33,2020-08-06 14:01:38+00:00,False,1,6,active,0,12,True,40,40,True,0,True,,,2020-08-06 14:02:25,2020
34,2020-08-06 13:58:46+00:00,True,0,19,active,0,8,True,41,41,True,0,True,,,2020-08-06 14:02:25,2020
35,2020-08-06 13:50:04+00:00,False,1,9,active,0,13,True,42,42,True,0,True,,,2020-08-06 14:02:25,2020
36,2020-08-06 12:19:41+00:00,True,0,14,active,0,1,True,43,43,True,0,True,,,2020-08-06 14:02:25,2020
37,2020-08-06 13:30:58+00:00,False,0,16,active,0,7,True,44,44,True,0,True,,,2020-08-06 14:02:25,2020
38,2020-08-06 14:01:27+00:00,False,0,6,active,0,13,True,46,46,True,0,True,,,2020-08-06 14:02:25,2020
39,2020-08-06 13:55:55+00:00,True,0,3,active,0,16,True,47,47,True,0,True,,,2020-08-06 14:02:25,2020
40,2020-08-06 13:44:07+00:00,False,0,13,active,0,6,True,48,48,True,0,True,,,2020-08-06 14:02:25,2020
41,2020-08-06 13:53:53+00:00,False,0,13,active,0,5,True,49,49,True,0,True,,,2020-08-06 14:02:25,2020
42,2020-08-06 13:41:40+00:00,True,0,12,active,0,3,True,50,50,True,0,True,,,2020-08-06 14:02:25,2020
43,2020-08-06 13:59:38+00:00,False,0,3,active,0,12,True,51,51,True,0,True,,,2020-08-06 14:02:25,2020
44,2020-08-06 13:57:51+00:00,True,0,2,active,0,21,True,52,52,True,0,True,,,2020-08-06 14:02:25,2020
45,2020-08-06 13:45:07+00:00,False,0,2,active,0,17,True,53,53,True,0,True,,,2020-08-06 14:02:25,2020
46,2020-08-06 14:01:26+00:00,False,1,10,active,0,4,True,54,54,True,0,True,,,2020-08-06 14:02:25,2020
47,2020-08-06 13:51:11+00:00,False,2,11,active,0,2,True,55,55,True,0,True,,,2020-08-06 14:02:25,2020
48,2020-08-06 12:40:50+00:00,True,0,8,active,0,10,True,56,56,True,0,True,,,2020-08-06 14:02:25,2020
49,2020-08-06 13:53:41+00:00,True,1,7,active,0,6,True,57,57,True,0,True,,,2020-08-06 14:02:25,2020
50,2020-08-06 13:46:04+00:00,True,0,15,active,0,4,True,58,58,True,0,True,,,2020-08-06 14:02:25,2020
51,2020-08-06 13:59:53+00:00,True,0,15,active,0,4,True,59,59,True,0,True,,,2020-08-06 14:02:25,2020
52,2020-08-06 13:58:06+00:00,False,0,3,active,0,16,True,60,60,True,0,True,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_count': 33, 'region': 'BOS', 'off_dock_capacity': 40, 'active': True, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 69, 'dock_blocked_count': 0}",2020-08-06 14:02:25,2020
53,2020-08-06 13:24:57+00:00,False,0,13,active,0,6,True,61,61,True,0,True,,,2020-08-06 14:02:25,2020
54,2020-08-06 13:50:20+00:00,False,0,1,active,0,14,True,63,63,True,0,True,,,2020-08-06 14:02:25,2020
55,2020-08-06 13:54:43+00:00,False,0,6,active,0,13,True,64,64,True,0,True,,,2020-08-06 14:02:25,2020
56,2020-08-06 13:09:20+00:00,False,1,4,active,0,18,True,65,65,True,0,True,,,2020-08-06 14:02:25,2020
57,2020-08-06 13:45:14+00:00,False,0,2,active,0,13,True,66,66,True,0,True,,,2020-08-06 14:02:25,2020
