,station_id,eightd_has_available_keys,legacy_id,last_reported,num_docks_disabled,is_renting,num_bikes_available,station_status,is_returning,is_installed,num_docks_available,num_bikes_disabled,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
92,103,False,103,2020-08-12 01:12:57+00:00,0,True,8,active,True,True,7,0,0,2020-08-12 02:29:40,2020
93,104,False,104,2020-08-11 23:11:35+00:00,0,True,4,active,True,True,15,0,0,2020-08-12 02:29:40,2020
94,105,False,105,2020-08-12 01:38:17+00:00,0,True,14,active,True,True,4,1,0,2020-08-12 02:29:40,2020
95,106,False,106,2020-08-12 00:06:04+00:00,0,True,4,active,True,True,10,1,0,2020-08-12 02:29:40,2020
96,107,False,107,2020-08-12 02:25:15+00:00,0,True,7,active,True,True,12,0,0,2020-08-12 02:29:40,2020
97,108,False,108,2020-08-12 00:55:47+00:00,0,True,0,active,True,True,17,0,0,2020-08-12 02:29:40,2020
98,109,False,109,2020-08-12 01:21:37+00:00,0,True,9,active,True,True,26,0,0,2020-08-12 02:29:40,2020
99,110,False,110,2020-08-12 01:45:15+00:00,0,True,0,active,True,True,14,1,0,2020-08-12 02:29:40,2020
100,111,False,111,2020-08-12 01:04:02+00:00,0,True,8,active,True,True,7,0,0,2020-08-12 02:29:40,2020
101,112,False,112,2020-08-11 23:55:35+00:00,0,True,12,active,True,True,3,0,0,2020-08-12 02:29:40,2020
102,113,False,113,2020-08-12 01:46:45+00:00,0,True,10,active,True,True,5,0,0,2020-08-12 02:29:40,2020
103,114,False,114,2020-08-12 01:45:38+00:00,0,True,8,active,True,True,7,0,0,2020-08-12 02:29:40,2020
104,115,False,115,2020-08-12 02:08:24+00:00,0,True,16,active,True,True,2,1,0,2020-08-12 02:29:40,2020
105,116,False,116,2020-08-12 02:13:12+00:00,0,True,10,active,True,True,13,0,0,2020-08-12 02:29:40,2020
106,117,False,117,2020-08-12 01:02:20+00:00,0,True,10,active,True,True,9,0,0,2020-08-12 02:29:40,2020
107,118,False,118,2020-08-12 00:44:08+00:00,0,True,15,active,True,True,4,0,0,2020-08-12 02:29:40,2020
108,119,False,119,2020-08-12 01:35:03+00:00,0,True,15,active,True,True,0,0,0,2020-08-12 02:29:40,2020
109,120,False,120,2020-08-12 02:16:19+00:00,0,True,12,active,True,True,3,0,0,2020-08-12 02:29:40,2020
110,121,False,121,2020-08-12 02:25:05+00:00,0,True,5,active,True,True,12,0,0,2020-08-12 02:29:40,2020
111,122,False,122,2020-08-12 01:51:23+00:00,0,True,4,active,True,True,11,0,0,2020-08-12 02:29:40,2020
112,124,False,124,2020-08-11 22:38:21+00:00,0,True,7,active,True,True,8,0,0,2020-08-12 02:29:40,2020
113,125,False,125,2020-08-12 02:23:35+00:00,0,True,6,active,True,True,9,0,0,2020-08-12 02:29:40,2020
114,126,False,126,2020-08-11 23:36:21+00:00,0,True,5,active,True,True,10,0,0,2020-08-12 02:29:40,2020
115,128,False,128,2020-08-12 00:43:13+00:00,0,True,6,active,True,True,12,1,0,2020-08-12 02:29:40,2020
116,129,False,129,2020-08-12 02:16:52+00:00,0,True,10,active,True,True,9,0,0,2020-08-12 02:29:40,2020
117,130,False,130,2020-08-12 02:05:39+00:00,0,True,12,active,True,True,3,0,0,2020-08-12 02:29:40,2020
118,131,False,131,2020-08-12 01:50:19+00:00,0,True,15,active,True,True,3,0,0,2020-08-12 02:29:40,2020
119,133,False,133,2020-08-12 02:05:08+00:00,0,True,14,active,True,True,9,0,0,2020-08-12 02:29:40,2020
120,135,False,135,2020-08-12 02:26:10+00:00,0,True,3,active,True,True,14,0,0,2020-08-12 02:29:40,2020
121,136,False,136,2020-08-12 00:50:09+00:00,0,True,2,active,True,True,17,0,0,2020-08-12 02:29:40,2020
122,137,False,137,2020-08-12 02:27:29+00:00,0,True,9,active,True,True,6,0,0,2020-08-12 02:29:40,2020
123,138,False,138,2020-08-12 00:35:21+00:00,0,True,13,active,True,True,1,1,0,2020-08-12 02:29:40,2020
124,139,False,139,2020-08-12 02:16:23+00:00,0,True,14,active,True,True,5,0,0,2020-08-12 02:29:40,2020
125,140,False,140,2020-08-12 01:16:00+00:00,0,True,17,active,True,True,0,0,0,2020-08-12 02:29:40,2020
126,141,False,141,2020-08-12 02:00:26+00:00,0,True,12,active,True,True,3,0,0,2020-08-12 02:29:40,2020
127,142,False,142,2020-08-11 23:51:08+00:00,0,True,12,active,True,True,10,1,0,2020-08-12 02:29:40,2020
128,143,False,143,2020-08-12 02:27:52+00:00,0,True,18,active,True,True,4,1,0,2020-08-12 02:29:40,2020
129,144,False,144,2020-08-12 01:08:03+00:00,0,True,16,active,True,True,2,1,0,2020-08-12 02:29:40,2020
130,145,False,145,2020-08-12 00:57:32+00:00,0,True,18,active,True,True,1,0,0,2020-08-12 02:29:40,2020
131,146,False,146,2020-08-12 02:07:46+00:00,0,True,9,active,True,True,10,0,0,2020-08-12 02:29:40,2020
132,149,True,149,2020-08-12 02:13:43+00:00,0,True,18,active,True,True,0,0,0,2020-08-12 02:29:40,2020
133,150,False,150,2020-08-12 01:54:03+00:00,0,True,16,active,True,True,2,1,0,2020-08-12 02:29:40,2020
134,151,False,151,2020-08-12 02:24:46+00:00,0,True,7,active,True,True,12,0,0,2020-08-12 02:29:40,2020
135,152,True,152,2020-08-12 00:59:42+00:00,0,True,5,active,True,True,10,0,0,2020-08-12 02:29:40,2020
136,156,False,156,2020-08-12 02:03:59+00:00,0,True,4,active,True,True,11,0,0,2020-08-12 02:29:40,2020
137,157,False,157,2020-08-12 02:18:03+00:00,0,True,0,active,True,True,14,1,0,2020-08-12 02:29:40,2020
138,159,False,159,2020-08-12 00:13:53+00:00,0,True,6,active,True,True,8,1,0,2020-08-12 02:29:40,2020
139,160,True,160,2020-08-12 01:46:07+00:00,0,True,1,active,True,True,13,0,0,2020-08-12 02:29:40,2020
140,161,True,161,2020-08-12 02:11:17+00:00,0,True,12,active,True,True,10,1,0,2020-08-12 02:29:40,2020
141,162,False,162,2020-08-12 00:57:50+00:00,0,True,5,active,True,True,10,0,0,2020-08-12 02:29:40,2020
142,163,True,163,2020-08-12 02:04:02+00:00,0,True,9,active,True,True,10,0,0,2020-08-12 02:29:40,2020
143,167,False,167,2020-08-12 02:07:53+00:00,0,True,4,active,True,True,11,0,0,2020-08-12 02:29:40,2020
144,169,False,169,2020-08-12 01:12:55+00:00,0,True,14,active,True,True,5,0,0,2020-08-12 02:29:40,2020
