,legacy_id,station_id,eightd_has_available_keys,num_bikes_available,is_returning,last_reported,station_status,is_renting,is_installed,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
199,232,232,False,4,True,2020-07-31 08:16:55+00:00,active,True,True,0,7,0,0,,,2020-07-31 22:51:35,2020
200,233,233,False,8,True,2020-07-31 22:51:17+00:00,active,True,True,2,5,0,0,,,2020-07-31 22:51:35,2020
201,234,234,False,5,True,2020-07-31 21:15:05+00:00,active,True,True,0,10,0,0,,,2020-07-31 22:51:35,2020
202,235,235,False,10,True,2020-07-31 22:05:49+00:00,active,True,True,0,5,0,0,,,2020-07-31 22:51:35,2020
203,236,236,False,7,True,2020-07-31 22:29:22+00:00,active,True,True,0,8,0,0,,,2020-07-31 22:51:35,2020
204,239,239,False,1,True,2020-07-31 22:13:40+00:00,active,True,True,1,13,0,0,,,2020-07-31 22:51:35,2020
205,255,255,False,12,True,2020-07-31 21:41:07+00:00,active,True,True,0,3,0,0,,,2020-07-31 22:51:35,2020
206,258,258,False,9,True,2020-07-31 22:32:35+00:00,active,True,True,0,6,0,0,,,2020-07-31 22:51:35,2020
207,259,259,False,0,True,2020-07-31 08:31:40+00:00,active,True,True,0,15,0,0,,,2020-07-31 22:51:35,2020
208,260,260,False,7,True,2020-07-31 21:57:10+00:00,active,True,True,0,8,0,0,,,2020-07-31 22:51:35,2020
209,271,271,False,0,True,2020-07-31 21:22:43+00:00,active,True,True,0,15,0,0,,,2020-07-31 22:51:35,2020
210,272,272,False,7,True,2020-07-31 22:36:37+00:00,active,True,True,2,10,0,0,,,2020-07-31 22:51:35,2020
211,273,273,False,26,True,2020-07-31 21:28:24+00:00,active,True,True,0,14,0,0,,,2020-07-31 22:51:35,2020
212,279,279,False,8,True,2020-07-31 22:36:34+00:00,active,True,True,0,11,0,0,,,2020-07-31 22:51:35,2020
213,280,280,False,5,True,2020-07-31 21:54:32+00:00,active,True,True,1,13,0,0,,,2020-07-31 22:51:35,2020
214,282,282,False,8,True,2020-07-31 22:41:13+00:00,active,True,True,3,4,0,0,,,2020-07-31 22:51:35,2020
215,296,296,False,15,True,2020-07-31 22:50:09+00:00,active,True,True,0,8,0,0,,,2020-07-31 22:51:35,2020
216,318,318,False,6,True,2020-07-31 22:45:57+00:00,active,True,True,0,13,0,0,,,2020-07-31 22:51:35,2020
217,319,319,False,7,True,2020-07-31 22:41:37+00:00,active,True,True,0,18,0,0,,,2020-07-31 22:51:35,2020
218,327,327,False,2,True,2020-07-31 22:14:41+00:00,active,True,True,0,13,0,0,,,2020-07-31 22:51:35,2020
219,328,328,False,7,True,2020-07-31 22:42:25+00:00,active,True,True,0,8,0,0,,,2020-07-31 22:51:35,2020
220,329,329,False,10,True,2020-07-31 21:44:48+00:00,active,True,True,0,5,0,0,,,2020-07-31 22:51:35,2020
221,330,330,False,0,True,2020-07-31 22:33:47+00:00,active,True,True,0,15,0,0,,,2020-07-31 22:51:35,2020
222,331,331,False,2,True,2020-07-31 22:34:06+00:00,active,True,True,2,11,0,0,,,2020-07-31 22:51:35,2020
223,332,332,False,3,True,2020-07-31 22:49:47+00:00,active,True,True,0,12,0,0,,,2020-07-31 22:51:35,2020
224,333,333,False,18,True,2020-07-31 22:03:47+00:00,active,True,True,0,7,0,0,,,2020-07-31 22:51:35,2020
225,334,334,False,12,True,2020-07-31 22:51:03+00:00,active,True,True,0,7,0,0,,,2020-07-31 22:51:35,2020
226,335,335,False,14,True,2020-07-31 22:47:46+00:00,active,True,True,0,5,0,0,,,2020-07-31 22:51:35,2020
227,336,336,False,10,True,2020-07-31 20:37:31+00:00,active,True,True,0,5,0,0,,,2020-07-31 22:51:35,2020
228,337,337,False,10,True,2020-07-31 19:55:26+00:00,active,True,True,1,4,0,0,,,2020-07-31 22:51:35,2020
229,338,338,False,2,True,2020-07-31 22:51:20+00:00,active,True,True,1,12,0,0,,,2020-07-31 22:51:35,2020
230,339,339,False,9,True,2020-07-31 21:58:05+00:00,active,True,True,1,5,0,0,,,2020-07-31 22:51:35,2020
231,340,340,False,15,True,2020-07-31 22:20:26+00:00,active,True,True,0,4,0,0,,,2020-07-31 22:51:35,2020
