,legacy_id,eightd_has_available_keys,num_bikes_available,num_bikes_disabled,num_ebikes_available,is_returning,num_docks_disabled,is_installed,last_reported,station_id,is_renting,num_docks_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
62,71,False,22,0,0,True,0,True,2020-08-07 00:42:23+00:00,71,True,1,active,,,2020-08-07 00:57:30,2020
63,72,False,6,0,0,True,0,True,2020-08-07 00:32:29+00:00,72,True,17,active,,,2020-08-07 00:57:30,2020
64,73,False,10,2,0,True,0,True,2020-08-07 00:57:20+00:00,73,True,3,active,,,2020-08-07 00:57:30,2020
65,74,True,11,0,0,True,0,True,2020-08-07 00:56:35+00:00,74,True,8,active,,,2020-08-07 00:57:30,2020
66,75,False,11,0,0,True,0,True,2020-08-07 00:31:23+00:00,75,True,4,active,,,2020-08-07 00:57:30,2020
67,76,False,3,1,0,True,0,True,2020-08-07 00:35:58+00:00,76,True,13,active,,,2020-08-07 00:57:30,2020
68,77,False,2,0,0,True,0,True,2020-08-06 23:35:53+00:00,77,True,13,active,,,2020-08-07 00:57:30,2020
69,78,False,17,1,0,True,0,True,2020-08-07 00:06:22+00:00,78,True,1,active,,,2020-08-07 00:57:30,2020
70,79,False,14,0,0,True,0,True,2020-08-07 00:42:26+00:00,79,True,5,active,,,2020-08-07 00:57:30,2020
71,80,False,0,0,0,True,0,True,2020-08-07 00:41:57+00:00,80,True,35,active,,,2020-08-07 00:57:30,2020
72,81,False,10,3,0,True,0,True,2020-08-07 00:53:15+00:00,81,True,6,active,,,2020-08-07 00:57:30,2020
73,82,False,8,0,0,True,0,True,2020-08-06 23:21:13+00:00,82,True,7,active,,,2020-08-07 00:57:30,2020
74,84,False,2,0,0,True,0,True,2020-08-07 00:56:48+00:00,84,True,13,active,,,2020-08-07 00:57:30,2020
75,85,False,2,0,0,True,0,True,2020-08-07 00:37:47+00:00,85,True,17,active,,,2020-08-07 00:57:30,2020
76,86,False,5,1,0,True,0,True,2020-08-07 00:54:51+00:00,86,True,13,active,,,2020-08-07 00:57:30,2020
77,87,False,10,0,0,True,0,True,2020-08-07 00:36:14+00:00,87,True,5,active,,,2020-08-07 00:57:30,2020
78,89,False,13,0,0,True,0,True,2020-08-07 00:50:52+00:00,89,True,6,active,,,2020-08-07 00:57:30,2020
79,90,False,6,0,0,True,0,True,2020-08-07 00:41:20+00:00,90,True,13,active,,,2020-08-07 00:57:30,2020
80,91,False,5,0,0,True,0,True,2020-08-07 00:30:29+00:00,91,True,14,active,,,2020-08-07 00:57:30,2020
81,92,False,8,1,0,True,0,True,2020-08-07 00:50:57+00:00,92,True,10,active,,,2020-08-07 00:57:30,2020
82,93,False,7,1,0,True,0,True,2020-08-07 00:46:34+00:00,93,True,7,active,,,2020-08-07 00:57:30,2020
83,94,False,6,0,0,True,0,True,2020-08-07 00:28:38+00:00,94,True,5,active,,,2020-08-07 00:57:30,2020
84,95,False,1,0,0,True,0,True,2020-08-07 00:35:56+00:00,95,True,14,active,,,2020-08-07 00:57:30,2020
85,96,False,7,0,0,True,0,True,2020-08-07 00:46:34+00:00,96,True,12,active,,,2020-08-07 00:57:30,2020
86,97,False,19,0,0,True,0,True,2020-08-07 00:56:20+00:00,97,True,0,active,,,2020-08-07 00:57:30,2020
87,98,False,8,1,0,True,0,True,2020-08-07 00:55:42+00:00,98,True,14,active,,,2020-08-07 00:57:30,2020
