,last_reported,eightd_has_available_keys,station_id,is_renting,num_docks_disabled,station_status,num_bikes_available,num_bikes_disabled,is_installed,is_returning,legacy_id,num_ebikes_available,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
78,2020-08-19 00:39:17+00:00,False,89,True,0,active,8,0,True,True,89,0,11,2020-08-19 00:51:30,2020
79,2020-08-19 00:49:26+00:00,False,90,True,0,active,12,0,True,True,90,0,7,2020-08-19 00:51:30,2020
80,2020-08-19 00:41:11+00:00,False,91,True,0,active,1,0,True,True,91,0,18,2020-08-19 00:51:30,2020
81,2020-08-19 00:24:51+00:00,False,92,True,0,active,18,1,True,True,92,0,0,2020-08-19 00:51:30,2020
82,2020-08-18 23:59:11+00:00,False,93,True,0,active,9,2,True,True,93,0,4,2020-08-19 00:51:30,2020
83,2020-08-19 00:15:24+00:00,False,94,True,0,active,1,0,True,True,94,0,10,2020-08-19 00:51:30,2020
84,2020-08-19 00:39:59+00:00,False,95,True,0,active,1,3,True,True,95,0,11,2020-08-19 00:51:30,2020
85,2020-08-19 00:31:33+00:00,False,96,True,0,active,6,0,True,True,96,0,13,2020-08-19 00:51:30,2020
86,2020-08-19 00:28:20+00:00,False,97,True,0,active,2,2,True,True,97,0,15,2020-08-19 00:51:30,2020
87,2020-08-19 00:50:11+00:00,False,98,True,0,active,8,0,True,True,98,0,15,2020-08-19 00:51:30,2020
88,2020-08-19 00:50:22+00:00,False,99,True,0,active,9,2,True,True,99,0,4,2020-08-19 00:51:30,2020
89,2020-08-19 00:51:11+00:00,True,100,True,0,active,11,1,True,True,100,0,13,2020-08-19 00:51:30,2020
90,2020-08-18 23:47:51+00:00,False,101,True,0,active,7,0,True,True,101,0,8,2020-08-19 00:51:30,2020
91,2020-08-19 00:30:43+00:00,False,102,True,0,active,5,0,True,True,102,0,10,2020-08-19 00:51:30,2020
92,2020-08-19 00:27:18+00:00,False,103,True,0,active,12,0,True,True,103,0,3,2020-08-19 00:51:30,2020
93,2020-08-19 00:03:47+00:00,False,104,True,0,active,5,0,True,True,104,0,14,2020-08-19 00:51:30,2020
94,2020-08-19 00:49:27+00:00,False,105,True,0,active,9,0,True,True,105,0,10,2020-08-19 00:51:30,2020
95,2020-08-18 20:26:10+00:00,False,106,True,0,active,8,0,True,True,106,0,7,2020-08-19 00:51:30,2020
96,2020-08-19 00:45:47+00:00,False,107,True,0,active,1,1,True,True,107,0,17,2020-08-19 00:51:30,2020
97,2020-08-18 23:33:25+00:00,False,108,True,0,active,7,0,True,True,108,0,10,2020-08-19 00:51:30,2020
98,2020-08-18 22:32:39+00:00,False,109,True,0,active,2,2,True,True,109,0,31,2020-08-19 00:51:30,2020
99,2020-08-19 00:24:08+00:00,False,110,True,0,active,1,0,True,True,110,0,14,2020-08-19 00:51:30,2020
100,2020-08-18 22:49:12+00:00,False,111,True,0,active,2,0,True,True,111,0,13,2020-08-19 00:51:30,2020
101,2020-08-19 00:39:38+00:00,False,112,True,0,active,7,0,True,True,112,0,8,2020-08-19 00:51:30,2020
102,2020-08-19 00:15:59+00:00,False,113,True,0,active,4,1,True,True,113,0,10,2020-08-19 00:51:30,2020
103,2020-08-19 00:38:35+00:00,False,114,True,0,active,4,0,True,True,114,0,11,2020-08-19 00:51:30,2020
104,2020-08-19 00:44:54+00:00,False,115,True,0,active,17,0,True,True,115,0,2,2020-08-19 00:51:30,2020
105,2020-08-19 00:42:18+00:00,False,116,True,0,active,6,0,True,True,116,0,17,2020-08-19 00:51:30,2020
106,2020-08-18 23:39:21+00:00,False,117,True,0,active,4,1,True,True,117,0,14,2020-08-19 00:51:30,2020
107,2020-08-19 00:42:08+00:00,False,118,True,0,active,13,1,True,True,118,0,5,2020-08-19 00:51:30,2020
108,2020-08-19 00:12:49+00:00,False,119,True,0,active,5,1,True,True,119,0,9,2020-08-19 00:51:30,2020
109,2020-08-19 00:44:14+00:00,False,120,True,0,active,13,0,True,True,120,0,2,2020-08-19 00:51:30,2020
110,2020-08-19 00:49:14+00:00,False,121,True,0,active,3,2,True,True,121,0,12,2020-08-19 00:51:30,2020
111,2020-08-19 00:33:38+00:00,False,122,True,0,active,3,0,True,True,122,0,12,2020-08-19 00:51:30,2020
112,2020-08-18 21:10:49+00:00,False,124,True,0,active,1,0,True,True,124,0,14,2020-08-19 00:51:30,2020
113,2020-08-19 00:21:25+00:00,False,125,True,1,active,7,1,True,True,125,0,6,2020-08-19 00:51:30,2020
114,2020-08-19 00:26:53+00:00,False,126,True,0,active,12,1,True,True,126,0,2,2020-08-19 00:51:30,2020
