,num_bikes_disabled,is_returning,is_renting,eightd_has_available_keys,num_docks_disabled,is_installed,num_ebikes_available,last_reported,station_status,num_docks_available,legacy_id,num_bikes_available,station_id,timestamp_of_data_read_request,year_station_last_reported
70,1,True,True,False,0,True,0,2020-08-12 02:39:49+00:00,active,1,79,17,79,2020-08-12 02:50:00,2020
71,0,True,True,False,0,True,0,2020-08-12 02:01:19+00:00,active,35,80,0,80,2020-08-12 02:50:00,2020
72,4,True,True,False,0,True,0,2020-08-12 01:59:06+00:00,active,2,81,13,81,2020-08-12 02:50:00,2020
73,0,True,True,False,0,True,0,2020-08-12 00:56:23+00:00,active,10,82,5,82,2020-08-12 02:50:00,2020
74,0,True,True,False,0,True,0,2020-08-12 02:27:53+00:00,active,3,84,12,84,2020-08-12 02:50:00,2020
75,0,True,True,False,0,True,0,2020-08-12 02:33:40+00:00,active,16,85,3,85,2020-08-12 02:50:00,2020
76,0,True,True,False,0,True,0,2020-08-12 01:42:11+00:00,active,11,86,8,86,2020-08-12 02:50:00,2020
77,0,True,True,False,0,True,0,2020-08-12 02:23:48+00:00,active,1,87,14,87,2020-08-12 02:50:00,2020
78,0,True,True,False,0,True,0,2020-08-12 02:14:00+00:00,active,14,89,5,89,2020-08-12 02:50:00,2020
79,1,True,True,False,0,True,0,2020-08-12 01:52:22+00:00,active,0,90,18,90,2020-08-12 02:50:00,2020
80,1,True,True,False,0,True,0,2020-08-12 02:12:54+00:00,active,18,91,0,91,2020-08-12 02:50:00,2020
81,1,True,True,False,0,True,0,2020-08-12 00:24:18+00:00,active,9,92,9,92,2020-08-12 02:50:00,2020
82,2,True,True,False,0,True,0,2020-08-12 02:39:27+00:00,active,0,93,13,93,2020-08-12 02:50:00,2020
83,0,True,True,False,0,True,0,2020-08-12 01:02:57+00:00,active,4,94,7,94,2020-08-12 02:50:00,2020
84,1,True,True,False,0,True,0,2020-08-12 01:08:07+00:00,active,13,95,1,95,2020-08-12 02:50:00,2020
85,1,True,True,False,0,True,0,2020-08-12 02:46:47+00:00,active,5,96,13,96,2020-08-12 02:50:00,2020
86,0,True,True,False,0,True,0,2020-08-12 02:28:32+00:00,active,4,97,15,97,2020-08-12 02:50:00,2020
87,0,False,False,False,0,True,0,2020-08-11 17:39:33+00:00,active,11,98,12,98,2020-08-12 02:50:00,2020
88,0,True,True,False,0,True,0,2020-08-12 01:23:21+00:00,active,6,99,9,99,2020-08-12 02:50:00,2020
89,1,True,True,True,0,True,0,2020-08-12 02:49:09+00:00,active,3,100,21,100,2020-08-12 02:50:00,2020
90,0,True,True,False,0,True,0,2020-08-12 01:21:02+00:00,active,5,101,10,101,2020-08-12 02:50:00,2020
91,0,True,True,False,0,True,0,2020-08-12 02:16:13+00:00,active,10,102,5,102,2020-08-12 02:50:00,2020
92,0,True,True,False,0,True,0,2020-08-12 01:12:57+00:00,active,7,103,8,103,2020-08-12 02:50:00,2020
93,0,True,True,False,0,True,0,2020-08-11 23:11:35+00:00,active,15,104,4,104,2020-08-12 02:50:00,2020
94,1,True,True,False,0,True,0,2020-08-12 02:41:28+00:00,active,3,105,15,105,2020-08-12 02:50:00,2020
95,1,True,True,False,0,True,0,2020-08-12 00:06:04+00:00,active,10,106,4,106,2020-08-12 02:50:00,2020
96,0,True,True,False,0,True,0,2020-08-12 02:42:11+00:00,active,13,107,6,107,2020-08-12 02:50:00,2020
97,0,True,True,False,0,True,0,2020-08-12 00:55:47+00:00,active,17,108,0,108,2020-08-12 02:50:00,2020
98,0,True,True,False,0,True,0,2020-08-12 01:21:37+00:00,active,26,109,9,109,2020-08-12 02:50:00,2020
99,1,True,True,False,0,True,0,2020-08-12 01:45:15+00:00,active,14,110,0,110,2020-08-12 02:50:00,2020
100,0,True,True,False,0,True,0,2020-08-12 01:04:02+00:00,active,7,111,8,111,2020-08-12 02:50:00,2020
101,0,True,True,False,0,True,0,2020-08-12 02:32:00+00:00,active,2,112,13,112,2020-08-12 02:50:00,2020
102,0,True,True,False,0,True,0,2020-08-12 01:46:45+00:00,active,5,113,10,113,2020-08-12 02:50:00,2020
103,0,True,True,False,0,True,0,2020-08-12 02:40:38+00:00,active,8,114,7,114,2020-08-12 02:50:00,2020
104,1,True,True,False,0,True,0,2020-08-12 02:08:24+00:00,active,2,115,16,115,2020-08-12 02:50:00,2020
105,0,True,True,False,0,True,0,2020-08-12 02:13:12+00:00,active,13,116,10,116,2020-08-12 02:50:00,2020
106,0,True,True,False,0,True,0,2020-08-12 01:02:20+00:00,active,9,117,10,117,2020-08-12 02:50:00,2020
107,0,True,True,False,0,True,0,2020-08-12 00:44:08+00:00,active,4,118,15,118,2020-08-12 02:50:00,2020
108,0,True,True,False,0,True,0,2020-08-12 02:48:23+00:00,active,1,119,14,119,2020-08-12 02:50:00,2020
109,0,True,True,False,0,True,0,2020-08-12 02:16:19+00:00,active,3,120,12,120,2020-08-12 02:50:00,2020
110,0,True,True,False,0,True,0,2020-08-12 02:40:57+00:00,active,11,121,6,121,2020-08-12 02:50:00,2020
111,0,True,True,False,0,True,0,2020-08-12 01:51:23+00:00,active,11,122,4,122,2020-08-12 02:50:00,2020
