,is_installed,num_docks_disabled,num_ebikes_available,eightd_has_available_keys,legacy_id,num_docks_available,num_bikes_available,station_id,num_bikes_disabled,last_reported,station_status,is_renting,is_returning,timestamp_of_data_read_request,year_station_last_reported
131,True,0,0,False,146,9,7,146,3,2020-08-09 01:06:12+00:00,active,True,True,2020-08-09 01:10:40,2020
132,True,0,0,True,149,0,18,149,0,2020-08-09 01:03:04+00:00,active,True,True,2020-08-09 01:10:40,2020
133,True,0,0,False,150,6,13,150,0,2020-08-09 01:06:21+00:00,active,True,True,2020-08-09 01:10:40,2020
134,True,0,0,False,151,16,1,151,2,2020-08-09 01:10:17+00:00,active,True,True,2020-08-09 01:10:40,2020
135,True,0,0,True,152,4,11,152,0,2020-08-09 00:41:09+00:00,active,True,True,2020-08-09 01:10:40,2020
136,True,0,0,False,156,10,4,156,1,2020-08-09 00:47:36+00:00,active,True,True,2020-08-09 01:10:40,2020
137,True,0,0,False,157,1,13,157,1,2020-08-09 01:07:44+00:00,active,True,True,2020-08-09 01:10:40,2020
138,True,0,0,False,159,10,4,159,1,2020-08-08 23:23:49+00:00,active,True,True,2020-08-09 01:10:40,2020
139,True,0,0,True,160,13,1,160,0,2020-08-09 01:02:29+00:00,active,True,True,2020-08-09 01:10:40,2020
140,True,0,0,False,161,9,13,161,1,2020-08-09 01:07:10+00:00,active,True,True,2020-08-09 01:10:40,2020
141,True,0,0,False,162,8,7,162,0,2020-08-08 23:58:27+00:00,active,True,True,2020-08-09 01:10:40,2020
142,True,0,0,True,163,1,18,163,0,2020-08-09 01:10:07+00:00,active,True,True,2020-08-09 01:10:40,2020
143,True,0,0,False,167,11,4,167,0,2020-08-09 00:06:50+00:00,active,True,True,2020-08-09 01:10:40,2020
144,True,0,0,False,169,0,19,169,0,2020-08-09 01:01:51+00:00,active,True,True,2020-08-09 01:10:40,2020
145,True,0,0,True,170,13,1,170,0,2020-08-08 23:31:10+00:00,active,True,True,2020-08-09 01:10:40,2020
146,True,0,0,True,171,18,5,171,0,2020-08-08 22:26:24+00:00,active,True,True,2020-08-09 01:10:40,2020
147,True,0,0,True,173,4,10,173,0,2020-08-08 22:38:07+00:00,active,True,True,2020-08-09 01:10:40,2020
148,True,0,0,False,174,12,3,174,0,2020-08-09 00:37:36+00:00,active,True,True,2020-08-09 01:10:40,2020
149,True,0,0,True,175,12,5,175,0,2020-08-09 01:05:24+00:00,active,True,True,2020-08-09 01:10:40,2020
150,True,0,0,False,176,5,9,176,1,2020-08-09 00:39:51+00:00,active,True,True,2020-08-09 01:10:40,2020
151,True,0,0,False,177,3,15,177,1,2020-08-09 00:51:05+00:00,active,True,True,2020-08-09 01:10:40,2020
152,True,0,0,False,178,8,10,178,1,2020-08-09 01:06:11+00:00,active,True,True,2020-08-09 01:10:40,2020
153,True,0,0,False,179,16,8,179,1,2020-08-09 01:07:06+00:00,active,True,True,2020-08-09 01:10:40,2020
154,True,0,0,False,180,13,6,180,0,2020-08-09 01:09:25+00:00,active,True,True,2020-08-09 01:10:40,2020
155,True,0,0,False,181,12,7,181,0,2020-08-09 00:56:54+00:00,active,True,True,2020-08-09 01:10:40,2020
156,True,0,0,True,182,10,9,182,0,2020-08-09 00:53:22+00:00,active,True,True,2020-08-09 01:10:40,2020
157,True,0,0,False,183,9,10,183,0,2020-08-08 23:55:01+00:00,active,True,True,2020-08-09 01:10:40,2020
158,True,0,0,False,184,17,2,184,0,2020-08-09 00:54:56+00:00,active,True,True,2020-08-09 01:10:40,2020
159,True,0,0,False,185,13,1,185,1,2020-08-09 00:48:59+00:00,active,True,True,2020-08-09 01:10:40,2020
160,True,0,0,True,186,6,7,186,2,2020-08-09 00:51:22+00:00,active,True,True,2020-08-09 01:10:40,2020
161,True,0,0,False,187,1,14,187,0,2020-08-08 23:20:04+00:00,active,True,True,2020-08-09 01:10:40,2020
162,True,0,0,False,188,9,6,188,0,2020-08-09 00:52:06+00:00,active,True,True,2020-08-09 01:10:40,2020
163,True,0,0,False,189,20,3,189,0,2020-08-09 01:05:13+00:00,active,True,True,2020-08-09 01:10:40,2020
164,True,0,0,True,190,22,12,190,3,2020-08-09 01:09:07+00:00,active,True,True,2020-08-09 01:10:40,2020
165,True,0,0,False,191,13,2,191,0,2020-08-08 22:20:05+00:00,active,True,True,2020-08-09 01:10:40,2020
166,True,0,0,False,192,13,5,192,1,2020-08-09 00:52:05+00:00,active,True,True,2020-08-09 01:10:40,2020
167,True,0,0,True,193,13,2,193,0,2020-08-09 00:10:21+00:00,active,True,True,2020-08-09 01:10:40,2020
168,True,0,0,False,194,14,5,194,0,2020-08-09 01:05:11+00:00,active,True,True,2020-08-09 01:10:40,2020
169,True,0,0,False,195,5,17,195,1,2020-08-09 01:05:45+00:00,active,True,True,2020-08-09 01:10:40,2020
170,True,0,0,True,196,5,5,196,0,2020-08-08 21:38:45+00:00,active,True,True,2020-08-09 01:10:40,2020
171,True,0,0,False,197,11,4,197,0,2020-08-09 00:27:48+00:00,active,True,True,2020-08-09 01:10:40,2020
172,True,0,0,False,199,14,1,199,0,2020-08-09 00:59:49+00:00,active,True,True,2020-08-09 01:10:40,2020
173,True,0,0,False,200,6,12,200,1,2020-08-09 00:53:52+00:00,active,True,True,2020-08-09 01:10:40,2020
174,True,0,0,False,201,12,3,201,0,2020-08-09 01:08:35+00:00,active,True,True,2020-08-09 01:10:40,2020
175,True,0,0,False,202,5,10,202,0,2020-08-08 23:23:08+00:00,active,True,True,2020-08-09 01:10:40,2020
176,True,0,0,False,203,13,1,203,1,2020-08-08 21:32:52+00:00,active,True,True,2020-08-09 01:10:40,2020
177,True,0,0,False,204,8,7,204,0,2020-08-08 22:15:53+00:00,active,True,True,2020-08-09 01:10:40,2020
178,True,0,0,False,205,9,6,205,0,2020-08-08 18:40:11+00:00,active,True,True,2020-08-09 01:10:40,2020
179,True,0,0,True,206,18,5,206,0,2020-08-08 23:50:29+00:00,active,True,True,2020-08-09 01:10:40,2020
180,True,0,0,True,208,11,4,208,0,2020-08-08 22:24:34+00:00,active,True,True,2020-08-09 01:10:40,2020
181,True,0,0,False,209,2,12,209,1,2020-08-08 23:08:20+00:00,active,True,True,2020-08-09 01:10:40,2020
182,True,0,0,False,210,13,2,210,0,2020-08-09 01:02:23+00:00,active,True,True,2020-08-09 01:10:40,2020
183,True,0,0,False,211,13,6,211,0,2020-08-09 00:40:16+00:00,active,True,True,2020-08-09 01:10:40,2020
184,True,0,0,False,212,9,24,212,0,2020-08-08 23:42:36+00:00,active,True,True,2020-08-09 01:10:40,2020
185,True,0,0,True,213,14,2,213,0,2020-08-08 20:56:20+00:00,active,True,True,2020-08-09 01:10:40,2020
186,True,0,0,False,214,2,13,214,0,2020-08-09 00:55:30+00:00,active,True,True,2020-08-09 01:10:40,2020
187,True,0,0,False,215,8,5,215,2,2020-08-09 01:02:11+00:00,active,True,True,2020-08-09 01:10:40,2020
188,True,0,0,False,216,7,12,216,0,2020-08-08 16:36:17+00:00,active,True,True,2020-08-09 01:10:40,2020
189,True,0,0,False,217,4,15,217,0,2020-08-09 01:01:26+00:00,active,True,True,2020-08-09 01:10:40,2020
190,True,0,0,False,218,2,12,218,1,2020-08-09 01:04:26+00:00,active,True,True,2020-08-09 01:10:40,2020
191,True,0,0,False,219,6,9,219,0,2020-08-08 23:32:14+00:00,active,True,True,2020-08-09 01:10:40,2020
192,True,0,0,False,221,1,17,221,1,2020-08-09 00:48:56+00:00,active,True,True,2020-08-09 01:10:40,2020
193,True,0,0,True,222,0,13,222,1,2020-08-08 23:43:06+00:00,active,True,True,2020-08-09 01:10:40,2020
194,True,0,0,False,224,5,11,224,1,2020-08-09 00:26:34+00:00,active,True,True,2020-08-09 01:10:40,2020
195,True,0,0,False,225,16,2,225,1,2020-08-09 00:52:21+00:00,active,True,True,2020-08-09 01:10:40,2020
196,True,0,0,False,226,14,1,226,0,2020-08-09 00:58:21+00:00,active,True,True,2020-08-09 01:10:40,2020
197,True,0,0,False,227,18,1,227,0,2020-08-09 00:19:03+00:00,active,True,True,2020-08-09 01:10:40,2020
198,True,0,0,False,228,17,2,228,0,2020-08-08 23:42:37+00:00,active,True,True,2020-08-09 01:10:40,2020
199,True,0,0,False,232,8,3,232,0,2020-08-08 18:50:24+00:00,active,True,True,2020-08-09 01:10:40,2020
200,True,0,0,False,233,14,0,233,1,2020-08-09 01:00:13+00:00,active,True,True,2020-08-09 01:10:40,2020
201,True,0,0,False,234,12,3,234,0,2020-08-08 21:59:58+00:00,active,True,True,2020-08-09 01:10:40,2020
202,True,0,0,False,235,11,3,235,1,2020-08-08 23:09:17+00:00,active,True,True,2020-08-09 01:10:40,2020
203,True,0,0,False,236,6,8,236,1,2020-08-09 00:09:48+00:00,active,True,True,2020-08-09 01:10:40,2020
204,True,0,0,False,239,10,4,239,1,2020-08-09 00:53:21+00:00,active,True,True,2020-08-09 01:10:40,2020
205,True,0,0,False,255,4,11,255,0,2020-08-08 23:27:56+00:00,active,True,True,2020-08-09 01:10:40,2020
206,True,0,0,False,258,7,8,258,0,2020-08-08 23:07:35+00:00,active,True,True,2020-08-09 01:10:40,2020
207,True,0,0,False,259,1,14,259,0,2020-08-08 22:38:42+00:00,active,True,True,2020-08-09 01:10:40,2020
208,True,0,0,False,260,3,12,260,0,2020-08-08 21:55:31+00:00,active,False,False,2020-08-09 01:10:40,2020
209,True,0,0,False,271,11,4,271,0,2020-08-08 23:44:12+00:00,active,True,True,2020-08-09 01:10:40,2020
210,True,0,0,False,272,10,9,272,0,2020-08-08 22:43:04+00:00,active,True,True,2020-08-09 01:10:40,2020
211,True,0,0,False,273,22,16,273,2,2020-08-09 00:48:03+00:00,active,True,True,2020-08-09 01:10:40,2020
212,True,0,0,False,279,2,17,279,0,2020-08-09 00:16:59+00:00,active,True,True,2020-08-09 01:10:40,2020
213,True,0,0,False,280,11,8,280,0,2020-08-08 22:33:47+00:00,active,True,True,2020-08-09 01:10:40,2020
214,True,0,0,False,282,0,15,282,0,2020-08-08 23:54:55+00:00,active,True,True,2020-08-09 01:10:40,2020
215,True,0,0,False,296,7,16,296,0,2020-08-09 00:49:48+00:00,active,True,True,2020-08-09 01:10:40,2020
216,True,0,0,False,318,13,5,318,1,2020-08-09 00:59:37+00:00,active,True,True,2020-08-09 01:10:40,2020
217,True,0,0,False,319,14,11,319,0,2020-08-09 00:23:57+00:00,active,True,True,2020-08-09 01:10:40,2020
218,True,0,0,False,327,3,12,327,0,2020-08-09 00:53:36+00:00,active,True,True,2020-08-09 01:10:40,2020
219,True,0,0,False,328,0,15,328,0,2020-08-09 00:48:45+00:00,active,True,True,2020-08-09 01:10:40,2020
220,True,0,0,False,329,5,10,329,0,2020-08-09 00:59:55+00:00,active,True,True,2020-08-09 01:10:40,2020
221,True,0,0,False,330,5,10,330,0,2020-08-09 00:49:39+00:00,active,True,True,2020-08-09 01:10:40,2020
222,True,0,0,False,331,14,1,331,0,2020-08-09 01:06:27+00:00,active,True,True,2020-08-09 01:10:40,2020
223,True,0,0,False,332,8,5,332,2,2020-08-09 01:07:03+00:00,active,True,True,2020-08-09 01:10:40,2020
224,True,0,0,False,333,3,22,333,0,2020-08-09 00:39:01+00:00,active,True,True,2020-08-09 01:10:40,2020
225,True,0,0,False,334,13,6,334,0,2020-08-09 00:43:04+00:00,active,True,True,2020-08-09 01:10:40,2020
226,True,0,0,False,335,13,6,335,0,2020-08-09 01:04:40+00:00,active,True,True,2020-08-09 01:10:40,2020
227,True,0,0,False,336,0,15,336,0,2020-08-08 23:51:58+00:00,active,True,True,2020-08-09 01:10:40,2020
228,True,0,0,False,337,0,15,337,0,2020-08-09 00:47:40+00:00,active,True,True,2020-08-09 01:10:40,2020
229,True,0,0,False,338,12,3,338,0,2020-08-09 00:19:33+00:00,active,True,True,2020-08-09 01:10:40,2020
230,True,0,0,False,339,1,14,339,0,2020-08-09 00:44:56+00:00,active,True,True,2020-08-09 01:10:40,2020
231,True,0,0,False,340,2,17,340,0,2020-08-08 23:33:58+00:00,active,True,True,2020-08-09 01:10:40,2020
232,True,0,0,True,341,11,4,341,0,2020-08-08 23:41:16+00:00,active,True,True,2020-08-09 01:10:40,2020
233,True,0,0,False,342,6,7,342,2,2020-08-09 01:07:38+00:00,active,True,True,2020-08-09 01:10:40,2020
234,True,0,0,False,343,9,6,343,0,2020-08-08 20:01:41+00:00,active,True,True,2020-08-09 01:10:40,2020
235,True,0,0,False,344,19,0,344,0,2020-08-08 23:29:27+00:00,active,True,True,2020-08-09 01:10:40,2020
236,True,0,0,False,345,11,8,345,0,2020-08-09 01:08:11+00:00,active,True,True,2020-08-09 01:10:40,2020
237,True,0,0,False,346,12,3,346,0,2020-08-09 01:04:07+00:00,active,True,True,2020-08-09 01:10:40,2020
238,True,0,0,False,347,2,13,347,0,2020-08-08 21:46:42+00:00,active,True,True,2020-08-09 01:10:40,2020
239,True,0,0,False,348,10,3,348,2,2020-08-08 20:53:27+00:00,active,True,True,2020-08-09 01:10:40,2020
240,True,0,0,True,349,11,6,349,0,2020-08-08 23:55:25+00:00,active,True,True,2020-08-09 01:10:40,2020
241,True,0,0,False,350,7,10,350,0,2020-08-08 19:15:00+00:00,active,True,True,2020-08-09 01:10:40,2020
242,True,0,0,False,351,9,6,351,0,2020-08-09 00:04:22+00:00,active,True,True,2020-08-09 01:10:40,2020
243,True,0,0,False,352,13,2,352,0,2020-08-09 01:03:52+00:00,active,True,True,2020-08-09 01:10:40,2020
244,True,0,0,True,353,8,7,353,0,2020-08-09 00:21:45+00:00,active,True,True,2020-08-09 01:10:40,2020
