,is_installed,num_docks_disabled,is_renting,num_docks_available,station_status,last_reported,num_bikes_available,legacy_id,is_returning,eightd_has_available_keys,num_ebikes_available,station_id,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
104,True,0,True,2,active,2020-08-13 20:24:22+00:00,14,115,True,False,0,115,3,,,2020-08-13 20:27:05,2020
105,True,0,True,17,active,2020-08-13 20:20:54+00:00,6,116,True,False,0,116,0,,,2020-08-13 20:27:05,2020
106,True,0,True,16,active,2020-08-13 20:24:21+00:00,3,117,True,False,0,117,0,,,2020-08-13 20:27:05,2020
107,True,0,True,5,active,2020-08-13 20:10:30+00:00,13,118,True,False,0,118,1,,,2020-08-13 20:27:05,2020
108,True,0,True,3,active,2020-08-13 20:22:35+00:00,12,119,True,False,0,119,0,,,2020-08-13 20:27:05,2020
109,True,0,True,7,active,2020-08-13 20:12:50+00:00,8,120,True,False,0,120,0,,,2020-08-13 20:27:05,2020
110,True,0,True,17,active,2020-08-13 19:02:11+00:00,0,121,True,False,0,121,0,,,2020-08-13 20:27:05,2020
111,True,0,True,7,active,2020-08-13 18:08:12+00:00,8,122,True,False,0,122,0,,,2020-08-13 20:27:05,2020
112,True,0,True,7,active,2020-08-13 20:10:43+00:00,7,124,True,False,0,124,1,,,2020-08-13 20:27:05,2020
113,True,0,True,12,active,2020-08-13 19:15:39+00:00,2,125,True,False,0,125,1,,,2020-08-13 20:27:05,2020
114,True,0,True,5,active,2020-08-13 20:19:25+00:00,9,126,True,False,0,126,1,,,2020-08-13 20:27:05,2020
115,True,0,True,12,active,2020-08-13 20:25:58+00:00,7,128,True,False,0,128,0,,,2020-08-13 20:27:05,2020
116,True,0,True,6,active,2020-08-13 19:24:01+00:00,13,129,True,False,0,129,0,,,2020-08-13 20:27:05,2020
117,True,0,True,1,active,2020-08-13 18:46:17+00:00,14,130,True,False,0,130,0,,,2020-08-13 20:27:05,2020
118,True,0,True,10,active,2020-08-13 20:12:29+00:00,6,131,True,False,0,131,2,,,2020-08-13 20:27:05,2020
119,True,0,True,18,active,2020-08-13 20:11:43+00:00,5,133,True,False,0,133,0,,,2020-08-13 20:27:05,2020
120,True,0,True,15,active,2020-08-13 20:09:52+00:00,2,135,True,False,0,135,0,,,2020-08-13 20:27:05,2020
