,eightd_has_available_keys,num_docks_available,num_docks_disabled,station_id,num_ebikes_available,legacy_id,last_reported,num_bikes_available,is_installed,is_renting,is_returning,num_bikes_disabled,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
288,False,7,0,400,0,400,2020-08-20 18:58:15+00:00,20,True,True,True,0,active,,,2020-08-20 21:20:45,2020
289,False,5,0,401,0,401,2020-08-20 21:17:41+00:00,10,True,True,True,0,active,,,2020-08-20 21:20:45,2020
290,False,14,0,402,0,402,2020-08-20 20:55:45+00:00,1,True,True,True,0,active,,,2020-08-20 21:20:45,2020
291,False,10,0,403,0,403,2020-08-20 21:06:03+00:00,4,True,True,True,1,active,,,2020-08-20 21:20:45,2020
292,False,14,0,404,0,404,2020-08-20 21:19:22+00:00,2,True,True,True,0,active,,,2020-08-20 21:20:45,2020
293,False,3,0,405,0,405,2020-08-20 18:28:47+00:00,16,True,True,True,0,active,,,2020-08-20 21:20:45,2020
294,False,3,0,406,0,406,2020-08-20 20:04:19+00:00,16,True,True,True,0,active,,,2020-08-20 21:20:45,2020
295,False,15,0,407,0,407,2020-08-20 20:02:43+00:00,4,True,True,True,0,active,,,2020-08-20 21:20:45,2020
296,False,6,0,408,0,408,2020-08-20 21:04:22+00:00,9,True,True,True,0,active,,,2020-08-20 21:20:45,2020
297,False,4,0,409,0,409,2020-08-20 21:17:14+00:00,15,True,True,True,0,active,,,2020-08-20 21:20:45,2020
298,False,15,0,410,0,410,2020-08-20 14:08:52+00:00,4,True,True,True,0,active,,,2020-08-20 21:20:45,2020
299,False,12,0,411,0,411,2020-08-20 17:29:01+00:00,3,True,True,True,0,active,,,2020-08-20 21:20:45,2020
300,False,8,0,412,0,412,2020-08-20 21:20:21+00:00,11,True,True,True,0,active,,,2020-08-20 21:20:45,2020
301,False,10,0,413,0,413,2020-08-20 21:19:15+00:00,9,True,True,True,0,active,,,2020-08-20 21:20:45,2020
302,False,19,0,414,0,414,2020-08-20 20:10:58+00:00,4,True,True,True,0,active,,,2020-08-20 21:20:45,2020
303,False,6,0,415,0,415,2020-08-20 21:10:37+00:00,13,True,True,True,0,active,,,2020-08-20 21:20:45,2020
304,False,10,0,416,0,416,2020-08-20 21:17:37+00:00,5,True,True,True,0,active,,,2020-08-20 21:20:45,2020
305,False,9,0,417,0,417,2020-08-20 20:52:21+00:00,10,True,True,True,0,active,,,2020-08-20 21:20:45,2020
306,False,7,0,419,0,419,2020-08-20 20:23:02+00:00,8,True,True,True,0,active,,,2020-08-20 21:20:45,2020
307,False,0,0,420,0,420,1970-01-02 00:00:00+00:00,0,False,False,False,0,out_of_service,,,2020-08-20 21:20:45,1970
308,False,12,0,421,0,421,2020-08-20 20:43:59+00:00,7,True,True,True,0,active,,,2020-08-20 21:20:45,2020
309,False,10,0,422,0,422,2020-08-20 05:44:37+00:00,5,True,True,True,0,active,,,2020-08-20 21:20:45,2020
310,False,8,0,423,0,423,2020-08-20 18:52:06+00:00,11,True,True,True,0,active,,,2020-08-20 21:20:45,2020
311,False,15,0,424,0,424,2020-08-20 19:02:54+00:00,4,True,True,True,0,active,,,2020-08-20 21:20:45,2020
312,False,15,0,425,0,425,2020-08-20 20:59:24+00:00,1,True,True,True,0,active,,,2020-08-20 21:20:45,2020
313,False,8,0,426,0,426,2020-08-20 21:08:59+00:00,19,True,True,True,0,active,,,2020-08-20 21:20:45,2020
314,False,19,0,427,0,427,2020-08-20 16:52:50+00:00,0,True,True,True,0,active,,,2020-08-20 21:20:45,2020
315,False,14,0,428,0,428,2020-08-20 21:13:02+00:00,5,True,True,True,0,active,,,2020-08-20 21:20:45,2020
316,False,3,0,430,0,430,2020-08-20 09:01:11+00:00,16,True,True,True,0,active,,,2020-08-20 21:20:45,2020
317,False,14,0,431,0,431,2020-08-20 17:16:57+00:00,1,True,True,True,0,active,,,2020-08-20 21:20:45,2020
318,False,15,0,432,0,432,2020-08-20 09:00:41+00:00,4,True,True,True,0,active,,,2020-08-20 21:20:45,2020
319,False,15,0,433,0,433,2020-08-20 08:54:48+00:00,4,True,True,True,0,active,,,2020-08-20 21:20:45,2020
320,False,17,0,434,0,434,2020-08-20 11:19:27+00:00,2,True,True,True,0,active,,,2020-08-20 21:20:45,2020
321,False,8,0,435,0,435,2020-08-20 19:42:53+00:00,7,True,True,True,0,active,,,2020-08-20 21:20:45,2020
322,False,9,0,436,0,436,2020-08-20 20:02:21+00:00,6,True,True,True,0,active,,,2020-08-20 21:20:45,2020
323,False,12,0,437,0,437,2020-08-20 21:12:10+00:00,7,True,True,True,0,active,,,2020-08-20 21:20:45,2020
324,False,5,0,440,0,440,2020-08-20 21:07:06+00:00,12,True,True,True,0,active,,,2020-08-20 21:20:45,2020
325,False,4,0,441,0,441,2020-08-20 21:16:21+00:00,15,True,True,True,0,active,,,2020-08-20 21:20:45,2020
326,False,0,0,442,0,442,2020-08-20 16:42:16+00:00,15,True,True,True,0,active,,,2020-08-20 21:20:45,2020
327,False,15,0,443,0,443,2020-08-20 20:55:11+00:00,3,True,True,True,1,active,,,2020-08-20 21:20:45,2020
328,False,11,0,445,0,445,2020-08-20 21:19:29+00:00,7,True,True,True,1,active,,,2020-08-20 21:20:45,2020
329,False,8,0,446,0,446,2020-08-20 20:45:42+00:00,4,True,True,True,0,active,,,2020-08-20 21:20:45,2020
330,False,14,0,447,0,447,2020-08-20 20:26:46+00:00,5,True,True,True,0,active,,,2020-08-20 21:20:45,2020
331,False,5,0,448,0,448,2020-08-20 19:37:36+00:00,6,True,True,True,0,active,,,2020-08-20 21:20:45,2020
332,False,0,0,449,0,449,1970-01-02 00:00:00+00:00,0,False,True,True,0,out_of_service,,,2020-08-20 21:20:45,1970
333,False,7,0,450,0,450,2020-08-20 20:29:11+00:00,8,True,True,True,0,active,,,2020-08-20 21:20:45,2020
334,False,8,0,451,0,451,2020-08-20 21:03:08+00:00,7,True,True,True,0,active,,,2020-08-20 21:20:45,2020
335,False,8,0,452,0,452,2020-08-20 21:17:14+00:00,7,True,True,True,0,active,,,2020-08-20 21:20:45,2020
336,False,7,0,453,0,453,2020-08-20 21:00:32+00:00,8,True,True,True,0,active,,,2020-08-20 21:20:45,2020
337,False,3,0,454,0,454,2020-08-20 21:03:32+00:00,12,True,True,True,0,active,,,2020-08-20 21:20:45,2020
338,False,6,0,455,0,455,2020-08-20 17:59:05+00:00,6,True,True,True,0,active,,,2020-08-20 21:20:45,2020
339,False,16,0,456,0,456,2020-08-20 19:54:23+00:00,2,True,True,True,1,active,,,2020-08-20 21:20:45,2020
340,False,1,0,457,0,457,2020-08-20 13:37:55+00:00,10,True,True,True,0,active,,,2020-08-20 21:20:45,2020
341,False,2,0,458,0,458,2020-08-20 21:18:51+00:00,6,True,True,True,3,active,,,2020-08-20 21:20:45,2020
342,False,18,0,459,0,459,2020-08-20 21:06:11+00:00,5,True,True,True,0,active,,,2020-08-20 21:20:45,2020
