,last_reported,is_renting,num_bikes_available,num_ebikes_available,station_status,legacy_id,num_docks_available,station_id,num_docks_disabled,num_bikes_disabled,eightd_has_available_keys,is_installed,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
87,2020-08-04 22:27:44+00:00,True,12,0,active,98,11,98,0,0,False,True,True,,,2020-08-04 22:49:10,2020
88,2020-08-04 22:22:32+00:00,True,6,0,active,99,9,99,0,0,False,True,True,,,2020-08-04 22:49:10,2020
89,2020-08-04 22:29:36+00:00,True,20,0,active,100,4,100,0,1,True,True,True,,,2020-08-04 22:49:10,2020
90,2020-08-04 21:47:00+00:00,True,15,0,active,101,0,101,0,0,False,True,True,,,2020-08-04 22:49:10,2020
91,2020-08-04 22:44:17+00:00,True,11,0,active,102,3,102,0,1,False,True,True,,,2020-08-04 22:49:10,2020
92,2020-08-04 22:39:08+00:00,True,6,0,active,103,8,103,0,1,False,True,True,,,2020-08-04 22:49:10,2020
93,2020-08-04 22:47:26+00:00,True,6,0,active,104,13,104,0,0,False,True,True,,,2020-08-04 22:49:10,2020
94,2020-08-04 22:45:21+00:00,True,2,0,active,105,17,105,0,0,False,True,True,,,2020-08-04 22:49:10,2020
95,2020-08-04 22:22:49+00:00,True,0,0,active,106,15,106,0,0,False,True,True,,,2020-08-04 22:49:10,2020
96,2020-08-04 22:48:44+00:00,True,1,0,active,107,18,107,0,0,False,True,True,,,2020-08-04 22:49:10,2020
97,2020-08-04 22:22:03+00:00,True,7,0,active,108,9,108,0,1,False,True,True,,,2020-08-04 22:49:10,2020
98,2020-08-04 22:40:08+00:00,True,10,0,active,109,23,109,0,2,False,True,True,,,2020-08-04 22:49:10,2020
99,2020-08-04 22:41:26+00:00,True,7,0,active,110,8,110,0,0,False,True,True,,,2020-08-04 22:49:10,2020
100,2020-08-04 19:14:24+00:00,True,1,0,active,111,14,111,0,0,False,True,True,,,2020-08-04 22:49:10,2020
101,2020-08-04 22:40:54+00:00,True,9,0,active,112,6,112,0,0,False,True,True,,,2020-08-04 22:49:10,2020
102,2020-08-04 22:39:38+00:00,True,13,0,active,113,2,113,0,0,False,True,True,,,2020-08-04 22:49:10,2020
103,2020-08-04 22:42:38+00:00,True,12,0,active,114,3,114,0,0,False,True,True,,,2020-08-04 22:49:10,2020
104,2020-08-04 22:43:40+00:00,True,15,0,active,115,4,115,0,0,False,True,True,,,2020-08-04 22:49:10,2020
105,2020-08-04 22:27:14+00:00,True,23,0,active,116,0,116,0,0,False,True,True,,,2020-08-04 22:49:10,2020
106,2020-08-04 22:48:01+00:00,True,5,0,active,117,14,117,0,0,False,True,True,,,2020-08-04 22:49:10,2020
107,2020-08-04 22:35:29+00:00,True,17,0,active,118,2,118,0,0,False,True,True,,,2020-08-04 22:49:10,2020
108,2020-08-04 22:39:53+00:00,True,5,0,active,119,10,119,0,0,False,True,True,,,2020-08-04 22:49:10,2020
109,2020-08-04 22:47:00+00:00,True,2,0,active,120,13,120,0,0,False,True,True,,,2020-08-04 22:49:10,2020
110,2020-08-04 22:38:23+00:00,True,1,0,active,121,16,121,0,0,False,True,True,,,2020-08-04 22:49:10,2020
111,2020-08-04 22:16:07+00:00,True,3,0,active,122,12,122,0,0,False,True,True,,,2020-08-04 22:49:10,2020
112,2020-08-04 21:00:19+00:00,True,1,0,active,124,14,124,0,0,False,True,True,,,2020-08-04 22:49:10,2020
113,2020-08-04 22:47:56+00:00,True,3,0,active,125,12,125,0,0,False,True,True,,,2020-08-04 22:49:10,2020
114,2020-08-04 19:26:30+00:00,True,2,0,active,126,13,126,0,0,False,True,True,,,2020-08-04 22:49:10,2020
115,2020-08-04 21:31:09+00:00,True,15,0,active,128,4,128,0,0,False,True,True,,,2020-08-04 22:49:10,2020
116,2020-08-04 22:37:04+00:00,True,17,0,active,129,2,129,0,0,False,True,True,,,2020-08-04 22:49:10,2020
117,2020-08-04 17:43:37+00:00,True,13,0,active,130,2,130,0,0,False,True,True,,,2020-08-04 22:49:10,2020
118,2020-08-04 22:33:45+00:00,True,11,0,active,131,7,131,0,0,False,True,True,,,2020-08-04 22:49:10,2020
119,2020-08-04 22:08:17+00:00,True,11,0,active,133,11,133,0,1,False,True,True,,,2020-08-04 22:49:10,2020
120,2020-08-04 18:45:12+00:00,True,12,0,active,135,5,135,0,0,False,True,True,,,2020-08-04 22:49:10,2020
121,2020-08-04 22:10:21+00:00,True,10,0,active,136,8,136,0,1,False,True,True,,,2020-08-04 22:49:10,2020
122,2020-08-04 22:40:19+00:00,True,7,0,active,137,8,137,0,0,False,True,True,,,2020-08-04 22:49:10,2020
123,2020-08-04 22:41:49+00:00,True,11,0,active,138,3,138,0,1,False,True,True,,,2020-08-04 22:49:10,2020
124,2020-08-04 22:24:09+00:00,True,8,0,active,139,11,139,0,0,False,True,True,,,2020-08-04 22:49:10,2020
125,2020-08-04 22:39:01+00:00,True,15,0,active,140,2,140,0,0,False,True,True,,,2020-08-04 22:49:10,2020
126,2020-08-04 22:43:48+00:00,True,7,0,active,141,7,141,0,1,False,True,True,,,2020-08-04 22:49:10,2020
127,2020-08-04 22:48:22+00:00,True,9,0,active,142,12,142,0,2,False,True,True,,,2020-08-04 22:49:10,2020
128,2020-08-04 22:48:50+00:00,True,12,0,active,143,10,143,0,1,False,True,True,,,2020-08-04 22:49:10,2020
129,2020-08-04 20:39:57+00:00,True,1,0,active,144,18,144,0,0,False,True,True,,,2020-08-04 22:49:10,2020
130,2020-08-04 22:19:55+00:00,True,15,0,active,145,4,145,0,0,False,True,True,,,2020-08-04 22:49:10,2020
131,2020-08-04 22:26:39+00:00,True,9,0,active,146,8,146,0,2,False,True,True,,,2020-08-04 22:49:10,2020
132,2020-08-04 22:14:31+00:00,True,7,0,active,149,11,149,0,0,True,True,True,,,2020-08-04 22:49:10,2020
133,2020-08-04 20:42:40+00:00,True,3,0,active,150,16,150,0,0,False,True,True,,,2020-08-04 22:49:10,2020
134,2020-08-04 22:36:10+00:00,True,9,0,active,151,10,151,0,0,False,True,True,,,2020-08-04 22:49:10,2020
135,2020-08-04 22:28:34+00:00,True,12,0,active,152,3,152,0,0,True,True,True,,,2020-08-04 22:49:10,2020
136,2020-08-04 22:18:05+00:00,True,3,0,active,156,12,156,0,0,False,True,True,,,2020-08-04 22:49:10,2020
137,2020-08-04 22:45:53+00:00,True,8,0,active,157,5,157,0,2,False,True,True,,,2020-08-04 22:49:10,2020
138,2020-08-04 21:42:20+00:00,True,3,0,active,159,11,159,0,1,False,True,True,,,2020-08-04 22:49:10,2020
139,2020-08-04 22:34:22+00:00,True,2,0,active,160,12,160,0,0,True,True,True,,,2020-08-04 22:49:10,2020
140,2020-08-04 22:47:14+00:00,True,7,0,active,161,16,161,0,0,True,True,True,,,2020-08-04 22:49:10,2020
141,2020-08-04 20:04:45+00:00,True,4,0,active,162,10,162,0,1,False,True,True,,,2020-08-04 22:49:10,2020
142,2020-08-04 20:19:09+00:00,True,5,0,active,163,14,163,0,0,True,True,True,,,2020-08-04 22:49:10,2020
143,2020-08-04 22:23:31+00:00,True,15,0,active,167,0,167,0,0,False,True,True,,,2020-08-04 22:49:10,2020
144,2020-08-04 21:44:42+00:00,True,16,0,active,169,3,169,0,0,False,True,True,,,2020-08-04 22:49:10,2020
145,2020-08-04 19:21:17+00:00,True,0,0,active,170,14,170,0,0,True,True,True,,,2020-08-04 22:49:10,2020
146,2020-08-04 22:20:17+00:00,True,6,0,active,171,17,171,0,0,True,True,True,,,2020-08-04 22:49:10,2020
147,2020-08-04 19:01:26+00:00,True,11,0,active,173,3,173,0,0,True,True,True,,,2020-08-04 22:49:10,2020
148,2020-08-04 22:17:48+00:00,True,8,0,active,174,7,174,0,0,False,True,True,,,2020-08-04 22:49:10,2020
149,2020-08-04 22:10:52+00:00,True,2,0,active,175,15,175,0,0,True,True,True,,,2020-08-04 22:49:10,2020
150,2020-08-04 22:44:39+00:00,True,6,0,active,176,9,176,0,0,False,True,True,,,2020-08-04 22:49:10,2020
151,2020-08-04 22:32:30+00:00,True,8,0,active,177,11,177,0,0,False,True,True,,,2020-08-04 22:49:10,2020
152,2020-08-04 22:46:16+00:00,True,13,0,active,178,6,178,0,0,False,True,True,,,2020-08-04 22:49:10,2020
153,2020-08-04 22:43:17+00:00,True,7,0,active,179,18,179,0,0,False,True,True,,,2020-08-04 22:49:10,2020
154,2020-08-04 22:41:24+00:00,True,14,0,active,180,4,180,0,1,False,True,True,,,2020-08-04 22:49:10,2020
155,2020-08-04 22:25:47+00:00,True,17,0,active,181,1,181,0,1,False,True,True,,,2020-08-04 22:49:10,2020
156,2020-08-04 22:37:11+00:00,True,3,0,active,182,14,182,0,2,True,True,True,,,2020-08-04 22:49:10,2020
157,2020-08-04 20:11:48+00:00,True,11,0,active,183,8,183,0,0,False,True,True,,,2020-08-04 22:49:10,2020
158,2020-08-04 22:44:00+00:00,True,4,0,active,184,13,184,0,2,False,True,True,,,2020-08-04 22:49:10,2020
159,2020-08-04 22:35:00+00:00,True,4,0,active,185,10,185,0,1,False,True,True,,,2020-08-04 22:49:10,2020
160,2020-08-04 22:40:44+00:00,True,7,0,active,186,8,186,0,0,True,True,True,,,2020-08-04 22:49:10,2020
161,2020-08-04 15:40:14+00:00,True,14,0,active,187,1,187,0,0,False,True,True,,,2020-08-04 22:49:10,2020
162,2020-08-04 18:46:44+00:00,True,2,0,active,188,13,188,0,0,False,True,True,,,2020-08-04 22:49:10,2020
163,2020-08-04 22:40:24+00:00,True,7,0,active,189,16,189,0,0,False,True,True,,,2020-08-04 22:49:10,2020
164,2020-08-04 22:48:51+00:00,True,16,0,active,190,19,190,0,2,True,True,True,,,2020-08-04 22:49:10,2020
165,2020-08-04 21:18:37+00:00,True,2,0,active,191,13,191,0,0,False,True,True,,,2020-08-04 22:49:10,2020
166,2020-08-04 22:33:11+00:00,True,4,0,active,192,15,192,0,0,False,True,True,,,2020-08-04 22:49:10,2020
167,2020-08-04 20:58:20+00:00,True,10,0,active,193,4,193,0,1,True,True,True,,,2020-08-04 22:49:10,2020
168,2020-08-04 22:42:14+00:00,True,6,0,active,194,13,194,0,0,False,True,True,,,2020-08-04 22:49:10,2020
169,2020-08-04 22:42:33+00:00,True,13,0,active,195,10,195,0,0,False,True,True,,,2020-08-04 22:49:10,2020
170,2020-08-04 22:12:24+00:00,True,2,0,active,196,8,196,0,0,True,True,True,,,2020-08-04 22:49:10,2020
171,2020-08-04 21:58:50+00:00,True,1,0,active,197,14,197,0,0,False,True,True,,,2020-08-04 22:49:10,2020
172,2020-08-04 19:45:54+00:00,True,13,0,active,199,2,199,0,0,False,True,True,,,2020-08-04 22:49:10,2020
173,2020-08-04 22:48:46+00:00,True,14,0,active,200,4,200,0,1,False,True,True,,,2020-08-04 22:49:10,2020
174,2020-08-04 12:17:44+00:00,True,0,0,active,201,15,201,0,0,False,True,True,,,2020-08-04 22:49:10,2020
175,2020-08-04 18:10:32+00:00,True,0,0,active,202,14,202,0,1,False,True,True,,,2020-08-04 22:49:10,2020
176,2020-08-04 08:21:44+00:00,True,6,0,active,203,9,203,0,0,False,True,True,,,2020-08-04 22:49:10,2020
177,2020-08-04 22:48:50+00:00,True,2,0,active,204,12,204,0,1,False,True,True,,,2020-08-04 22:49:10,2020
178,2020-08-04 19:24:51+00:00,True,8,0,active,205,7,205,0,0,False,True,True,,,2020-08-04 22:49:10,2020
179,2020-08-04 22:47:36+00:00,True,9,0,active,206,14,206,0,0,False,True,True,,,2020-08-04 22:49:10,2020
180,2020-08-04 22:41:05+00:00,True,13,0,active,208,2,208,0,0,True,True,True,,,2020-08-04 22:49:10,2020
181,2020-08-04 20:12:47+00:00,True,8,0,active,209,7,209,0,0,False,True,True,,,2020-08-04 22:49:10,2020
182,2020-08-04 18:57:17+00:00,True,1,0,active,210,13,210,0,1,False,True,True,,,2020-08-04 22:49:10,2020
183,2020-08-04 20:46:47+00:00,True,16,0,active,211,3,211,0,0,False,True,True,,,2020-08-04 22:49:10,2020
184,2020-08-04 22:45:45+00:00,True,21,0,active,212,12,212,0,0,False,True,True,,,2020-08-04 22:49:10,2020
