,station_status,num_docks_disabled,num_docks_available,legacy_id,is_renting,num_bikes_disabled,eightd_has_available_keys,is_returning,station_id,is_installed,last_reported,num_ebikes_available,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
66,active,0,13,75,True,0,False,True,75,True,2020-08-01 02:25:40+00:00,0,2,,,2020-08-01 02:26:25,2020
67,active,0,4,76,True,1,False,True,76,True,2020-08-01 02:07:33+00:00,0,12,,,2020-08-01 02:26:25,2020
68,active,0,7,77,True,1,False,True,77,True,2020-08-01 01:54:17+00:00,0,7,,,2020-08-01 02:26:25,2020
69,active,0,1,78,True,2,False,True,78,True,2020-08-01 02:08:51+00:00,0,16,,,2020-08-01 02:26:25,2020
70,active,0,5,79,True,0,False,True,79,True,2020-08-01 01:55:55+00:00,0,14,,,2020-08-01 02:26:25,2020
71,active,0,32,80,True,2,False,True,80,True,2020-08-01 02:20:34+00:00,0,1,,,2020-08-01 02:26:25,2020
72,active,0,18,81,True,0,False,True,81,True,2020-08-01 01:59:39+00:00,0,1,,,2020-08-01 02:26:25,2020
73,active,0,9,82,True,0,False,True,82,True,2020-07-31 23:34:40+00:00,0,6,,,2020-08-01 02:26:25,2020
74,active,0,13,84,True,0,False,True,84,True,2020-08-01 02:09:14+00:00,0,2,,,2020-08-01 02:26:25,2020
75,active,0,19,85,True,0,False,True,85,True,2020-08-01 00:16:04+00:00,0,0,,,2020-08-01 02:26:25,2020
76,active,0,7,86,True,0,False,True,86,True,2020-08-01 02:03:03+00:00,0,12,,,2020-08-01 02:26:25,2020
77,active,0,4,87,True,1,False,True,87,True,2020-08-01 01:24:30+00:00,0,10,,,2020-08-01 02:26:25,2020
78,active,0,1,89,True,0,False,True,89,True,2020-08-01 01:55:25+00:00,0,18,,,2020-08-01 02:26:25,2020
79,active,0,17,90,True,0,False,True,90,True,2020-08-01 02:21:27+00:00,0,2,,,2020-08-01 02:26:25,2020
80,active,0,15,91,True,0,False,True,91,True,2020-08-01 02:18:10+00:00,0,4,,,2020-08-01 02:26:25,2020
81,active,0,7,92,True,0,False,True,92,True,2020-07-31 23:47:39+00:00,0,12,,,2020-08-01 02:26:25,2020
82,active,0,2,93,True,3,False,True,93,True,2020-08-01 01:38:05+00:00,0,10,,,2020-08-01 02:26:25,2020
83,active,0,1,94,True,0,False,True,94,True,2020-08-01 01:38:15+00:00,0,10,,,2020-08-01 02:26:25,2020
84,active,0,11,95,True,0,False,True,95,True,2020-08-01 02:25:55+00:00,0,4,,,2020-08-01 02:26:25,2020
85,active,0,17,96,True,0,False,True,96,True,2020-08-01 01:47:06+00:00,0,2,,,2020-08-01 02:26:25,2020
86,active,0,12,97,True,1,False,True,97,True,2020-08-01 02:21:37+00:00,0,6,,,2020-08-01 02:26:25,2020
87,active,0,15,98,True,1,False,True,98,True,2020-08-01 01:55:11+00:00,0,6,,,2020-08-01 02:26:25,2020
88,active,0,8,99,True,1,False,True,99,True,2020-08-01 02:12:38+00:00,0,6,,,2020-08-01 02:26:25,2020
89,active,0,9,100,True,3,True,True,100,True,2020-08-01 02:25:31+00:00,0,13,,,2020-08-01 02:26:25,2020
90,active,0,11,101,True,0,False,True,101,True,2020-08-01 02:08:15+00:00,0,4,,,2020-08-01 02:26:25,2020
91,active,0,5,102,True,0,False,True,102,True,2020-08-01 01:15:32+00:00,0,10,,,2020-08-01 02:26:25,2020
92,active,0,11,103,True,1,False,True,103,True,2020-08-01 01:58:30+00:00,0,3,,,2020-08-01 02:26:25,2020
93,active,0,2,104,True,0,False,True,104,True,2020-08-01 01:41:01+00:00,0,17,,,2020-08-01 02:26:25,2020
94,active,0,2,105,True,0,False,True,105,True,2020-08-01 02:22:42+00:00,0,17,,,2020-08-01 02:26:25,2020
95,active,0,9,106,True,1,False,True,106,True,2020-08-01 00:37:19+00:00,0,5,,,2020-08-01 02:26:25,2020
96,active,0,19,107,True,0,False,True,107,True,2020-08-01 01:47:27+00:00,0,0,,,2020-08-01 02:26:25,2020
97,active,0,5,108,True,0,False,True,108,True,2020-08-01 02:00:47+00:00,0,12,,,2020-08-01 02:26:25,2020
98,active,0,8,109,True,2,False,True,109,True,2020-08-01 02:10:12+00:00,0,25,,,2020-08-01 02:26:25,2020
99,active,0,7,110,True,1,False,True,110,True,2020-08-01 01:55:05+00:00,0,7,,,2020-08-01 02:26:25,2020
100,active,0,14,111,True,0,False,True,111,True,2020-07-31 23:04:28+00:00,0,1,,,2020-08-01 02:26:25,2020
101,active,0,11,112,True,0,False,True,112,True,2020-08-01 02:21:12+00:00,0,4,,,2020-08-01 02:26:25,2020
102,active,0,5,113,True,1,False,True,113,True,2020-08-01 02:25:38+00:00,0,9,,,2020-08-01 02:26:25,2020
103,active,0,15,114,True,0,False,True,114,True,2020-08-01 02:18:23+00:00,0,0,,,2020-08-01 02:26:25,2020
104,active,0,5,115,True,1,False,True,115,True,2020-08-01 02:18:54+00:00,0,13,,,2020-08-01 02:26:25,2020
105,active,0,8,116,True,0,False,True,116,True,2020-08-01 01:46:51+00:00,0,15,,,2020-08-01 02:26:25,2020
106,active,0,16,117,True,1,False,True,117,True,2020-08-01 01:35:59+00:00,0,2,,,2020-08-01 02:26:25,2020
107,active,0,3,118,True,1,False,True,118,True,2020-08-01 01:57:01+00:00,0,15,,,2020-08-01 02:26:25,2020
108,active,0,0,119,True,1,False,True,119,True,2020-08-01 02:14:03+00:00,0,14,,,2020-08-01 02:26:25,2020
109,active,0,7,120,True,2,False,True,120,True,2020-08-01 02:19:59+00:00,0,6,,,2020-08-01 02:26:25,2020
110,active,0,13,121,True,0,False,True,121,True,2020-08-01 02:25:28+00:00,0,4,,,2020-08-01 02:26:25,2020
111,active,0,1,122,True,0,False,True,122,True,2020-08-01 01:54:32+00:00,0,14,,,2020-08-01 02:26:25,2020
112,active,0,10,124,True,0,False,True,124,True,2020-08-01 01:51:02+00:00,0,5,,,2020-08-01 02:26:25,2020
113,active,0,8,125,True,0,False,True,125,True,2020-08-01 01:48:02+00:00,0,7,,,2020-08-01 02:26:25,2020
114,active,0,3,126,True,0,False,True,126,True,2020-08-01 01:15:41+00:00,0,12,,,2020-08-01 02:26:25,2020
115,active,0,3,128,True,0,False,True,128,True,2020-08-01 01:48:00+00:00,0,16,,,2020-08-01 02:26:25,2020
116,active,0,9,129,True,0,False,True,129,True,2020-08-01 02:22:55+00:00,0,10,,,2020-08-01 02:26:25,2020
117,active,0,2,130,True,0,False,True,130,True,2020-08-01 01:36:43+00:00,0,13,,,2020-08-01 02:26:25,2020
118,active,0,8,131,True,4,False,True,131,True,2020-08-01 02:06:20+00:00,0,6,,,2020-08-01 02:26:25,2020
119,active,0,10,133,True,1,False,True,133,True,2020-08-01 01:47:40+00:00,0,12,,,2020-08-01 02:26:25,2020
120,active,0,14,135,True,0,False,True,135,True,2020-07-31 23:18:05+00:00,0,3,,,2020-08-01 02:26:25,2020
121,active,0,2,136,True,0,False,True,136,True,2020-08-01 02:24:04+00:00,0,17,,,2020-08-01 02:26:25,2020
122,active,0,10,137,True,0,False,True,137,True,2020-08-01 01:49:26+00:00,0,5,,,2020-08-01 02:26:25,2020
123,active,0,6,138,True,0,False,True,138,True,2020-08-01 02:03:15+00:00,0,9,,,2020-08-01 02:26:25,2020
124,active,0,4,139,True,0,False,True,139,True,2020-08-01 01:35:10+00:00,0,15,,,2020-08-01 02:26:25,2020
125,active,0,11,140,True,2,False,True,140,True,2020-08-01 02:06:37+00:00,0,4,,,2020-08-01 02:26:25,2020
126,active,0,15,141,True,0,False,True,141,True,2020-08-01 01:30:56+00:00,0,0,,,2020-08-01 02:26:25,2020
127,active,0,7,142,True,0,False,True,142,True,2020-08-01 02:16:40+00:00,0,16,,,2020-08-01 02:26:25,2020
128,active,0,9,143,True,1,False,True,143,True,2020-08-01 02:05:33+00:00,0,13,,,2020-08-01 02:26:25,2020
129,active,0,18,144,True,0,False,True,144,True,2020-08-01 01:01:13+00:00,0,1,,,2020-08-01 02:26:25,2020
130,active,0,9,145,True,0,False,True,145,True,2020-08-01 00:19:58+00:00,0,10,,,2020-08-01 02:26:25,2020
131,active,0,3,146,True,2,False,True,146,True,2020-08-01 02:24:26+00:00,0,14,,,2020-08-01 02:26:25,2020
132,active,0,14,149,True,0,True,True,149,True,2020-08-01 01:58:55+00:00,0,4,,,2020-08-01 02:26:25,2020
133,active,0,2,150,True,1,False,True,150,True,2020-08-01 01:49:33+00:00,0,16,,,2020-08-01 02:26:25,2020
134,active,0,13,151,True,2,False,True,151,True,2020-08-01 02:18:25+00:00,0,4,,,2020-08-01 02:26:25,2020
135,active,0,5,152,True,0,True,True,152,True,2020-08-01 01:35:58+00:00,0,10,,,2020-08-01 02:26:25,2020
136,active,0,14,156,True,0,False,True,156,True,2020-08-01 00:44:43+00:00,0,1,,,2020-08-01 02:26:25,2020
137,active,0,9,157,True,2,False,True,157,True,2020-08-01 02:18:37+00:00,0,4,,,2020-08-01 02:26:25,2020
138,active,0,8,159,True,1,False,True,159,True,2020-08-01 02:03:02+00:00,0,6,,,2020-08-01 02:26:25,2020
139,active,0,13,160,True,0,True,True,160,True,2020-08-01 02:15:44+00:00,0,1,,,2020-08-01 02:26:25,2020
140,active,0,1,161,True,0,True,True,161,True,2020-08-01 01:33:16+00:00,0,22,,,2020-08-01 02:26:25,2020
141,active,0,10,162,True,0,False,True,162,True,2020-08-01 00:50:29+00:00,0,5,,,2020-08-01 02:26:25,2020
142,active,0,3,163,True,0,True,True,163,True,2020-08-01 01:39:47+00:00,0,16,,,2020-08-01 02:26:25,2020
143,active,0,13,167,True,1,False,True,167,True,2020-08-01 01:13:02+00:00,0,1,,,2020-08-01 02:26:25,2020
144,active,0,15,169,True,0,False,True,169,True,2020-08-01 02:00:52+00:00,0,4,,,2020-08-01 02:26:25,2020
145,active,0,11,170,True,0,True,True,170,True,2020-08-01 02:25:18+00:00,0,3,,,2020-08-01 02:26:25,2020
146,active,0,16,171,True,0,True,True,171,True,2020-08-01 00:37:20+00:00,0,7,,,2020-08-01 02:26:25,2020
147,active,0,5,173,True,2,True,True,173,True,2020-08-01 01:45:23+00:00,0,7,,,2020-08-01 02:26:25,2020
148,active,0,7,174,True,0,False,True,174,True,2020-07-31 22:41:56+00:00,0,8,,,2020-08-01 02:26:25,2020
149,active,0,9,175,True,1,True,True,175,True,2020-08-01 02:26:00+00:00,0,7,,,2020-08-01 02:26:25,2020
150,active,0,9,176,True,0,False,True,176,True,2020-08-01 01:27:08+00:00,0,6,,,2020-08-01 02:26:25,2020
151,active,0,4,177,True,0,False,True,177,True,2020-08-01 02:19:09+00:00,0,15,,,2020-08-01 02:26:25,2020
152,active,0,16,178,True,0,False,True,178,True,2020-08-01 02:22:26+00:00,0,3,,,2020-08-01 02:26:25,2020
153,active,0,12,179,True,2,False,True,179,True,2020-08-01 01:55:31+00:00,0,11,,,2020-08-01 02:26:25,2020
154,active,0,10,180,True,0,False,True,180,True,2020-08-01 00:07:53+00:00,0,9,,,2020-08-01 02:26:25,2020
155,active,0,12,181,True,1,False,True,181,True,2020-08-01 00:10:48+00:00,0,6,,,2020-08-01 02:26:25,2020
156,active,0,14,182,True,2,True,True,182,True,2020-08-01 00:52:34+00:00,0,3,,,2020-08-01 02:26:25,2020
157,active,0,8,183,True,0,False,True,183,True,2020-08-01 02:08:48+00:00,0,11,,,2020-08-01 02:26:25,2020
158,active,0,17,184,True,0,False,True,184,True,2020-08-01 02:10:01+00:00,0,2,,,2020-08-01 02:26:25,2020
159,active,0,2,185,True,0,False,True,185,True,2020-08-01 01:36:21+00:00,0,13,,,2020-08-01 02:26:25,2020
160,active,0,6,186,True,0,True,True,186,True,2020-08-01 02:21:49+00:00,0,9,,,2020-08-01 02:26:25,2020
161,active,0,1,187,True,0,False,True,187,True,2020-08-01 00:12:13+00:00,0,14,,,2020-08-01 02:26:25,2020
162,active,0,11,188,True,0,False,True,188,True,2020-08-01 02:22:44+00:00,0,4,,,2020-08-01 02:26:25,2020
163,active,0,22,189,True,0,True,True,189,True,2020-08-01 01:00:44+00:00,0,1,,,2020-08-01 02:26:25,2020
164,active,0,9,190,True,3,True,True,190,True,2020-08-01 02:22:18+00:00,0,25,,,2020-08-01 02:26:25,2020
165,active,0,13,191,True,0,False,True,191,True,2020-07-31 20:45:59+00:00,0,2,,,2020-08-01 02:26:25,2020
166,active,0,7,192,True,2,False,True,192,True,2020-08-01 02:26:20+00:00,0,10,,,2020-08-01 02:26:25,2020
167,active,0,10,193,True,0,True,True,193,True,2020-08-01 01:48:30+00:00,0,5,,,2020-08-01 02:26:25,2020
168,active,0,6,194,True,0,False,True,194,True,2020-08-01 01:26:12+00:00,0,13,,,2020-08-01 02:26:25,2020
169,active,0,8,195,True,0,False,True,195,True,2020-08-01 02:08:59+00:00,0,15,,,2020-08-01 02:26:25,2020
170,active,0,8,196,True,1,True,True,196,True,2020-08-01 02:03:40+00:00,0,1,,,2020-08-01 02:26:25,2020
171,active,0,12,197,True,0,False,True,197,True,2020-08-01 00:15:01+00:00,0,3,,,2020-08-01 02:26:25,2020
172,active,0,4,199,True,2,False,True,199,True,2020-08-01 00:35:33+00:00,0,9,,,2020-08-01 02:26:25,2020
173,active,0,6,200,True,0,False,True,200,True,2020-08-01 00:42:39+00:00,0,13,,,2020-08-01 02:26:25,2020
174,active,0,15,201,True,0,False,True,201,True,2020-08-01 00:25:07+00:00,0,0,,,2020-08-01 02:26:25,2020
175,active,0,14,202,True,0,False,True,202,True,2020-08-01 00:06:34+00:00,0,1,,,2020-08-01 02:26:25,2020
176,active,0,9,203,True,0,False,True,203,True,2020-07-31 22:34:17+00:00,0,6,,,2020-08-01 02:26:25,2020
177,active,0,9,204,True,0,False,True,204,True,2020-08-01 01:36:29+00:00,0,6,,,2020-08-01 02:26:25,2020
178,active,0,8,205,True,0,False,True,205,True,2020-07-31 17:39:13+00:00,0,7,,,2020-08-01 02:26:25,2020
179,active,0,14,206,True,0,False,True,206,True,2020-08-01 02:05:12+00:00,0,9,,,2020-08-01 02:26:25,2020
180,active,0,3,208,True,0,True,True,208,True,2020-07-31 23:39:16+00:00,0,12,,,2020-08-01 02:26:25,2020
181,active,0,5,209,True,1,False,True,209,True,2020-07-31 23:54:16+00:00,0,9,,,2020-08-01 02:26:25,2020
182,active,0,13,210,True,0,False,True,210,True,2020-07-31 22:27:56+00:00,0,2,,,2020-08-01 02:26:25,2020
183,active,0,1,211,True,1,False,True,211,True,2020-08-01 00:22:59+00:00,0,17,,,2020-08-01 02:26:25,2020
184,active,0,10,212,True,0,False,True,212,True,2020-08-01 02:19:40+00:00,0,23,,,2020-08-01 02:26:25,2020
185,active,0,11,213,True,0,True,True,213,True,2020-08-01 00:39:13+00:00,0,5,,,2020-08-01 02:26:25,2020
186,active,0,15,214,True,0,False,True,214,True,2020-08-01 01:56:00+00:00,0,0,,,2020-08-01 02:26:25,2020
187,active,0,7,215,True,0,False,True,215,True,2020-08-01 02:24:23+00:00,0,8,,,2020-08-01 02:26:25,2020
188,active,0,3,216,True,0,False,True,216,True,2020-07-31 23:43:21+00:00,0,16,,,2020-08-01 02:26:25,2020
189,active,0,16,217,True,0,False,True,217,True,2020-08-01 02:12:19+00:00,0,3,,,2020-08-01 02:26:25,2020
190,active,0,1,218,True,0,False,True,218,True,2020-08-01 02:05:43+00:00,0,14,,,2020-08-01 02:26:25,2020
191,active,0,4,219,True,1,False,True,219,True,2020-08-01 00:17:23+00:00,0,10,,,2020-08-01 02:26:25,2020
192,active,0,14,221,True,0,False,True,221,True,2020-08-01 01:59:05+00:00,0,5,,,2020-08-01 02:26:25,2020
193,active,0,12,222,True,0,True,True,222,True,2020-08-01 01:34:51+00:00,0,2,,,2020-08-01 02:26:25,2020
194,active,0,5,224,True,2,False,True,224,True,2020-08-01 00:20:33+00:00,0,10,,,2020-08-01 02:26:25,2020
195,active,0,2,225,True,0,False,True,225,True,2020-08-01 01:51:30+00:00,0,17,,,2020-08-01 02:26:25,2020
196,active,0,11,226,True,1,False,True,226,True,2020-08-01 01:23:02+00:00,0,3,,,2020-08-01 02:26:25,2020
197,active,0,13,227,True,0,False,True,227,True,2020-08-01 02:16:03+00:00,0,6,,,2020-08-01 02:26:25,2020
198,active,0,14,228,True,0,False,True,228,True,2020-08-01 02:13:26+00:00,0,5,,,2020-08-01 02:26:25,2020
199,active,0,8,232,True,0,False,True,232,True,2020-07-31 23:23:50+00:00,0,3,,,2020-08-01 02:26:25,2020
200,active,0,1,233,True,2,False,True,233,True,2020-08-01 01:19:09+00:00,0,12,,,2020-08-01 02:26:25,2020
201,active,0,5,234,True,0,False,True,234,True,2020-08-01 01:33:25+00:00,0,10,,,2020-08-01 02:26:25,2020
202,active,0,6,235,True,0,False,True,235,True,2020-08-01 00:19:28+00:00,0,9,,,2020-08-01 02:26:25,2020
203,active,0,6,236,True,0,False,True,236,True,2020-08-01 02:23:10+00:00,0,9,,,2020-08-01 02:26:25,2020
204,active,0,4,239,True,1,False,True,239,True,2020-08-01 01:50:32+00:00,0,10,,,2020-08-01 02:26:25,2020
205,active,0,3,255,True,0,False,True,255,True,2020-07-31 21:41:07+00:00,0,12,,,2020-08-01 02:26:25,2020
206,active,0,1,258,True,0,False,True,258,True,2020-08-01 02:20:21+00:00,0,14,,,2020-08-01 02:26:25,2020
207,active,0,15,259,True,0,False,True,259,True,2020-07-31 08:31:40+00:00,0,0,,,2020-08-01 02:26:25,2020
208,active,0,15,260,True,0,False,True,260,True,2020-08-01 02:05:08+00:00,0,0,,,2020-08-01 02:26:25,2020
