,station_id,last_reported,num_docks_disabled,eightd_has_available_keys,is_renting,num_bikes_disabled,is_installed,num_ebikes_available,is_returning,num_docks_available,legacy_id,station_status,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
133,150,2020-08-05 00:47:33+00:00,0,False,True,0,True,0,True,16,150,active,3,2020-08-05 06:59:10,2020
134,151,2020-08-05 03:37:50+00:00,0,False,True,0,True,0,True,15,151,active,4,2020-08-05 06:59:10,2020
135,152,2020-08-05 00:47:51+00:00,0,True,True,0,True,0,True,3,152,active,12,2020-08-05 06:59:10,2020
136,156,2020-08-05 02:44:20+00:00,0,False,True,0,True,0,True,9,156,active,6,2020-08-05 06:59:10,2020
137,157,2020-08-05 02:07:51+00:00,0,False,True,2,True,0,True,8,157,active,5,2020-08-05 06:59:10,2020
138,159,2020-08-05 04:06:41+00:00,0,False,True,1,True,0,True,6,159,active,8,2020-08-05 06:59:10,2020
139,160,2020-08-05 00:38:43+00:00,0,True,True,0,True,0,True,14,160,active,0,2020-08-05 06:59:10,2020
140,161,2020-08-05 05:30:30+00:00,0,True,True,0,True,0,True,8,161,active,15,2020-08-05 06:59:10,2020
141,162,2020-08-05 05:50:46+00:00,0,False,True,1,True,0,True,10,162,active,4,2020-08-05 06:59:10,2020
142,163,2020-08-05 03:45:28+00:00,0,True,True,0,True,0,True,14,163,active,5,2020-08-05 06:59:10,2020
143,167,2020-08-05 05:19:36+00:00,0,False,True,2,True,0,True,0,167,active,13,2020-08-05 06:59:10,2020
144,169,2020-08-04 21:44:42+00:00,0,False,True,0,True,0,True,3,169,active,16,2020-08-05 06:59:10,2020
145,170,2020-08-05 00:41:34+00:00,0,True,True,0,True,0,True,13,170,active,1,2020-08-05 06:59:10,2020
146,171,2020-08-04 22:20:17+00:00,0,True,True,0,True,0,True,17,171,active,6,2020-08-05 06:59:10,2020
147,173,2020-08-05 00:46:57+00:00,0,True,True,0,True,0,True,1,173,active,13,2020-08-05 06:59:10,2020
148,174,2020-08-05 03:59:10+00:00,0,False,True,0,True,0,True,5,174,active,10,2020-08-05 06:59:10,2020
149,175,2020-08-05 05:03:16+00:00,0,True,True,0,True,0,True,13,175,active,4,2020-08-05 06:59:10,2020
150,176,2020-08-05 04:06:04+00:00,0,False,True,0,True,0,True,7,176,active,8,2020-08-05 06:59:10,2020
151,177,2020-08-05 02:38:57+00:00,0,False,True,1,True,0,True,11,177,active,7,2020-08-05 06:59:10,2020
152,178,2020-08-05 06:49:11+00:00,0,False,True,0,True,0,True,3,178,active,16,2020-08-05 06:59:10,2020
153,179,2020-08-05 04:34:58+00:00,0,False,True,0,True,0,True,21,179,active,4,2020-08-05 06:59:10,2020
154,180,2020-08-05 06:17:32+00:00,0,False,True,0,True,0,True,7,180,active,12,2020-08-05 06:59:10,2020
155,181,2020-08-05 06:21:46+00:00,0,False,True,0,True,0,True,1,181,active,18,2020-08-05 06:59:10,2020
