,num_docks_available,last_reported,legacy_id,station_id,is_renting,is_installed,is_returning,station_status,num_bikes_disabled,eightd_has_available_keys,num_bikes_available,num_docks_disabled,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
221,2,2020-08-07 23:13:23+00:00,330,330,True,True,True,active,0,False,13,0,0,,,2020-08-07 23:14:00,2020
222,11,2020-08-07 23:10:18+00:00,331,331,True,True,True,active,0,False,4,0,0,,,2020-08-07 23:14:00,2020
223,5,2020-08-07 23:02:54+00:00,332,332,True,True,True,active,0,False,10,0,0,,,2020-08-07 23:14:00,2020
224,6,2020-08-07 22:19:51+00:00,333,333,True,True,True,active,0,False,19,0,0,,,2020-08-07 23:14:00,2020
225,16,2020-08-07 23:07:43+00:00,334,334,True,True,True,active,0,False,3,0,0,,,2020-08-07 23:14:00,2020
226,16,2020-08-07 23:09:23+00:00,335,335,True,True,True,active,0,False,3,0,0,,,2020-08-07 23:14:00,2020
227,0,2020-08-07 22:02:29+00:00,336,336,True,True,True,active,0,False,15,0,0,,,2020-08-07 23:14:00,2020
228,2,2020-08-07 22:13:11+00:00,337,337,True,True,True,active,0,False,13,0,0,,,2020-08-07 23:14:00,2020
229,13,2020-08-07 23:05:00+00:00,338,338,True,True,True,active,0,False,2,0,0,,,2020-08-07 23:14:00,2020
230,1,2020-08-07 21:47:26+00:00,339,339,True,True,True,active,0,False,14,0,0,,,2020-08-07 23:14:00,2020
231,2,2020-08-07 08:53:19+00:00,340,340,True,True,True,active,0,False,17,0,0,,,2020-08-07 23:14:00,2020
232,15,2020-08-07 10:18:18+00:00,341,341,True,True,True,active,0,True,0,0,0,,,2020-08-07 23:14:00,2020
233,13,2020-08-07 23:06:59+00:00,342,342,True,True,True,active,0,False,2,0,0,,,2020-08-07 23:14:00,2020
234,8,2020-08-07 18:28:07+00:00,343,343,True,True,True,active,0,False,7,0,0,,,2020-08-07 23:14:00,2020
235,19,2020-08-07 19:50:24+00:00,344,344,True,True,True,active,0,False,0,0,0,,,2020-08-07 23:14:00,2020
236,7,2020-08-07 23:05:05+00:00,345,345,True,True,True,active,0,False,12,0,0,,,2020-08-07 23:14:00,2020
237,15,2020-08-07 23:04:52+00:00,346,346,True,True,True,active,0,False,0,0,0,,,2020-08-07 23:14:00,2020
238,3,2020-08-07 20:17:45+00:00,347,347,True,True,True,active,0,False,12,0,0,,,2020-08-07 23:14:00,2020
239,11,2020-08-07 21:55:28+00:00,348,348,True,True,True,active,0,False,4,0,0,,,2020-08-07 23:14:00,2020
240,10,2020-08-07 22:49:20+00:00,349,349,True,True,True,active,0,True,7,0,0,,,2020-08-07 23:14:00,2020
241,8,2020-08-07 09:50:52+00:00,350,350,True,True,True,active,0,False,9,0,0,,,2020-08-07 23:14:00,2020
242,8,2020-08-07 22:15:07+00:00,351,351,True,True,True,active,0,False,7,0,0,,,2020-08-07 23:14:00,2020
243,12,2020-08-07 22:51:46+00:00,352,352,True,True,True,active,0,False,3,0,0,,,2020-08-07 23:14:00,2020
244,8,2020-08-07 22:24:58+00:00,353,353,True,True,True,active,1,True,6,0,0,,,2020-08-07 23:14:00,2020
245,15,2020-08-07 23:06:12+00:00,354,354,True,True,True,active,0,False,0,0,0,,,2020-08-07 23:14:00,2020
246,5,2020-08-07 21:54:37+00:00,355,355,True,True,True,active,0,False,12,0,0,,,2020-08-07 23:14:00,2020
247,5,2020-08-07 23:09:18+00:00,356,356,True,True,True,active,0,False,18,0,0,,,2020-08-07 23:14:00,2020
248,1,2020-08-07 22:38:54+00:00,357,357,True,True,True,active,0,False,14,0,0,,,2020-08-07 23:14:00,2020
249,0,2020-08-07 21:12:23+00:00,358,358,True,True,True,active,0,False,19,0,0,,,2020-08-07 23:14:00,2020
250,13,2020-08-07 23:12:34+00:00,359,359,True,True,True,active,0,False,2,0,0,,,2020-08-07 23:14:00,2020
251,10,2020-08-07 22:48:14+00:00,360,360,True,True,True,active,0,False,5,0,0,,,2020-08-07 23:14:00,2020
252,6,2020-08-07 23:11:30+00:00,361,361,True,True,True,active,0,False,13,0,0,,,2020-08-07 23:14:00,2020
253,14,2020-08-07 22:46:58+00:00,362,362,True,True,True,active,0,False,5,0,0,,,2020-08-07 23:14:00,2020
254,9,2020-08-07 22:55:36+00:00,363,363,True,True,True,active,1,False,9,0,0,,,2020-08-07 23:14:00,2020
255,16,2020-08-07 23:11:21+00:00,364,364,True,True,True,active,1,False,2,0,0,,,2020-08-07 23:14:00,2020
