,num_docks_available,is_renting,is_returning,last_reported,num_ebikes_available,is_installed,num_bikes_disabled,station_id,num_docks_disabled,eightd_has_available_keys,station_status,legacy_id,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
76,6,True,True,2020-08-06 02:17:27+00:00,0,True,1,86,0,False,active,86,12,,,2020-08-06 02:58:30,2020
77,4,True,True,2020-08-06 02:52:40+00:00,0,True,0,87,0,False,active,87,11,,,2020-08-06 02:58:30,2020
78,5,True,True,2020-08-06 02:54:33+00:00,0,True,0,89,0,False,active,89,14,,,2020-08-06 02:58:30,2020
79,5,True,True,2020-08-06 02:51:39+00:00,0,True,1,90,0,False,active,90,13,,,2020-08-06 02:58:30,2020
80,16,True,True,2020-08-06 02:50:57+00:00,0,True,0,91,0,False,active,91,3,,,2020-08-06 02:58:30,2020
81,8,True,True,2020-08-06 00:04:06+00:00,0,True,1,92,0,False,active,92,10,,,2020-08-06 02:58:30,2020
82,7,True,True,2020-08-06 02:30:36+00:00,0,True,1,93,0,False,active,93,7,,,2020-08-06 02:58:30,2020
83,7,True,True,2020-08-06 02:17:20+00:00,0,True,1,94,0,False,active,94,3,,,2020-08-06 02:58:30,2020
84,2,True,True,2020-08-06 02:44:42+00:00,0,True,1,95,0,False,active,95,12,,,2020-08-06 02:58:30,2020
85,6,True,True,2020-08-06 02:52:09+00:00,0,True,0,96,0,False,active,96,13,,,2020-08-06 02:58:30,2020
86,6,True,True,2020-08-06 02:48:10+00:00,0,True,2,97,0,False,active,97,11,,,2020-08-06 02:58:30,2020
87,7,True,True,2020-08-06 02:18:08+00:00,0,True,2,98,0,False,active,98,14,,,2020-08-06 02:58:30,2020
88,1,True,True,2020-08-06 02:31:44+00:00,0,True,0,99,0,False,active,99,14,,,2020-08-06 02:58:30,2020
89,1,True,True,2020-08-06 02:28:54+00:00,0,True,1,100,0,True,active,100,23,,,2020-08-06 02:58:30,2020
90,0,True,True,2020-08-06 01:01:36+00:00,0,True,0,101,0,False,active,101,15,,,2020-08-06 02:58:30,2020
91,2,True,True,2020-08-06 00:38:50+00:00,0,True,0,102,0,False,active,102,13,,,2020-08-06 02:58:30,2020
92,8,True,True,2020-08-06 02:25:24+00:00,0,True,0,103,0,False,active,103,7,,,2020-08-06 02:58:30,2020
93,14,True,True,2020-08-06 02:53:38+00:00,0,True,0,104,0,False,active,104,5,,,2020-08-06 02:58:30,2020
94,3,True,True,2020-08-06 02:48:50+00:00,0,True,1,105,0,False,active,105,15,,,2020-08-06 02:58:30,2020
95,9,True,True,2020-08-06 01:52:42+00:00,0,True,0,106,0,False,active,106,6,,,2020-08-06 02:58:30,2020
96,18,True,True,2020-08-06 01:46:27+00:00,0,True,1,107,0,False,active,107,0,,,2020-08-06 02:58:30,2020
97,12,True,True,2020-08-06 02:57:16+00:00,0,True,0,108,0,False,active,108,5,,,2020-08-06 02:58:30,2020
98,26,True,True,2020-08-06 01:37:39+00:00,0,True,0,109,0,False,active,109,9,,,2020-08-06 02:58:30,2020
99,9,True,True,2020-08-06 02:38:41+00:00,0,True,0,110,0,False,active,110,6,,,2020-08-06 02:58:30,2020
100,14,True,True,2020-08-06 00:34:33+00:00,0,True,0,111,0,False,active,111,1,,,2020-08-06 02:58:30,2020
101,8,True,True,2020-08-05 23:52:28+00:00,0,True,0,112,0,False,active,112,7,,,2020-08-06 02:58:30,2020
102,0,True,True,2020-08-05 23:53:10+00:00,0,True,2,113,0,False,active,113,13,,,2020-08-06 02:58:30,2020
103,2,True,True,2020-08-06 02:26:55+00:00,0,True,1,114,0,False,active,114,12,,,2020-08-06 02:58:30,2020
104,5,True,True,2020-08-06 02:40:18+00:00,0,True,1,115,0,False,active,115,13,,,2020-08-06 02:58:30,2020
105,8,True,True,2020-08-06 02:38:53+00:00,0,True,0,116,0,False,active,116,15,,,2020-08-06 02:58:30,2020
106,4,True,True,2020-08-06 02:15:24+00:00,0,True,1,117,0,False,active,117,14,,,2020-08-06 02:58:30,2020
107,4,True,True,2020-08-06 02:05:23+00:00,0,True,1,118,0,False,active,118,14,,,2020-08-06 02:58:30,2020
108,1,True,True,2020-08-06 02:46:14+00:00,0,True,0,119,0,False,active,119,14,,,2020-08-06 02:58:30,2020
109,3,True,True,2020-08-06 02:56:30+00:00,0,True,1,120,0,False,active,120,11,,,2020-08-06 02:58:30,2020
110,1,True,True,2020-08-06 02:56:20+00:00,0,True,0,121,0,False,active,121,16,,,2020-08-06 02:58:30,2020
111,7,True,True,2020-08-06 01:05:46+00:00,0,True,0,122,0,False,active,122,8,,,2020-08-06 02:58:30,2020
112,9,True,True,2020-08-06 00:27:27+00:00,0,True,0,124,0,False,active,124,6,,,2020-08-06 02:58:30,2020
113,2,True,True,2020-08-06 02:39:45+00:00,0,True,1,125,0,False,active,125,12,,,2020-08-06 02:58:30,2020
114,13,True,True,2020-08-05 23:52:34+00:00,0,True,0,126,0,False,active,126,2,,,2020-08-06 02:58:30,2020
115,5,True,True,2020-08-06 02:33:18+00:00,0,True,0,128,0,False,active,128,14,,,2020-08-06 02:58:30,2020
116,0,True,True,2020-08-06 01:57:13+00:00,0,True,0,129,0,False,active,129,19,,,2020-08-06 02:58:30,2020
117,4,True,True,2020-08-06 02:35:25+00:00,0,True,0,130,0,False,active,130,11,,,2020-08-06 02:58:30,2020
118,0,True,True,2020-08-06 01:34:45+00:00,0,True,1,131,0,False,active,131,17,,,2020-08-06 02:58:30,2020
119,9,True,True,2020-08-06 01:01:45+00:00,0,True,1,133,0,False,active,133,13,,,2020-08-06 02:58:30,2020
120,8,True,True,2020-08-06 00:12:05+00:00,0,True,0,135,0,False,active,135,9,,,2020-08-06 02:58:30,2020
