,num_bikes_available,is_installed,last_reported,station_id,eightd_has_available_keys,station_status,num_docks_available,num_ebikes_available,num_bikes_disabled,is_returning,legacy_id,is_renting,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
63,3,True,2020-08-04 21:58:07+00:00,72,False,active,20,0,0,True,72,True,0,,,2020-08-04 22:38:55,2020
64,3,True,2020-08-04 22:28:05+00:00,73,False,active,12,0,0,True,73,True,0,,,2020-08-04 22:38:55,2020
65,10,True,2020-08-04 22:08:13+00:00,74,True,active,9,0,0,True,74,True,0,,,2020-08-04 22:38:55,2020
66,1,True,2020-08-04 20:57:27+00:00,75,False,active,14,0,0,True,75,True,0,,,2020-08-04 22:38:55,2020
67,7,True,2020-08-04 22:13:28+00:00,76,False,active,10,0,0,True,76,True,0,,,2020-08-04 22:38:55,2020
68,7,True,2020-08-04 21:20:54+00:00,77,False,active,8,0,0,True,77,True,0,,,2020-08-04 22:38:55,2020
69,17,True,2020-08-04 22:37:09+00:00,78,False,active,2,0,0,True,78,True,0,,,2020-08-04 22:38:55,2020
70,13,True,2020-08-04 22:36:03+00:00,79,False,active,6,0,0,True,79,True,0,,,2020-08-04 22:38:55,2020
71,15,True,2020-08-04 22:30:57+00:00,80,False,active,20,0,0,True,80,True,0,,,2020-08-04 22:38:55,2020
72,0,True,2020-08-04 22:09:55+00:00,81,False,active,18,0,1,True,81,True,0,,,2020-08-04 22:38:55,2020
73,11,True,2020-08-04 22:36:10+00:00,82,False,active,3,0,1,True,82,True,0,,,2020-08-04 22:38:55,2020
74,8,True,2020-08-04 22:08:43+00:00,84,False,active,7,0,0,True,84,True,0,,,2020-08-04 22:38:55,2020
75,5,True,2020-08-04 22:20:33+00:00,85,False,active,12,0,2,True,85,True,0,,,2020-08-04 22:38:55,2020
76,8,True,2020-08-04 22:32:54+00:00,86,False,active,11,0,0,True,86,True,0,,,2020-08-04 22:38:55,2020
