,is_returning,num_bikes_available,station_id,num_bikes_disabled,is_installed,num_docks_disabled,station_status,is_renting,num_docks_available,legacy_id,last_reported,eightd_has_available_keys,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
133,True,10,150,1,True,0,active,True,8,150,2020-08-14 00:45:52+00:00,False,0,2020-08-14 01:33:35,2020
134,True,2,151,1,True,0,active,True,16,151,2020-08-14 00:51:34+00:00,False,0,2020-08-14 01:33:35,2020
135,True,12,152,0,True,0,active,True,3,152,2020-08-14 01:01:17+00:00,True,0,2020-08-14 01:33:35,2020
136,True,9,156,0,True,0,active,True,6,156,2020-08-14 00:35:23+00:00,False,0,2020-08-14 01:33:35,2020
137,True,8,157,1,True,0,active,True,6,157,2020-08-14 01:23:47+00:00,False,0,2020-08-14 01:33:35,2020
138,True,5,159,0,True,0,active,True,10,159,2020-08-14 01:08:10+00:00,False,0,2020-08-14 01:33:35,2020
139,True,6,160,0,True,0,active,True,8,160,2020-08-14 01:31:57+00:00,True,0,2020-08-14 01:33:35,2020
140,True,13,161,2,True,0,active,True,8,161,2020-08-14 01:32:59+00:00,True,0,2020-08-14 01:33:35,2020
141,True,2,162,0,True,0,active,True,13,162,2020-08-14 00:05:05+00:00,False,0,2020-08-14 01:33:35,2020
142,True,8,163,0,True,0,active,True,11,163,2020-08-14 01:32:02+00:00,True,0,2020-08-14 01:33:35,2020
143,True,3,167,0,True,0,active,True,12,167,2020-08-14 00:43:08+00:00,False,0,2020-08-14 01:33:35,2020
144,True,5,169,0,True,0,active,True,14,169,2020-08-14 00:46:44+00:00,False,0,2020-08-14 01:33:35,2020
145,True,11,170,0,True,0,active,True,3,170,2020-08-14 00:57:47+00:00,True,0,2020-08-14 01:33:35,2020
146,True,10,171,0,True,0,active,True,13,171,2020-08-14 01:11:39+00:00,True,0,2020-08-14 01:33:35,2020
147,True,12,173,0,True,0,active,True,2,173,2020-08-14 00:11:05+00:00,True,0,2020-08-14 01:33:35,2020
148,True,5,174,2,True,0,active,True,8,174,2020-08-14 01:05:35+00:00,False,0,2020-08-14 01:33:35,2020
149,True,10,175,2,True,0,active,True,5,175,2020-08-14 00:46:48+00:00,True,0,2020-08-14 01:33:35,2020
150,True,11,176,0,True,0,active,True,4,176,2020-08-14 00:33:30+00:00,False,0,2020-08-14 01:33:35,2020
151,True,4,177,0,True,0,active,True,15,177,2020-08-14 01:16:26+00:00,False,0,2020-08-14 01:33:35,2020
152,True,5,178,0,True,0,active,True,14,178,2020-08-14 01:19:40+00:00,False,0,2020-08-14 01:33:35,2020
153,True,13,179,0,True,0,active,True,12,179,2020-08-14 01:31:54+00:00,False,0,2020-08-14 01:33:35,2020
154,True,7,180,0,True,0,active,True,12,180,2020-08-14 00:52:09+00:00,False,0,2020-08-14 01:33:35,2020
155,True,12,181,0,True,0,active,True,7,181,2020-08-14 00:22:00+00:00,False,0,2020-08-14 01:33:35,2020
156,True,6,182,0,True,0,active,True,13,182,2020-08-14 00:51:12+00:00,True,0,2020-08-14 01:33:35,2020
157,True,3,183,1,True,0,active,True,15,183,2020-08-14 00:10:29+00:00,False,0,2020-08-14 01:33:35,2020
158,True,4,184,0,True,0,active,True,15,184,2020-08-14 01:06:02+00:00,False,0,2020-08-14 01:33:35,2020
159,True,9,185,0,True,0,active,True,6,185,2020-08-14 01:13:28+00:00,False,0,2020-08-14 01:33:35,2020
160,True,12,186,0,True,0,active,True,3,186,2020-08-14 01:31:48+00:00,True,0,2020-08-14 01:33:35,2020
161,True,6,187,0,True,0,active,True,9,187,2020-08-14 00:26:24+00:00,False,0,2020-08-14 01:33:35,2020
162,True,12,188,0,True,0,active,True,3,188,2020-08-14 01:25:21+00:00,False,0,2020-08-14 01:33:35,2020
163,True,1,189,0,True,0,active,True,22,189,2020-08-14 01:31:03+00:00,True,0,2020-08-14 01:33:35,2020
164,True,16,190,1,True,0,active,True,20,190,2020-08-14 01:24:56+00:00,True,0,2020-08-14 01:33:35,2020
165,True,4,191,0,True,0,active,True,11,191,2020-08-14 00:22:33+00:00,False,0,2020-08-14 01:33:35,2020
166,True,1,192,0,True,0,active,True,18,192,2020-08-14 01:25:01+00:00,False,0,2020-08-14 01:33:35,2020
167,True,10,193,1,True,0,active,True,4,193,2020-08-14 00:49:35+00:00,True,0,2020-08-14 01:33:35,2020
168,True,6,194,0,True,0,active,True,13,194,2020-08-14 01:20:07+00:00,False,0,2020-08-14 01:33:35,2020
169,True,8,195,1,True,0,active,True,14,195,2020-08-14 01:18:30+00:00,False,0,2020-08-14 01:33:35,2020
170,True,0,196,1,True,0,active,True,9,196,2020-08-13 22:31:42+00:00,True,0,2020-08-14 01:33:35,2020
171,True,3,197,1,True,0,active,True,11,197,2020-08-13 23:59:03+00:00,False,0,2020-08-14 01:33:35,2020
172,True,6,199,0,True,0,active,True,9,199,2020-08-13 23:52:47+00:00,False,0,2020-08-14 01:33:35,2020
173,True,12,200,0,True,0,active,True,7,200,2020-08-14 01:27:49+00:00,False,0,2020-08-14 01:33:35,2020
174,True,10,201,0,True,0,active,True,5,201,2020-08-14 00:14:03+00:00,False,0,2020-08-14 01:33:35,2020
175,True,1,202,0,True,0,active,True,14,202,2020-08-13 20:38:42+00:00,False,0,2020-08-14 01:33:35,2020
176,True,0,203,0,True,0,active,True,15,203,2020-08-13 14:09:27+00:00,False,0,2020-08-14 01:33:35,2020
177,True,1,204,1,True,0,active,True,13,204,2020-08-13 23:23:03+00:00,False,0,2020-08-14 01:33:35,2020
178,True,3,205,0,True,0,active,True,12,205,2020-08-14 01:05:54+00:00,False,0,2020-08-14 01:33:35,2020
179,True,3,206,1,True,0,active,True,19,206,2020-08-13 23:52:23+00:00,True,0,2020-08-14 01:33:35,2020
180,True,10,208,0,True,0,active,True,5,208,2020-08-14 00:41:20+00:00,True,0,2020-08-14 01:33:35,2020
181,True,8,209,0,True,0,active,True,7,209,2020-08-13 22:18:03+00:00,False,0,2020-08-14 01:33:35,2020
182,True,4,210,0,True,0,active,True,11,210,2020-08-14 00:34:46+00:00,False,0,2020-08-14 01:33:35,2020
183,True,8,211,0,True,0,active,True,11,211,2020-08-14 00:26:57+00:00,False,0,2020-08-14 01:33:35,2020
184,True,14,212,0,True,0,active,True,19,212,2020-08-14 00:47:13+00:00,False,0,2020-08-14 01:33:35,2020
185,True,5,213,0,True,0,active,True,11,213,2020-08-14 00:14:05+00:00,True,0,2020-08-14 01:33:35,2020
186,True,10,214,0,True,0,active,True,5,214,2020-08-14 01:05:11+00:00,False,0,2020-08-14 01:33:35,2020
187,True,5,215,0,True,0,active,True,10,215,2020-08-13 23:26:48+00:00,False,0,2020-08-14 01:33:35,2020
188,True,18,216,1,True,0,active,True,0,216,2020-08-13 22:08:51+00:00,False,0,2020-08-14 01:33:35,2020
189,True,9,217,0,True,0,active,True,10,217,2020-08-14 01:27:38+00:00,False,0,2020-08-14 01:33:35,2020
190,True,13,218,0,True,0,active,True,2,218,2020-08-14 01:24:04+00:00,False,0,2020-08-14 01:33:35,2020
191,True,5,219,1,True,0,active,True,9,219,2020-08-14 00:59:22+00:00,False,0,2020-08-14 01:33:35,2020
192,True,8,221,0,True,0,active,True,11,221,2020-08-14 01:24:19+00:00,False,0,2020-08-14 01:33:35,2020
193,True,3,222,0,True,0,active,True,11,222,2020-08-14 00:45:02+00:00,True,0,2020-08-14 01:33:35,2020
194,True,12,224,2,True,0,active,True,3,224,2020-08-13 23:27:44+00:00,False,0,2020-08-14 01:33:35,2020
195,True,5,225,0,True,0,active,True,14,225,2020-08-14 01:08:05+00:00,False,0,2020-08-14 01:33:35,2020
196,True,4,226,0,True,0,active,True,11,226,2020-08-14 00:51:01+00:00,False,0,2020-08-14 01:33:35,2020
197,True,12,227,3,True,0,active,True,4,227,2020-08-14 01:27:23+00:00,False,0,2020-08-14 01:33:35,2020
198,True,1,228,0,True,0,active,True,18,228,2020-08-14 00:15:20+00:00,False,0,2020-08-14 01:33:35,2020
199,True,6,232,0,True,0,active,True,5,232,2020-08-13 22:59:36+00:00,False,0,2020-08-14 01:33:35,2020
200,True,7,233,0,True,0,active,True,8,233,2020-08-14 01:17:12+00:00,False,0,2020-08-14 01:33:35,2020
201,True,4,234,0,True,0,active,True,11,234,2020-08-14 00:34:17+00:00,False,0,2020-08-14 01:33:35,2020
202,True,9,235,0,True,0,active,True,6,235,2020-08-14 00:54:10+00:00,False,0,2020-08-14 01:33:35,2020
203,True,7,236,0,True,0,active,True,8,236,2020-08-14 01:20:32+00:00,False,0,2020-08-14 01:33:35,2020
204,True,8,239,0,True,0,active,True,7,239,2020-08-14 00:55:31+00:00,False,0,2020-08-14 01:33:35,2020
205,True,10,255,0,True,0,active,True,5,255,2020-08-13 12:33:28+00:00,False,0,2020-08-14 01:33:35,2020
206,True,13,258,1,True,0,active,True,1,258,2020-08-14 01:18:10+00:00,False,0,2020-08-14 01:33:35,2020
207,True,14,259,0,True,0,active,True,1,259,2020-08-13 18:35:59+00:00,False,0,2020-08-14 01:33:35,2020
208,True,15,260,0,True,0,active,True,0,260,2020-08-13 23:02:45+00:00,False,0,2020-08-14 01:33:35,2020
209,True,10,271,0,True,0,active,True,5,271,2020-08-14 01:20:34+00:00,False,0,2020-08-14 01:33:35,2020
210,True,7,272,1,True,0,active,True,11,272,2020-08-13 22:50:46+00:00,False,0,2020-08-14 01:33:35,2020
211,True,17,273,0,True,0,active,True,23,273,2020-08-14 00:33:19+00:00,False,0,2020-08-14 01:33:35,2020
212,True,17,279,0,True,0,active,True,2,279,2020-08-14 00:54:37+00:00,False,0,2020-08-14 01:33:35,2020
213,True,8,280,1,True,0,active,True,10,280,2020-08-14 01:12:24+00:00,False,0,2020-08-14 01:33:35,2020
214,True,9,282,1,True,0,active,True,5,282,2020-08-14 01:15:41+00:00,False,0,2020-08-14 01:33:35,2020
215,True,8,296,0,True,0,active,True,15,296,2020-08-14 00:19:54+00:00,False,0,2020-08-14 01:33:35,2020
216,True,0,318,1,True,0,active,True,18,318,2020-08-14 00:40:09+00:00,False,0,2020-08-14 01:33:35,2020
217,True,4,319,0,True,0,active,True,21,319,2020-08-14 00:41:06+00:00,False,0,2020-08-14 01:33:35,2020
218,True,0,327,0,True,0,active,True,15,327,2020-08-13 23:03:24+00:00,False,0,2020-08-14 01:33:35,2020
219,True,9,328,2,True,0,active,True,4,328,2020-08-14 01:26:43+00:00,False,0,2020-08-14 01:33:35,2020
220,True,13,329,0,True,0,active,True,2,329,2020-08-14 01:32:09+00:00,False,0,2020-08-14 01:33:35,2020
221,True,6,330,0,True,0,active,True,9,330,2020-08-13 23:59:19+00:00,False,0,2020-08-14 01:33:35,2020
222,True,3,331,1,True,0,active,True,11,331,2020-08-14 01:23:09+00:00,False,0,2020-08-14 01:33:35,2020
223,True,7,332,1,True,0,active,True,7,332,2020-08-14 01:22:38+00:00,False,0,2020-08-14 01:33:35,2020
224,True,24,333,0,True,0,active,True,1,333,2020-08-14 00:38:14+00:00,False,0,2020-08-14 01:33:35,2020
225,True,15,334,2,True,0,active,True,2,334,2020-08-14 00:23:01+00:00,False,0,2020-08-14 01:33:35,2020
226,True,1,335,0,True,0,active,True,18,335,2020-08-14 01:24:22+00:00,False,0,2020-08-14 01:33:35,2020
227,True,4,336,0,True,0,active,True,11,336,2020-08-13 23:42:32+00:00,False,0,2020-08-14 01:33:35,2020
228,True,12,337,1,True,0,active,True,2,337,2020-08-14 01:25:30+00:00,False,0,2020-08-14 01:33:35,2020
229,True,7,338,1,True,0,active,True,7,338,2020-08-14 01:28:43+00:00,False,0,2020-08-14 01:33:35,2020
230,True,14,339,1,True,0,active,True,0,339,2020-08-14 00:01:08+00:00,False,0,2020-08-14 01:33:35,2020
