,station_status,num_bikes_disabled,last_reported,legacy_id,is_installed,num_docks_available,eightd_has_available_keys,is_renting,station_id,num_ebikes_available,num_bikes_available,is_returning,num_docks_disabled,timestamp_of_data_read_request,year_station_last_reported
113,active,2,2020-08-22 02:07:29+00:00,125,True,6,False,True,125,0,7,True,0,2020-08-22 03:05:25,2020
114,active,1,2020-08-22 01:23:44+00:00,126,True,4,False,True,126,0,10,True,0,2020-08-22 03:05:25,2020
115,active,0,2020-08-22 02:23:05+00:00,128,True,15,False,True,128,0,4,True,0,2020-08-22 03:05:25,2020
116,active,0,2020-08-22 00:59:42+00:00,129,True,8,False,True,129,0,11,True,0,2020-08-22 03:05:25,2020
117,active,0,2020-08-22 01:46:49+00:00,130,True,7,False,True,130,0,8,True,0,2020-08-22 03:05:25,2020
118,active,0,2020-08-22 01:29:15+00:00,131,True,0,False,True,131,0,18,True,0,2020-08-22 03:05:25,2020
119,active,1,2020-08-22 02:41:00+00:00,133,True,12,False,True,133,0,10,True,0,2020-08-22 03:05:25,2020
120,active,0,2020-08-21 22:43:50+00:00,135,True,17,False,True,135,0,0,True,0,2020-08-22 03:05:25,2020
121,active,0,2020-08-21 22:23:29+00:00,136,True,19,False,True,136,0,0,True,0,2020-08-22 03:05:25,2020
122,active,0,2020-08-22 02:53:02+00:00,137,True,7,False,True,137,0,8,True,0,2020-08-22 03:05:25,2020
123,active,1,2020-08-22 02:00:40+00:00,138,True,6,False,True,138,0,8,True,0,2020-08-22 03:05:25,2020
124,active,0,2020-08-22 02:52:24+00:00,139,True,14,False,True,139,0,5,True,0,2020-08-22 03:05:25,2020
125,active,0,2020-08-22 02:15:00+00:00,140,True,0,False,True,140,0,17,True,0,2020-08-22 03:05:25,2020
126,active,0,2020-08-22 02:22:32+00:00,141,True,2,False,True,141,0,13,True,0,2020-08-22 03:05:25,2020
127,active,0,2020-08-22 01:31:49+00:00,142,True,8,False,True,142,0,15,True,0,2020-08-22 03:05:25,2020
128,active,2,2020-08-22 03:02:11+00:00,143,True,14,False,True,143,0,7,True,0,2020-08-22 03:05:25,2020
129,active,0,2020-08-22 02:04:26+00:00,144,True,9,False,True,144,0,10,True,0,2020-08-22 03:05:25,2020
130,active,0,2020-08-21 23:45:01+00:00,145,True,1,False,True,145,0,18,True,0,2020-08-22 03:05:25,2020
131,active,0,2020-08-22 02:47:44+00:00,146,True,9,False,True,146,0,10,True,0,2020-08-22 03:05:25,2020
132,active,1,2020-08-22 02:40:53+00:00,149,True,8,True,True,149,0,9,True,0,2020-08-22 03:05:25,2020
133,active,1,2020-08-22 02:44:44+00:00,150,True,9,False,True,150,0,9,True,0,2020-08-22 03:05:25,2020
134,active,0,2020-08-22 01:56:59+00:00,151,True,8,False,True,151,0,11,True,0,2020-08-22 03:05:25,2020
135,active,0,2020-08-22 02:34:26+00:00,152,True,7,True,True,152,0,8,True,0,2020-08-22 03:05:25,2020
136,active,0,2020-08-22 01:54:31+00:00,156,True,10,False,True,156,0,5,True,0,2020-08-22 03:05:25,2020
137,active,0,2020-08-22 02:46:11+00:00,157,True,14,False,True,157,0,1,True,0,2020-08-22 03:05:25,2020
138,active,1,2020-08-22 02:40:10+00:00,159,True,11,False,True,159,0,3,True,0,2020-08-22 03:05:25,2020
139,active,0,2020-08-22 03:02:34+00:00,160,True,7,True,True,160,0,7,True,0,2020-08-22 03:05:25,2020
140,active,0,2020-08-22 02:36:28+00:00,161,True,1,True,True,161,0,22,True,0,2020-08-22 03:05:25,2020
141,active,0,2020-08-21 20:15:52+00:00,162,True,10,False,True,162,0,5,True,0,2020-08-22 03:05:25,2020
142,active,1,2020-08-22 02:33:59+00:00,163,True,12,True,True,163,0,6,True,0,2020-08-22 03:05:25,2020
143,active,0,2020-08-22 03:02:58+00:00,167,True,0,False,True,167,0,15,True,0,2020-08-22 03:05:25,2020
144,active,0,2020-08-22 02:54:19+00:00,169,True,10,False,True,169,0,9,True,0,2020-08-22 03:05:25,2020
145,active,0,2020-08-21 23:05:17+00:00,170,True,8,True,True,170,0,6,True,0,2020-08-22 03:05:25,2020
146,active,0,2020-08-22 00:26:01+00:00,171,True,11,True,True,171,0,12,True,0,2020-08-22 03:05:25,2020
147,active,1,2020-08-22 02:08:41+00:00,173,True,1,True,True,173,0,12,True,0,2020-08-22 03:05:25,2020
148,active,0,2020-08-22 02:00:22+00:00,174,True,6,False,True,174,0,9,True,0,2020-08-22 03:05:25,2020
149,active,0,2020-08-22 03:05:20+00:00,175,True,12,True,True,175,0,5,True,0,2020-08-22 03:05:25,2020
150,active,2,2020-08-22 01:44:34+00:00,176,True,2,False,True,176,0,11,True,0,2020-08-22 03:05:25,2020
151,active,0,2020-08-22 03:01:17+00:00,177,True,14,False,True,177,0,5,True,0,2020-08-22 03:05:25,2020
152,active,1,2020-08-22 02:49:46+00:00,178,True,9,False,True,178,0,9,True,0,2020-08-22 03:05:25,2020
153,active,0,2020-08-22 02:58:14+00:00,179,True,19,False,True,179,0,6,True,0,2020-08-22 03:05:25,2020
154,active,0,2020-08-22 01:01:08+00:00,180,True,8,False,True,180,0,11,True,0,2020-08-22 03:05:25,2020
155,active,0,2020-08-22 02:25:17+00:00,181,True,12,False,True,181,0,7,True,0,2020-08-22 03:05:25,2020
156,active,0,2020-08-22 01:22:56+00:00,182,True,15,True,True,182,0,4,True,0,2020-08-22 03:05:25,2020
157,active,0,2020-08-22 01:58:56+00:00,183,True,15,False,True,183,0,4,True,0,2020-08-22 03:05:25,2020
158,active,0,2020-08-22 00:56:11+00:00,184,True,16,False,True,184,0,3,True,0,2020-08-22 03:05:25,2020
159,active,0,2020-08-22 02:49:55+00:00,185,True,8,False,True,185,0,7,True,0,2020-08-22 03:05:25,2020
