,is_installed,station_status,is_renting,eightd_has_available_keys,num_ebikes_available,num_bikes_available,valet,legacy_id,is_returning,num_docks_available,station_id,num_docks_disabled,last_reported,num_bikes_disabled,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
157,True,active,True,True,0,5,,182,True,14,182,0,2020-08-02 23:24:16+00:00,0,,2020-08-03 02:17:40,2020
158,True,active,True,False,0,9,,183,True,9,183,0,2020-08-03 00:57:58+00:00,1,,2020-08-03 02:17:40,2020
159,True,active,True,False,0,6,,184,True,12,184,0,2020-08-03 01:34:23+00:00,1,,2020-08-03 02:17:40,2020
160,True,active,True,False,0,4,,185,True,11,185,0,2020-08-03 02:07:25+00:00,0,,2020-08-03 02:17:40,2020
161,True,active,True,True,0,4,,186,True,11,186,0,2020-08-03 02:16:25+00:00,0,,2020-08-03 02:17:40,2020
162,True,active,True,False,0,14,,187,True,1,187,0,2020-08-03 00:48:12+00:00,0,,2020-08-03 02:17:40,2020
163,True,active,True,False,0,11,,188,True,4,188,0,2020-08-03 02:11:29+00:00,0,,2020-08-03 02:17:40,2020
164,True,active,True,True,0,4,,189,True,19,189,0,2020-08-03 01:33:26+00:00,0,,2020-08-03 02:17:40,2020
165,True,active,True,True,0,4,,190,True,32,190,0,2020-08-03 02:10:41+00:00,1,,2020-08-03 02:17:40,2020
166,True,active,True,False,0,6,,191,True,9,191,0,2020-08-02 21:41:47+00:00,0,,2020-08-03 02:17:40,2020
167,True,active,True,False,0,6,,192,True,13,192,0,2020-08-03 01:55:39+00:00,0,,2020-08-03 02:17:40,2020
168,True,active,True,True,0,8,,193,True,5,193,0,2020-08-02 23:48:50+00:00,2,,2020-08-03 02:17:40,2020
169,True,active,True,False,0,8,,194,True,11,194,0,2020-08-02 22:52:45+00:00,0,,2020-08-03 02:17:40,2020
170,True,active,True,False,0,9,,195,True,13,195,0,2020-08-03 01:56:24+00:00,1,,2020-08-03 02:17:40,2020
