,is_returning,num_bikes_available,num_bikes_disabled,is_renting,is_installed,num_ebikes_available,legacy_id,last_reported,station_id,num_docks_available,num_docks_disabled,eightd_has_available_keys,station_status,timestamp_of_data_read_request,year_station_last_reported
37,True,15,0,True,True,0,44,2020-08-05 04:28:27+00:00,44,8,0,False,active,2020-08-05 04:56:45,2020
38,True,17,1,True,True,0,46,2020-08-05 04:53:34+00:00,46,1,0,False,active,2020-08-05 04:56:45,2020
39,True,17,0,True,True,0,47,2020-08-05 03:08:02+00:00,47,2,0,True,active,2020-08-05 04:56:45,2020
40,True,4,0,True,True,0,48,2020-08-04 22:54:45+00:00,48,15,0,False,active,2020-08-05 04:56:45,2020
41,True,10,1,True,True,0,49,2020-08-05 03:34:00+00:00,49,7,0,False,active,2020-08-05 04:56:45,2020
42,True,5,1,True,True,0,50,2020-08-04 23:34:49+00:00,50,9,0,True,active,2020-08-05 04:56:45,2020
43,True,2,1,True,True,0,51,2020-08-05 04:43:31+00:00,51,12,0,False,active,2020-08-05 04:56:45,2020
44,True,13,1,True,True,0,52,2020-08-05 03:04:23+00:00,52,9,0,True,active,2020-08-05 04:56:45,2020
45,True,13,0,True,True,0,53,2020-08-05 04:31:18+00:00,53,6,0,False,active,2020-08-05 04:56:45,2020
46,True,12,1,True,True,0,54,2020-08-05 04:36:21+00:00,54,2,0,False,active,2020-08-05 04:56:45,2020
47,True,13,1,True,True,0,55,2020-08-05 04:33:01+00:00,55,1,0,False,active,2020-08-05 04:56:45,2020
48,True,10,0,True,True,0,56,2020-08-05 03:25:12+00:00,56,8,0,True,active,2020-08-05 04:56:45,2020
49,True,5,1,True,True,0,57,2020-08-05 04:37:30+00:00,57,8,0,True,active,2020-08-05 04:56:45,2020
50,True,7,0,True,True,0,58,2020-08-05 04:41:31+00:00,58,12,0,True,active,2020-08-05 04:56:45,2020
51,True,4,0,True,True,0,59,2020-08-05 03:58:16+00:00,59,15,0,True,active,2020-08-05 04:56:45,2020
52,True,7,1,True,True,0,60,2020-08-05 02:36:19+00:00,60,11,0,False,active,2020-08-05 04:56:45,2020
53,True,3,0,True,True,0,61,2020-08-05 04:16:28+00:00,61,16,0,False,active,2020-08-05 04:56:45,2020
