,station_status,eightd_has_available_keys,is_returning,num_ebikes_available,last_reported,is_installed,num_docks_available,legacy_id,num_docks_disabled,is_renting,num_bikes_available,num_bikes_disabled,station_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
109,active,False,True,0,2020-08-21 15:10:01+00:00,True,11,120,0,True,4,0,120,,,2020-08-21 15:41:15,2020
110,active,False,True,0,2020-08-21 14:00:04+00:00,True,16,121,0,True,0,1,121,,,2020-08-21 15:41:15,2020
111,active,False,True,0,2020-08-21 15:34:14+00:00,True,10,122,0,True,5,0,122,,,2020-08-21 15:41:15,2020
112,active,False,True,0,2020-08-21 15:20:54+00:00,True,15,124,0,True,0,0,124,,,2020-08-21 15:41:15,2020
113,active,False,True,0,2020-08-21 15:07:47+00:00,True,14,125,0,True,0,1,125,,,2020-08-21 15:41:15,2020
114,active,False,True,0,2020-08-21 12:51:37+00:00,True,2,126,0,True,12,1,126,,,2020-08-21 15:41:15,2020
115,active,False,True,0,2020-08-21 14:54:08+00:00,True,17,128,0,True,2,0,128,,,2020-08-21 15:41:15,2020
116,active,False,True,0,2020-08-21 15:24:49+00:00,True,16,129,0,True,3,0,129,,,2020-08-21 15:41:15,2020
117,active,False,True,0,2020-08-21 15:37:39+00:00,True,8,130,0,True,7,0,130,,,2020-08-21 15:41:15,2020
118,active,False,True,0,2020-08-21 15:36:04+00:00,True,11,131,0,True,6,1,131,,,2020-08-21 15:41:15,2020
119,active,False,True,0,2020-08-21 15:35:06+00:00,True,19,133,0,True,3,1,133,,,2020-08-21 15:41:15,2020
120,active,False,True,0,2020-08-21 13:36:10+00:00,True,15,135,0,True,2,0,135,,,2020-08-21 15:41:15,2020
121,active,False,True,0,2020-08-21 15:34:08+00:00,True,17,136,0,True,2,0,136,,,2020-08-21 15:41:15,2020
122,active,False,True,0,2020-08-21 04:04:16+00:00,True,7,137,0,True,8,0,137,,,2020-08-21 15:41:15,2020
123,active,False,True,0,2020-08-21 15:32:54+00:00,True,10,138,0,True,4,1,138,,,2020-08-21 15:41:15,2020
124,active,False,True,0,2020-08-21 14:37:08+00:00,True,19,139,0,True,0,0,139,,,2020-08-21 15:41:15,2020
125,active,False,True,0,2020-08-21 13:07:47+00:00,True,1,140,0,True,16,0,140,,,2020-08-21 15:41:15,2020
126,active,False,True,0,2020-08-21 15:39:15+00:00,True,9,141,0,True,6,0,141,,,2020-08-21 15:41:15,2020
127,active,False,True,0,2020-08-21 15:37:56+00:00,True,4,142,0,True,19,0,142,,,2020-08-21 15:41:15,2020
128,active,False,True,0,2020-08-21 15:36:27+00:00,True,1,143,0,True,22,0,143,,,2020-08-21 15:41:15,2020
129,active,False,True,0,2020-08-21 15:35:45+00:00,True,1,144,0,True,18,0,144,,,2020-08-21 15:41:15,2020
130,active,False,True,0,2020-08-21 15:19:59+00:00,True,7,145,0,True,12,0,145,,,2020-08-21 15:41:15,2020
131,active,False,True,0,2020-08-21 15:36:12+00:00,True,13,146,0,True,6,0,146,,,2020-08-21 15:41:15,2020
132,active,True,True,0,2020-08-21 15:32:18+00:00,True,9,149,0,True,9,0,149,,,2020-08-21 15:41:15,2020
133,active,False,True,0,2020-08-21 14:49:21+00:00,True,11,150,0,True,7,1,150,,,2020-08-21 15:41:15,2020
134,active,False,True,0,2020-08-21 15:39:04+00:00,True,9,151,0,True,10,0,151,,,2020-08-21 15:41:15,2020
135,active,True,True,0,2020-08-21 15:17:31+00:00,True,6,152,0,True,9,0,152,,,2020-08-21 15:41:15,2020
136,active,False,True,0,2020-08-21 15:33:10+00:00,True,12,156,0,True,3,0,156,,,2020-08-21 15:41:15,2020
137,active,False,True,0,2020-08-21 15:38:49+00:00,True,11,157,0,True,4,0,157,,,2020-08-21 15:41:15,2020
138,active,False,True,0,2020-08-21 13:15:51+00:00,True,14,159,0,True,0,1,159,,,2020-08-21 15:41:15,2020
139,active,True,True,0,2020-08-21 13:45:28+00:00,True,5,160,0,True,9,0,160,,,2020-08-21 15:41:15,2020
140,active,True,True,0,2020-08-21 15:00:04+00:00,True,8,161,0,True,15,0,161,,,2020-08-21 15:41:15,2020
141,active,False,True,0,2020-08-21 13:38:57+00:00,True,8,162,0,True,7,0,162,,,2020-08-21 15:41:15,2020
142,active,True,True,0,2020-08-21 14:40:13+00:00,True,0,163,0,True,19,0,163,,,2020-08-21 15:41:15,2020
143,active,False,True,0,2020-08-21 15:34:02+00:00,True,3,167,0,True,12,0,167,,,2020-08-21 15:41:15,2020
144,active,False,True,0,2020-08-21 15:10:23+00:00,True,14,169,0,True,5,0,169,,,2020-08-21 15:41:15,2020
145,active,True,True,0,2020-08-21 14:44:40+00:00,True,5,170,0,True,9,0,170,,,2020-08-21 15:41:15,2020
146,active,True,True,0,2020-08-21 12:41:52+00:00,True,15,171,0,True,8,0,171,,,2020-08-21 15:41:15,2020
147,active,True,True,0,2020-08-21 14:00:51+00:00,True,5,173,0,True,9,0,173,,,2020-08-21 15:41:15,2020
148,active,False,True,0,2020-08-21 15:19:45+00:00,True,6,174,0,True,9,0,174,,,2020-08-21 15:41:15,2020
149,active,True,True,0,2020-08-21 14:20:36+00:00,True,12,175,0,True,5,0,175,,,2020-08-21 15:41:15,2020
150,active,False,True,0,2020-08-21 15:26:37+00:00,True,5,176,0,True,10,0,176,,,2020-08-21 15:41:15,2020
151,active,False,True,0,2020-08-21 15:38:36+00:00,True,15,177,0,True,2,2,177,,,2020-08-21 15:41:15,2020
152,active,False,True,0,2020-08-21 15:38:19+00:00,True,19,178,0,True,0,0,178,,,2020-08-21 15:41:15,2020
153,active,False,True,0,2020-08-21 15:34:28+00:00,True,10,179,0,True,15,0,179,,,2020-08-21 15:41:15,2020
154,active,False,True,0,2020-08-21 13:53:31+00:00,True,2,180,0,True,17,0,180,,,2020-08-21 15:41:15,2020
155,active,False,True,0,2020-08-21 14:39:02+00:00,True,18,181,0,True,1,0,181,,,2020-08-21 15:41:15,2020
