,num_bikes_available,num_ebikes_available,num_docks_available,num_docks_disabled,is_renting,eightd_has_available_keys,legacy_id,is_returning,station_status,last_reported,num_bikes_disabled,station_id,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
82,10,0,3,0,True,False,93,True,active,2020-07-30 22:39:57+00:00,2,93,True,,,2020-07-30 23:33:20,2020
83,5,0,6,0,True,False,94,True,active,2020-07-30 23:18:47+00:00,0,94,True,,,2020-07-30 23:33:20,2020
84,7,0,8,0,True,False,95,True,active,2020-07-30 23:24:17+00:00,0,95,True,,,2020-07-30 23:33:20,2020
85,13,0,6,0,True,False,96,True,active,2020-07-30 23:26:57+00:00,0,96,True,,,2020-07-30 23:33:20,2020
86,8,0,11,0,True,False,97,True,active,2020-07-30 23:21:08+00:00,0,97,True,,,2020-07-30 23:33:20,2020
87,11,0,11,0,True,False,98,True,active,2020-07-30 23:33:01+00:00,0,98,True,,,2020-07-30 23:33:20,2020
88,8,0,6,0,True,False,99,True,active,2020-07-30 23:31:22+00:00,1,99,True,,,2020-07-30 23:33:20,2020
89,8,0,14,0,True,True,100,True,active,2020-07-30 23:31:04+00:00,3,100,True,,,2020-07-30 23:33:20,2020
90,3,0,12,0,True,False,101,True,active,2020-07-30 23:21:29+00:00,0,101,True,,,2020-07-30 23:33:20,2020
91,2,0,13,0,True,False,102,True,active,2020-07-30 22:53:57+00:00,0,102,True,,,2020-07-30 23:33:20,2020
92,4,0,10,0,True,False,103,True,active,2020-07-30 22:47:11+00:00,1,103,True,,,2020-07-30 23:33:20,2020
93,18,0,1,0,True,False,104,True,active,2020-07-30 23:21:24+00:00,0,104,True,,,2020-07-30 23:33:20,2020
94,9,0,10,0,True,False,105,True,active,2020-07-30 23:32:58+00:00,0,105,True,,,2020-07-30 23:33:20,2020
95,7,0,8,0,True,False,106,True,active,2020-07-30 22:16:59+00:00,0,106,True,,,2020-07-30 23:33:20,2020
96,0,0,17,0,True,False,107,True,active,2020-07-30 23:18:16+00:00,2,107,True,,,2020-07-30 23:33:20,2020
97,16,0,1,0,True,False,108,True,active,2020-07-30 23:23:21+00:00,0,108,True,,,2020-07-30 23:33:20,2020
98,26,0,7,0,True,False,109,True,active,2020-07-30 18:49:26+00:00,2,109,True,,,2020-07-30 23:33:20,2020
