,station_status,num_bikes_disabled,eightd_has_available_keys,num_ebikes_available,is_installed,last_reported,legacy_id,num_docks_available,is_returning,is_renting,num_docks_disabled,num_bikes_available,station_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
177,active,0,False,0,True,2020-08-18 19:08:19+00:00,204,12,True,True,0,3,204,,,2020-08-18 19:14:30,2020
178,active,0,False,0,True,2020-08-18 18:37:12+00:00,205,10,True,True,0,5,205,,,2020-08-18 19:14:30,2020
179,active,1,True,0,True,2020-08-18 19:02:34+00:00,206,5,True,True,0,17,206,,,2020-08-18 19:14:30,2020
180,active,0,True,0,True,2020-08-18 17:35:12+00:00,208,5,True,True,0,10,208,,,2020-08-18 19:14:30,2020
181,active,1,False,0,True,2020-08-18 16:12:40+00:00,209,1,True,True,0,13,209,,,2020-08-18 19:14:30,2020
182,active,1,False,0,True,2020-08-18 18:50:30+00:00,210,11,True,True,0,3,210,,,2020-08-18 19:14:30,2020
183,active,0,False,0,True,2020-08-18 18:26:35+00:00,211,18,True,True,0,1,211,,,2020-08-18 19:14:30,2020
184,active,0,False,0,True,2020-08-18 18:47:50+00:00,212,32,True,True,0,1,212,,,2020-08-18 19:14:30,2020
185,active,0,True,0,True,2020-08-18 16:40:26+00:00,213,12,True,True,0,4,213,,,2020-08-18 19:14:30,2020
186,active,0,False,0,True,2020-08-18 17:55:15+00:00,214,5,True,True,0,10,214,,,2020-08-18 19:14:30,2020
187,active,2,False,0,True,2020-08-18 17:35:44+00:00,215,3,True,True,0,10,215,,,2020-08-18 19:14:30,2020
188,active,0,False,0,True,2020-08-18 08:04:08+00:00,216,0,True,True,0,19,216,,,2020-08-18 19:14:30,2020
189,active,0,False,0,True,2020-08-18 18:52:17+00:00,217,7,True,True,0,12,217,,,2020-08-18 19:14:30,2020
190,active,2,False,0,True,2020-08-18 18:06:42+00:00,218,7,True,True,0,6,218,,,2020-08-18 19:14:30,2020
191,active,0,False,0,True,2020-08-18 19:07:11+00:00,219,11,True,True,0,4,219,,,2020-08-18 19:14:30,2020
192,active,1,False,0,True,2020-08-18 18:54:24+00:00,221,18,True,True,0,0,221,,,2020-08-18 19:14:30,2020
193,active,0,True,0,True,2020-08-18 18:57:29+00:00,222,14,True,True,0,0,222,,,2020-08-18 19:14:30,2020
194,active,1,False,0,True,2020-08-18 17:21:41+00:00,224,2,True,True,0,14,224,,,2020-08-18 19:14:30,2020
195,active,1,False,0,True,2020-08-18 19:13:29+00:00,225,11,True,True,0,7,225,,,2020-08-18 19:14:30,2020
196,active,1,False,0,True,2020-08-18 19:11:37+00:00,226,13,True,True,0,1,226,,,2020-08-18 19:14:30,2020
197,active,3,False,0,True,2020-08-18 18:00:06+00:00,227,16,True,True,0,0,227,,,2020-08-18 19:14:30,2020
198,active,0,False,0,True,2020-08-18 19:09:54+00:00,228,15,True,True,0,4,228,,,2020-08-18 19:14:30,2020
199,active,0,False,0,True,2020-08-18 08:48:59+00:00,232,8,True,True,0,3,232,,,2020-08-18 19:14:30,2020
200,active,1,False,0,True,2020-08-18 19:08:29+00:00,233,9,True,True,0,5,233,,,2020-08-18 19:14:30,2020
201,active,0,False,0,True,2020-08-18 18:24:00+00:00,234,14,True,True,0,1,234,,,2020-08-18 19:14:30,2020
202,active,0,False,0,True,2020-08-18 18:35:41+00:00,235,7,True,True,0,8,235,,,2020-08-18 19:14:30,2020
203,active,0,False,0,True,2020-08-18 18:43:53+00:00,236,7,True,True,0,8,236,,,2020-08-18 19:14:30,2020
204,active,0,False,0,True,2020-08-18 19:12:30+00:00,239,4,True,True,0,11,239,,,2020-08-18 19:14:30,2020
205,active,0,False,0,True,2020-08-18 17:41:23+00:00,255,8,True,True,0,7,255,,,2020-08-18 19:14:30,2020
206,active,0,False,0,True,2020-08-18 11:20:18+00:00,258,7,True,True,0,8,258,,,2020-08-18 19:14:30,2020
207,active,0,False,0,True,2020-08-18 17:28:18+00:00,259,5,True,True,0,10,259,,,2020-08-18 19:14:30,2020
208,active,0,False,0,True,2020-08-18 10:37:49+00:00,260,10,True,True,0,5,260,,,2020-08-18 19:14:30,2020
209,active,1,False,0,True,2020-08-18 17:46:16+00:00,271,3,True,True,0,11,271,,,2020-08-18 19:14:30,2020
210,active,0,False,0,True,2020-08-18 16:44:29+00:00,272,9,True,True,0,10,272,,,2020-08-18 19:14:30,2020
211,active,0,False,0,True,2020-08-18 19:00:54+00:00,273,18,True,True,0,22,273,,,2020-08-18 19:14:30,2020
212,active,0,False,0,True,2020-08-18 19:04:23+00:00,279,2,True,True,0,17,279,,,2020-08-18 19:14:30,2020
213,active,0,False,0,True,2020-08-18 19:12:20+00:00,280,9,True,True,0,10,280,,,2020-08-18 19:14:30,2020
214,active,0,False,0,True,2020-08-18 18:59:55+00:00,282,7,True,True,0,8,282,,,2020-08-18 19:14:30,2020
215,active,1,False,0,True,2020-08-18 18:52:31+00:00,296,9,True,True,0,13,296,,,2020-08-18 19:14:30,2020
216,active,0,False,0,True,2020-08-18 18:54:23+00:00,318,6,True,True,0,13,318,,,2020-08-18 19:14:30,2020
217,active,0,False,0,True,2020-08-18 18:54:04+00:00,319,21,True,True,0,4,319,,,2020-08-18 19:14:30,2020
