,is_installed,legacy_id,station_id,num_bikes_disabled,eightd_has_available_keys,is_returning,station_status,num_docks_disabled,num_docks_available,num_ebikes_available,last_reported,num_bikes_available,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
119,True,133,133,1,False,True,active,0,12,0,2020-08-05 22:49:47+00:00,10,True,,,2020-08-05 22:50:50,2020
120,True,135,135,0,False,True,active,0,7,0,2020-08-05 22:49:04+00:00,10,True,,,2020-08-05 22:50:50,2020
121,True,136,136,0,False,True,active,0,17,0,2020-08-05 22:37:39+00:00,2,True,,,2020-08-05 22:50:50,2020
122,True,137,137,0,False,True,active,0,10,0,2020-08-05 22:45:28+00:00,5,True,,,2020-08-05 22:50:50,2020
123,True,138,138,1,False,True,active,0,9,0,2020-08-05 21:39:40+00:00,5,True,,,2020-08-05 22:50:50,2020
124,True,139,139,0,False,True,active,0,14,0,2020-08-05 22:45:02+00:00,5,True,,,2020-08-05 22:50:50,2020
125,True,140,140,1,False,True,active,0,6,0,2020-08-05 22:36:28+00:00,10,True,,,2020-08-05 22:50:50,2020
126,True,141,141,0,False,True,active,0,9,0,2020-08-05 22:50:13+00:00,6,True,,,2020-08-05 22:50:50,2020
127,True,142,142,2,False,True,active,0,11,0,2020-08-05 22:43:43+00:00,10,True,,,2020-08-05 22:50:50,2020
128,True,143,143,2,False,True,active,0,14,0,2020-08-05 22:49:13+00:00,7,True,,,2020-08-05 22:50:50,2020
129,True,144,144,0,False,True,active,0,9,0,2020-08-05 22:29:22+00:00,10,True,,,2020-08-05 22:50:50,2020
130,True,145,145,0,False,True,active,0,15,0,2020-08-05 22:48:09+00:00,4,True,,,2020-08-05 22:50:50,2020
131,True,146,146,1,False,True,active,0,15,0,2020-08-05 22:39:51+00:00,3,True,,,2020-08-05 22:50:50,2020
132,True,149,149,0,True,True,active,0,5,0,2020-08-05 22:49:49+00:00,13,True,,,2020-08-05 22:50:50,2020
133,True,150,150,0,False,True,active,0,17,0,2020-08-05 22:40:49+00:00,2,True,,,2020-08-05 22:50:50,2020
134,True,151,151,0,False,True,active,0,14,0,2020-08-05 22:34:59+00:00,5,True,,,2020-08-05 22:50:50,2020
135,True,152,152,0,True,True,active,0,5,0,2020-08-05 22:50:26+00:00,10,True,,,2020-08-05 22:50:50,2020
136,True,156,156,0,False,True,active,0,10,0,2020-08-05 22:12:46+00:00,5,True,,,2020-08-05 22:50:50,2020
137,True,157,157,1,False,True,active,0,5,0,2020-08-05 22:48:14+00:00,9,True,,,2020-08-05 22:50:50,2020
138,True,159,159,3,False,True,active,0,5,0,2020-08-05 22:19:36+00:00,7,True,,,2020-08-05 22:50:50,2020
139,True,160,160,0,True,True,active,0,5,0,2020-08-05 21:55:45+00:00,9,True,,,2020-08-05 22:50:50,2020
