,is_renting,is_returning,num_docks_disabled,is_installed,num_bikes_available,last_reported,station_status,num_ebikes_available,legacy_id,num_bikes_disabled,eightd_has_available_keys,num_docks_available,station_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
226,True,True,0,True,6,2020-08-08 00:21:15+00:00,active,0,335,0,False,13,335,,,2020-08-08 00:25:35,2020
227,True,True,0,True,15,2020-08-07 22:02:29+00:00,active,0,336,0,False,0,336,,,2020-08-08 00:25:35,2020
228,True,True,0,True,14,2020-08-07 23:48:00+00:00,active,0,337,0,False,1,337,,,2020-08-08 00:25:35,2020
229,True,True,0,True,1,2020-08-08 00:24:34+00:00,active,0,338,0,False,14,338,,,2020-08-08 00:25:35,2020
230,True,True,0,True,14,2020-08-07 21:47:26+00:00,active,0,339,0,False,1,339,,,2020-08-08 00:25:35,2020
231,True,True,0,True,17,2020-08-07 08:53:19+00:00,active,0,340,0,False,2,340,,,2020-08-08 00:25:35,2020
232,True,True,0,True,0,2020-08-07 10:18:18+00:00,active,0,341,0,True,15,341,,,2020-08-08 00:25:35,2020
233,True,True,0,True,2,2020-08-08 00:24:46+00:00,active,0,342,0,False,13,342,,,2020-08-08 00:25:35,2020
234,True,True,0,True,7,2020-08-07 18:28:07+00:00,active,0,343,0,False,8,343,,,2020-08-08 00:25:35,2020
235,True,True,0,True,1,2020-08-07 23:18:21+00:00,active,0,344,0,False,18,344,,,2020-08-08 00:25:35,2020
236,True,True,0,True,11,2020-08-08 00:02:21+00:00,active,0,345,0,False,8,345,,,2020-08-08 00:25:35,2020
237,True,True,0,True,3,2020-08-08 00:07:54+00:00,active,0,346,0,False,12,346,,,2020-08-08 00:25:35,2020
238,True,True,0,True,12,2020-08-07 20:17:45+00:00,active,0,347,0,False,3,347,,,2020-08-08 00:25:35,2020
239,True,True,0,True,5,2020-08-07 23:47:25+00:00,active,0,348,0,False,10,348,,,2020-08-08 00:25:35,2020
240,True,True,0,True,7,2020-08-07 22:49:20+00:00,active,0,349,0,True,10,349,,,2020-08-08 00:25:35,2020
241,True,True,0,True,9,2020-08-07 09:50:52+00:00,active,0,350,0,False,8,350,,,2020-08-08 00:25:35,2020
242,True,True,0,True,7,2020-08-07 22:15:07+00:00,active,0,351,0,False,8,351,,,2020-08-08 00:25:35,2020
243,True,True,0,True,6,2020-08-08 00:20:39+00:00,active,0,352,0,False,9,352,,,2020-08-08 00:25:35,2020
244,True,True,0,True,6,2020-08-07 22:24:58+00:00,active,0,353,1,True,8,353,,,2020-08-08 00:25:35,2020
245,True,True,0,True,2,2020-08-08 00:03:35+00:00,active,0,354,0,False,13,354,,,2020-08-08 00:25:35,2020
246,True,True,0,True,12,2020-08-08 00:15:19+00:00,active,0,355,0,False,5,355,,,2020-08-08 00:25:35,2020
247,True,True,0,True,15,2020-08-08 00:17:39+00:00,active,0,356,0,False,8,356,,,2020-08-08 00:25:35,2020
