,station_id,last_reported,num_docks_disabled,station_status,num_bikes_disabled,is_installed,num_ebikes_available,is_renting,is_returning,num_docks_available,legacy_id,eightd_has_available_keys,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
80,91,2020-08-06 14:05:26+00:00,0,active,0,True,0,True,True,6,91,False,13,,,2020-08-06 14:12:40,2020
81,92,2020-08-06 13:59:11+00:00,0,active,1,True,0,True,True,7,92,False,11,,,2020-08-06 14:12:40,2020
82,93,2020-08-06 13:59:09+00:00,0,active,1,True,0,True,True,5,93,False,9,,,2020-08-06 14:12:40,2020
83,94,2020-08-06 13:41:04+00:00,0,active,1,True,0,True,True,8,94,False,2,,,2020-08-06 14:12:40,2020
84,95,2020-08-06 14:06:36+00:00,0,active,1,True,0,True,True,10,95,False,4,,,2020-08-06 14:12:40,2020
85,96,2020-08-06 13:51:52+00:00,0,active,0,True,0,True,True,15,96,False,4,,,2020-08-06 14:12:40,2020
86,97,2020-08-06 13:50:14+00:00,0,active,0,True,0,True,True,15,97,False,4,,,2020-08-06 14:12:40,2020
87,98,2020-08-06 14:11:11+00:00,0,active,1,True,0,True,True,14,98,False,8,,,2020-08-06 14:12:40,2020
88,99,2020-08-06 13:33:38+00:00,0,active,0,True,0,True,True,3,99,False,12,,,2020-08-06 14:12:40,2020
89,100,2020-08-06 13:42:58+00:00,0,active,1,True,0,True,True,5,100,True,19,,,2020-08-06 14:12:40,2020
90,101,2020-08-06 13:23:00+00:00,0,active,0,True,0,True,True,3,101,False,12,,,2020-08-06 14:12:40,2020
91,102,2020-08-06 13:10:08+00:00,0,active,0,True,0,True,True,3,102,False,12,,,2020-08-06 14:12:40,2020
92,103,2020-08-06 14:07:00+00:00,0,active,0,True,0,True,True,10,103,False,5,,,2020-08-06 14:12:40,2020
93,104,2020-08-06 14:11:03+00:00,0,active,0,True,0,True,True,16,104,False,3,,,2020-08-06 14:12:40,2020
94,105,2020-08-06 14:11:19+00:00,0,active,0,True,0,True,True,12,105,False,7,,,2020-08-06 14:12:40,2020
95,106,2020-08-06 14:09:30+00:00,0,active,1,True,0,True,True,11,106,False,3,,,2020-08-06 14:12:40,2020
96,107,2020-08-06 14:10:32+00:00,0,active,1,True,0,True,True,4,107,False,14,,,2020-08-06 14:12:40,2020
97,108,2020-08-06 13:48:09+00:00,0,active,0,True,0,True,True,11,108,False,6,,,2020-08-06 14:12:40,2020
98,109,2020-08-06 13:19:38+00:00,0,active,0,True,0,True,True,28,109,False,7,,,2020-08-06 14:12:40,2020
99,110,2020-08-06 13:43:45+00:00,0,active,0,True,0,True,True,6,110,False,9,,,2020-08-06 14:12:40,2020
100,111,2020-08-06 14:10:21+00:00,0,active,0,True,0,True,True,15,111,False,0,,,2020-08-06 14:12:40,2020
101,112,2020-08-06 13:24:36+00:00,0,active,0,True,0,True,True,8,112,False,7,,,2020-08-06 14:12:40,2020
102,113,2020-08-06 14:10:12+00:00,0,active,0,True,0,True,True,3,113,False,12,,,2020-08-06 14:12:40,2020
103,114,2020-08-06 13:46:45+00:00,0,active,1,True,0,True,True,2,114,False,12,,,2020-08-06 14:12:40,2020
104,115,2020-08-06 13:45:10+00:00,0,active,1,True,0,True,True,4,115,False,14,,,2020-08-06 14:12:40,2020
105,116,2020-08-06 13:59:48+00:00,0,active,1,True,0,True,True,15,116,False,7,,,2020-08-06 14:12:40,2020
106,117,2020-08-06 14:07:53+00:00,0,active,0,True,0,True,True,3,117,False,16,,,2020-08-06 14:12:40,2020
107,118,2020-08-06 13:56:32+00:00,0,active,0,True,0,True,True,5,118,False,14,,,2020-08-06 14:12:40,2020
108,119,2020-08-06 13:53:54+00:00,0,active,0,True,0,True,True,11,119,False,4,,,2020-08-06 14:12:40,2020
109,120,2020-08-06 14:12:23+00:00,0,active,0,True,0,True,True,9,120,False,6,,,2020-08-06 14:12:40,2020
110,121,2020-08-06 13:50:16+00:00,0,active,0,True,0,True,True,11,121,False,6,,,2020-08-06 14:12:40,2020
111,122,2020-08-06 13:09:49+00:00,0,active,0,True,0,True,True,12,122,False,3,,,2020-08-06 14:12:40,2020
112,124,2020-08-06 13:34:56+00:00,0,active,0,True,0,True,True,10,124,False,5,,,2020-08-06 14:12:40,2020
113,125,2020-08-06 13:31:44+00:00,0,active,1,True,0,True,True,12,125,False,2,,,2020-08-06 14:12:40,2020
114,126,2020-08-06 13:37:17+00:00,0,active,0,True,0,True,True,13,126,False,2,,,2020-08-06 14:12:40,2020
115,128,2020-08-06 12:04:35+00:00,0,active,0,True,0,True,True,5,128,False,14,,,2020-08-06 14:12:40,2020
116,129,2020-08-06 14:07:28+00:00,0,active,0,True,0,True,True,2,129,False,17,,,2020-08-06 14:12:40,2020
117,130,2020-08-06 12:54:33+00:00,0,active,1,True,0,True,True,2,130,False,12,,,2020-08-06 14:12:40,2020
118,131,2020-08-06 14:09:13+00:00,0,active,2,True,0,True,True,5,131,False,11,,,2020-08-06 14:12:40,2020
119,133,2020-08-06 13:49:51+00:00,0,active,0,True,0,True,True,12,133,False,11,,,2020-08-06 14:12:40,2020
120,135,2020-08-06 13:58:23+00:00,0,active,0,True,0,True,True,5,135,False,12,,,2020-08-06 14:12:40,2020
121,136,2020-08-06 12:56:26+00:00,0,active,0,True,0,True,True,14,136,False,5,,,2020-08-06 14:12:40,2020
122,137,2020-08-06 12:34:26+00:00,0,active,0,True,0,True,True,13,137,False,2,,,2020-08-06 14:12:40,2020
123,138,2020-08-06 13:31:29+00:00,0,active,1,True,0,True,True,13,138,False,1,,,2020-08-06 14:12:40,2020
124,139,2020-08-06 14:06:59+00:00,0,active,0,True,0,True,True,17,139,False,2,,,2020-08-06 14:12:40,2020
125,140,2020-08-06 14:03:45+00:00,0,active,1,True,0,True,True,5,140,False,11,,,2020-08-06 14:12:40,2020
126,141,2020-08-06 13:16:19+00:00,0,active,0,True,0,True,True,10,141,False,5,,,2020-08-06 14:12:40,2020
127,142,2020-08-06 13:53:34+00:00,0,active,3,True,0,True,True,9,142,False,11,,,2020-08-06 14:12:40,2020
128,143,2020-08-06 14:03:48+00:00,0,active,0,True,0,True,True,13,143,False,10,,,2020-08-06 14:12:40,2020
129,144,2020-08-06 13:33:28+00:00,0,active,0,True,0,True,True,12,144,False,7,,,2020-08-06 14:12:40,2020
130,145,2020-08-06 13:30:21+00:00,0,active,0,True,0,True,True,15,145,False,4,,,2020-08-06 14:12:40,2020
131,146,2020-08-06 13:57:43+00:00,0,active,1,True,0,True,True,10,146,False,8,,,2020-08-06 14:12:40,2020
132,149,2020-08-06 14:11:40+00:00,0,active,0,True,0,True,True,5,149,True,13,,,2020-08-06 14:12:40,2020
133,150,2020-08-06 12:16:11+00:00,0,active,0,True,0,True,True,19,150,False,0,,,2020-08-06 14:12:40,2020
134,151,2020-08-06 13:48:43+00:00,0,active,0,True,0,True,True,5,151,False,14,,,2020-08-06 14:12:40,2020
135,152,2020-08-06 12:59:56+00:00,0,active,0,True,0,True,True,3,152,True,12,,,2020-08-06 14:12:40,2020
136,156,2020-08-06 13:50:11+00:00,0,active,0,True,0,True,True,14,156,False,1,,,2020-08-06 14:12:40,2020
137,157,2020-08-06 14:06:58+00:00,0,active,1,True,0,True,True,7,157,False,7,,,2020-08-06 14:12:40,2020
138,159,2020-08-06 14:01:04+00:00,0,active,0,True,0,True,True,12,159,False,3,,,2020-08-06 14:12:40,2020
139,160,2020-08-06 14:02:33+00:00,0,active,0,True,0,True,True,4,160,True,10,,,2020-08-06 14:12:40,2020
140,161,2020-08-06 13:53:46+00:00,0,active,0,True,0,True,True,2,161,True,21,,,2020-08-06 14:12:40,2020
141,162,2020-08-06 08:03:24+00:00,0,active,0,True,0,True,True,6,162,False,9,,,2020-08-06 14:12:40,2020
142,163,2020-08-06 14:00:03+00:00,0,active,0,True,0,True,True,12,163,True,7,,,2020-08-06 14:12:40,2020
143,167,2020-08-06 13:58:39+00:00,0,active,0,True,0,True,True,14,167,False,1,,,2020-08-06 14:12:40,2020
144,169,2020-08-06 14:12:05+00:00,0,active,2,True,0,True,True,6,169,False,11,,,2020-08-06 14:12:40,2020
145,170,2020-08-05 18:31:26+00:00,0,active,0,True,0,True,True,14,170,True,0,,,2020-08-06 14:12:40,2020
146,171,2020-08-06 13:57:08+00:00,0,active,0,True,0,True,True,18,171,True,5,,,2020-08-06 14:12:40,2020
147,173,2020-08-06 12:18:43+00:00,0,active,0,True,0,True,True,8,173,True,6,,,2020-08-06 14:12:40,2020
148,174,2020-08-06 14:04:11+00:00,0,active,2,True,0,True,True,9,174,False,4,,,2020-08-06 14:12:40,2020
149,175,2020-08-06 13:51:05+00:00,0,active,0,True,0,True,True,14,175,True,3,,,2020-08-06 14:12:40,2020
150,176,2020-08-06 14:10:59+00:00,0,active,0,True,0,True,True,8,176,False,7,,,2020-08-06 14:12:40,2020
151,177,2020-08-06 14:09:26+00:00,0,active,0,True,0,True,True,11,177,False,8,,,2020-08-06 14:12:40,2020
