,num_bikes_available,eightd_has_available_keys,is_installed,is_returning,station_id,legacy_id,num_bikes_disabled,station_status,last_reported,is_renting,num_docks_available,num_docks_disabled,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
92,13,False,True,True,103,103,0,active,2020-08-19 01:22:37+00:00,True,2,0,0,2020-08-19 01:52:50,2020
93,5,False,True,True,104,104,0,active,2020-08-19 00:03:47+00:00,True,14,0,0,2020-08-19 01:52:50,2020
94,9,False,True,True,105,105,0,active,2020-08-19 01:52:23+00:00,True,10,0,0,2020-08-19 01:52:50,2020
95,8,False,True,True,106,106,0,active,2020-08-18 20:26:10+00:00,True,7,0,0,2020-08-19 01:52:50,2020
96,0,False,True,True,107,107,1,active,2020-08-19 01:42:51+00:00,True,18,0,0,2020-08-19 01:52:50,2020
97,3,False,True,True,108,108,0,active,2020-08-19 01:42:51+00:00,True,14,0,0,2020-08-19 01:52:50,2020
98,2,False,True,True,109,109,2,active,2020-08-18 22:32:39+00:00,True,31,0,0,2020-08-19 01:52:50,2020
99,2,False,True,True,110,110,0,active,2020-08-19 00:55:46+00:00,True,13,0,0,2020-08-19 01:52:50,2020
100,2,False,True,True,111,111,0,active,2020-08-18 22:49:12+00:00,True,13,0,0,2020-08-19 01:52:50,2020
101,7,False,True,True,112,112,0,active,2020-08-19 00:39:38+00:00,True,8,0,0,2020-08-19 01:52:50,2020
102,1,False,True,True,113,113,1,active,2020-08-19 01:14:42+00:00,True,13,0,0,2020-08-19 01:52:50,2020
103,5,False,True,True,114,114,0,active,2020-08-19 01:27:04+00:00,True,10,0,0,2020-08-19 01:52:50,2020
104,17,False,True,True,115,115,0,active,2020-08-19 00:44:54+00:00,True,2,0,0,2020-08-19 01:52:50,2020
105,10,False,True,True,116,116,0,active,2020-08-19 01:50:53+00:00,True,13,0,0,2020-08-19 01:52:50,2020
106,4,False,True,True,117,117,1,active,2020-08-18 23:39:21+00:00,True,14,0,0,2020-08-19 01:52:50,2020
107,16,False,True,True,118,118,1,active,2020-08-19 01:41:21+00:00,True,2,0,0,2020-08-19 01:52:50,2020
108,10,False,True,True,119,119,2,active,2020-08-19 01:41:20+00:00,True,3,0,0,2020-08-19 01:52:50,2020
109,14,False,True,True,120,120,0,active,2020-08-19 01:51:27+00:00,True,1,0,0,2020-08-19 01:52:50,2020
110,6,False,True,True,121,121,2,active,2020-08-19 01:50:05+00:00,True,9,0,0,2020-08-19 01:52:50,2020
111,3,False,True,True,122,122,0,active,2020-08-19 00:33:38+00:00,True,12,0,0,2020-08-19 01:52:50,2020
112,1,False,True,True,124,124,0,active,2020-08-18 21:10:49+00:00,True,14,0,0,2020-08-19 01:52:50,2020
113,8,False,True,True,125,125,1,active,2020-08-19 01:04:20+00:00,True,5,1,0,2020-08-19 01:52:50,2020
114,13,False,True,True,126,126,1,active,2020-08-19 01:27:37+00:00,True,1,0,0,2020-08-19 01:52:50,2020
115,19,False,True,True,128,128,0,active,2020-08-19 01:10:16+00:00,True,0,0,0,2020-08-19 01:52:50,2020
116,14,False,True,True,129,129,0,active,2020-08-19 01:43:39+00:00,True,5,0,0,2020-08-19 01:52:50,2020
117,15,False,True,True,130,130,0,active,2020-08-18 23:40:12+00:00,True,0,0,0,2020-08-19 01:52:50,2020
118,14,False,True,True,131,131,0,active,2020-08-19 01:22:44+00:00,True,4,0,0,2020-08-19 01:52:50,2020
119,19,False,True,True,133,133,2,active,2020-08-18 23:32:09+00:00,True,2,0,0,2020-08-19 01:52:50,2020
120,1,False,True,True,135,135,0,active,2020-08-19 01:34:13+00:00,True,16,0,0,2020-08-19 01:52:50,2020
121,0,False,True,True,136,136,1,active,2020-08-19 01:30:38+00:00,True,18,0,0,2020-08-19 01:52:50,2020
122,12,False,True,True,137,137,0,active,2020-08-19 00:45:07+00:00,True,3,0,0,2020-08-19 01:52:50,2020
123,10,False,True,True,138,138,1,active,2020-08-19 00:09:47+00:00,True,4,0,0,2020-08-19 01:52:50,2020
124,15,False,True,True,139,139,0,active,2020-08-19 01:42:28+00:00,True,4,0,0,2020-08-19 01:52:50,2020
125,10,False,True,True,140,140,0,active,2020-08-19 01:12:40+00:00,True,7,0,0,2020-08-19 01:52:50,2020
126,8,False,True,True,141,141,0,active,2020-08-19 01:24:31+00:00,True,7,0,0,2020-08-19 01:52:50,2020
