,num_bikes_disabled,is_returning,is_renting,num_docks_available,legacy_id,num_docks_disabled,is_installed,station_status,num_bikes_available,last_reported,num_ebikes_available,station_id,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
63,0,True,True,22,72,0,True,active,1,2020-07-31 08:21:58+00:00,0,72,False,,,2020-07-31 09:25:10,2020
64,0,True,True,7,73,0,True,active,8,2020-07-31 08:31:13+00:00,0,73,False,,,2020-07-31 09:25:10,2020
65,0,True,True,16,74,0,True,active,3,2020-07-31 04:18:52+00:00,0,74,True,,,2020-07-31 09:25:10,2020
66,0,True,True,12,75,0,True,active,3,2020-07-31 08:40:36+00:00,0,75,False,,,2020-07-31 09:25:10,2020
67,0,True,True,3,76,0,True,active,14,2020-07-31 08:46:28+00:00,0,76,False,,,2020-07-31 09:25:10,2020
68,0,True,True,7,77,0,True,active,8,2020-07-31 02:46:05+00:00,0,77,False,,,2020-07-31 09:25:10,2020
69,1,True,True,4,78,0,True,active,14,2020-07-31 08:21:01+00:00,0,78,False,,,2020-07-31 09:25:10,2020
70,0,True,True,13,79,0,True,active,6,2020-07-31 08:36:20+00:00,0,79,False,,,2020-07-31 09:25:10,2020
71,0,True,True,34,80,0,True,active,1,2020-07-31 08:56:58+00:00,0,80,False,,,2020-07-31 09:25:10,2020
72,0,True,True,11,81,0,True,active,8,2020-07-31 08:16:19+00:00,0,81,False,,,2020-07-31 09:25:10,2020
73,0,True,True,10,82,0,True,active,5,2020-07-31 08:17:47+00:00,0,82,False,,,2020-07-31 09:25:10,2020
74,0,True,True,11,84,0,True,active,4,2020-07-31 08:42:03+00:00,0,84,False,,,2020-07-31 09:25:10,2020
75,0,True,True,19,85,0,True,active,0,2020-07-31 02:10:09+00:00,0,85,False,,,2020-07-31 09:25:10,2020
76,0,True,True,6,86,0,True,active,13,2020-07-31 08:41:24+00:00,0,86,False,,,2020-07-31 09:25:10,2020
77,1,True,True,0,87,0,True,active,14,2020-07-31 06:35:21+00:00,0,87,False,,,2020-07-31 09:25:10,2020
78,0,True,True,2,89,0,True,active,17,2020-07-31 08:51:33+00:00,0,89,False,,,2020-07-31 09:25:10,2020
79,0,True,True,10,90,0,True,active,9,2020-07-31 08:51:12+00:00,0,90,False,,,2020-07-31 09:25:10,2020
80,1,True,True,17,91,0,True,active,1,2020-07-31 08:46:14+00:00,0,91,False,,,2020-07-31 09:25:10,2020
81,1,True,True,8,92,0,True,active,10,2020-07-31 08:35:54+00:00,0,92,False,,,2020-07-31 09:25:10,2020
82,2,True,True,0,93,0,True,active,13,2020-07-31 08:45:59+00:00,0,93,False,,,2020-07-31 09:25:10,2020
83,0,True,True,5,94,0,True,active,6,2020-07-31 08:41:37+00:00,0,94,False,,,2020-07-31 09:25:10,2020
84,1,True,True,0,95,0,True,active,14,2020-07-31 08:51:46+00:00,0,95,False,,,2020-07-31 09:25:10,2020
85,0,True,True,5,96,0,True,active,14,2020-07-31 08:46:02+00:00,0,96,False,,,2020-07-31 09:25:10,2020
86,0,True,True,11,97,0,True,active,8,2020-07-31 08:07:08+00:00,0,97,False,,,2020-07-31 09:25:10,2020
87,0,True,True,16,98,0,True,active,6,2020-07-31 08:17:38+00:00,0,98,False,,,2020-07-31 09:25:10,2020
88,1,True,True,1,99,0,True,active,13,2020-07-31 08:02:33+00:00,0,99,False,,,2020-07-31 09:25:10,2020
89,1,True,True,12,100,0,True,active,12,2020-07-31 07:55:45+00:00,0,100,True,,,2020-07-31 09:25:10,2020
90,0,True,True,13,101,0,True,active,2,2020-07-31 08:06:43+00:00,0,101,False,,,2020-07-31 09:25:10,2020
91,0,True,True,9,102,0,True,active,6,2020-07-31 08:46:32+00:00,0,102,False,,,2020-07-31 09:25:10,2020
92,1,True,True,8,103,0,True,active,6,2020-07-31 08:01:04+00:00,0,103,False,,,2020-07-31 09:25:10,2020
93,0,True,True,1,104,0,True,active,18,2020-07-31 08:46:04+00:00,0,104,False,,,2020-07-31 09:25:10,2020
94,0,True,True,12,105,0,True,active,7,2020-07-31 09:21:21+00:00,0,105,False,,,2020-07-31 09:25:10,2020
95,0,True,True,8,106,0,True,active,7,2020-07-31 08:46:19+00:00,0,106,False,,,2020-07-31 09:25:10,2020
96,0,True,True,18,107,0,True,active,1,2020-07-31 08:57:47+00:00,0,107,False,,,2020-07-31 09:25:10,2020
97,0,True,True,6,108,0,True,active,11,2020-07-31 08:06:29+00:00,0,108,False,,,2020-07-31 09:25:10,2020
98,2,True,True,8,109,0,True,active,25,2020-07-31 00:13:00+00:00,0,109,False,,,2020-07-31 09:25:10,2020
99,1,True,True,6,110,0,True,active,8,2020-07-31 08:06:48+00:00,0,110,False,,,2020-07-31 09:25:10,2020
100,0,True,True,14,111,0,True,active,1,2020-07-31 08:32:35+00:00,0,111,False,,,2020-07-31 09:25:10,2020
101,0,True,True,10,112,0,True,active,5,2020-07-31 08:51:57+00:00,0,112,False,,,2020-07-31 09:25:10,2020
102,0,True,True,2,113,0,True,active,13,2020-07-31 09:22:48+00:00,0,113,False,,,2020-07-31 09:25:10,2020
103,0,True,True,9,114,0,True,active,6,2020-07-31 04:15:25+00:00,0,114,False,,,2020-07-31 09:25:10,2020
104,1,True,True,14,115,0,True,active,4,2020-07-31 08:57:46+00:00,0,115,False,,,2020-07-31 09:25:10,2020
105,0,True,True,3,116,0,True,active,20,2020-07-31 09:18:06+00:00,0,116,False,,,2020-07-31 09:25:10,2020
106,1,True,True,3,117,0,True,active,15,2020-07-31 08:42:42+00:00,0,117,False,,,2020-07-31 09:25:10,2020
107,1,True,True,11,118,0,True,active,7,2020-07-31 06:29:48+00:00,0,118,False,,,2020-07-31 09:25:10,2020
108,0,True,True,7,119,0,True,active,8,2020-07-31 08:21:20+00:00,0,119,False,,,2020-07-31 09:25:10,2020
109,2,True,True,13,120,0,True,active,0,2020-07-31 08:54:32+00:00,0,120,False,,,2020-07-31 09:25:10,2020
110,1,True,True,6,121,0,True,active,10,2020-07-31 08:00:58+00:00,0,121,False,,,2020-07-31 09:25:10,2020
111,1,True,True,5,122,0,True,active,9,2020-07-31 08:45:49+00:00,0,122,False,,,2020-07-31 09:25:10,2020
112,0,True,True,10,124,0,True,active,5,2020-07-31 08:06:05+00:00,0,124,False,,,2020-07-31 09:25:10,2020
113,0,True,True,10,125,0,True,active,5,2020-07-31 08:11:48+00:00,0,125,False,,,2020-07-31 09:25:10,2020
114,1,True,True,7,126,0,True,active,7,2020-07-31 08:36:12+00:00,0,126,False,,,2020-07-31 09:25:10,2020
115,0,True,True,3,128,0,True,active,16,2020-07-31 08:11:30+00:00,0,128,False,,,2020-07-31 09:25:10,2020
116,0,True,True,7,129,0,True,active,12,2020-07-31 00:28:33+00:00,0,129,False,,,2020-07-31 09:25:10,2020
117,0,True,True,2,130,0,True,active,13,2020-07-31 08:56:24+00:00,0,130,False,,,2020-07-31 09:25:10,2020
118,3,True,True,1,131,0,True,active,14,2020-07-31 08:47:30+00:00,0,131,False,,,2020-07-31 09:25:10,2020
119,0,True,True,4,133,0,True,active,19,2020-07-31 08:56:36+00:00,0,133,False,,,2020-07-31 09:25:10,2020
120,0,True,True,14,135,0,True,active,3,2020-07-31 08:11:57+00:00,0,135,False,,,2020-07-31 09:25:10,2020
121,0,True,True,7,136,0,True,active,12,2020-07-31 08:47:22+00:00,0,136,False,,,2020-07-31 09:25:10,2020
122,0,True,True,3,137,0,True,active,12,2020-07-31 08:50:56+00:00,0,137,False,,,2020-07-31 09:25:10,2020
123,0,True,True,3,138,0,True,active,12,2020-07-31 09:01:29+00:00,0,138,False,,,2020-07-31 09:25:10,2020
124,0,True,True,1,139,0,True,active,18,2020-07-31 08:46:16+00:00,0,139,False,,,2020-07-31 09:25:10,2020
125,0,True,True,11,140,0,True,active,6,2020-07-31 08:36:35+00:00,0,140,False,,,2020-07-31 09:25:10,2020
126,1,True,True,8,141,0,True,active,6,2020-07-31 08:45:58+00:00,0,141,False,,,2020-07-31 09:25:10,2020
127,1,True,True,4,142,0,True,active,18,2020-07-31 08:59:06+00:00,0,142,False,,,2020-07-31 09:25:10,2020
128,1,True,True,2,143,0,True,active,20,2020-07-31 08:31:20+00:00,0,143,False,,,2020-07-31 09:25:10,2020
129,0,True,True,14,144,0,True,active,5,2020-07-31 08:46:26+00:00,0,144,False,,,2020-07-31 09:25:10,2020
130,0,True,True,9,145,0,True,active,10,2020-07-31 08:11:10+00:00,0,145,False,,,2020-07-31 09:25:10,2020
131,1,True,True,2,146,0,True,active,16,2020-07-31 08:56:07+00:00,0,146,False,,,2020-07-31 09:25:10,2020
132,0,True,True,16,149,0,True,active,2,2020-07-31 08:56:32+00:00,0,149,True,,,2020-07-31 09:25:10,2020
133,1,True,True,4,150,0,True,active,14,2020-07-31 08:06:24+00:00,0,150,False,,,2020-07-31 09:25:10,2020
134,1,True,True,14,151,0,True,active,4,2020-07-31 02:51:13+00:00,0,151,False,,,2020-07-31 09:25:10,2020
135,0,True,True,5,152,0,True,active,10,2020-07-31 03:10:47+00:00,0,152,True,,,2020-07-31 09:25:10,2020
136,0,True,True,9,156,0,True,active,6,2020-07-31 08:06:18+00:00,0,156,False,,,2020-07-31 09:25:10,2020
