,is_returning,num_docks_available,is_renting,station_id,num_bikes_available,num_docks_disabled,eightd_has_available_keys,legacy_id,is_installed,station_status,num_bikes_disabled,num_ebikes_available,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
136,True,13,True,156,2,0,False,156,True,active,0,0,2020-08-18 19:52:55+00:00,,,2020-08-18 21:06:55,2020
137,True,5,True,157,9,0,False,157,True,active,1,0,2020-08-18 21:05:11+00:00,,,2020-08-18 21:06:55,2020
138,True,15,True,159,0,0,False,159,True,active,0,0,2020-08-18 20:37:53+00:00,,,2020-08-18 21:06:55,2020
139,True,7,True,160,7,0,True,160,True,active,0,0,2020-08-18 21:04:00+00:00,,,2020-08-18 21:06:55,2020
140,True,8,True,161,14,0,True,161,True,active,1,0,2020-08-18 20:46:43+00:00,,,2020-08-18 21:06:55,2020
141,True,9,True,162,6,0,False,162,True,active,0,0,2020-08-18 18:28:26+00:00,,,2020-08-18 21:06:55,2020
142,True,13,True,163,6,0,True,163,True,active,0,0,2020-08-18 21:01:22+00:00,,,2020-08-18 21:06:55,2020
143,True,9,True,167,6,0,False,167,True,active,0,0,2020-08-18 20:19:07+00:00,,,2020-08-18 21:06:55,2020
144,True,15,True,169,4,0,False,169,True,active,0,0,2020-08-18 19:59:09+00:00,,,2020-08-18 21:06:55,2020
145,True,13,True,170,1,0,True,170,True,active,0,0,2020-08-18 20:48:18+00:00,,,2020-08-18 21:06:55,2020
146,True,21,True,171,2,0,True,171,True,active,0,0,2020-08-18 20:50:29+00:00,,,2020-08-18 21:06:55,2020
147,True,5,True,173,9,0,True,173,True,active,0,0,2020-08-18 17:51:29+00:00,,,2020-08-18 21:06:55,2020
148,True,12,True,174,3,0,False,174,True,active,0,0,2020-08-18 21:06:26+00:00,,,2020-08-18 21:06:55,2020
149,True,10,True,175,7,0,True,175,True,active,0,0,2020-08-18 20:48:13+00:00,,,2020-08-18 21:06:55,2020
150,True,8,True,176,7,0,False,176,True,active,0,0,2020-08-18 19:55:55+00:00,,,2020-08-18 21:06:55,2020
151,True,18,True,177,1,0,False,177,True,active,0,0,2020-08-18 20:59:46+00:00,,,2020-08-18 21:06:55,2020
152,True,8,True,178,11,0,False,178,True,active,0,0,2020-08-18 21:02:57+00:00,,,2020-08-18 21:06:55,2020
153,True,11,True,179,14,0,False,179,True,active,0,0,2020-08-18 21:06:31+00:00,,,2020-08-18 21:06:55,2020
154,True,4,True,180,15,0,False,180,True,active,0,0,2020-08-18 21:03:01+00:00,,,2020-08-18 21:06:55,2020
155,True,10,True,181,9,0,False,181,True,active,0,0,2020-08-18 19:27:46+00:00,,,2020-08-18 21:06:55,2020
156,True,14,True,182,5,0,True,182,True,active,0,0,2020-08-18 21:06:31+00:00,,,2020-08-18 21:06:55,2020
157,True,6,True,183,13,0,False,183,True,active,0,0,2020-08-18 21:02:58+00:00,,,2020-08-18 21:06:55,2020
158,True,13,True,184,6,0,False,184,True,active,0,0,2020-08-18 21:04:51+00:00,,,2020-08-18 21:06:55,2020
159,True,10,True,185,4,0,False,185,True,active,1,0,2020-08-18 21:04:03+00:00,,,2020-08-18 21:06:55,2020
160,True,11,True,186,4,0,True,186,True,active,0,0,2020-08-18 20:40:31+00:00,,,2020-08-18 21:06:55,2020
161,True,5,True,187,10,0,False,187,True,active,0,0,2020-08-18 19:42:17+00:00,,,2020-08-18 21:06:55,2020
162,True,4,True,188,11,0,False,188,True,active,0,0,2020-08-18 20:54:38+00:00,,,2020-08-18 21:06:55,2020
163,True,4,True,189,19,0,True,189,True,active,0,0,2020-08-18 21:04:23+00:00,,,2020-08-18 21:06:55,2020
164,True,19,True,190,17,0,True,190,True,active,1,0,2020-08-18 21:01:27+00:00,,,2020-08-18 21:06:55,2020
165,True,13,True,191,2,0,False,191,True,active,0,0,2020-08-18 20:52:38+00:00,,,2020-08-18 21:06:55,2020
166,True,17,True,192,2,0,False,192,True,active,0,0,2020-08-18 20:46:22+00:00,,,2020-08-18 21:06:55,2020
167,True,13,True,193,2,0,True,193,True,active,0,0,2020-08-18 21:03:58+00:00,,,2020-08-18 21:06:55,2020
168,True,16,True,194,0,0,False,194,True,active,3,0,2020-08-18 20:50:17+00:00,,,2020-08-18 21:06:55,2020
169,True,18,True,195,4,0,False,195,True,active,1,0,2020-08-18 21:02:32+00:00,,,2020-08-18 21:06:55,2020
170,True,9,True,196,1,0,False,196,True,active,0,0,2020-08-18 20:58:55+00:00,,,2020-08-18 21:06:55,2020
