,is_returning,num_bikes_available,num_bikes_disabled,is_renting,is_installed,num_ebikes_available,legacy_id,last_reported,station_id,num_docks_available,num_docks_disabled,eightd_has_available_keys,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
290,True,0,0,True,True,0,402,2020-08-05 14:26:48+00:00,402,15,0,False,active,,,2020-08-05 16:22:10,2020
291,True,8,0,True,True,0,403,2020-08-05 16:20:11+00:00,403,7,0,False,active,,,2020-08-05 16:22:10,2020
292,True,11,0,True,True,0,404,2020-08-05 16:00:57+00:00,404,5,0,False,active,,,2020-08-05 16:22:10,2020
293,True,19,0,True,True,0,405,2020-08-05 14:26:10+00:00,405,0,0,False,active,,,2020-08-05 16:22:10,2020
294,True,9,0,True,True,0,406,2020-08-05 15:11:01+00:00,406,6,0,False,active,,,2020-08-05 16:22:10,2020
295,True,3,0,True,True,0,407,2020-08-05 13:27:14+00:00,407,16,0,False,active,,,2020-08-05 16:22:10,2020
296,True,7,0,True,True,0,408,2020-08-05 14:19:53+00:00,408,8,0,False,active,,,2020-08-05 16:22:10,2020
297,True,8,1,True,True,0,409,2020-08-05 16:06:49+00:00,409,10,0,False,active,,,2020-08-05 16:22:10,2020
298,True,13,0,True,True,0,410,2020-08-05 15:23:09+00:00,410,6,0,False,active,,,2020-08-05 16:22:10,2020
299,True,14,0,True,True,0,411,2020-08-05 04:32:05+00:00,411,1,0,False,active,,,2020-08-05 16:22:10,2020
300,True,5,0,True,True,0,412,2020-08-05 13:08:39+00:00,412,14,0,False,active,,,2020-08-05 16:22:10,2020
301,True,11,0,True,True,0,413,2020-08-05 16:18:20+00:00,413,8,0,False,active,,,2020-08-05 16:22:10,2020
302,True,0,0,True,True,0,414,2020-08-05 16:10:23+00:00,414,23,0,False,active,,,2020-08-05 16:22:10,2020
303,True,11,0,True,True,0,415,2020-08-05 16:15:20+00:00,415,8,0,False,active,,,2020-08-05 16:22:10,2020
304,True,7,0,True,True,0,416,2020-08-05 15:54:20+00:00,416,8,0,False,active,,,2020-08-05 16:22:10,2020
305,True,1,0,True,True,0,417,2020-08-05 16:10:55+00:00,417,18,0,False,active,,,2020-08-05 16:22:10,2020
306,True,10,0,True,True,0,419,2020-08-05 12:24:36+00:00,419,5,0,False,active,,,2020-08-05 16:22:10,2020
307,False,0,0,False,False,0,420,1970-01-02 00:00:00+00:00,420,0,0,False,out_of_service,,,2020-08-05 16:22:10,1970
308,True,13,0,True,True,0,421,2020-08-05 16:11:59+00:00,421,6,0,False,active,,,2020-08-05 16:22:10,2020
309,True,14,0,True,True,0,422,2020-08-05 08:57:23+00:00,422,1,0,False,active,,,2020-08-05 16:22:10,2020
310,True,11,0,True,True,0,423,2020-08-05 00:27:44+00:00,423,8,0,False,active,,,2020-08-05 16:22:10,2020
311,True,4,0,True,True,0,424,2020-08-05 14:51:07+00:00,424,15,0,False,active,,,2020-08-05 16:22:10,2020
312,True,0,0,True,True,0,425,2020-08-04 10:32:00+00:00,425,16,0,False,active,,,2020-08-05 16:22:10,2020
313,True,13,0,True,True,0,426,2020-08-05 15:59:27+00:00,426,14,0,False,active,,,2020-08-05 16:22:10,2020
314,True,1,0,True,True,0,427,2020-08-05 15:33:31+00:00,427,18,0,False,active,,,2020-08-05 16:22:10,2020
315,True,12,0,True,True,0,428,2020-08-05 14:32:44+00:00,428,7,0,False,active,,,2020-08-05 16:22:10,2020
316,True,17,0,True,True,0,430,2020-08-05 15:04:25+00:00,430,2,0,False,active,,,2020-08-05 16:22:10,2020
317,True,0,0,True,True,0,431,2020-08-05 10:07:24+00:00,431,15,0,False,active,,,2020-08-05 16:22:10,2020
318,True,8,0,True,True,0,432,2020-08-04 22:51:58+00:00,432,11,0,False,active,,,2020-08-05 16:22:10,2020
319,True,0,0,True,True,0,433,2020-08-05 08:57:19+00:00,433,19,0,False,active,,,2020-08-05 16:22:10,2020
320,True,3,0,True,True,0,434,2020-08-05 11:00:41+00:00,434,16,0,False,active,,,2020-08-05 16:22:10,2020
321,True,13,0,True,True,0,435,2020-08-05 15:54:45+00:00,435,2,0,False,active,,,2020-08-05 16:22:10,2020
322,True,2,2,True,True,0,436,2020-08-05 16:20:20+00:00,436,11,0,False,active,,,2020-08-05 16:22:10,2020
323,True,15,0,True,True,0,437,2020-08-05 16:19:58+00:00,437,4,0,False,active,,,2020-08-05 16:22:10,2020
324,True,13,0,True,True,0,440,2020-08-05 15:46:22+00:00,440,4,0,False,active,,,2020-08-05 16:22:10,2020
325,True,15,0,True,True,0,441,2020-08-05 14:32:11+00:00,441,4,0,False,active,,,2020-08-05 16:22:10,2020
326,True,4,0,True,True,0,442,2020-08-05 15:16:33+00:00,442,11,0,False,active,,,2020-08-05 16:22:10,2020
327,True,4,0,True,True,0,443,2020-08-05 13:58:14+00:00,443,15,0,False,active,,,2020-08-05 16:22:10,2020
328,True,14,0,True,True,0,445,2020-08-05 12:21:14+00:00,445,5,0,False,active,,,2020-08-05 16:22:10,2020
329,True,8,0,True,True,0,446,2020-08-05 16:17:24+00:00,446,4,0,False,active,,,2020-08-05 16:22:10,2020
330,True,2,0,True,True,0,447,2020-08-05 15:24:05+00:00,447,17,0,False,active,,,2020-08-05 16:22:10,2020
331,True,2,0,True,True,0,448,2020-08-04 19:23:50+00:00,448,9,0,False,active,,,2020-08-05 16:22:10,2020
332,True,0,0,True,False,0,449,1970-01-02 00:00:00+00:00,449,0,0,False,out_of_service,,,2020-08-05 16:22:10,1970
333,True,8,0,True,True,0,450,2020-08-05 15:49:35+00:00,450,7,0,False,active,,,2020-08-05 16:22:10,2020
334,True,10,0,True,True,0,451,2020-08-05 15:43:58+00:00,451,5,0,False,active,,,2020-08-05 16:22:10,2020
335,True,4,0,True,True,0,452,2020-08-05 16:21:25+00:00,452,11,0,False,active,,,2020-08-05 16:22:10,2020
336,True,4,0,True,True,0,453,2020-08-05 15:49:37+00:00,453,11,0,False,active,,,2020-08-05 16:22:10,2020
337,True,12,0,True,True,0,454,2020-08-05 16:07:26+00:00,454,3,0,False,active,,,2020-08-05 16:22:10,2020
338,True,9,0,True,True,0,455,2020-08-05 16:09:40+00:00,455,3,0,False,active,,,2020-08-05 16:22:10,2020
339,True,5,0,True,True,0,457,2020-08-05 15:06:22+00:00,457,6,0,False,active,,,2020-08-05 16:22:10,2020
340,True,4,0,True,True,0,458,2020-08-05 16:13:50+00:00,458,7,0,False,active,,,2020-08-05 16:22:10,2020
