,num_bikes_available,is_renting,eightd_has_available_keys,num_docks_available,station_status,legacy_id,is_returning,num_ebikes_available,is_installed,last_reported,num_bikes_disabled,station_id,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
95,11,True,False,4,active,106,True,0,True,2020-07-29 12:13:40+00:00,0,106,0,,,2020-07-29 15:31:15,2020
96,8,True,False,10,active,107,True,0,True,2020-07-29 15:28:13+00:00,1,107,0,,,2020-07-29 15:31:15,2020
97,17,True,False,0,active,108,True,0,True,2020-07-29 15:01:21+00:00,0,108,0,,,2020-07-29 15:31:15,2020
98,20,True,False,13,active,109,True,0,True,2020-07-29 15:00:49+00:00,2,109,0,,,2020-07-29 15:31:15,2020
99,6,True,False,9,active,110,True,0,True,2020-07-29 15:21:14+00:00,0,110,0,,,2020-07-29 15:31:15,2020
100,0,True,False,15,active,111,True,0,True,2020-07-29 15:28:41+00:00,0,111,0,,,2020-07-29 15:31:15,2020
101,9,True,False,6,active,112,True,0,True,2020-07-29 10:18:45+00:00,0,112,0,,,2020-07-29 15:31:15,2020
102,2,True,False,13,active,113,True,0,True,2020-07-29 14:34:19+00:00,0,113,0,,,2020-07-29 15:31:15,2020
103,3,True,False,12,active,114,True,0,True,2020-07-29 15:28:20+00:00,0,114,0,,,2020-07-29 15:31:15,2020
104,13,True,False,6,active,115,True,0,True,2020-07-29 15:27:24+00:00,0,115,0,,,2020-07-29 15:31:15,2020
105,6,True,False,17,active,116,True,0,True,2020-07-29 15:28:32+00:00,0,116,0,,,2020-07-29 15:31:15,2020
106,16,True,False,3,active,117,True,0,True,2020-07-29 15:29:51+00:00,0,117,0,,,2020-07-29 15:31:15,2020
107,12,True,False,7,active,118,True,0,True,2020-07-29 15:20:15+00:00,0,118,0,,,2020-07-29 15:31:15,2020
108,12,True,False,3,active,119,True,0,True,2020-07-29 15:10:17+00:00,0,119,0,,,2020-07-29 15:31:15,2020
109,10,True,False,5,active,120,True,0,True,2020-07-29 15:05:57+00:00,0,120,0,,,2020-07-29 15:31:15,2020
110,7,True,False,9,active,121,True,0,True,2020-07-29 14:28:14+00:00,1,121,0,,,2020-07-29 15:31:15,2020
111,2,True,False,13,active,122,True,0,True,2020-07-29 14:24:38+00:00,0,122,0,,,2020-07-29 15:31:15,2020
112,4,True,False,10,active,124,True,0,True,2020-07-29 12:05:27+00:00,1,124,0,,,2020-07-29 15:31:15,2020
113,1,True,False,14,active,125,True,0,True,2020-07-29 15:15:43+00:00,0,125,0,,,2020-07-29 15:31:15,2020
114,2,True,False,13,active,126,True,0,True,2020-07-29 14:41:30+00:00,0,126,0,,,2020-07-29 15:31:15,2020
115,12,True,False,6,active,128,True,0,True,2020-07-29 15:00:01+00:00,1,128,0,,,2020-07-29 15:31:15,2020
116,8,True,False,11,active,129,True,0,True,2020-07-29 14:14:59+00:00,0,129,0,,,2020-07-29 15:31:15,2020
117,8,True,False,7,active,130,True,0,True,2020-07-29 08:49:10+00:00,0,130,0,,,2020-07-29 15:31:15,2020
118,10,True,False,7,active,131,True,0,True,2020-07-29 15:25:34+00:00,1,131,0,,,2020-07-29 15:31:15,2020
119,8,True,False,14,active,133,True,0,True,2020-07-29 15:15:25+00:00,1,133,0,,,2020-07-29 15:31:15,2020
120,9,True,False,8,active,135,True,0,True,2020-07-29 12:47:30+00:00,0,135,0,,,2020-07-29 15:31:15,2020
121,15,True,False,2,active,136,True,0,True,2020-07-29 15:04:07+00:00,2,136,0,,,2020-07-29 15:31:15,2020
122,2,True,False,13,active,137,True,0,True,2020-07-29 15:15:23+00:00,0,137,0,,,2020-07-29 15:31:15,2020
123,10,True,False,4,active,138,True,0,True,2020-07-29 13:46:40+00:00,1,138,0,,,2020-07-29 15:31:15,2020
