,is_returning,num_ebikes_available,is_installed,last_reported,eightd_has_available_keys,legacy_id,num_docks_disabled,num_bikes_available,station_status,station_id,num_docks_available,is_renting,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
52,True,0,True,2020-07-30 13:56:21+00:00,False,60,0,5,active,60,14,True,0,"{'off_dock_count': 34, 'region': 'BOS', 'off_dock_capacity': 40, 'valet_revision': 63, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'dock_blocked_count': 0}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-30 14:01:25,2020
53,True,0,True,2020-07-30 13:59:48+00:00,False,61,0,7,active,61,12,True,0,,,2020-07-30 14:01:25,2020
54,True,0,True,2020-07-30 12:36:54+00:00,False,63,0,14,active,63,1,True,0,,,2020-07-30 14:01:25,2020
55,True,0,True,2020-07-30 14:01:14+00:00,False,64,0,6,active,64,11,True,2,,,2020-07-30 14:01:25,2020
56,True,0,True,2020-07-30 12:59:16+00:00,False,65,0,10,active,65,13,True,0,,,2020-07-30 14:01:25,2020
57,True,0,True,2020-07-30 13:58:44+00:00,False,66,0,0,active,66,15,True,0,,,2020-07-30 14:01:25,2020
58,True,0,True,2020-07-30 13:58:23+00:00,True,67,0,12,active,67,15,True,0,,,2020-07-30 14:01:25,2020
59,True,0,True,2020-07-30 13:58:38+00:00,True,68,0,4,active,68,14,True,1,,,2020-07-30 14:01:25,2020
60,True,0,True,2020-07-30 13:40:01+00:00,True,69,0,6,active,69,13,True,0,,,2020-07-30 14:01:25,2020
61,True,0,True,2020-07-30 13:56:59+00:00,False,70,0,1,active,70,22,True,0,,,2020-07-30 14:01:25,2020
62,True,0,True,2020-07-30 13:12:05+00:00,False,71,0,21,active,71,2,True,0,,,2020-07-30 14:01:25,2020
63,True,0,True,2020-07-30 13:55:01+00:00,False,72,0,3,active,72,20,True,0,,,2020-07-30 14:01:25,2020
64,True,0,True,2020-07-30 13:58:01+00:00,False,73,0,10,active,73,4,True,1,,,2020-07-30 14:01:25,2020
65,True,0,True,2020-07-30 13:59:43+00:00,True,74,0,13,active,74,5,True,1,,,2020-07-30 14:01:25,2020
