,num_docks_available,is_installed,num_bikes_disabled,num_bikes_available,num_ebikes_available,station_status,legacy_id,is_returning,eightd_has_available_keys,is_renting,last_reported,station_id,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
17,7,True,0,11,0,active,21,True,True,True,2020-08-15 19:49:23+00:00,21,0,,,2020-08-15 19:57:15,2020
18,20,True,0,27,0,active,22,True,True,True,2020-08-15 19:37:57+00:00,22,0,,,2020-08-15 19:57:15,2020
19,14,True,0,7,0,active,23,True,False,True,2020-08-15 19:55:34+00:00,23,0,,,2020-08-15 19:57:15,2020
20,2,True,1,16,0,active,24,True,False,True,2020-08-15 19:48:18+00:00,24,0,,,2020-08-15 19:57:15,2020
21,9,True,0,6,0,active,25,True,False,True,2020-08-15 19:55:13+00:00,25,0,,,2020-08-15 19:57:15,2020
22,7,True,0,8,0,active,26,True,False,True,2020-08-15 19:18:07+00:00,26,0,,,2020-08-15 19:57:15,2020
23,15,True,0,8,0,active,27,True,False,True,2020-08-15 19:51:46+00:00,27,0,,,2020-08-15 19:57:15,2020
24,10,True,1,4,0,active,29,True,False,True,2020-08-15 19:34:54+00:00,29,0,,,2020-08-15 19:57:15,2020
25,14,True,1,0,0,active,30,True,False,True,2020-08-15 19:36:49+00:00,30,0,,,2020-08-15 19:57:15,2020
26,11,True,0,8,0,active,31,True,True,True,2020-08-15 19:51:44+00:00,31,0,,,2020-08-15 19:57:15,2020
27,5,True,1,9,0,active,32,True,False,True,2020-08-15 19:55:18+00:00,32,0,,,2020-08-15 19:57:15,2020
28,6,True,0,21,0,active,33,True,False,True,2020-08-15 19:49:02+00:00,33,0,,,2020-08-15 19:57:15,2020
29,13,True,1,9,0,active,35,True,False,True,2020-08-15 19:40:41+00:00,35,0,,,2020-08-15 19:57:15,2020
30,10,True,2,21,0,active,36,True,True,True,2020-08-15 19:55:03+00:00,36,0,,,2020-08-15 19:57:15,2020
31,8,True,0,7,0,active,37,True,True,True,2020-08-15 19:18:08+00:00,37,0,,,2020-08-15 19:57:15,2020
32,12,True,0,11,0,active,39,True,False,True,2020-08-15 19:42:56+00:00,39,0,,,2020-08-15 19:57:15,2020
33,16,True,0,3,0,active,40,True,False,True,2020-08-15 19:52:37+00:00,40,0,,,2020-08-15 19:57:15,2020
34,13,True,0,14,0,active,41,True,True,True,2020-08-15 19:51:38+00:00,41,0,,,2020-08-15 19:57:15,2020
35,3,True,0,20,0,active,42,True,False,True,2020-08-15 19:46:20+00:00,42,0,,,2020-08-15 19:57:15,2020
36,14,True,0,1,0,active,43,True,True,True,2020-08-15 19:10:03+00:00,43,0,,,2020-08-15 19:57:15,2020
37,23,True,0,0,0,active,44,True,False,True,2020-08-15 19:40:00+00:00,44,0,,,2020-08-15 19:57:15,2020
38,13,True,3,3,0,active,46,True,False,True,2020-08-15 19:51:26+00:00,46,0,,,2020-08-15 19:57:15,2020
39,7,True,0,12,0,active,47,True,True,True,2020-08-15 19:53:05+00:00,47,0,,,2020-08-15 19:57:15,2020
40,17,True,0,2,0,active,48,True,False,True,2020-08-15 19:47:57+00:00,48,0,,,2020-08-15 19:57:15,2020
41,6,True,0,12,0,active,49,True,False,True,2020-08-15 19:40:27+00:00,49,0,,,2020-08-15 19:57:15,2020
42,11,True,0,4,0,active,50,True,True,True,2020-08-15 19:47:15+00:00,50,0,,,2020-08-15 19:57:15,2020
43,2,True,0,13,0,active,51,True,False,True,2020-08-15 19:42:02+00:00,51,0,,,2020-08-15 19:57:15,2020
44,7,True,0,16,0,active,52,True,True,True,2020-08-15 19:56:52+00:00,52,0,,,2020-08-15 19:57:15,2020
45,18,True,1,0,0,active,53,True,False,True,2020-08-15 19:52:07+00:00,53,0,,,2020-08-15 19:57:15,2020
46,9,True,3,3,0,active,54,True,False,True,2020-08-15 19:57:05+00:00,54,0,,,2020-08-15 19:57:15,2020
47,10,True,1,4,0,active,55,True,False,True,2020-08-15 19:44:54+00:00,55,0,,,2020-08-15 19:57:15,2020
48,3,True,0,15,0,active,56,True,False,True,2020-08-15 19:50:46+00:00,56,0,,,2020-08-15 19:57:15,2020
49,13,True,0,1,0,active,57,True,True,True,2020-08-15 19:25:14+00:00,57,0,,,2020-08-15 19:57:15,2020
50,13,True,2,4,0,active,58,True,True,True,2020-08-15 19:55:58+00:00,58,0,,,2020-08-15 19:57:15,2020
51,16,True,2,1,0,active,59,True,True,True,2020-08-15 19:50:23+00:00,59,0,,,2020-08-15 19:57:15,2020
52,17,True,1,1,0,active,60,True,False,True,2020-08-15 19:53:23+00:00,60,0,,,2020-08-15 19:57:15,2020
53,5,True,1,13,0,active,61,True,False,True,2020-08-15 19:55:23+00:00,61,0,,,2020-08-15 19:57:15,2020
54,6,True,0,9,0,active,63,True,False,True,2020-08-15 19:49:14+00:00,63,0,,,2020-08-15 19:57:15,2020
55,17,True,1,1,0,active,64,True,False,True,2020-08-15 19:47:52+00:00,64,0,,,2020-08-15 19:57:15,2020
56,23,True,0,0,0,active,65,True,False,True,2020-08-15 19:41:05+00:00,65,0,,,2020-08-15 19:57:15,2020
57,10,True,0,5,0,active,66,True,False,True,2020-08-15 19:56:23+00:00,66,0,,,2020-08-15 19:57:15,2020
58,26,True,0,1,0,active,67,True,True,True,2020-08-15 19:56:43+00:00,67,0,,,2020-08-15 19:57:15,2020
59,12,True,0,7,0,active,68,True,True,True,2020-08-15 19:51:42+00:00,68,0,,,2020-08-15 19:57:15,2020
60,16,True,1,2,0,active,69,True,True,True,2020-08-15 19:52:09+00:00,69,0,,,2020-08-15 19:57:15,2020
