,is_installed,last_reported,num_docks_disabled,num_bikes_disabled,num_bikes_available,station_status,is_renting,is_returning,num_ebikes_available,legacy_id,eightd_has_available_keys,station_id,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
133,True,2020-08-11 08:56:43+00:00,0,0,11,active,True,True,0,150,False,150,8,2020-08-11 10:02:20,2020
134,True,2020-08-11 08:11:54+00:00,0,0,2,active,True,True,0,151,False,151,17,2020-08-11 10:02:20,2020
135,True,2020-08-11 09:30:02+00:00,0,0,14,active,True,True,0,152,True,152,1,2020-08-11 10:02:20,2020
136,True,2020-08-11 08:58:12+00:00,0,0,3,active,True,True,0,156,False,156,12,2020-08-11 10:02:20,2020
137,True,2020-08-11 08:46:48+00:00,0,2,8,active,True,True,0,157,False,157,5,2020-08-11 10:02:20,2020
138,True,2020-08-11 09:35:18+00:00,0,1,7,active,True,True,0,159,False,159,7,2020-08-11 10:02:20,2020
139,True,2020-08-11 08:58:15+00:00,0,0,8,active,True,True,0,160,True,160,6,2020-08-11 10:02:20,2020
140,True,2020-08-11 08:22:45+00:00,0,2,13,active,True,True,0,161,True,161,8,2020-08-11 10:02:20,2020
141,True,2020-08-11 08:11:27+00:00,0,0,6,active,True,True,0,162,False,162,9,2020-08-11 10:02:20,2020
142,True,2020-08-11 08:51:19+00:00,0,0,11,active,True,True,0,163,True,163,8,2020-08-11 10:02:20,2020
143,True,2020-08-11 08:46:35+00:00,0,0,5,active,True,True,0,167,False,167,10,2020-08-11 10:02:20,2020
144,True,2020-08-11 08:43:09+00:00,0,0,15,active,True,True,0,169,False,169,4,2020-08-11 10:02:20,2020
145,True,2020-08-11 08:57:53+00:00,0,0,3,active,True,True,0,170,True,170,11,2020-08-11 10:02:20,2020
146,True,2020-08-11 08:51:29+00:00,0,0,5,active,True,True,0,171,True,171,18,2020-08-11 10:02:20,2020
147,True,2020-08-11 08:56:41+00:00,0,0,11,active,True,True,0,173,True,173,3,2020-08-11 10:02:20,2020
148,True,2020-08-11 09:51:11+00:00,0,0,5,active,True,True,0,174,False,174,10,2020-08-11 10:02:20,2020
149,True,2020-08-11 10:00:57+00:00,0,0,0,active,True,True,0,175,True,175,17,2020-08-11 10:02:20,2020
150,True,2020-08-11 08:53:18+00:00,0,0,14,active,True,True,0,176,False,176,1,2020-08-11 10:02:20,2020
151,True,2020-08-11 07:25:01+00:00,0,0,1,active,True,True,0,177,False,177,18,2020-08-11 10:02:20,2020
152,True,2020-08-11 08:46:35+00:00,0,0,9,active,True,True,0,178,False,178,10,2020-08-11 10:02:20,2020
153,True,2020-08-11 08:57:35+00:00,0,0,11,active,True,True,0,179,False,179,14,2020-08-11 10:02:20,2020
154,True,2020-08-11 08:58:04+00:00,0,0,15,active,True,True,0,180,False,180,4,2020-08-11 10:02:20,2020
155,True,2020-08-11 08:21:39+00:00,0,0,15,active,True,True,0,181,False,181,4,2020-08-11 10:02:20,2020
156,True,2020-08-11 08:53:15+00:00,0,0,6,active,True,True,0,182,True,182,13,2020-08-11 10:02:20,2020
157,True,2020-08-11 08:26:47+00:00,0,0,2,active,True,True,0,183,False,183,17,2020-08-11 10:02:20,2020
158,True,2020-08-11 09:57:55+00:00,0,0,10,active,True,True,0,184,False,184,9,2020-08-11 10:02:20,2020
159,True,2020-08-11 08:57:13+00:00,0,0,10,active,True,True,0,185,False,185,5,2020-08-11 10:02:20,2020
160,True,2020-08-11 09:47:42+00:00,0,2,12,active,True,True,0,186,True,186,1,2020-08-11 10:02:20,2020
161,True,2020-08-11 08:37:28+00:00,0,0,13,active,True,True,0,187,False,187,2,2020-08-11 10:02:20,2020
162,True,2020-08-11 08:36:48+00:00,0,0,10,active,True,True,0,188,False,188,5,2020-08-11 10:02:20,2020
163,True,2020-08-11 10:01:31+00:00,0,1,8,active,True,True,0,189,True,189,14,2020-08-11 10:02:20,2020
164,True,2020-08-11 10:01:56+00:00,0,1,24,active,True,True,0,190,True,190,12,2020-08-11 10:02:20,2020
165,True,2020-08-11 08:36:44+00:00,0,0,3,active,True,True,0,191,False,191,12,2020-08-11 10:02:20,2020
166,True,2020-08-11 08:46:26+00:00,0,0,8,active,True,True,0,192,False,192,11,2020-08-11 10:02:20,2020
167,True,2020-08-11 09:50:17+00:00,0,0,8,active,True,True,0,193,True,193,7,2020-08-11 10:02:20,2020
168,True,2020-08-11 08:17:49+00:00,0,0,4,active,True,True,0,194,False,194,15,2020-08-11 10:02:20,2020
169,True,2020-08-11 08:21:37+00:00,0,1,15,active,True,True,0,195,False,195,7,2020-08-11 10:02:20,2020
170,True,2020-08-11 08:26:59+00:00,0,0,1,active,True,True,0,196,True,196,9,2020-08-11 10:02:20,2020
171,True,2020-08-11 09:43:55+00:00,0,0,0,active,True,True,0,197,False,197,15,2020-08-11 10:02:20,2020
172,True,2020-08-11 10:02:08+00:00,0,0,0,active,True,True,0,199,False,199,15,2020-08-11 10:02:20,2020
173,True,2020-08-11 08:53:09+00:00,0,2,12,active,True,True,0,200,False,200,5,2020-08-11 10:02:20,2020
174,True,2020-08-11 08:38:13+00:00,0,0,2,active,True,True,0,201,False,201,13,2020-08-11 10:02:20,2020
175,True,2020-08-11 08:11:59+00:00,0,0,4,active,True,True,0,202,False,202,11,2020-08-11 10:02:20,2020
176,True,2020-08-11 08:41:23+00:00,0,1,3,active,True,True,0,203,False,203,11,2020-08-11 10:02:20,2020
177,True,2020-08-11 08:51:33+00:00,0,0,3,active,True,True,0,204,False,204,12,2020-08-11 10:02:20,2020
178,True,2020-08-11 08:13:04+00:00,0,0,5,active,True,True,0,205,False,205,10,2020-08-11 10:02:20,2020
179,True,2020-08-11 08:56:33+00:00,0,0,2,active,True,True,0,206,True,206,21,2020-08-11 10:02:20,2020
180,True,2020-08-11 01:06:25+00:00,0,0,4,active,True,True,0,208,True,208,11,2020-08-11 10:02:20,2020
181,True,2020-08-11 08:53:13+00:00,0,0,8,active,True,True,0,209,False,209,7,2020-08-11 10:02:20,2020
182,True,2020-08-11 08:26:38+00:00,0,0,5,active,True,True,0,210,False,210,10,2020-08-11 10:02:20,2020
183,True,2020-08-11 08:38:06+00:00,0,0,5,active,True,True,0,211,False,211,14,2020-08-11 10:02:20,2020
184,True,2020-08-11 08:53:10+00:00,0,0,26,active,True,True,0,212,False,212,7,2020-08-11 10:02:20,2020
