,is_returning,num_ebikes_available,station_status,eightd_has_available_keys,num_docks_available,station_id,last_reported,legacy_id,num_bikes_available,is_installed,is_renting,num_docks_disabled,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
86,True,0,active,False,10,97,2020-08-18 22:48:42+00:00,97,7,True,True,0,2,2020-08-18 22:49:10,2020
87,True,0,active,False,11,98,2020-08-18 22:45:40+00:00,98,12,True,True,0,0,2020-08-18 22:49:10,2020
88,True,0,active,False,1,99,2020-08-18 22:48:09+00:00,99,12,True,True,0,2,2020-08-18 22:49:10,2020
89,True,0,active,True,16,100,2020-08-18 22:39:38+00:00,100,9,True,True,0,0,2020-08-18 22:49:10,2020
90,True,0,active,False,10,101,2020-08-18 22:21:06+00:00,101,5,True,True,0,0,2020-08-18 22:49:10,2020
91,True,0,active,False,10,102,2020-08-18 22:04:33+00:00,102,5,True,True,0,0,2020-08-18 22:49:10,2020
92,True,0,active,False,4,103,2020-08-18 22:46:34+00:00,103,11,True,True,0,0,2020-08-18 22:49:10,2020
93,True,0,active,False,16,104,2020-08-18 22:25:36+00:00,104,3,True,True,0,0,2020-08-18 22:49:10,2020
94,True,0,active,False,10,105,2020-08-18 22:45:37+00:00,105,8,True,True,0,1,2020-08-18 22:49:10,2020
95,True,0,active,False,7,106,2020-08-18 20:26:10+00:00,106,8,True,True,0,0,2020-08-18 22:49:10,2020
96,True,0,active,False,14,107,2020-08-18 22:47:59+00:00,107,3,True,True,0,2,2020-08-18 22:49:10,2020
97,True,0,active,False,9,108,2020-08-18 22:32:27+00:00,108,8,True,True,0,0,2020-08-18 22:49:10,2020
98,True,0,active,False,31,109,2020-08-18 22:32:39+00:00,109,2,True,True,0,2,2020-08-18 22:49:10,2020
99,True,0,active,False,15,110,2020-08-18 22:34:10+00:00,110,0,True,True,0,0,2020-08-18 22:49:10,2020
100,True,0,active,False,12,111,2020-08-18 21:29:44+00:00,111,3,True,True,0,0,2020-08-18 22:49:10,2020
101,True,0,active,False,7,112,2020-08-18 22:36:46+00:00,112,8,True,True,0,0,2020-08-18 22:49:10,2020
102,True,0,active,False,12,113,2020-08-18 22:33:06+00:00,113,2,True,True,0,1,2020-08-18 22:49:10,2020
103,True,0,active,False,13,114,2020-08-18 22:37:48+00:00,114,2,True,True,0,0,2020-08-18 22:49:10,2020
104,True,0,active,False,1,115,2020-08-18 22:47:51+00:00,115,18,True,True,0,0,2020-08-18 22:49:10,2020
105,True,0,active,False,16,116,2020-08-18 22:35:17+00:00,116,7,True,True,0,0,2020-08-18 22:49:10,2020
106,True,0,active,False,15,117,2020-08-18 22:35:15+00:00,117,3,True,True,0,1,2020-08-18 22:49:10,2020
107,True,0,active,False,8,118,2020-08-18 22:40:21+00:00,118,10,True,True,0,1,2020-08-18 22:49:10,2020
