,station_id,num_bikes_available,is_renting,station_status,num_bikes_disabled,num_ebikes_available,num_docks_available,is_installed,is_returning,legacy_id,num_docks_disabled,last_reported,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
99,110,2,True,active,0,0,13,True,True,110,0,2020-08-12 23:46:07+00:00,False,2020-08-12 23:50:55,2020
100,111,8,True,active,0,0,7,True,True,111,0,2020-08-12 23:47:07+00:00,False,2020-08-12 23:50:55,2020
101,112,14,True,active,0,0,1,True,True,112,0,2020-08-12 23:47:50+00:00,False,2020-08-12 23:50:55,2020
102,113,5,True,active,0,0,10,True,True,113,0,2020-08-12 23:46:01+00:00,False,2020-08-12 23:50:55,2020
103,114,5,True,active,1,0,9,True,True,114,0,2020-08-12 23:44:11+00:00,False,2020-08-12 23:50:55,2020
104,115,13,True,active,5,0,1,True,True,115,0,2020-08-12 23:40:27+00:00,False,2020-08-12 23:50:55,2020
105,116,10,True,active,0,0,13,True,True,116,0,2020-08-12 23:45:35+00:00,False,2020-08-12 23:50:55,2020
106,117,9,True,active,0,0,10,True,True,117,0,2020-08-12 23:34:23+00:00,False,2020-08-12 23:50:55,2020
107,118,6,True,active,1,0,12,True,True,118,0,2020-08-12 23:44:00+00:00,False,2020-08-12 23:50:55,2020
108,119,6,True,active,0,0,9,True,True,119,0,2020-08-12 23:44:04+00:00,False,2020-08-12 23:50:55,2020
109,120,12,True,active,2,0,1,True,True,120,0,2020-08-12 23:50:30+00:00,False,2020-08-12 23:50:55,2020
110,121,4,True,active,0,0,13,True,True,121,0,2020-08-12 23:44:35+00:00,False,2020-08-12 23:50:55,2020
111,122,6,True,active,0,0,9,True,True,122,0,2020-08-12 22:28:34+00:00,False,2020-08-12 23:50:55,2020
112,124,3,True,active,1,0,11,True,True,124,0,2020-08-12 22:05:56+00:00,False,2020-08-12 23:50:55,2020
113,125,12,True,active,0,0,3,True,True,125,0,2020-08-12 23:47:35+00:00,False,2020-08-12 23:50:55,2020
