,num_ebikes_available,is_returning,station_id,station_status,legacy_id,num_bikes_available,is_installed,is_renting,last_reported,eightd_has_available_keys,num_docks_disabled,num_docks_available,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
68,0,True,77,active,77,5,True,True,2020-08-18 18:34:39+00:00,False,0,10,0,,,2020-08-18 19:04:20,2020
69,0,True,78,active,78,14,True,True,2020-08-18 18:45:01+00:00,False,0,4,1,,,2020-08-18 19:04:20,2020
70,0,True,79,active,79,8,True,True,2020-08-18 18:19:18+00:00,False,0,11,0,,,2020-08-18 19:04:20,2020
71,0,True,80,active,80,32,True,True,2020-08-18 19:02:35+00:00,False,0,3,0,,,2020-08-18 19:04:20,2020
72,0,True,81,active,81,10,True,True,2020-08-18 19:01:32+00:00,False,0,9,0,,,2020-08-18 19:04:20,2020
73,0,True,82,active,82,3,True,True,2020-08-18 18:13:10+00:00,False,0,11,1,,,2020-08-18 19:04:20,2020
74,0,True,84,active,84,10,True,True,2020-08-18 18:59:04+00:00,False,0,3,2,,,2020-08-18 19:04:20,2020
75,0,True,85,active,85,13,True,True,2020-08-18 18:54:37+00:00,False,0,6,0,,,2020-08-18 19:04:20,2020
76,0,True,86,active,86,1,True,True,2020-08-18 18:55:55+00:00,False,0,18,0,,,2020-08-18 19:04:20,2020
77,0,True,87,active,87,8,True,True,2020-08-18 18:51:42+00:00,False,0,7,0,,,2020-08-18 19:04:20,2020
78,0,True,89,active,89,8,True,True,2020-08-18 18:49:20+00:00,False,0,11,0,,,2020-08-18 19:04:20,2020
79,0,True,90,active,90,5,True,True,2020-08-18 18:23:06+00:00,False,0,14,0,,,2020-08-18 19:04:20,2020
80,0,True,91,active,91,17,True,True,2020-08-18 18:41:49+00:00,False,0,1,1,,,2020-08-18 19:04:20,2020
81,0,True,92,active,92,16,True,True,2020-08-18 16:50:17+00:00,False,0,2,1,,,2020-08-18 19:04:20,2020
82,0,True,93,active,93,11,True,True,2020-08-18 18:51:45+00:00,False,0,2,2,,,2020-08-18 19:04:20,2020
83,0,True,94,active,94,5,True,True,2020-08-18 18:05:15+00:00,False,0,6,0,,,2020-08-18 19:04:20,2020
84,0,True,95,active,95,4,True,True,2020-08-18 18:50:55+00:00,False,0,9,2,,,2020-08-18 19:04:20,2020
85,0,True,96,active,96,11,True,True,2020-08-18 19:02:59+00:00,False,0,8,0,,,2020-08-18 19:04:20,2020
86,0,True,97,active,97,2,True,True,2020-08-18 19:04:11+00:00,False,0,16,1,,,2020-08-18 19:04:20,2020
87,0,True,98,active,98,6,True,True,2020-08-18 19:03:47+00:00,False,0,17,0,,,2020-08-18 19:04:20,2020
88,0,True,99,active,99,14,True,True,2020-08-18 17:40:44+00:00,False,0,0,1,,,2020-08-18 19:04:20,2020
89,0,True,100,active,100,12,True,True,2020-08-18 18:49:34+00:00,True,0,13,0,,,2020-08-18 19:04:20,2020
90,0,True,101,active,101,5,True,True,2020-08-18 18:48:40+00:00,False,0,10,0,,,2020-08-18 19:04:20,2020
91,0,True,102,active,102,3,True,True,2020-08-18 17:54:44+00:00,False,0,12,0,,,2020-08-18 19:04:20,2020
92,0,True,103,active,103,6,True,True,2020-08-18 18:46:45+00:00,False,0,9,0,,,2020-08-18 19:04:20,2020
93,0,True,104,active,104,3,True,True,2020-08-18 19:00:19+00:00,False,0,16,0,,,2020-08-18 19:04:20,2020
94,0,True,105,active,105,4,True,True,2020-08-18 19:03:32+00:00,False,0,15,0,,,2020-08-18 19:04:20,2020
95,0,True,106,active,106,5,True,True,2020-08-18 17:12:35+00:00,False,0,10,0,,,2020-08-18 19:04:20,2020
96,0,True,107,active,107,17,True,True,2020-08-18 19:04:08+00:00,False,0,0,2,,,2020-08-18 19:04:20,2020
97,0,True,108,active,108,12,True,True,2020-08-18 19:01:18+00:00,False,0,5,0,,,2020-08-18 19:04:20,2020
98,0,True,109,active,109,5,True,True,2020-08-18 18:51:45+00:00,False,0,29,1,,,2020-08-18 19:04:20,2020
99,0,True,110,active,110,5,True,True,2020-08-18 18:51:35+00:00,False,0,10,0,,,2020-08-18 19:04:20,2020
100,0,True,111,active,111,2,True,True,2020-08-18 18:57:14+00:00,False,0,13,0,,,2020-08-18 19:04:20,2020
101,0,True,112,active,112,10,True,True,2020-08-18 17:03:16+00:00,False,0,5,0,,,2020-08-18 19:04:20,2020
102,0,True,113,active,113,7,True,True,2020-08-18 18:25:09+00:00,False,0,7,1,,,2020-08-18 19:04:20,2020
103,0,True,114,active,114,2,True,True,2020-08-18 16:37:27+00:00,False,0,13,0,,,2020-08-18 19:04:20,2020
104,0,True,115,active,115,12,True,True,2020-08-18 18:24:00+00:00,False,0,7,0,,,2020-08-18 19:04:20,2020
105,0,True,116,active,116,9,True,True,2020-08-18 18:59:58+00:00,False,0,14,0,,,2020-08-18 19:04:20,2020
106,0,True,117,active,117,9,True,True,2020-08-18 18:39:16+00:00,False,0,10,0,,,2020-08-18 19:04:20,2020
107,0,True,118,active,118,8,True,True,2020-08-18 18:46:00+00:00,False,0,10,1,,,2020-08-18 19:04:20,2020
108,0,True,119,active,119,11,True,True,2020-08-18 18:37:44+00:00,False,0,3,1,,,2020-08-18 19:04:20,2020
109,0,True,120,active,120,10,True,True,2020-08-18 19:03:45+00:00,False,0,5,0,,,2020-08-18 19:04:20,2020
110,0,True,121,active,121,9,True,True,2020-08-18 18:34:31+00:00,False,0,7,1,,,2020-08-18 19:04:20,2020
111,0,True,122,active,122,10,True,True,2020-08-18 18:38:17+00:00,False,0,5,0,,,2020-08-18 19:04:20,2020
112,0,True,124,active,124,4,True,True,2020-08-18 18:33:35+00:00,False,0,11,0,,,2020-08-18 19:04:20,2020
113,0,True,125,active,125,7,True,True,2020-08-18 18:58:09+00:00,False,1,7,0,,,2020-08-18 19:04:20,2020
114,0,True,126,active,126,11,True,True,2020-08-18 16:00:28+00:00,False,0,3,1,,,2020-08-18 19:04:20,2020
115,0,True,128,active,128,15,True,True,2020-08-18 18:32:20+00:00,False,0,4,0,,,2020-08-18 19:04:20,2020
116,0,True,129,active,129,14,True,True,2020-08-18 18:45:59+00:00,False,0,5,0,,,2020-08-18 19:04:20,2020
117,0,True,130,active,130,12,True,True,2020-08-18 18:23:23+00:00,False,0,3,0,,,2020-08-18 19:04:20,2020
118,0,True,131,active,131,1,True,True,2020-08-18 18:54:57+00:00,False,0,17,0,,,2020-08-18 19:04:20,2020
119,0,True,133,active,133,13,True,True,2020-08-18 18:52:11+00:00,False,0,8,2,,,2020-08-18 19:04:20,2020
120,0,True,135,active,135,4,True,True,2020-08-18 18:20:57+00:00,False,0,13,0,,,2020-08-18 19:04:20,2020
121,0,True,136,active,136,5,True,True,2020-08-18 16:10:34+00:00,False,0,13,1,,,2020-08-18 19:04:20,2020
122,0,True,137,active,137,8,True,True,2020-08-18 19:03:29+00:00,False,0,7,0,,,2020-08-18 19:04:20,2020
123,0,True,138,active,138,5,True,True,2020-08-18 17:50:15+00:00,False,0,8,2,,,2020-08-18 19:04:20,2020
124,0,True,139,active,139,3,True,True,2020-08-18 18:44:07+00:00,False,0,16,0,,,2020-08-18 19:04:20,2020
125,0,True,140,active,140,6,True,True,2020-08-18 18:41:19+00:00,False,0,11,0,,,2020-08-18 19:04:20,2020
126,0,True,141,active,141,4,True,True,2020-08-18 18:50:33+00:00,False,0,11,0,,,2020-08-18 19:04:20,2020
127,0,True,142,active,142,18,True,True,2020-08-18 18:47:29+00:00,False,0,5,0,,,2020-08-18 19:04:20,2020
128,0,True,143,active,143,6,True,True,2020-08-18 18:53:48+00:00,False,0,17,0,,,2020-08-18 19:04:20,2020
129,0,True,144,active,144,16,True,True,2020-08-18 17:23:53+00:00,False,0,3,0,,,2020-08-18 19:04:20,2020
130,0,True,145,active,145,16,True,True,2020-08-18 18:51:26+00:00,False,0,2,1,,,2020-08-18 19:04:20,2020
131,0,True,146,active,146,7,True,True,2020-08-18 18:43:06+00:00,False,0,10,2,,,2020-08-18 19:04:20,2020
132,0,True,149,active,149,5,True,True,2020-08-18 19:04:15+00:00,True,0,12,1,,,2020-08-18 19:04:20,2020
133,0,True,150,active,150,13,True,True,2020-08-18 19:03:00+00:00,False,0,5,1,,,2020-08-18 19:04:20,2020
134,0,True,151,active,151,12,True,True,2020-08-18 18:59:15+00:00,False,0,7,0,,,2020-08-18 19:04:20,2020
135,0,True,152,active,152,10,True,True,2020-08-18 18:41:52+00:00,True,0,5,0,,,2020-08-18 19:04:20,2020
136,0,True,156,active,156,1,True,True,2020-08-18 17:44:47+00:00,False,0,14,0,,,2020-08-18 19:04:20,2020
137,0,True,157,active,157,6,True,True,2020-08-18 18:19:17+00:00,False,0,5,4,,,2020-08-18 19:04:20,2020
138,0,True,159,active,159,3,True,True,2020-08-18 18:49:21+00:00,False,0,12,0,,,2020-08-18 19:04:20,2020
139,0,True,160,active,160,5,True,True,2020-08-18 19:02:24+00:00,True,0,9,0,,,2020-08-18 19:04:20,2020
140,0,True,161,active,161,18,True,True,2020-08-18 18:53:37+00:00,True,0,4,1,,,2020-08-18 19:04:20,2020
141,0,True,162,active,162,6,True,True,2020-08-18 18:28:26+00:00,False,0,9,0,,,2020-08-18 19:04:20,2020
142,0,True,163,active,163,6,True,True,2020-08-18 19:04:07+00:00,True,0,13,0,,,2020-08-18 19:04:20,2020
143,0,True,167,active,167,4,True,True,2020-08-18 18:28:45+00:00,False,0,11,0,,,2020-08-18 19:04:20,2020
144,0,True,169,active,169,4,True,True,2020-08-18 17:32:04+00:00,False,0,15,0,,,2020-08-18 19:04:20,2020
145,0,True,170,active,170,4,True,True,2020-08-18 15:32:54+00:00,True,0,10,0,,,2020-08-18 19:04:20,2020
146,0,True,171,active,171,0,True,True,2020-08-18 12:07:00+00:00,True,0,23,0,,,2020-08-18 19:04:20,2020
147,0,True,173,active,173,9,True,True,2020-08-18 17:51:29+00:00,True,0,5,0,,,2020-08-18 19:04:20,2020
148,0,True,174,active,174,3,True,True,2020-08-18 16:40:49+00:00,False,0,12,0,,,2020-08-18 19:04:20,2020
149,0,True,175,active,175,8,True,True,2020-08-18 18:57:42+00:00,True,0,9,0,,,2020-08-18 19:04:20,2020
150,0,True,176,active,176,7,True,True,2020-08-18 17:40:54+00:00,False,0,8,0,,,2020-08-18 19:04:20,2020
151,0,True,177,active,177,6,True,True,2020-08-18 19:02:51+00:00,False,0,12,1,,,2020-08-18 19:04:20,2020
152,0,True,178,active,178,2,True,True,2020-08-18 19:01:27+00:00,False,0,17,0,,,2020-08-18 19:04:20,2020
153,0,True,179,active,179,13,True,True,2020-08-18 19:03:13+00:00,False,0,12,0,,,2020-08-18 19:04:20,2020
154,0,True,180,active,180,16,True,True,2020-08-18 14:22:20+00:00,False,0,3,0,,,2020-08-18 19:04:20,2020
155,0,True,181,active,181,8,True,True,2020-08-18 18:51:26+00:00,False,0,11,0,,,2020-08-18 19:04:20,2020
156,0,True,182,active,182,6,True,True,2020-08-18 19:02:05+00:00,True,0,13,0,,,2020-08-18 19:04:20,2020
157,0,True,183,active,183,13,True,True,2020-08-18 18:56:14+00:00,False,0,6,0,,,2020-08-18 19:04:20,2020
158,0,True,184,active,184,10,True,True,2020-08-18 18:50:57+00:00,False,0,9,0,,,2020-08-18 19:04:20,2020
159,0,True,185,active,185,1,True,True,2020-08-18 18:33:32+00:00,False,0,13,1,,,2020-08-18 19:04:20,2020
160,0,True,186,active,186,3,True,True,2020-08-18 18:10:30+00:00,True,0,12,0,,,2020-08-18 19:04:20,2020
