,is_renting,eightd_has_available_keys,num_bikes_disabled,station_id,last_reported,num_bikes_available,num_docks_disabled,num_docks_available,num_ebikes_available,is_returning,station_status,legacy_id,is_installed,timestamp_of_data_read_request,year_station_last_reported
22,True,False,1,26,2020-08-11 00:33:31+00:00,8,0,6,0,True,active,26,True,2020-08-11 01:11:25,2020
23,True,False,1,27,2020-08-11 00:52:52+00:00,16,0,6,0,True,active,27,True,2020-08-11 01:11:25,2020
24,True,False,1,29,2020-08-10 21:21:39+00:00,6,0,8,0,True,active,29,True,2020-08-11 01:11:25,2020
25,True,False,0,30,2020-08-11 00:54:13+00:00,2,0,13,0,True,active,30,True,2020-08-11 01:11:25,2020
26,True,True,1,31,2020-08-11 00:23:37+00:00,2,0,16,0,True,active,31,True,2020-08-11 01:11:25,2020
27,True,False,0,32,2020-08-11 01:04:52+00:00,0,0,15,0,True,active,32,True,2020-08-11 01:11:25,2020
28,True,False,0,33,2020-08-11 00:48:49+00:00,8,0,19,0,True,active,33,True,2020-08-11 01:11:25,2020
29,True,False,0,35,2020-08-10 23:44:02+00:00,11,0,12,0,True,active,35,True,2020-08-11 01:11:25,2020
30,True,True,0,36,2020-08-11 01:03:39+00:00,7,0,26,0,True,active,36,True,2020-08-11 01:11:25,2020
31,True,True,0,37,2020-08-10 23:35:32+00:00,8,0,7,0,True,active,37,True,2020-08-11 01:11:25,2020
32,True,False,0,39,2020-08-11 01:08:39+00:00,5,0,18,0,True,active,39,True,2020-08-11 01:11:25,2020
33,True,False,0,40,2020-08-11 01:10:35+00:00,15,0,4,0,True,active,40,True,2020-08-11 01:11:25,2020
34,True,True,2,41,2020-08-11 00:58:57+00:00,1,0,24,0,True,active,41,True,2020-08-11 01:11:25,2020
35,True,False,4,42,2020-08-11 00:51:36+00:00,9,0,10,0,True,active,42,True,2020-08-11 01:11:25,2020
36,True,True,0,43,2020-08-11 01:10:42+00:00,1,0,14,0,True,active,43,True,2020-08-11 01:11:25,2020
37,True,False,1,44,2020-08-11 00:54:12+00:00,7,0,15,0,True,active,44,True,2020-08-11 01:11:25,2020
38,True,False,0,46,2020-08-11 01:11:07+00:00,15,0,4,0,True,active,46,True,2020-08-11 01:11:25,2020
39,True,True,1,47,2020-08-11 00:58:32+00:00,7,0,11,0,True,active,47,True,2020-08-11 01:11:25,2020
40,True,False,0,48,2020-08-11 01:05:37+00:00,2,0,17,0,True,active,48,True,2020-08-11 01:11:25,2020
41,True,False,0,49,2020-08-11 00:56:38+00:00,13,0,5,0,True,active,49,True,2020-08-11 01:11:25,2020
42,True,True,0,50,2020-08-11 00:39:40+00:00,8,0,7,0,True,active,50,True,2020-08-11 01:11:25,2020
43,True,False,1,51,2020-08-11 00:55:01+00:00,2,0,12,0,True,active,51,True,2020-08-11 01:11:25,2020
44,True,True,0,52,2020-08-11 01:09:37+00:00,13,0,10,0,True,active,52,True,2020-08-11 01:11:25,2020
45,True,False,0,53,2020-08-11 00:55:33+00:00,18,0,1,0,True,active,53,True,2020-08-11 01:11:25,2020
46,True,False,0,54,2020-08-11 00:52:50+00:00,4,0,11,0,True,active,54,True,2020-08-11 01:11:25,2020
47,True,False,1,55,2020-08-11 01:11:10+00:00,13,0,1,0,True,active,55,True,2020-08-11 01:11:25,2020
48,True,True,1,56,2020-08-11 00:48:04+00:00,6,0,11,0,True,active,56,True,2020-08-11 01:11:25,2020
49,True,True,0,57,2020-08-11 00:56:54+00:00,7,0,7,0,True,active,57,True,2020-08-11 01:11:25,2020
50,True,True,4,58,2020-08-11 01:10:25+00:00,7,0,8,0,True,active,58,True,2020-08-11 01:11:25,2020
