,station_id,is_installed,num_docks_available,is_renting,is_returning,last_reported,num_bikes_available,num_docks_disabled,legacy_id,num_bikes_disabled,eightd_has_available_keys,station_status,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
74,84,True,7,True,True,2020-08-19 00:48:56+00:00,7,0,84,1,False,active,0,2020-08-19 01:01:45,2020
75,85,True,18,True,True,2020-08-19 00:22:07+00:00,1,0,85,0,False,active,0,2020-08-19 01:01:45,2020
76,86,True,10,True,True,2020-08-19 00:48:45+00:00,9,0,86,0,False,active,0,2020-08-19 01:01:45,2020
77,87,True,0,True,True,2020-08-19 00:34:46+00:00,14,0,87,1,False,active,0,2020-08-19 01:01:45,2020
78,89,True,11,True,True,2020-08-19 00:39:17+00:00,8,0,89,0,False,active,0,2020-08-19 01:01:45,2020
79,90,True,9,True,True,2020-08-19 00:59:57+00:00,10,0,90,0,False,active,0,2020-08-19 01:01:45,2020
80,91,True,15,True,True,2020-08-19 01:01:07+00:00,4,0,91,0,False,active,0,2020-08-19 01:01:45,2020
81,92,True,0,True,True,2020-08-19 00:24:51+00:00,18,0,92,1,False,active,0,2020-08-19 01:01:45,2020
82,93,True,4,True,True,2020-08-18 23:59:11+00:00,9,0,93,2,False,active,0,2020-08-19 01:01:45,2020
83,94,True,10,True,True,2020-08-19 00:15:24+00:00,1,0,94,0,False,active,0,2020-08-19 01:01:45,2020
84,95,True,11,True,True,2020-08-19 00:39:59+00:00,1,0,95,3,False,active,0,2020-08-19 01:01:45,2020
85,96,True,13,True,True,2020-08-19 00:31:33+00:00,6,0,96,0,False,active,0,2020-08-19 01:01:45,2020
86,97,True,15,True,True,2020-08-19 00:28:20+00:00,2,0,97,2,False,active,0,2020-08-19 01:01:45,2020
87,98,True,16,True,True,2020-08-19 00:54:16+00:00,7,0,98,0,False,active,0,2020-08-19 01:01:45,2020
88,99,True,4,True,True,2020-08-19 00:50:22+00:00,9,0,99,2,False,active,0,2020-08-19 01:01:45,2020
89,100,True,13,True,True,2020-08-19 00:51:11+00:00,11,0,100,1,True,active,0,2020-08-19 01:01:45,2020
90,101,True,8,True,True,2020-08-19 00:58:30+00:00,7,0,101,0,False,active,0,2020-08-19 01:01:45,2020
91,102,True,9,True,True,2020-08-19 00:57:20+00:00,6,0,102,0,False,active,0,2020-08-19 01:01:45,2020
92,103,True,3,True,True,2020-08-19 00:27:18+00:00,12,0,103,0,False,active,0,2020-08-19 01:01:45,2020
93,104,True,14,True,True,2020-08-19 00:03:47+00:00,5,0,104,0,False,active,0,2020-08-19 01:01:45,2020
94,105,True,9,True,True,2020-08-19 00:54:22+00:00,10,0,105,0,False,active,0,2020-08-19 01:01:45,2020
95,106,True,7,True,True,2020-08-18 20:26:10+00:00,8,0,106,0,False,active,0,2020-08-19 01:01:45,2020
96,107,True,18,True,True,2020-08-19 00:58:03+00:00,0,0,107,1,False,active,0,2020-08-19 01:01:45,2020
97,108,True,11,True,True,2020-08-19 00:59:39+00:00,6,0,108,0,False,active,0,2020-08-19 01:01:45,2020
98,109,True,31,True,True,2020-08-18 22:32:39+00:00,2,0,109,2,False,active,0,2020-08-19 01:01:45,2020
99,110,True,13,True,True,2020-08-19 00:55:46+00:00,2,0,110,0,False,active,0,2020-08-19 01:01:45,2020
100,111,True,13,True,True,2020-08-18 22:49:12+00:00,2,0,111,0,False,active,0,2020-08-19 01:01:45,2020
101,112,True,8,True,True,2020-08-19 00:39:38+00:00,7,0,112,0,False,active,0,2020-08-19 01:01:45,2020
102,113,True,10,True,True,2020-08-19 00:15:59+00:00,4,0,113,1,False,active,0,2020-08-19 01:01:45,2020
103,114,True,11,True,True,2020-08-19 00:38:35+00:00,4,0,114,0,False,active,0,2020-08-19 01:01:45,2020
104,115,True,2,True,True,2020-08-19 00:44:54+00:00,17,0,115,0,False,active,0,2020-08-19 01:01:45,2020
105,116,True,16,True,True,2020-08-19 00:52:35+00:00,7,0,116,0,False,active,0,2020-08-19 01:01:45,2020
106,117,True,14,True,True,2020-08-18 23:39:21+00:00,4,0,117,1,False,active,0,2020-08-19 01:01:45,2020
107,118,True,3,True,True,2020-08-19 01:01:00+00:00,15,0,118,1,False,active,0,2020-08-19 01:01:45,2020
108,119,True,7,True,True,2020-08-19 00:52:13+00:00,7,0,119,1,False,active,0,2020-08-19 01:01:45,2020
109,120,True,2,True,True,2020-08-19 00:44:14+00:00,13,0,120,0,False,active,0,2020-08-19 01:01:45,2020
110,121,True,11,True,True,2020-08-19 00:51:58+00:00,4,0,121,2,False,active,0,2020-08-19 01:01:45,2020
111,122,True,12,True,True,2020-08-19 00:33:38+00:00,3,0,122,0,False,active,0,2020-08-19 01:01:45,2020
112,124,True,14,True,True,2020-08-18 21:10:49+00:00,1,0,124,0,False,active,0,2020-08-19 01:01:45,2020
113,125,True,6,True,True,2020-08-19 00:21:25+00:00,7,1,125,1,False,active,0,2020-08-19 01:01:45,2020
114,126,True,2,True,True,2020-08-19 00:26:53+00:00,12,0,126,1,False,active,0,2020-08-19 01:01:45,2020
115,128,True,1,True,True,2020-08-19 00:53:11+00:00,18,0,128,0,False,active,0,2020-08-19 01:01:45,2020
116,129,True,6,True,True,2020-08-19 00:42:15+00:00,13,0,129,0,False,active,0,2020-08-19 01:01:45,2020
117,130,True,0,True,True,2020-08-18 23:40:12+00:00,15,0,130,0,False,active,0,2020-08-19 01:01:45,2020
118,131,True,6,True,True,2020-08-19 00:40:39+00:00,12,0,131,0,False,active,0,2020-08-19 01:01:45,2020
119,133,True,2,True,True,2020-08-18 23:32:09+00:00,19,0,133,2,False,active,0,2020-08-19 01:01:45,2020
120,135,True,15,True,True,2020-08-19 00:46:49+00:00,2,0,135,0,False,active,0,2020-08-19 01:01:45,2020
121,136,True,18,True,True,2020-08-19 00:43:20+00:00,0,0,136,1,False,active,0,2020-08-19 01:01:45,2020
122,137,True,3,True,True,2020-08-19 00:45:07+00:00,12,0,137,0,False,active,0,2020-08-19 01:01:45,2020
123,138,True,4,True,True,2020-08-19 00:09:47+00:00,10,0,138,1,False,active,0,2020-08-19 01:01:45,2020
124,139,True,6,True,True,2020-08-19 00:55:19+00:00,13,0,139,0,False,active,0,2020-08-19 01:01:45,2020
125,140,True,6,True,True,2020-08-19 00:31:34+00:00,11,0,140,0,False,active,0,2020-08-19 01:01:45,2020
126,141,True,9,True,True,2020-08-19 00:44:57+00:00,6,0,141,0,False,active,0,2020-08-19 01:01:45,2020
127,142,True,5,True,True,2020-08-19 00:28:15+00:00,18,0,142,0,False,active,0,2020-08-19 01:01:45,2020
128,143,True,16,True,True,2020-08-19 01:00:41+00:00,5,0,143,2,False,active,0,2020-08-19 01:01:45,2020
129,144,True,0,True,True,2020-08-19 00:08:04+00:00,19,0,144,0,False,active,0,2020-08-19 01:01:45,2020
130,145,True,5,True,True,2020-08-19 00:56:26+00:00,14,0,145,0,False,active,0,2020-08-19 01:01:45,2020
131,146,True,0,True,True,2020-08-19 00:57:00+00:00,18,0,146,1,False,active,0,2020-08-19 01:01:45,2020
132,149,True,4,True,True,2020-08-19 00:47:00+00:00,13,0,149,1,True,active,0,2020-08-19 01:01:45,2020
133,150,True,5,True,True,2020-08-19 00:17:10+00:00,13,0,150,1,False,active,0,2020-08-19 01:01:45,2020
134,151,True,2,True,True,2020-08-19 00:58:09+00:00,17,0,151,0,False,active,0,2020-08-19 01:01:45,2020
135,152,True,3,True,True,2020-08-19 00:53:38+00:00,12,0,152,0,True,active,0,2020-08-19 01:01:45,2020
136,156,True,10,True,True,2020-08-19 00:08:30+00:00,4,0,156,1,False,active,0,2020-08-19 01:01:45,2020
