,num_bikes_disabled,num_bikes_available,legacy_id,last_reported,is_returning,num_ebikes_available,is_renting,num_docks_available,station_status,station_id,is_installed,eightd_has_available_keys,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
82,0,15,93,2020-08-20 21:54:05+00:00,True,0,True,0,active,93,True,False,0,,,2020-08-20 22:52:45,2020
83,1,6,94,2020-08-20 22:22:50+00:00,True,0,True,4,active,94,True,False,0,,,2020-08-20 22:52:45,2020
84,1,4,95,2020-08-20 22:50:24+00:00,True,0,True,10,active,95,True,False,0,,,2020-08-20 22:52:45,2020
85,1,12,96,2020-08-20 22:49:59+00:00,True,0,True,6,active,96,True,False,0,,,2020-08-20 22:52:45,2020
86,0,7,97,2020-08-20 22:48:47+00:00,True,0,True,12,active,97,True,False,0,,,2020-08-20 22:52:45,2020
87,0,13,98,2020-08-20 22:26:21+00:00,True,0,True,10,active,98,True,False,0,,,2020-08-20 22:52:45,2020
88,2,6,99,2020-08-20 22:48:54+00:00,True,0,True,7,active,99,True,False,0,,,2020-08-20 22:52:45,2020
89,1,12,100,2020-08-20 22:51:46+00:00,True,0,True,12,active,100,True,True,0,,,2020-08-20 22:52:45,2020
90,0,6,101,2020-08-20 22:45:17+00:00,True,0,True,9,active,101,True,False,0,,,2020-08-20 22:52:45,2020
91,0,1,102,2020-08-20 22:31:52+00:00,True,0,True,14,active,102,True,False,0,,,2020-08-20 22:52:45,2020
92,0,10,103,2020-08-20 22:38:54+00:00,True,0,True,5,active,103,True,False,0,,,2020-08-20 22:52:45,2020
93,0,3,104,2020-08-20 22:51:25+00:00,True,0,True,16,active,104,True,False,0,,,2020-08-20 22:52:45,2020
94,1,3,105,2020-08-20 22:51:16+00:00,True,0,True,15,active,105,True,False,0,,,2020-08-20 22:52:45,2020
95,0,7,106,2020-08-20 22:38:04+00:00,True,0,True,8,active,106,True,False,0,,,2020-08-20 22:52:45,2020
96,0,0,107,2020-08-20 22:46:46+00:00,True,0,True,19,active,107,True,False,0,,,2020-08-20 22:52:45,2020
97,0,2,108,2020-08-20 22:51:32+00:00,True,0,True,15,active,108,True,False,0,,,2020-08-20 22:52:45,2020
98,0,2,109,2020-08-20 22:49:10+00:00,True,0,True,33,active,109,True,False,0,,,2020-08-20 22:52:45,2020
99,0,2,110,2020-08-20 22:45:27+00:00,True,0,True,13,active,110,True,False,0,,,2020-08-20 22:52:45,2020
100,0,6,111,2020-08-20 22:33:35+00:00,True,0,True,9,active,111,True,False,0,,,2020-08-20 22:52:45,2020
101,0,2,112,2020-08-20 22:40:49+00:00,True,0,True,13,active,112,True,False,0,,,2020-08-20 22:52:45,2020
102,2,4,113,2020-08-20 22:39:14+00:00,True,0,True,9,active,113,True,False,0,,,2020-08-20 22:52:45,2020
103,0,3,114,2020-08-20 22:09:10+00:00,True,0,True,12,active,114,True,False,0,,,2020-08-20 22:52:45,2020
104,0,8,115,2020-08-20 22:45:08+00:00,True,0,True,11,active,115,True,False,0,,,2020-08-20 22:52:45,2020
105,0,0,116,2020-08-20 22:42:54+00:00,True,0,True,23,active,116,True,False,0,,,2020-08-20 22:52:45,2020
106,0,2,117,2020-08-20 22:25:00+00:00,True,0,True,17,active,117,True,False,0,,,2020-08-20 22:52:45,2020
107,1,11,118,2020-08-20 22:48:34+00:00,True,0,True,7,active,118,True,False,0,,,2020-08-20 22:52:45,2020
108,0,4,119,2020-08-20 22:50:58+00:00,True,0,True,11,active,119,True,False,0,,,2020-08-20 22:52:45,2020
109,0,4,120,2020-08-20 22:51:54+00:00,True,0,True,11,active,120,True,False,0,,,2020-08-20 22:52:45,2020
110,0,3,121,2020-08-20 22:51:48+00:00,True,0,True,14,active,121,True,False,0,,,2020-08-20 22:52:45,2020
111,1,13,122,2020-08-20 22:50:50+00:00,True,0,True,1,active,122,True,False,0,,,2020-08-20 22:52:45,2020
112,0,0,124,2020-08-20 19:43:43+00:00,True,0,True,15,active,124,True,False,0,,,2020-08-20 22:52:45,2020
113,1,6,125,2020-08-20 22:49:22+00:00,True,0,True,8,active,125,True,False,0,,,2020-08-20 22:52:45,2020
114,1,13,126,2020-08-20 22:46:02+00:00,True,0,True,1,active,126,True,False,0,,,2020-08-20 22:52:45,2020
115,0,4,128,2020-08-20 22:24:30+00:00,True,0,True,15,active,128,True,False,0,,,2020-08-20 22:52:45,2020
116,0,3,129,2020-08-20 21:35:50+00:00,True,0,True,16,active,129,True,False,0,,,2020-08-20 22:52:45,2020
117,0,10,130,2020-08-20 22:46:20+00:00,True,0,True,5,active,130,True,False,0,,,2020-08-20 22:52:45,2020
118,0,13,131,2020-08-20 22:50:17+00:00,True,0,True,5,active,131,True,False,0,,,2020-08-20 22:52:45,2020
119,0,12,133,2020-08-20 22:37:48+00:00,True,0,True,11,active,133,True,False,0,,,2020-08-20 22:52:45,2020
120,0,0,135,2020-08-20 21:39:52+00:00,True,0,True,17,active,135,True,False,0,,,2020-08-20 22:52:45,2020
121,0,0,136,2020-08-20 21:34:48+00:00,True,0,True,19,active,136,True,False,0,,,2020-08-20 22:52:45,2020
122,0,5,137,2020-08-20 22:47:05+00:00,True,0,True,10,active,137,True,False,0,,,2020-08-20 22:52:45,2020
123,2,3,138,2020-08-20 22:20:11+00:00,True,0,True,10,active,138,True,False,0,,,2020-08-20 22:52:45,2020
124,0,5,139,2020-08-20 22:41:46+00:00,True,0,True,14,active,139,True,False,0,,,2020-08-20 22:52:45,2020
125,0,11,140,2020-08-20 22:43:58+00:00,True,0,True,6,active,140,True,False,0,,,2020-08-20 22:52:45,2020
126,0,5,141,2020-08-20 22:44:58+00:00,True,0,True,10,active,141,True,False,0,,,2020-08-20 22:52:45,2020
127,0,17,142,2020-08-20 22:45:18+00:00,True,0,True,6,active,142,True,False,0,,,2020-08-20 22:52:45,2020
128,0,10,143,2020-08-20 22:51:03+00:00,True,0,True,13,active,143,True,False,0,,,2020-08-20 22:52:45,2020
129,0,17,144,2020-08-20 21:35:30+00:00,True,0,True,2,active,144,True,False,0,,,2020-08-20 22:52:45,2020
130,0,18,145,2020-08-20 22:40:59+00:00,True,0,True,1,active,145,True,False,0,,,2020-08-20 22:52:45,2020
131,1,9,146,2020-08-20 22:48:59+00:00,True,0,True,9,active,146,True,False,0,,,2020-08-20 22:52:45,2020
132,2,6,149,2020-08-20 22:35:28+00:00,True,0,True,10,active,149,True,True,0,,,2020-08-20 22:52:45,2020
133,0,8,150,2020-08-20 22:41:50+00:00,True,0,True,11,active,150,True,False,0,,,2020-08-20 22:52:45,2020
134,0,1,151,2020-08-20 22:28:15+00:00,True,0,True,18,active,151,True,False,0,,,2020-08-20 22:52:45,2020
135,0,11,152,2020-08-20 22:52:06+00:00,True,0,True,4,active,152,True,True,0,,,2020-08-20 22:52:45,2020
136,1,9,156,2020-08-20 22:47:52+00:00,True,0,True,5,active,156,True,False,0,,,2020-08-20 22:52:45,2020
137,0,8,157,2020-08-20 22:51:01+00:00,True,0,True,7,active,157,True,False,0,,,2020-08-20 22:52:45,2020
138,0,2,159,2020-08-20 22:48:32+00:00,True,0,True,13,active,159,True,False,0,,,2020-08-20 22:52:45,2020
139,0,7,160,2020-08-20 22:47:17+00:00,True,0,True,7,active,160,True,True,0,,,2020-08-20 22:52:45,2020
140,0,1,161,2020-08-20 22:44:37+00:00,True,0,True,22,active,161,True,True,0,,,2020-08-20 22:52:45,2020
141,0,6,162,2020-08-20 19:32:17+00:00,True,0,True,9,active,162,True,False,0,,,2020-08-20 22:52:45,2020
142,0,15,163,2020-08-20 22:51:33+00:00,True,0,True,4,active,163,True,True,0,,,2020-08-20 22:52:45,2020
143,0,4,167,2020-08-20 22:37:46+00:00,True,0,True,11,active,167,True,False,0,,,2020-08-20 22:52:45,2020
144,0,4,169,2020-08-20 22:43:50+00:00,True,0,True,15,active,169,True,False,0,,,2020-08-20 22:52:45,2020
145,0,8,170,2020-08-20 18:42:46+00:00,True,0,True,6,active,170,True,True,0,,,2020-08-20 22:52:45,2020
146,0,10,171,2020-08-20 20:46:23+00:00,True,0,True,13,active,171,True,True,0,,,2020-08-20 22:52:45,2020
147,0,7,173,2020-08-20 22:13:49+00:00,True,0,True,7,active,173,True,True,0,,,2020-08-20 22:52:45,2020
148,0,4,174,2020-08-20 22:24:10+00:00,True,0,True,11,active,174,True,False,0,,,2020-08-20 22:52:45,2020
149,2,6,175,2020-08-20 22:27:47+00:00,True,0,True,9,active,175,True,True,0,,,2020-08-20 22:52:45,2020
150,0,11,176,2020-08-20 22:52:19+00:00,True,0,True,4,active,176,True,False,0,,,2020-08-20 22:52:45,2020
151,2,4,177,2020-08-20 22:52:19+00:00,True,0,True,13,active,177,True,False,0,,,2020-08-20 22:52:45,2020
152,0,3,178,2020-08-20 22:50:07+00:00,True,0,True,16,active,178,True,False,0,,,2020-08-20 22:52:45,2020
153,0,16,179,2020-08-20 22:43:30+00:00,True,0,True,9,active,179,True,False,0,,,2020-08-20 22:52:45,2020
154,0,16,180,2020-08-20 22:17:02+00:00,True,0,True,3,active,180,True,False,0,,,2020-08-20 22:52:45,2020
155,0,7,181,2020-08-20 22:26:40+00:00,True,0,True,12,active,181,True,False,0,,,2020-08-20 22:52:45,2020
156,0,6,182,2020-08-20 22:45:15+00:00,True,0,True,13,active,182,True,True,0,,,2020-08-20 22:52:45,2020
157,0,1,183,2020-08-20 22:33:11+00:00,True,0,True,18,active,183,True,False,0,,,2020-08-20 22:52:45,2020
158,0,0,184,2020-08-20 22:13:11+00:00,True,0,True,19,active,184,True,False,0,,,2020-08-20 22:52:45,2020
159,0,2,185,2020-08-20 22:51:52+00:00,True,0,True,13,active,185,True,False,0,,,2020-08-20 22:52:45,2020
160,0,6,186,2020-08-20 22:52:08+00:00,True,0,True,9,active,186,True,True,0,,,2020-08-20 22:52:45,2020
161,0,0,187,2020-08-20 20:35:53+00:00,True,0,True,15,active,187,True,False,0,,,2020-08-20 22:52:45,2020
162,0,12,188,2020-08-20 22:39:52+00:00,True,0,True,3,active,188,True,False,0,,,2020-08-20 22:52:45,2020
163,1,3,189,2020-08-20 22:52:28+00:00,True,0,True,19,active,189,True,True,0,,,2020-08-20 22:52:45,2020
164,1,1,190,2020-08-20 22:52:31+00:00,True,0,True,35,active,190,True,True,0,,,2020-08-20 22:52:45,2020
165,0,0,191,2020-08-20 22:49:39+00:00,True,0,True,15,active,191,True,False,0,,,2020-08-20 22:52:45,2020
166,0,10,192,2020-08-20 22:39:16+00:00,True,0,True,9,active,192,True,False,0,,,2020-08-20 22:52:45,2020
167,0,2,193,2020-08-20 22:43:51+00:00,True,0,True,13,active,193,True,True,0,,,2020-08-20 22:52:45,2020
168,0,2,194,2020-08-20 20:58:03+00:00,True,0,True,17,active,194,True,False,0,,,2020-08-20 22:52:45,2020
169,0,7,195,2020-08-20 22:49:36+00:00,True,0,True,16,active,195,True,False,0,,,2020-08-20 22:52:45,2020
170,0,2,196,2020-08-20 21:12:36+00:00,True,0,True,8,active,196,True,False,0,,,2020-08-20 22:52:45,2020
171,1,7,197,2020-08-20 20:10:46+00:00,True,0,True,7,active,197,True,False,0,,,2020-08-20 22:52:45,2020
172,0,8,199,2020-08-20 14:19:54+00:00,True,0,True,7,active,199,True,False,0,,,2020-08-20 22:52:45,2020
173,0,18,200,2020-08-20 22:46:12+00:00,True,0,True,1,active,200,True,False,0,,,2020-08-20 22:52:45,2020
174,0,3,201,2020-08-20 22:30:26+00:00,True,0,True,12,active,201,True,False,0,,,2020-08-20 22:52:45,2020
175,0,3,202,2020-08-20 22:22:54+00:00,True,0,True,12,active,202,True,False,0,,,2020-08-20 22:52:45,2020
176,0,6,203,2020-08-20 16:40:31+00:00,True,0,True,9,active,203,True,False,0,,,2020-08-20 22:52:45,2020
177,0,4,204,2020-08-20 22:47:24+00:00,True,0,True,11,active,204,True,False,0,,,2020-08-20 22:52:45,2020
178,0,2,205,2020-08-20 21:59:21+00:00,True,0,True,13,active,205,True,False,0,,,2020-08-20 22:52:45,2020
179,0,1,206,2020-08-20 22:51:19+00:00,True,0,True,22,active,206,True,True,0,,,2020-08-20 22:52:45,2020
180,1,9,208,2020-08-20 22:06:24+00:00,True,0,True,5,active,208,True,True,0,,,2020-08-20 22:52:45,2020
181,1,11,209,2020-08-20 21:02:05+00:00,True,0,True,3,active,209,True,False,0,,,2020-08-20 22:52:45,2020
182,1,0,210,2020-08-20 18:49:02+00:00,True,0,True,14,active,210,True,False,0,,,2020-08-20 22:52:45,2020
183,0,8,211,2020-08-20 22:27:40+00:00,True,0,True,11,active,211,True,False,0,,,2020-08-20 22:52:45,2020
184,0,3,212,2020-08-20 22:42:58+00:00,True,0,True,30,active,212,True,False,0,,,2020-08-20 22:52:45,2020
185,0,2,213,2020-08-20 22:40:56+00:00,True,0,True,14,active,213,True,True,0,,,2020-08-20 22:52:45,2020
186,0,4,214,2020-08-20 22:51:13+00:00,True,0,True,11,active,214,True,False,0,,,2020-08-20 22:52:45,2020
187,4,7,215,2020-08-20 20:28:11+00:00,True,0,True,4,active,215,True,False,0,,,2020-08-20 22:52:45,2020
188,0,11,216,2020-08-20 21:35:16+00:00,True,0,True,8,active,216,True,False,0,,,2020-08-20 22:52:45,2020
189,1,1,217,2020-08-20 22:47:30+00:00,True,0,True,17,active,217,True,False,0,,,2020-08-20 22:52:45,2020
190,0,15,218,2020-08-20 22:22:10+00:00,True,0,True,0,active,218,True,False,0,,,2020-08-20 22:52:45,2020
191,0,5,219,2020-08-20 21:16:00+00:00,True,0,True,10,active,219,True,False,0,,,2020-08-20 22:52:45,2020
192,2,7,221,2020-08-20 22:48:04+00:00,True,0,True,10,active,221,True,False,0,,,2020-08-20 22:52:45,2020
193,0,5,222,2020-08-20 22:44:35+00:00,True,0,True,9,active,222,True,True,0,,,2020-08-20 22:52:45,2020
194,2,10,224,2020-08-20 22:50:07+00:00,True,0,True,5,active,224,True,False,0,,,2020-08-20 22:52:45,2020
195,2,1,225,2020-08-20 22:45:16+00:00,True,0,True,16,active,225,True,False,0,,,2020-08-20 22:52:45,2020
196,0,12,226,2020-08-20 22:50:17+00:00,True,0,True,3,active,226,True,False,0,,,2020-08-20 22:52:45,2020
197,0,12,227,2020-08-20 22:22:43+00:00,True,0,True,7,active,227,True,False,0,,,2020-08-20 22:52:45,2020
198,0,10,228,2020-08-20 22:49:48+00:00,True,0,True,9,active,228,True,False,0,,,2020-08-20 22:52:45,2020
199,0,1,232,2020-08-20 22:50:01+00:00,True,0,True,10,active,232,True,False,0,,,2020-08-20 22:52:45,2020
200,1,12,233,2020-08-20 22:52:06+00:00,True,0,True,2,active,233,True,False,0,,,2020-08-20 22:52:45,2020
201,0,6,234,2020-08-20 22:00:42+00:00,True,0,True,9,active,234,True,False,0,,,2020-08-20 22:52:45,2020
202,0,4,235,2020-08-20 22:50:56+00:00,True,0,True,11,active,235,True,False,0,,,2020-08-20 22:52:45,2020
203,0,7,236,2020-08-20 22:50:45+00:00,True,0,True,8,active,236,True,False,0,,,2020-08-20 22:52:45,2020
204,3,3,239,2020-08-20 22:12:43+00:00,True,0,True,9,active,239,True,False,0,,,2020-08-20 22:52:45,2020
205,0,6,255,2020-08-19 14:52:54+00:00,True,0,True,9,active,255,True,False,0,,,2020-08-20 22:52:45,2020
206,0,12,258,2020-08-20 22:20:39+00:00,True,0,True,3,active,258,True,False,0,,,2020-08-20 22:52:45,2020
207,0,9,259,2020-08-20 08:49:49+00:00,True,0,True,6,active,259,True,False,0,,,2020-08-20 22:52:45,2020
208,0,5,260,2020-08-20 21:42:06+00:00,True,0,True,10,active,260,True,False,0,,,2020-08-20 22:52:45,2020
209,0,10,271,2020-08-20 22:50:38+00:00,True,0,True,5,active,271,True,False,0,,,2020-08-20 22:52:45,2020
210,0,10,272,2020-08-20 22:35:48+00:00,True,0,True,9,active,272,True,False,0,,,2020-08-20 22:52:45,2020
211,0,31,273,2020-08-20 22:46:15+00:00,True,0,True,9,active,273,True,False,0,,,2020-08-20 22:52:45,2020
212,0,19,279,2020-08-20 22:21:41+00:00,True,0,True,0,active,279,True,False,0,,,2020-08-20 22:52:45,2020
213,0,17,280,2020-08-20 22:45:17+00:00,True,0,True,2,active,280,True,False,0,,,2020-08-20 22:52:45,2020
214,0,11,282,2020-08-20 22:45:31+00:00,True,0,True,4,active,282,True,False,0,,,2020-08-20 22:52:45,2020
215,1,9,296,2020-08-20 22:51:39+00:00,True,0,True,13,active,296,True,False,0,,,2020-08-20 22:52:45,2020
216,0,1,318,2020-08-20 22:51:55+00:00,True,0,True,18,active,318,True,False,0,,,2020-08-20 22:52:45,2020
217,0,3,319,2020-08-20 22:26:35+00:00,True,0,True,22,active,319,True,False,0,,,2020-08-20 22:52:45,2020
