,station_status,legacy_id,num_ebikes_available,is_renting,num_bikes_disabled,station_id,num_bikes_available,num_docks_available,is_returning,is_installed,eightd_has_available_keys,num_docks_disabled,last_reported,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
70,active,79,0,True,0,79,6,13,True,True,False,0,2020-07-31 06:44:25+00:00,,,2020-07-31 07:53:25,2020
71,active,80,0,True,0,80,1,34,True,True,False,0,2020-07-31 04:34:58+00:00,,,2020-07-31 07:53:25,2020
72,active,81,0,True,0,81,8,11,True,True,False,0,2020-07-31 07:30:29+00:00,,,2020-07-31 07:53:25,2020
73,active,82,0,True,0,82,5,10,True,True,False,0,2020-07-31 02:32:00+00:00,,,2020-07-31 07:53:25,2020
74,active,84,0,True,0,84,4,11,True,True,False,0,2020-07-31 04:04:51+00:00,,,2020-07-31 07:53:25,2020
75,active,85,0,True,0,85,0,19,True,True,False,0,2020-07-31 02:10:09+00:00,,,2020-07-31 07:53:25,2020
76,active,86,0,True,0,86,13,6,True,True,False,0,2020-07-31 03:57:09+00:00,,,2020-07-31 07:53:25,2020
77,active,87,0,True,1,87,14,0,True,True,False,0,2020-07-31 06:35:21+00:00,,,2020-07-31 07:53:25,2020
78,active,89,0,True,0,89,17,2,True,True,False,0,2020-07-31 03:39:31+00:00,,,2020-07-31 07:53:25,2020
79,active,90,0,True,0,90,9,10,True,True,False,0,2020-07-31 03:21:31+00:00,,,2020-07-31 07:53:25,2020
80,active,91,0,True,1,91,1,17,True,True,False,0,2020-07-31 06:04:06+00:00,,,2020-07-31 07:53:25,2020
81,active,92,0,True,1,92,10,8,True,True,False,0,2020-07-31 01:25:37+00:00,,,2020-07-31 07:53:25,2020
82,active,93,0,True,2,93,12,1,True,True,False,0,2020-07-31 03:26:15+00:00,,,2020-07-31 07:53:25,2020
83,active,94,0,True,0,94,6,5,True,True,False,0,2020-07-31 05:13:44+00:00,,,2020-07-31 07:53:25,2020
84,active,95,0,True,1,95,14,0,True,True,False,0,2020-07-31 05:06:34+00:00,,,2020-07-31 07:53:25,2020
