,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,timestamp,year
52,60,10,0,1,8,0,True,True,True,2020-03-11 02:44:43+00:00,2020
53,61,0,0,0,3,0,False,False,False,2020-03-04 20:12:26+00:00,2020
54,63,14,0,1,0,0,True,True,True,2020-03-10 17:04:56+00:00,2020
55,64,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,1970
56,65,2,0,1,20,0,True,True,True,2020-03-11 01:46:15+00:00,2020
57,66,13,0,0,2,0,True,True,True,2020-03-11 02:05:39+00:00,2020
58,67,0,0,1,26,0,True,True,True,2020-03-11 02:45:54+00:00,2020
59,68,11,0,1,7,0,True,True,True,2020-03-11 02:55:15+00:00,2020
60,69,15,0,2,2,0,True,True,True,2020-03-11 01:48:03+00:00,2020
61,70,1,0,1,21,0,True,True,True,2020-03-11 01:30:25+00:00,2020
62,71,16,0,1,6,0,True,True,True,2020-03-11 02:54:29+00:00,2020
63,72,0,0,0,23,0,True,True,True,2020-03-11 00:51:23+00:00,2020
64,73,1,0,0,14,0,True,True,True,2020-03-11 02:18:15+00:00,2020
65,74,2,0,0,17,0,True,True,True,2020-03-11 02:43:49+00:00,2020
66,75,3,0,2,10,0,True,True,True,2020-03-11 02:12:39+00:00,2020
67,76,15,0,0,2,0,True,True,True,2020-03-11 02:58:37+00:00,2020
68,77,11,0,0,4,0,True,True,True,2020-03-11 02:18:32+00:00,2020
69,78,18,0,0,1,0,True,True,True,2020-03-11 02:12:48+00:00,2020
70,79,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,1970
71,80,1,0,0,34,0,True,True,True,2020-03-11 02:58:20+00:00,2020
72,81,8,0,7,4,0,True,True,True,2020-03-11 00:49:55+00:00,2020
73,82,8,0,0,7,0,True,True,True,2020-03-11 00:17:03+00:00,2020
74,84,0,0,0,15,0,True,True,True,2020-03-10 23:13:06+00:00,2020
75,85,0,0,0,19,0,True,True,True,2020-03-11 01:25:01+00:00,2020
76,86,9,0,0,10,0,True,True,True,2020-03-10 23:27:40+00:00,2020
77,87,13,0,0,2,0,True,True,True,2020-03-11 02:37:40+00:00,2020
78,89,6,0,0,13,0,True,True,True,2020-03-11 02:49:10+00:00,2020
79,90,4,0,1,14,0,True,True,True,2020-03-11 01:56:00+00:00,2020
80,91,0,0,0,19,0,True,True,True,2020-03-11 01:27:52+00:00,2020
81,92,3,0,0,16,0,True,True,True,2020-03-10 22:52:33+00:00,2020
82,93,14,0,1,0,0,True,True,True,2020-03-10 23:37:04+00:00,2020
83,94,10,0,1,0,0,True,True,True,2020-03-10 23:40:14+00:00,2020
84,95,14,0,1,0,0,True,True,True,2020-03-11 01:38:29+00:00,2020
85,96,12,0,1,6,0,True,True,True,2020-03-11 01:32:37+00:00,2020
86,97,4,0,1,14,0,True,True,True,2020-03-11 02:50:24+00:00,2020
87,98,22,0,0,1,0,True,True,True,2020-03-11 02:26:30+00:00,2020
88,99,10,0,1,4,0,True,True,True,2020-03-11 01:54:51+00:00,2020
89,100,12,0,0,13,0,True,True,True,2020-03-11 02:54:11+00:00,2020
90,101,8,0,0,7,0,True,True,True,2020-03-11 01:12:28+00:00,2020
91,102,14,0,0,1,0,True,True,True,2020-03-11 01:06:26+00:00,2020
92,103,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,1970
93,104,5,0,1,13,0,True,True,True,2020-03-11 02:54:29+00:00,2020
94,105,19,0,0,0,0,True,True,True,2020-03-11 01:29:53+00:00,2020
95,106,0,0,0,3,0,False,False,False,2019-11-19 16:56:13+00:00,2019
96,107,0,0,0,19,0,True,True,True,2020-03-11 02:19:20+00:00,2020
97,108,15,0,0,2,0,True,True,True,2020-03-11 03:04:54+00:00,2020
98,109,29,0,0,6,0,True,True,True,2020-03-11 01:41:08+00:00,2020
99,110,1,0,0,14,0,True,True,True,2020-03-11 03:01:58+00:00,2020
100,111,8,0,1,6,0,True,True,True,2020-03-11 03:00:40+00:00,2020
101,112,8,0,0,7,0,False,False,False,2020-03-11 02:00:28+00:00,2020
102,113,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,1970
103,114,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,1970
