,last_reported,is_returning,num_bikes_disabled,station_id,is_renting,num_docks_disabled,num_ebikes_available,is_installed,num_bikes_available,station_status,num_docks_available,eightd_has_available_keys,legacy_id,timestamp_of_data_read_request,year_station_last_reported
146,2020-08-04 22:20:17+00:00,True,0,171,True,0,0,True,6,active,17,True,171,2020-08-05 06:08:10,2020
147,2020-08-05 00:46:57+00:00,True,0,173,True,0,0,True,13,active,1,True,173,2020-08-05 06:08:10,2020
148,2020-08-05 03:59:10+00:00,True,0,174,True,0,0,True,10,active,5,False,174,2020-08-05 06:08:10,2020
149,2020-08-05 05:03:16+00:00,True,0,175,True,0,0,True,4,active,13,True,175,2020-08-05 06:08:10,2020
150,2020-08-05 04:06:04+00:00,True,0,176,True,0,0,True,8,active,7,False,176,2020-08-05 06:08:10,2020
151,2020-08-05 02:38:57+00:00,True,1,177,True,0,0,True,7,active,11,False,177,2020-08-05 06:08:10,2020
152,2020-08-05 05:13:29+00:00,True,0,178,True,0,0,True,16,active,3,False,178,2020-08-05 06:08:10,2020
153,2020-08-05 04:34:58+00:00,True,0,179,True,0,0,True,4,active,21,False,179,2020-08-05 06:08:10,2020
154,2020-08-04 23:16:09+00:00,True,1,180,True,0,0,True,12,active,6,False,180,2020-08-05 06:08:10,2020
155,2020-08-05 00:04:59+00:00,True,1,181,True,0,0,True,18,active,0,False,181,2020-08-05 06:08:10,2020
156,2020-08-05 03:05:55+00:00,True,0,182,True,0,0,True,4,active,15,True,182,2020-08-05 06:08:10,2020
157,2020-08-04 20:11:48+00:00,True,0,183,True,0,0,True,11,active,8,False,183,2020-08-05 06:08:10,2020
158,2020-08-05 04:49:11+00:00,True,0,184,True,0,0,True,9,active,10,False,184,2020-08-05 06:08:10,2020
159,2020-08-05 02:58:37+00:00,True,2,185,True,0,0,True,7,active,6,False,185,2020-08-05 06:08:10,2020
160,2020-08-05 05:03:58+00:00,True,0,186,True,0,0,True,11,active,4,True,186,2020-08-05 06:08:10,2020
161,2020-08-05 01:54:14+00:00,True,0,187,True,0,0,True,15,active,0,False,187,2020-08-05 06:08:10,2020
162,2020-08-05 01:26:23+00:00,True,0,188,True,0,0,True,4,active,11,False,188,2020-08-05 06:08:10,2020
