,is_installed,station_status,last_reported,legacy_id,num_ebikes_available,num_bikes_disabled,is_returning,num_docks_disabled,num_docks_available,num_bikes_available,eightd_has_available_keys,station_id,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
213,True,active,2020-08-13 12:53:53+00:00,280,0,0,True,0,17,2,False,280,True,,,2020-08-13 13:27:55,2020
214,True,active,2020-08-13 13:22:35+00:00,282,0,1,True,0,10,4,False,282,True,,,2020-08-13 13:27:55,2020
215,True,active,2020-08-13 13:08:53+00:00,296,0,0,True,0,9,14,False,296,True,,,2020-08-13 13:27:55,2020
216,True,active,2020-08-13 13:00:15+00:00,318,0,0,True,0,14,5,False,318,True,,,2020-08-13 13:27:55,2020
217,True,active,2020-08-13 12:58:49+00:00,319,0,0,True,0,22,3,False,319,True,,,2020-08-13 13:27:55,2020
218,True,active,2020-08-13 13:15:15+00:00,327,0,0,True,0,6,9,False,327,True,,,2020-08-13 13:27:55,2020
219,True,active,2020-08-13 13:25:38+00:00,328,0,1,True,0,2,12,False,328,True,,,2020-08-13 13:27:55,2020
220,True,active,2020-08-13 13:12:27+00:00,329,0,0,True,0,7,8,False,329,True,,,2020-08-13 13:27:55,2020
221,True,active,2020-08-13 13:06:00+00:00,330,0,0,True,0,12,3,False,330,True,,,2020-08-13 13:27:55,2020
222,True,active,2020-08-13 12:53:05+00:00,331,0,1,True,0,11,3,False,331,True,,,2020-08-13 13:27:55,2020
223,True,active,2020-08-13 13:22:39+00:00,332,0,1,True,0,4,10,False,332,True,,,2020-08-13 13:27:55,2020
224,True,active,2020-08-13 12:12:05+00:00,333,0,0,True,0,6,19,False,333,True,,,2020-08-13 13:27:55,2020
225,True,active,2020-08-13 13:05:53+00:00,334,0,2,True,0,1,16,False,334,True,,,2020-08-13 13:27:55,2020
226,True,active,2020-08-13 13:13:14+00:00,335,0,0,True,0,4,15,False,335,True,,,2020-08-13 13:27:55,2020
227,True,active,2020-08-13 03:25:37+00:00,336,0,0,True,0,11,4,False,336,True,,,2020-08-13 13:27:55,2020
228,True,active,2020-08-13 12:05:52+00:00,337,0,0,True,0,0,15,False,337,True,,,2020-08-13 13:27:55,2020
229,True,active,2020-08-13 13:15:40+00:00,338,0,1,True,0,13,1,False,338,True,,,2020-08-13 13:27:55,2020
230,True,active,2020-08-13 03:25:16+00:00,339,0,0,True,0,0,15,False,339,True,,,2020-08-13 13:27:55,2020
231,True,active,2020-08-13 03:25:14+00:00,340,0,0,True,0,1,18,False,340,True,,,2020-08-13 13:27:55,2020
232,True,active,2020-08-13 12:53:49+00:00,341,0,1,True,0,2,12,True,341,True,,,2020-08-13 13:27:55,2020
233,True,active,2020-08-13 13:13:57+00:00,342,0,0,True,0,4,11,False,342,True,,,2020-08-13 13:27:55,2020
234,True,active,2020-08-13 04:04:08+00:00,343,0,0,True,0,11,4,False,343,True,,,2020-08-13 13:27:55,2020
235,True,active,2020-08-13 13:20:58+00:00,344,0,0,True,0,13,6,False,344,True,,,2020-08-13 13:27:55,2020
236,True,active,2020-08-13 13:08:14+00:00,345,0,2,True,0,8,9,False,345,True,,,2020-08-13 13:27:55,2020
237,True,active,2020-08-13 13:20:15+00:00,346,0,0,True,0,9,6,False,346,True,,,2020-08-13 13:27:55,2020
238,True,active,2020-08-13 09:02:09+00:00,347,0,0,True,0,4,11,False,347,True,,,2020-08-13 13:27:55,2020
239,True,active,2020-08-13 06:32:41+00:00,348,0,1,True,0,11,3,False,348,True,,,2020-08-13 13:27:55,2020
240,True,active,2020-08-13 03:26:37+00:00,349,0,1,True,0,10,6,True,349,True,,,2020-08-13 13:27:55,2020
241,True,active,2020-08-13 09:55:03+00:00,350,0,0,True,0,2,15,False,350,True,,,2020-08-13 13:27:55,2020
242,True,active,2020-08-13 11:17:51+00:00,351,0,0,True,0,7,8,False,351,True,,,2020-08-13 13:27:55,2020
243,True,active,2020-08-13 13:09:39+00:00,352,0,1,True,0,6,8,False,352,True,,,2020-08-13 13:27:55,2020
244,True,active,2020-08-13 03:26:30+00:00,353,0,0,True,0,8,7,True,353,True,,,2020-08-13 13:27:55,2020
245,True,active,2020-08-13 12:47:46+00:00,354,0,1,True,0,8,6,False,354,True,,,2020-08-13 13:27:55,2020
246,True,active,2020-08-13 13:04:01+00:00,355,0,0,True,0,7,10,False,355,True,,,2020-08-13 13:27:55,2020
247,True,active,2020-08-13 13:25:20+00:00,356,0,0,True,0,10,13,False,356,True,,,2020-08-13 13:27:55,2020
248,True,active,2020-08-13 13:07:51+00:00,357,0,0,True,0,10,5,False,357,True,,,2020-08-13 13:27:55,2020
249,True,active,2020-08-13 13:06:07+00:00,358,0,0,True,0,3,16,False,358,True,,,2020-08-13 13:27:55,2020
250,True,active,2020-08-13 13:11:18+00:00,359,0,0,True,0,5,10,False,359,True,,,2020-08-13 13:27:55,2020
251,True,active,2020-08-13 12:30:59+00:00,360,0,0,True,0,14,1,False,360,True,,,2020-08-13 13:27:55,2020
252,True,active,2020-08-13 12:46:30+00:00,361,0,0,True,0,10,9,False,361,True,,,2020-08-13 13:27:55,2020
